"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KANWAR SINGH TANWAR","2 - FARHAT HASAN","3 - RAKESH TIKAIT","4 - HUMERA AKHTAR","5 - KHAJAN SINGH","6 - BRAJLAL","7 - MAHESH","8 - RAKESH","9 - RAJPAL","10 - SARVESH KUMAR SAINI","11 - SYED KALBE RUSHAID RIZVI","12 - HUSNEIN RAZAA","13 - NARESH KUMAR","14 - NARESH CHAND","15 - SURENDRA SINGH","16 - None of the Above","Total Votes Secured"
1,"PRIMARY PATHSHALA SULTANPUR MOLVI",736,628,0,1364,526,424,0,950,950,0,185,503,6,233,5,0,1,0,0,1,1,1,0,3,4,7,950
2,"PRIMARY PATHSHALA KHANPUR",267,248,0,515,196,200,0,396,396,0,212,168,2,6,0,0,0,0,0,0,0,0,0,0,3,5,396
3,"PRIMARY PATHSHALA CHAUBARA KAKSH 1",674,604,0,1278,573,507,0,1080,1080,0,754,3,5,289,2,1,0,0,0,2,1,1,1,1,3,17,1080
4,"PRIMARY PATHSHALA CHAUBARA KAKSH 2",621,490,0,1111,459,384,0,843,843,0,302,242,0,288,4,0,0,1,0,0,0,1,0,0,3,2,843
5,"JUNIOR HIGH SCHOOL SHAHWAZPUR DOR KAKSH 1",667,632,0,1299,491,459,0,950,950,0,540,23,3,356,3,1,1,1,0,1,3,0,6,0,0,12,950
6,"JUNIOR HIGH SCHOOL SHAHWAZPUR DOR KAKSH 2",193,203,0,396,146,157,0,303,303,0,181,15,1,100,1,0,0,1,0,0,0,0,0,0,1,3,303
7,"JUNIOR HIGH SCHOOL SHAHWAZPUR DOR KAKSH 3",623,597,0,1220,473,469,0,942,942,0,63,210,4,637,4,0,1,0,0,1,0,3,5,2,3,9,942
8,"JUNIOR HIGH SCHOOL SHAHWAZPUR DOR KAKSH 4",329,292,0,621,267,240,0,507,507,0,43,400,8,53,0,0,0,0,0,0,0,1,0,1,0,1,507
9,"PRIMARY PATHSHALA TIGARIYA KHADAR KAKSH 1",847,758,0,1605,647,543,0,1190,1190,0,747,350,4,51,1,1,0,2,2,1,4,1,1,5,7,13,1190
10,"PRIMARY PATHSHALA TIGARIYA KHADAR KAKSH 2",606,512,0,1118,416,325,0,741,741,0,671,14,0,26,2,1,1,1,0,0,5,1,3,1,3,12,741
11,"PRIMARY PATHSHALA KANKATHER KAKSH 1",651,629,0,1280,583,513,0,1096,1096,0,991,30,5,39,1,0,4,0,2,1,2,1,0,2,1,17,1096
12,"PRIMARY PATHSHALA KANKATHER KAKSH 2",354,309,0,663,294,235,0,529,529,0,332,77,4,89,4,1,0,1,0,1,0,0,2,3,2,13,529
13,"PANCHAYAT GHAR KANKATHER KAKSH 1",557,498,0,1055,466,406,0,872,872,0,587,6,2,244,3,1,2,2,2,4,1,1,4,3,1,9,872
14,"BARAT GHAR KANKATHER KAKSH 1",339,332,0,671,265,214,0,479,479,0,421,0,0,42,1,0,0,0,0,0,0,0,1,1,2,11,479
15,"JUNIOR HIGH SCHOOL MOHAMMADABAD MUSTKAM KAKSH 1",679,627,0,1306,561,539,0,1100,1100,0,490,9,3,572,4,0,0,1,1,0,1,3,5,1,0,10,1100
16,"JUNIOR HIGH SCHOOL MOHAMMADABAD MUSTKAM KAKSH 2",687,557,0,1244,506,417,0,923,923,0,63,37,2,815,3,0,0,0,0,0,1,0,0,1,0,1,923
17,"JUNIOR HIGH SCHOOL MOHAMMADABAD MUSTKAM KAKSH 3",260,213,0,473,172,139,0,311,311,0,121,112,0,66,1,0,1,0,2,0,4,0,0,0,0,4,311
18,"PRIMARY PATHSHALA BATUPURA",636,589,0,1225,512,439,0,951,951,0,933,1,1,13,0,1,0,0,0,0,0,0,0,0,1,1,951
19,"PRIMARY PATHSHALA KUDAINA CHAK",657,633,0,1290,557,506,0,1063,1063,0,918,23,5,102,1,0,0,0,0,0,0,0,0,0,1,13,1063
20,"PRIMARY PATHSHALA BIGORA KAKSH 1",668,673,0,1341,476,494,0,970,970,0,201,166,5,579,4,4,0,0,2,1,1,0,1,1,2,3,970
21,"PRIMARY PATHSHALA BIJORA KAKSH 2",238,219,0,457,169,156,0,325,325,0,165,105,1,42,1,0,1,1,1,0,1,2,1,1,2,1,325
22,"PRIMARY PATHSHALA RAKHERA",804,784,0,1588,685,636,0,1321,1321,0,1229,27,3,39,0,0,1,0,0,2,0,0,0,1,1,18,1321
23,"PRIMARY PATHSHALA KUDAINI",328,316,0,644,290,267,0,557,557,0,442,5,2,101,1,1,0,0,0,0,0,0,0,0,3,2,557
24,"PRIMARY PATHSHALA KABIRPUR",538,508,0,1046,462,418,0,880,880,0,228,8,5,626,2,1,0,1,0,0,1,1,0,2,2,3,880
25,"PRIMARY PATHSHALA DHORIYA ETMALI",451,370,0,821,353,282,0,635,635,0,501,56,3,62,2,0,0,0,0,0,1,0,2,0,2,6,635
26,"PRIMARY PATHSHALA KHUNGAWALI",440,441,0,881,356,360,0,716,716,0,679,6,1,21,0,1,2,0,0,0,0,0,0,0,1,5,716
27,"PRIMARY PATHSHALA KHAYALIPUR",650,635,0,1285,527,475,0,1002,1002,0,590,254,7,123,1,0,1,0,1,2,0,1,5,1,3,13,1002
28,"PRIMARY PATHSHALA SATERA ETMALI",825,786,0,1611,666,560,0,1226,1226,0,1049,37,3,112,2,3,1,0,0,1,1,1,3,0,3,10,1226
29,"PRIMARY PATHSHALA MAITENA MUSTKAM",333,285,0,618,203,195,0,398,398,0,225,30,0,132,1,0,1,0,1,0,0,1,0,0,0,7,398
30,"PRIMARY PATHSHALA DIYAWALI KHALSA",711,664,0,1375,600,565,0,1165,1165,0,731,344,6,71,1,0,1,0,0,2,0,0,0,0,1,8,1165
31,"PRIMARY PATHSHALA LUHARI KHADAR KAKSH 1",569,524,0,1093,455,432,0,887,887,0,622,104,1,131,0,0,0,0,0,1,2,0,2,2,8,14,887
32,"PRIMARY PATHSHALA LUHARI KHADAR KAKSH 2",321,279,0,600,250,233,0,483,483,0,149,214,6,103,0,2,1,0,0,0,3,2,1,0,1,1,483
33,"PRIMARY PATHSHALA ALLIPUR KHADAR KAKSH 1",580,551,0,1131,480,448,0,928,928,0,504,125,2,279,3,0,2,0,0,1,1,2,3,1,2,3,928
34,"PRIMARY PATHSHALA ALLIPUR KHADAR KAKSH 2",252,252,0,504,218,213,0,431,431,0,361,48,1,15,0,0,0,0,0,0,2,1,0,0,1,2,431
35,"PRIMARY PATHSHALA BHIMA THIKARI",428,448,0,876,372,324,0,696,696,0,569,59,0,56,3,0,1,0,0,1,0,0,1,0,1,5,696
36,"PRIMARY PATHSHALA DHIMAR KHERI",290,276,0,566,265,239,0,504,504,0,378,23,1,98,1,0,0,0,0,1,1,1,0,0,0,0,504
37,"PRIMARY PATHSHALA MACHRAI",685,586,0,1271,560,540,0,1100,1100,0,51,582,8,445,7,0,1,1,1,0,0,0,1,0,2,1,1100
38,"PRIMARY PATHSHALA VASI KALAN",456,419,0,875,390,357,0,747,747,0,95,418,4,220,0,0,0,0,1,0,0,1,2,1,2,3,747
39,"PRIMARY PATHSHALA AGROLA KALAN KAKSH 1",675,647,0,1322,512,505,0,1017,1017,0,390,144,1,466,4,0,0,0,0,2,0,0,1,0,1,8,1017
40,"PRIMARY PATHSHALA AGROLA KALAN KAKSH 2",242,240,0,482,192,189,0,381,381,0,153,18,0,208,0,0,0,0,0,1,0,0,0,0,0,1,381
41,"PRIMARY PATHSHALA DEEPPUR",769,688,0,1457,613,531,0,1144,1144,0,780,336,6,9,0,3,0,0,0,2,0,0,1,3,3,1,1144
42,"PRIMARY PATHSHALA SOHARKA KAKSH 1",580,556,0,1136,446,429,0,875,875,0,830,10,0,24,0,1,0,0,1,1,0,0,2,1,1,4,875
43,"PRIMARY PATHSHALA SOHARKA KAKSH 2",559,547,0,1106,466,456,0,922,922,0,753,56,5,81,1,0,0,0,0,1,0,0,2,1,3,19,922
44,"SHIRI MATI SUKHDEVI INTER COLLEGE PURVI VIG HASANPUR KAKSH 1",737,659,1,1397,477,441,0,918,918,0,5,34,4,860,1,1,0,1,0,0,2,2,2,1,0,5,918
45,"SHIRI MATI SUKHDEVI INTER COLLEGE PURVI VIG HASANPUR KAKSH 2",657,508,0,1165,436,337,0,773,773,0,39,23,1,701,2,0,0,0,0,0,4,0,0,1,0,2,773
46,"SHIRI MATI SUKHDEVI INTER COLLEGE PURVI VIG HASANPUR KAKSH 3",372,307,0,679,250,210,0,460,460,0,7,17,0,429,1,0,0,2,0,0,0,0,0,1,1,2,460
47,"SHIRI MATI SUKHDEVI INTER COLLEGE PURVI VIG HASANPUR KAKSH 4",636,518,0,1154,521,446,0,967,967,0,849,3,3,103,2,0,1,0,1,1,0,0,3,0,1,0,967
48,"SHIRI MATI SUKHDEVI INTER COLLEGE PURVI VIG HASANPUR KAKSH 5",438,397,0,835,319,282,0,601,601,0,517,39,1,39,0,0,0,0,0,1,0,0,0,0,0,4,601
49,"SHIRI MATI SUKHDEVI INTER COLLEGE PURVI VIG HASANPUR KAKSH 6",573,466,0,1039,379,340,0,719,719,0,498,97,7,107,0,0,0,0,0,1,0,0,1,2,0,6,719
50,"SHIRI MATI SUKHDEVI INTER COLLEGE PASCHAMI VIG HASANPUR KAKSH 1",466,399,0,865,324,271,0,595,595,0,446,0,1,141,3,0,0,0,0,0,3,1,0,0,0,0,595
51,"SHIRI MATI SUKHDEVI INTER COLLEGE PASCHAMI VIG HASANPUR KAKSH 2",733,628,0,1361,415,480,0,895,895,0,613,6,2,258,0,0,0,0,0,1,3,1,4,0,1,6,895
52,"SHIRI MATI SUKHDEVI INTER COLLEGE PASCHAMI VIG HASANPUR KAKSH 3",364,305,0,669,256,189,0,445,445,0,344,3,0,91,1,0,1,0,0,0,4,0,0,0,0,1,445
53,"NAGAR PALIKA PARISHAD HASANPUR KAKSH 1",709,578,0,1287,379,387,0,766,766,0,576,13,5,166,0,0,0,0,0,1,2,0,1,0,0,2,766
54,"NAGAR PALIKA PARISHAD HASANPUR KAKSH 2",199,198,0,397,113,126,0,239,239,0,190,10,1,33,0,0,0,0,0,1,2,0,0,0,0,2,239
55,"NAGAR PALIKA PARISHAD HASANPUR KAKSH 3",847,651,0,1498,504,418,0,922,922,0,460,35,7,405,0,0,0,0,0,0,1,1,4,2,1,6,922
56,"NAGAR PALIKA PARISHAD HASANPUR KAKSH 4",405,373,0,778,184,245,0,429,429,0,3,8,0,412,1,0,0,0,0,0,0,0,4,1,0,0,429
57,"RAJKIYA KANYA INTER COLLEGE HASANPUR KAKSH 1",684,559,0,1243,446,426,0,872,872,2,405,9,4,435,1,0,0,1,1,2,0,0,3,0,2,9,872
58,"RAJKIYA KANYA INTER COLLEGE HASANPUR KAKSH 2",665,557,0,1222,446,337,0,783,783,0,338,9,0,421,1,0,0,0,0,2,0,2,1,0,0,9,783
59,"RAJKIYA KANYA INTER COLLEGE HASANPUR KAKSH 3",291,267,0,558,200,199,0,399,399,0,326,7,3,55,3,0,0,0,0,1,1,0,0,0,1,2,399
60,"RAJKIYA KANYA INTER COLLEGE HASANPUR KAKSH 4",890,708,0,1598,585,437,0,1022,1022,0,452,31,4,516,4,1,1,2,0,1,1,1,0,2,0,6,1022
61,"RAJKIYA KANYA INTER COLLEGE HASANPUR KAKSH 5",694,560,1,1255,483,391,0,874,874,0,4,11,5,844,5,0,0,0,0,0,0,0,2,2,0,1,874
62,"PURANA ASPTAL RAJKIYA KANYA INTER COLLEGE HASANPUR KAKSH 1",583,479,0,1062,422,334,0,756,756,0,6,2,5,726,1,1,0,0,0,1,0,0,6,1,0,7,756
63,"PURANA ASPTAL RAJKIYA KANYA INTER COLLEGE HASANPUR KAKSH 2",666,541,0,1207,434,358,0,792,792,0,27,21,4,716,3,0,0,1,0,0,0,0,12,2,2,4,792
64,"PURANA ASPTAL RAJKIYA KANYA INTER COLLEGE HASANPUR KAKSH 3",336,266,0,602,230,153,0,383,383,0,56,16,1,296,1,1,1,1,0,0,2,1,4,0,1,2,383
65,"KANYA PRIMARY PATHSHALA KOT HASANPUR KAKSH 1",583,505,0,1088,354,293,0,647,647,0,124,70,4,441,1,0,0,0,0,0,0,1,1,1,0,4,647
66,"KANYA PRIMARY PATHSHALA KOT HASANPUR KAKSH 2",338,296,0,634,221,175,0,396,396,0,178,15,0,198,0,0,0,0,0,0,0,0,1,0,1,3,396
