"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR. ARVIND KUMAR SINGH","2 - ZAFAR ALAM","3 - BIJENDRA SINGH","4 - SATISH KUMAR","5 - AMITA SINGH JAT","6 - DURGESH CHANDRA GAUTAM","7 - DEVANAND","8 - PRADEEP KUMAR","9 - BADSHAH","10 - RAKESH CHANDRA RAWAT","11 - VINOD KUMAR BAGHEL","12 - MOHD. SABIR RAHI","13 - NATTHI LAL SHARMA","14 - SANJAY KUMAR","15 - None of the Above","Total Votes Secured"
1,"LUEJA SOLS GIRLS HIGH SCHOOL R.N.-1",395,374,0,769,225,160,0,385,356,0,39,234,39,67,0,0,1,1,0,1,0,3,0,0,0,385
2,"LUEJA SOLS GIRLS HIGH SCHOOL R.N.-2",381,344,0,725,261,241,0,502,400,0,50,334,59,54,0,1,0,0,0,0,1,1,0,0,2,502
3,"LUEJA SOLS GIRLS HIGH SCHOOL ROOM NO 3",581,533,0,1114,399,303,0,702,691,0,48,85,43,516,1,0,0,1,0,1,0,4,0,0,3,702
4,"गुरुनानक जू0 हा0 स्कूल नई बस्ती	GURUNANAK JUNIOR HIGH SCHOOL NAI BASTI R.N 1",512,456,0,968,335,277,0,612,592,0,119,189,45,246,0,0,1,1,0,0,0,5,0,1,5,612
5,"GURUNANAK JUNIOR HIGH SCHOOL NAI BASTI ROOM NO 2",523,448,0,971,346,269,0,615,611,0,38,273,75,211,0,0,1,0,0,0,0,11,3,1,2,615
6,"PRIMARY SCHOOL BALIKA VIDHALAY RIFUGI QUATER R0 N0 1",508,502,0,1010,340,266,0,606,567,0,21,50,40,477,0,2,0,0,0,1,0,11,1,0,3,606
7,"PRIMARY SCHOOL BALIKA VIDHALAY RIFUGI QUATER R-N-2",551,552,0,1103,335,321,0,656,125,0,54,77,44,459,0,0,0,0,0,0,0,20,0,0,2,656
8,"LUEJA SOLS GIRLS HIGH SCHOOL G.T. ROAD ALIGARH R-N- 4",524,464,0,988,361,302,0,663,597,0,445,22,23,160,2,0,0,0,1,1,0,3,2,0,4,663
9,"CITY HIGH SCHOOL MASOODABAD R-N- 1",806,685,0,1491,522,377,0,899,887,0,49,15,44,761,2,6,1,0,0,0,3,8,3,3,4,899
10,"CITY HIGH SCHOOL MASOODABAD R-N- 2",912,787,1,1700,637,474,0,1111,111,0,104,82,66,831,2,4,1,0,0,0,1,9,2,1,8,1111
11,"CHOBSINGH LODHI UMA MA0 VIDHALAY BYE PASS RD. NAGLA KALAR R-N-1",672,589,0,1261,393,368,0,761,310,0,536,7,9,172,1,5,0,2,0,0,2,5,2,7,13,761
12,"CHOBSINGH LODHI UMA MA0 VIDHALAY BYE PASS RD. NAGLA KALAR R-N- 6",685,584,0,1269,434,357,0,791,787,0,472,6,21,270,4,2,2,3,0,0,0,2,3,0,6,791
13,"CHOBSINGH LODHI UMA MA0 VIDHALAY BYE PASS RD. NAGLA KALAR R-N- 2",677,604,0,1281,421,319,0,740,716,0,495,5,35,179,3,1,1,0,0,0,3,2,5,0,11,740
14,"CHOBSINGH LODHI UMA MA0 VIDHALAY BYE PASS RD. NAGLA KALAR R-N- 3",863,731,0,1594,495,425,0,920,916,0,558,4,32,282,2,5,0,14,0,0,0,15,1,3,4,920
15,"K.D.GIRLS I COLLEGE NAGLA MAULWE  R-N- 1",311,298,0,609,207,188,0,395,271,0,12,5,5,370,1,0,0,0,0,0,0,0,0,1,1,395
16,"CITY HIGH SCHOOL MASOODABAD R-N- 3",732,590,0,1322,474,323,0,797,667,0,65,67,133,515,4,2,0,0,0,0,0,7,2,0,2,797
17,"INGRAMHAM INSITITUTE JR. HIGH SCHOOL MAIROJ BYE PASS  R-N-1",888,728,0,1616,511,376,0,887,184,0,119,13,48,675,2,5,1,2,0,0,2,13,2,1,4,887
18,"INGRAMHAM INSITITUTE JR. HIGH SCHOOL MAIROJ BYE PASS R-N- 3",951,811,1,1763,592,477,0,1069,1069,0,129,36,40,819,5,3,0,2,0,0,0,23,1,2,9,1069
19,"K.D.GIRLS I COLLEGE NAGLA MAULWE R-N- 2",625,538,0,1163,381,326,0,707,703,0,43,12,53,581,1,1,0,0,0,0,3,5,2,0,6,707
20,"K.D.GIRLS I COLLEGE NAGLA MAULWE R-N- 4",752,639,0,1391,482,358,0,840,836,0,49,23,36,707,3,6,0,0,0,0,0,10,2,0,4,840
21,"CITY HIGH SCHOOL MASOODABAD R-N- 4",484,426,0,910,302,266,0,568,178,0,30,6,33,485,0,2,0,0,0,0,0,6,2,1,3,568
22,"CITY HIGH SCHOOL MASOODABAD R.N. 7",504,422,0,926,316,245,0,561,350,0,44,15,20,462,3,6,2,0,0,1,0,5,1,0,2,561
23,"K.D.GIRLS I COLLEGE NAGLA MAULWE R.N. 3",626,561,0,1187,416,347,0,763,756,0,23,5,32,679,0,3,2,1,0,1,1,11,2,1,2,763
24,"K.D.GIRLS I COLLEGE NAGLA MAULWE R.N. 5",605,515,0,1120,383,325,0,708,699,0,20,15,41,618,1,3,1,0,0,1,7,1,0,0,0,708
25,"INGRAMHAM INSITITUTE JR. HIGH SCHOOL MAIROJ BYE PASS R.N. 2",543,456,0,999,322,260,0,582,580,0,28,21,27,495,0,0,5,4,0,0,0,0,2,0,0,582
26,"CITY HIGH SCHOOL MASOODABAD R.N. 5",599,581,0,1180,392,340,0,732,728,0,88,154,253,211,1,0,0,0,0,0,1,16,1,0,7,732
27,"CITY HIGH SCHOOL MASOODABAD R.N. 6",651,535,0,1186,319,272,0,591,400,0,113,41,84,335,2,1,1,0,0,0,0,11,0,0,3,591
28,"CHOBSINGH LODHI UMA MA0 VIDHALAY BYE PASS RD. NAGLA KALAR R.N. 4",875,725,0,1600,537,471,0,1008,978,0,391,16,41,540,6,3,2,1,0,0,0,2,1,0,5,1008
29,"CHOBSINGH LODHI UMA MA0 VIDHALAY BYE PASS RD. NAGLA KALAR R.N. 5",601,519,1,1121,269,262,0,531,327,0,152,4,32,328,1,1,0,0,1,0,0,6,1,0,5,531
30,"CHOBSINGH LODHI UMA MA0 VIDHALAY BYE PASS RD. NAGLA KALAR R.N. 7",573,528,0,1101,316,249,0,565,419,0,282,12,22,231,2,2,2,2,0,1,1,5,0,0,3,565
31,"KARYALAY JILA UDHOG KENDRA ROOM NO -1",684,589,0,1273,491,380,0,871,860,0,76,188,63,528,3,1,0,0,1,2,1,5,3,0,0,871
32,"KAARYALAY JILLA UDHOG KENDRA INDUSTRIYAL AREA ROOM NO 2",489,426,0,915,309,262,0,571,567,0,54,23,49,426,0,0,0,0,0,0,0,13,0,0,6,571
33,"KENDRIY VIDHALAY RA0 O0PRA0 S0 I.T.I RAHSOOPUR R.N 1",800,663,0,1463,438,322,0,760,638,0,55,92,37,552,3,0,2,0,1,0,1,13,2,0,2,760
34,"KENDRIY VIDHALAY RA0 O0PRA0 S0 I.T.I RAHSOOPUR R.N. 2",832,693,0,1525,531,384,0,915,300,0,61,24,60,743,2,2,1,0,1,0,0,11,3,1,6,915
35,"KENDRIY VIDHALAY RA0 O0PRA0 S0 I.T.I RAHSOOPUR R.N. 5",653,529,0,1182,343,257,0,600,590,0,31,11,24,523,1,0,0,0,0,0,2,6,0,1,1,600
36,"KENDRIY VIDHALAY RA0 O0PRA0 S0 I.T.I RASOOLPUR  R.N. 6",650,540,0,1190,430,296,0,726,715,0,40,13,36,627,2,1,1,0,0,0,0,5,0,1,0,726
37,"KENDRIY VIDHALAY RA0 O0PRA0 S0 I.T.I RAHSOOPUR R.N. 3",578,497,0,1075,373,326,0,699,699,0,47,331,49,248,0,1,0,4,1,0,0,15,0,1,2,699
38,"RAJKIYA AUDHOGIK PRASHIXN SANSTHAN (MAHILA) RASOOLPUR R.N 1",611,535,0,1146,380,326,0,706,505,0,52,471,42,124,2,0,0,1,0,0,0,6,2,1,5,706
39,"RAJKIYA AUDHOGIK PRASHIXN SANSTHAN (MAHILA) RASOOLPUR R.N. 2",685,604,0,1289,422,356,0,778,202,0,82,28,38,606,3,3,1,1,0,0,0,7,4,2,3,778
40,"RAJKIYA AUDHOGIK PRASHIXN SANSTHAN (MAHILA) RASOOLPUR  R.N. 7",560,469,0,1029,376,277,0,653,188,0,36,192,77,328,1,0,0,0,0,0,0,11,1,0,7,653
41,"RAJKIYA AUDHOGIK PRASHIXN SANSTHAN (MAHILA) RASOOLPUR R.N. 3",713,631,0,1344,309,289,0,598,481,0,228,6,34,311,2,2,0,0,1,1,1,9,1,0,2,598
42,"RAJKIYA AUDHOGIK PRASHIXN SANSTHAN (MAHILA) RASOOLPUR R.N. 4",445,403,0,848,298,255,0,553,538,0,255,0,24,263,1,0,0,0,1,0,0,1,3,0,5,553
43,"RAJKIYA AUDHOGIK PRASHIXN SANSTHAN (MAHILA) RASOOLPUR R.N. 8",465,415,0,880,279,253,0,532,400,0,162,13,28,311,0,1,1,1,0,0,1,9,0,0,5,532
44,"RAJKIYA AUDHOGIK PRASHIXN SANSTHAN (MAHILA) RASOOLPUR R.N. 5",678,576,0,1254,372,372,0,744,661,0,286,8,47,390,2,1,0,0,0,0,1,6,1,1,1,744
45,"RAJKIYA AUDHOGIK PRASHIXN SANSTHAN (MAHILA) RASOOLPUR R.N 6",626,558,0,1184,382,344,0,726,726,0,492,5,24,197,2,2,0,1,1,0,0,1,0,1,0,726
46,"KENDRIY VIDHALAY RA0 O0PRA0 S0 I.T.I RASOOLPUR R.N 4",703,604,0,1307,405,345,0,750,742,0,238,9,19,469,3,5,2,0,1,0,0,2,1,0,1,750
47,"KENDRIY VIDHALAY RA0 O0PRA0 S0 I.T.I RAHSOOPUR R..N 5",400,310,0,710,234,179,0,413,397,0,285,5,15,99,0,2,0,1,0,0,0,4,0,0,2,413
48,"NAGAR PALIKA JUNIOR HIGH SCHOOL SARAI RAHMAAN R.N 1",435,426,0,861,339,283,0,622,621,0,104,355,24,130,0,1,0,0,0,0,0,5,2,0,1,622
49,"NAGAR PALIKA JUNIOR HIGH SCHOOL SARAI RAHMAAN R.N. 2",356,316,0,672,265,193,0,458,447,0,8,406,15,18,0,0,0,0,3,0,0,5,1,1,1,458
50,"NAGAR PALIKA JUNIOR HIGH SCHOOL SARAI RAHMAAN R.N. 3",442,381,0,823,276,181,0,457,200,0,8,425,11,5,0,0,1,0,0,0,1,3,1,1,1,457
51,"NAGAR PALIKA JUNIOR HIGH SCHOOL SARAI RAHMAAN R.N. 5",512,438,0,950,310,225,0,535,109,0,7,501,13,4,1,0,1,0,0,0,1,3,1,0,3,535
52,"NAGAR PALIKA JUNIOR HIGH SCHOOL SARAI RAHMAAN R.N  4",756,706,0,1462,468,297,0,765,765,0,16,689,49,4,1,0,0,0,0,0,0,4,0,1,1,765
53,"SEEVEG PUMP SARAI RAHMAAN",757,637,0,1394,410,258,0,668,268,0,12,603,19,22,0,0,0,0,0,0,0,8,0,0,4,668
