"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASHOK KUMAR KANNAOUJIYA","2 - CHHOTELAL","3 - PAKAUDI LAL KOL","4 - BHAGWATI PRASAD CHAUDHARY","5 - SHARADA PRASAD","6 - GUN DEVI GYANI DEVI","7 - S. R. DARAPURI","8 - MANGOI","9 - RAVI SHANKAR KANNAUJIA","10 - RAJKUMAR","11 - SHANKAR KOL","12 - ARUN SINGH CHERO","13 - RAMBRIKSHA","14 - LAWRENCE ANTHONY","15 - None of the Above","Total Votes Secured"
1,"PI.DAB‍LOO.DI. VISHRAM GRIH BASI (POO.PA.)",681,484,0,1165,344,236,0,580,580,0,9,188,156,165,11,0,4,1,15,3,3,6,8,5,6,580
2,"PI. DABLOO. DI. VISHRAM GRIH BASI (P.PA.)",471,325,0,796,193,151,0,344,344,0,5,119,70,85,23,1,1,2,8,1,2,6,8,5,8,344
3,"PRATHMIK PATHSHALA KOTA PURNVAS (PRA.PA.)",715,465,0,1180,305,204,0,509,509,0,4,349,57,44,24,1,0,3,18,1,3,0,4,0,1,509
4,"PRATHMIK PATHSHALA KOTA PURNVAS (SECOND PART)",971,603,0,1574,389,226,0,615,615,0,7,443,59,38,25,1,3,0,28,1,0,1,1,3,5,615
5,"JOO.BE.VI. CHIL‍KADADH, ROOM N0-1",690,465,0,1155,313,190,0,503,503,0,7,236,19,53,129,5,0,4,11,4,4,3,7,5,16,503
6,"JOO.BE.VI. CHIL‍KADADH, ROOM N0-2",564,392,0,956,238,157,0,395,395,0,8,170,11,46,131,3,1,0,11,0,1,2,0,4,7,395
7,"JOO.BE.VI. CHIL‍KADADHA, ROOM N0-3",799,543,0,1342,393,229,0,622,622,0,24,353,24,107,65,4,4,3,17,1,2,1,2,2,13,622
8,"PRATHMIK PATHSHALA CHIL‍KADADHA (NAYA BHAWAN), ROOM N0-1",862,613,0,1475,287,160,0,447,447,0,6,250,17,58,49,0,0,1,64,0,0,0,0,0,2,447
9,"PRATHMIK PATHSHALA CHIL‍KADADHA (NAYA BHAWAN), ROOM N0-2",770,577,0,1347,231,133,0,364,364,0,0,245,16,41,19,0,0,0,38,0,0,1,1,0,3,364
10,"RAJKIYA IN‍TAR COLLEGE SHAK‍TINGAR S‍THIT GRAM CHIL‍KADADHA, R.N0- 1",706,481,0,1187,330,196,0,526,526,0,4,292,120,41,41,0,1,0,18,0,0,0,4,0,5,526
11,"RAJKIYA IN‍TAR COLLEGE SHAK‍TINGAR S‍THIT GRAM CHIL‍KADADHA, R.N0- 2",653,390,0,1043,291,139,0,430,430,0,7,266,74,24,32,0,0,0,21,4,0,0,0,1,1,430
12,"RAJKIYA IN‍TAR COLLEGE SHAK‍TINGAR S‍THIT GRAM CHIL‍KADADHA, R.N0- 3",796,523,0,1319,250,171,0,421,421,0,1,214,45,41,80,2,0,0,35,0,1,1,0,1,0,421
13,"RAJKIYA IN‍TAR COLLEGE SHAK‍TINGAR S‍THIT GRAM CHIL‍KADADHA, R.N0- 4",956,651,0,1607,277,129,0,406,406,0,6,200,33,36,69,0,0,1,42,0,0,3,6,0,10,406
14,"VIVEKANN‍D VIDYALYA SHAK‍TINGARA, R.N0.-1",666,421,0,1087,214,122,0,336,336,0,1,127,40,34,93,0,0,0,38,0,0,0,1,0,2,336
15,"VIVEKANN‍D VIDYALYA SHAK‍TINGARA, R.N0.-3",820,619,0,1439,283,205,0,488,488,0,6,212,76,44,82,0,0,0,63,2,1,0,0,2,0,488
16,"VIVEKANN‍D VIDYALYA SHAK‍TINGARA, R.N0.-5",499,344,0,843,123,74,0,197,197,0,0,93,27,29,28,0,0,0,19,1,0,0,0,0,0,197
17,"SANT JOSF HIGH SCHOOL SHAK‍TINGARA, R.N0.-1",702,552,0,1254,144,138,0,282,282,0,3,145,13,48,36,0,0,0,34,0,0,0,0,1,2,282
18,"SANT JOSF HIGH SCHOOL SHAK‍TINGARA, R.N0.-2",407,301,0,708,145,96,0,241,241,0,1,137,11,33,27,0,0,0,31,0,0,0,0,1,0,241
19,"SANT JOSF HIGH SCHOOL SHAK‍TINGARA, R.N0.-3",355,283,0,638,137,104,0,241,241,0,1,139,12,39,22,0,0,0,24,0,0,0,2,0,2,241
20,"PRATHMIK VIDYALYA PARASVAR RAJA (U.PA.)",390,300,0,690,243,172,0,415,415,0,7,202,42,77,58,0,1,0,10,0,3,2,4,4,5,415
21,"PRATHMIK VIDYALYA PARASVAR RAJA (M.PA.)",547,405,0,952,293,208,0,501,501,0,20,247,55,129,23,4,1,1,12,2,0,0,2,2,3,501
22,"PRATHMIK PATHSHALA PARASVAR RAJA (D.PA.)",332,266,0,598,175,132,0,307,307,0,5,156,40,66,16,0,1,0,12,0,3,0,2,2,4,307
23,"PRATHMIK VIDYALYA KHADHIYA  (U.PA.)",1044,623,0,1667,507,251,0,758,758,0,18,469,77,134,14,1,2,1,27,0,1,1,3,5,5,758
24,"PRATHMIK VIDYALYA KHADHIYA  (M.PA.)",890,606,0,1496,420,281,0,701,701,0,24,437,75,102,24,0,1,1,19,3,0,2,7,2,4,701
25,"PRATHMIK VIDYALYA KHADHIYA  (D.PA.)",799,593,0,1392,349,239,0,588,588,0,14,276,69,138,19,0,1,3,24,1,2,8,11,3,19,588
26,"PRATHMIK VIDYALYA KOHRAULIYA  (PRA.PA.)",491,332,0,823,245,127,0,372,372,0,2,183,70,48,52,1,0,2,2,1,2,1,2,4,2,372
27,"PRATHMIK VIDYALYA KOHRAULIYA  (SECOND.PA.)",430,335,0,765,246,163,0,409,409,0,6,159,64,45,117,2,1,1,3,2,0,0,5,0,4,409
28,"PRATHMIK VIDYALYA KOHRAUL S‍TH‍IAT GRAM DHARASDI",635,496,0,1131,349,252,0,601,601,0,13,175,75,29,255,3,1,0,8,3,3,3,11,9,13,601
29,"PRATHMIK VIDYALYA JAMSHILA S‍THIT GRAMA-BARVANI",613,458,0,1071,360,220,0,580,580,0,14,244,111,92,94,2,1,1,11,2,2,1,1,1,3,580
30,"PRATHMIK PATHSHALA BINA PROJEK‍T, ROOM N0-1",805,525,0,1330,333,172,0,505,505,0,8,281,63,68,38,1,0,0,41,1,0,1,0,1,2,505
31,"PRATHMIK PATHSHALA BINA PROJEK‍T, ROOM N0-2",577,418,0,995,239,138,0,377,377,0,18,181,42,43,45,0,1,2,30,0,4,1,6,0,4,377
32,"PRATHMIK PATHSHALA BINA PROJEK‍T, ROOM N0-3",540,363,0,903,234,116,0,350,350,0,4,205,30,42,30,0,0,1,36,0,0,0,0,0,2,350
33,"PRATHMIK PATHSHALA BINA PROJEK‍T, ROOM N0-4",489,349,0,838,174,98,0,272,272,0,2,156,20,37,25,0,0,0,30,0,0,0,0,0,2,272
34,"PRATHMIK PATHSHALA BINA PROJEK‍T, ROOM N0-5",609,368,0,977,241,111,0,352,352,0,4,184,35,52,38,1,0,0,27,1,2,0,3,1,4,352
35,"PRATHMIK PATHSHALA BINA PROJEK‍T, ROOM N0-6",678,475,0,1153,244,151,0,395,395,0,1,251,31,60,25,0,0,0,26,0,0,0,1,0,0,395
36,"PRATHMIK VIDYALYA KUSMHA",448,349,0,797,285,204,0,489,489,0,14,69,14,106,252,2,10,2,0,0,5,2,5,4,4,489
37,"PRATHMIK VIDYALYA RASPAHRI (UTTARI PARTH)",710,584,0,1294,371,346,0,717,717,0,44,221,48,295,50,5,14,5,3,4,6,8,9,2,3,717
38,"PRATHMIK VIDYALYA RASPAHRI (DAKSHINI PARTH)",618,547,0,1165,427,374,0,801,801,0,53,198,30,326,45,6,71,5,8,7,6,4,9,9,24,801
39,"KHAN‍D VIKAS KARYALYA ROOM N0 01 M‍YORPUR",560,514,0,1074,341,309,0,650,650,0,20,89,27,285,130,3,4,3,5,5,5,13,17,11,33,650
40,"KHAN‍D VIKAS KARYALYA ROOM N0 02 M‍YORPUR",370,325,0,695,224,221,0,445,445,0,19,133,59,109,56,2,2,6,5,2,7,7,9,13,16,445
41,"PRATHMIK VIDYALYA BALIYARI",574,503,0,1077,313,400,0,713,713,0,74,170,32,282,103,7,3,7,7,2,4,7,4,1,10,713
42,"BIDHLA VIDYAMANDIR POORV MADH‍YMIK VIDYALYA M‍YORPUR (UTTARI PARTH)",705,571,0,1276,405,340,0,745,745,0,15,434,67,77,117,3,4,2,7,0,1,3,2,3,10,745
43,"BIDHLA VIDYAMANDIR POORV MADH‍YMIK VIDYALYA M‍YORPUR (SOUTH PARTH)",690,610,0,1300,442,380,0,822,822,0,20,490,101,128,39,0,1,1,2,4,7,4,10,3,12,822
44,"PRATHMIK VIDYALYA HARHORI",323,224,0,547,234,144,0,378,378,0,11,154,165,9,3,4,1,0,3,2,0,4,10,6,6,378
45,"PRATHMIK VIDYALYA PADHRI BARAIDADH (SOUTH PARTH)",542,366,0,908,348,220,0,568,568,0,13,77,317,15,100,4,6,4,1,1,1,2,5,9,13,568
46,"PRATHMIK VIDYALYA PADHRI BARAIDADH (PURVI PARTH)",566,425,0,991,378,286,0,664,664,0,28,151,347,33,12,9,7,5,3,6,8,7,14,13,21,664
47,"NAVIN BHAVAN POORV MADH‍YMIK VIDYALYA GADHIYA",580,463,0,1043,314,262,0,576,576,0,16,198,159,51,87,2,3,3,3,3,11,4,13,1,22,576
48,"NAYA BHAVAN PRATHMIK VIDYALYA PIN‍DARI, ROOM NO-1",775,552,0,1327,329,181,0,510,510,0,15,163,104,125,58,2,2,2,5,2,0,6,7,5,14,510
49,"NAYA BHAVAN PRATHMIK VIDYALYA PIN‍DARI, ROOM NO-2",539,392,0,931,261,187,0,448,448,0,16,148,72,34,136,5,2,1,1,4,2,2,6,7,12,448
50,"NAYA BHAVAN PRATHMIK VIDYALYA PIN‍DARI, ROOM NO.-3",501,400,0,901,279,171,0,450,450,0,25,93,109,145,22,1,0,2,6,4,5,3,7,5,23,450
51,"NAYA BHAVAN PRATHMIK VIDYALYA PIN‍DARI, ROOM NO-4",461,410,0,871,237,177,0,414,414,0,21,91,100,125,25,3,2,0,1,1,6,10,6,10,13,414
52,"PRATHMIK VIDYALYA MAHRIKLAN TOLA DOPHA",539,406,0,945,282,224,0,506,506,0,36,208,94,50,95,3,0,0,1,1,3,3,4,1,7,506
53,"PRATHMIK VIDYALYA MAHRIKLAN TOLA MEJHRAUT",603,468,0,1071,324,246,0,570,570,0,34,318,60,21,30,4,3,5,4,5,6,15,15,17,33,570
54,"PRATHMIK VIDYALYA KHAM‍HRIYA",460,369,0,829,277,150,0,427,427,0,17,101,81,123,64,1,1,3,3,1,3,8,3,6,12,427
55,"PRATHMIK VIDYALYA JHILO",531,408,0,939,293,213,0,506,506,0,17,89,38,65,216,9,21,6,5,5,1,3,16,8,7,506
56,"PRATHMIK VIDYALYA DODHHAR (UTTARI PARTH)",613,533,0,1146,386,300,0,686,686,0,19,323,49,43,178,5,3,4,8,2,2,5,12,11,22,686
57,"PRATHMIK VIDYALYA DODHHAR (SOUTH PARTH)",632,518,0,1150,340,257,0,597,597,0,28,322,36,42,68,6,10,3,10,2,8,4,18,10,30,597
58,"PRATHMIK VIDYALYA SIRSOTI",762,551,0,1313,300,189,0,489,489,0,21,179,21,165,76,0,3,3,5,2,1,4,3,3,3,489
59,"PRATHMIK VIDYALYA BIJPUR",426,368,0,794,173,133,0,306,306,0,10,116,38,69,38,0,1,1,2,1,1,1,5,3,20,306
60,"KEN‍DRIYA VIDYALYA RIHN‍DANAGAR BIJPUR ROOM N0- 1",640,485,0,1125,283,185,0,468,468,0,15,306,55,33,28,1,1,1,2,1,1,0,2,4,18,468
61,"KEN‍DRIYA VIDYALYA RIHN‍DANAGAR BIJPUR ROOM N0- 2",621,428,0,1049,240,140,0,380,380,0,11,280,26,26,17,2,0,2,4,0,0,5,3,2,2,380
62,"KEN‍DRIYA VIDYALYA RIHN‍DANAGAR BIJPUR ROOM N0- 3",751,519,0,1270,214,158,0,372,372,0,6,244,30,66,18,0,0,0,4,0,1,0,1,0,2,372
63,"KEN‍DRIYA VIDYALYA RIHN‍DANAGAR BIJPUR ROOM N0- 4",804,497,0,1301,305,201,0,506,502,0,5,366,37,64,15,1,0,1,13,1,0,0,0,2,1,506
64,"KEN‍DRIYA VIDYALYA RIHN‍DANAGAR BIJPUR ROOM N0- 5",614,457,0,1071,198,129,0,327,327,0,0,151,18,61,43,0,0,0,52,0,0,0,1,0,1,327
65,"KEN‍DRIYA VIDYALYA RIHN‍DANAGAR BIJPUR ROOM N0- 6",649,446,0,1095,179,112,0,291,291,0,1,150,15,42,41,0,0,0,38,0,0,0,1,0,3,291
