"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMEETA SINGH","2 - PAWAN PANDEY","3 - FEROZE VARUN GANDHI","4 - SHAKEEL AHMED","5 - GIRISH LAL","6 - DR. NAFEES AHMAD","7 - PITAMBAR NISHAD","8 - RAM MILAN","9 - MOHD SHAMIM","10 - SHIV SHANKAR","11 - SHAILENDRA PRATAP SINGH","12 - SARTAJ KHAN","13 - BRIJESH KUMAR","14 - VARUN GANDHI","15 - VIJAY","16 - None of the Above","Total Votes Secured"
38,"P.P. RANEPUR",190,172,0,362,114,117,0,231,231,0,5,91,122,6,0,0,0,0,0,0,4,0,0,2,1,0,231
39,"P.P. MUSTFABAD SARAIYA KATCH N0. 1",734,633,0,1367,415,398,0,813,800,0,59,190,249,273,3,1,2,4,2,0,1,4,9,11,1,4,813
40,"P.P. MUSTFABAD SARAIYA KATCH N0. 2",768,626,0,1394,422,391,0,813,813,0,341,209,182,50,2,1,1,2,2,1,0,0,6,6,1,9,813
41,"P.P. PALIYA GOLPUR KATCH NO. 1",741,614,0,1355,377,343,0,720,720,0,150,131,177,217,8,4,1,1,2,0,3,4,2,9,5,6,720
42,"P.P. PALIYA GOLPUR KATCH NO. 2",574,483,0,1057,319,276,0,595,590,0,121,172,143,56,8,3,46,0,1,1,10,6,5,7,12,4,595
43,"P.P. BERAMARUFPUR KATCH NO. 1",700,605,0,1305,435,406,0,841,841,0,186,184,245,184,2,3,1,2,4,1,3,1,4,6,3,12,841
44,"P.P. BERAMARUFPUR KATCH NO. 2",376,317,0,693,247,211,0,458,430,0,266,13,107,52,1,1,0,0,1,0,3,0,4,6,1,3,458
45,"P.P. DHATURAHA",489,437,0,926,285,300,0,585,585,0,323,96,99,25,0,2,2,2,4,1,6,0,5,3,2,15,585
46,"P.P. MAKHDOOMPUR KALA",576,539,0,1115,379,364,0,743,743,0,340,130,120,126,1,3,4,0,5,1,1,2,0,6,0,4,743
47,"TRILOCHAN SHATRI INTER COLLAGE KATGHARAPATTI KATCH NO.-1",592,525,0,1117,302,292,0,594,500,0,112,49,159,217,5,5,1,2,1,2,1,4,5,14,9,8,594
48,"TRILOCHAN SHATRI INTER COLLAGE KATGHARAPATTI KATCH NO.-2",389,372,0,761,182,204,0,386,279,0,110,20,190,49,0,0,0,0,0,0,1,1,2,7,2,4,386
49,"TRILOCHAN SHATRI INTER COLLAGE KATGHARAPATTI KATCH NO.-3",702,667,0,1369,359,383,0,742,742,0,66,320,236,85,3,3,1,1,1,2,2,1,2,6,6,7,742
50,"TRILOCHAN SHATRI INTER COLLAGE KATGHARAPATTI KATCH NO.-4",235,214,0,449,143,158,0,301,301,0,67,33,121,51,3,1,0,0,0,1,5,0,1,11,3,4,301
51,"P.P. AMRETHU DADIYA KATCH NO. 1",545,459,0,1004,300,323,0,623,523,0,59,311,173,56,1,2,1,1,0,3,3,0,3,4,5,1,623
52,"P.P. AMRETHU DADIYA KATCH NO. 2",654,566,0,1220,355,315,0,670,670,0,65,169,223,194,1,2,0,0,2,0,4,2,1,5,1,1,670
53,"P.P. RAMPUR KHURD",460,404,0,864,254,284,0,538,538,0,9,273,212,22,0,0,1,0,3,1,4,0,3,6,3,1,538
54,"P.P. KAKNA",836,772,0,1608,467,529,0,996,926,0,37,368,308,226,3,3,2,3,2,2,5,3,12,12,6,4,996
55,"KANYA P.P. MALIKPUR NONRA KATCH NO. 1",731,604,0,1335,469,368,0,837,527,0,62,164,497,76,2,7,1,2,0,2,3,4,5,9,2,1,837
56,"KANYA P.P. MALIKPUR NONRAKATCH NO. 2",732,604,0,1336,412,388,0,800,800,0,24,184,311,210,8,6,2,2,3,2,7,2,7,21,5,6,800
57,"P.P. KARPI",586,514,0,1100,371,343,0,714,714,0,3,252,281,146,1,1,0,2,1,0,3,1,2,12,4,5,714
58,"P.P. HAMJAPUR PATHAN KATCH NO-1",593,525,0,1118,272,298,0,570,570,0,22,104,128,293,1,2,0,0,0,0,3,4,3,5,2,3,570
59,"P.P. HAMJAPUR PATHAN KATCH NO-2",316,303,0,619,167,205,0,372,372,0,3,155,42,155,1,0,1,0,1,0,1,0,3,6,2,2,372
60,"P.P. MALAPUR JAGDISHPUR KATCH NO. 1",727,671,0,1398,410,503,0,913,800,0,66,349,312,106,0,3,2,4,3,1,5,8,20,19,9,6,913
61,"P.P. MALAPUR JAGDISHPUR KATCH NO. 2",456,410,0,866,280,230,0,510,474,0,22,178,163,99,3,0,0,3,2,0,2,4,12,7,7,8,510
62,"P.P. ANDARAYPUR KATCH NO. 1",535,467,0,1002,344,310,0,654,654,0,6,231,329,50,2,0,0,2,0,1,8,1,6,7,8,3,654
63,"P.P. ANDARAYPUR KATCH NO. 2",538,463,0,1001,301,301,0,602,602,0,3,102,348,103,1,1,1,2,2,0,3,2,9,19,3,3,602
64,"P.P. LAKSHMANPUR KATCH NO. 1",562,487,0,1049,360,326,0,686,625,0,23,270,198,167,2,1,3,1,0,1,2,1,7,6,3,1,686
65,"P.P. LAKSHMANPUR ATRIKT KATCH NO. 2",296,239,0,535,185,159,0,344,342,0,4,36,207,86,1,1,0,0,0,0,0,0,3,2,3,1,344
66,"P.P. LAKSHMANPUR KATCH NO. 3",272,232,0,504,168,180,0,348,334,0,33,88,183,9,1,3,0,1,1,2,3,1,0,15,3,5,348
67,"P.P. LAUHARA",445,439,0,884,292,281,0,573,573,0,4,109,104,333,5,1,1,0,1,0,4,1,2,4,2,2,573
68,"P.P. KOTIYA",258,212,0,470,184,123,0,307,307,0,11,102,107,79,1,0,0,0,0,0,1,0,0,3,1,2,307
69,"P.P. HEEGUNGAURA",532,463,0,995,335,265,0,600,600,0,22,149,276,123,3,3,1,0,3,0,2,0,0,15,2,1,600
70,"P.P. BUDHANA",587,519,0,1106,342,359,0,701,701,0,116,322,159,81,2,2,3,0,0,1,8,0,2,3,2,0,701
71,"P.P. GANAPUR HIRAWANPUR",226,223,0,449,123,148,0,271,221,0,141,46,62,2,1,1,0,0,1,1,11,0,1,1,1,2,271
72,"J.H.S. KATSARI KATCH NO. 1",851,701,0,1552,483,405,0,888,736,0,13,391,376,27,2,1,1,0,0,3,3,6,4,27,19,15,888
73,"J.H.S. KATSARI KATCH NO. 2",543,461,0,1004,240,227,0,467,300,0,16,95,288,39,1,0,0,2,0,0,2,0,4,10,4,6,467
74,"P.P. KATSARI 1",517,431,0,948,246,249,0,495,495,0,21,170,274,4,0,1,0,2,2,0,0,1,2,10,6,2,495
75,"P.P. KATSARI 2",507,441,0,948,243,273,0,516,516,0,17,73,337,39,2,5,3,1,1,1,1,1,10,22,2,1,516
76,"P.P. BARWARIPUR KATCH NO.1",455,404,0,859,215,219,0,434,434,0,17,19,365,14,0,1,0,1,0,1,11,1,0,3,0,1,434
77,"P.P. BARWARIPUR KATCH NO. 2",471,428,0,899,217,282,0,499,478,0,24,184,248,6,1,1,2,1,0,1,1,1,8,13,5,3,499
78,"P.P. BARWARIPUR KATCH NO. 3",714,663,0,1377,317,446,0,763,650,0,45,163,415,97,4,5,0,0,1,0,4,2,4,19,1,3,763
79,"P.P. KATGHARA NARAYANPARA",682,626,0,1308,394,399,0,793,565,0,23,373,277,63,2,6,1,1,3,1,6,3,8,16,6,4,793
80,"P.P. BACCHAPARA",314,283,0,597,188,208,0,396,396,0,16,154,178,28,1,2,0,0,1,0,2,0,4,5,4,1,396
81,"RAJKEEYA KANYA MADHYAMIK S. KADIPUR KALA KATCH NO. 1",528,484,0,1012,338,267,0,605,605,0,13,141,303,130,0,0,0,1,0,0,4,0,3,6,3,1,605
82,"RAJKEEYA KANYA MADHYAMIK S. KADIPUR KALA KATCH NO. 2",705,652,0,1357,408,389,0,797,797,0,13,223,275,263,2,1,0,0,1,0,2,2,3,6,2,4,797
83,"J.H.S. KADIPURKALA KATCH NO. 1",614,544,0,1158,422,303,0,725,725,0,10,137,271,280,1,0,0,0,1,0,3,4,4,7,6,1,725
84,"J.H.S. KADIPURKALA NAYA BHAWAN KATCH NO-1",384,315,0,699,229,190,0,419,419,0,15,75,188,133,1,0,0,0,0,0,2,0,0,5,0,0,419
85,"P.P. KADIPURKALA KATCH NO. 1",368,325,0,693,173,160,0,333,330,0,9,33,227,48,0,0,0,1,0,0,2,1,1,8,0,3,333
86,"P.P. KADIPURKALA KATCH NO. 2",595,544,0,1139,407,246,0,653,653,0,16,79,472,64,1,0,1,0,0,0,4,0,5,8,1,2,653
87,"P.P. RANIPUR KAYASTH KATCH NO. 1",671,630,0,1301,400,390,0,790,787,0,58,222,418,58,2,0,0,0,1,3,2,0,3,10,7,6,790
