"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMAR SINGH","2 - BABULAL","3 - RANI PAKSHALIKA SINGH","4 - SEEMA UPADHYAY","5 - ASHOK KUMAR","6 - PEETAM SINGH","7 - PITAM SINGH","8 - PANKAJ KUMAR SHARMA","9 - MANIK","10 - MUNNA LAL","11 - MEGH SINGH","12 - ROHAN SINGH","13 - LAXMI","14 - VIJAY SINGH KUSHWAHA","15 - ANIL KUMAR","16 - AMBEDKARI HASNURAM AMBEDKARI","17 - KHEMRAJ SINGH","18 - DIWAN SINGH","19 - NATHOLI","20 - BRAJENDR SINGH","21 - MAHAVIR SINGH SOLANKI","22 - RAKESH SINGH DHANKAR","23 - RAM KUMAR DIXIT","24 - RAM BRAJ YADAV","25 - SHOBHNA BAUDDHA","26 - SATISH KUMAR","27 - SANTOSH KUMAR","28 - SEEMA DEVI","29 - None of the Above","Total Votes Secured"
1,"PRA.VI. SONIKHERA",712,506,0,1218,362,238,0,600,112,0,13,185,175,191,3,0,4,1,0,1,1,1,1,2,2,6,0,1,2,1,0,1,1,3,0,0,3,0,2,600
2,PRA.VI.KODARI,130,100,0,230,90,56,0,146,146,0,1,52,16,62,1,0,0,2,0,0,0,0,1,0,0,1,1,1,0,1,0,1,2,2,0,1,0,1,0,146
3,PRA.VI.SINGRAWALI,614,446,0,1060,369,237,0,606,578,0,11,285,43,248,2,0,0,1,0,0,0,0,0,0,0,1,0,1,2,2,1,0,3,1,0,1,3,0,1,606
4,PRA.VI.SHAHGANJ,332,268,0,600,221,195,0,416,416,0,2,159,60,155,1,0,0,3,0,0,0,0,1,5,5,4,2,4,1,1,0,0,0,2,0,1,4,3,3,416
5,PRA.VI.GARIMOHAN,804,657,0,1461,540,398,0,938,934,0,5,483,237,147,3,1,1,1,0,1,1,2,6,14,2,3,0,5,3,1,1,1,3,2,1,3,4,4,3,938
6,PRA.VI.JAGATUPURA,305,297,0,602,180,181,0,361,361,0,2,183,51,91,2,0,0,5,2,1,1,1,0,8,2,1,1,0,1,0,0,0,2,1,1,3,1,1,0,361
7,"PU.MA.VI.BASAI JAGNER K.N.1",574,436,0,1010,255,155,0,410,410,0,27,265,57,20,1,0,0,1,0,0,0,0,1,3,4,7,1,7,5,0,0,0,0,1,1,0,3,3,3,410
8,"PU.MA.VI.BASAI JAGNER K.N.2",636,487,0,1123,279,189,0,468,442,0,18,227,67,122,2,0,2,1,0,0,0,0,3,2,7,3,3,0,0,2,0,1,0,4,1,2,1,0,0,468
9,"PRA.VI.BAG KA PURA",483,371,0,854,264,176,0,440,139,0,3,129,36,234,2,0,1,0,0,0,2,0,3,1,0,1,2,3,1,4,0,0,1,2,0,6,7,2,0,440
10,PRA.VI.KANSPURA,527,442,1,970,318,226,0,544,542,0,73,196,32,188,2,1,0,1,0,0,1,0,3,3,8,2,3,3,7,3,2,2,1,2,0,1,7,2,1,544
