"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - GHANSHAYAM ANURAGI","2 - BRIJLAL KHABRI","3 - BHANU PRATAP SINGH VERMA","4 - VIJAY CHAUDHARI","5 - GANGASINGH","6 - JAYRAM","7 - DALCHANDRA ANURAGI","8 - MANOJ KUMAR","9 - RAJKUMAR","10 - RAMNARAYAN","11 - RAM SINGH","12 - None of the Above","Total Votes Secured"
1,BILAUND,466,354,0,820,209,79,0,288,280,0,106,103,66,3,0,0,1,3,2,0,0,4,288
2,"SULTANPURA JAGIR",252,174,0,426,88,41,0,129,129,0,61,57,8,1,0,0,0,0,0,0,0,2,129
3,JAYGHA,481,396,0,877,240,162,0,402,402,0,0,10,383,7,0,0,0,1,0,1,0,0,402
4,JAYGHA,606,483,0,1089,310,288,0,598,598,0,18,270,258,29,1,1,0,1,3,8,4,5,598
5,KARRA,176,125,0,301,84,63,0,147,147,0,60,49,26,5,0,0,1,2,1,0,0,3,147
6,"DIKAULI JAGIR",412,294,0,706,281,161,0,442,442,0,92,209,132,3,1,0,1,2,0,1,0,1,442
7,SIDDHPURA,267,222,0,489,167,115,0,282,282,0,38,78,143,7,0,0,6,1,1,3,1,4,282
8,"LAKSHMANPURA BADI BEND",178,157,0,335,105,99,0,204,204,0,5,181,13,0,0,0,0,0,0,0,0,5,204
9,BHAILAVLI,305,250,0,555,197,113,0,310,310,0,158,98,38,8,0,2,0,0,2,2,1,1,310
10,RITHAURA,321,264,0,585,185,143,0,328,328,0,20,181,118,4,0,0,1,1,0,1,2,0,328
11,"CHHOTI BED",126,111,0,237,107,98,0,205,205,0,2,191,6,1,0,0,0,0,0,0,4,1,205
12,"MIRJAPURA JAGIR",383,269,0,652,184,132,0,316,316,0,84,154,53,2,0,2,2,5,1,4,2,7,316
13,"MADAIYA ANGADELA",492,406,0,898,245,163,0,408,408,0,72,208,103,10,0,1,2,1,0,0,6,5,408
14,RATHAURANPURA,590,465,0,1055,296,215,0,511,511,0,75,232,178,11,1,1,2,3,0,2,1,5,511
15,HANUMANTPURA,390,296,0,686,207,120,0,327,327,0,114,40,169,1,0,0,0,1,0,1,0,1,327
16,NARAUL,577,433,0,1010,278,206,0,484,484,0,132,158,100,83,2,0,1,1,1,1,3,2,484
17,BHATPURA,309,257,0,566,160,130,0,290,290,0,2,261,8,11,2,1,0,0,0,2,2,1,290
18,KADAMPURA,292,218,0,510,181,145,0,326,326,0,33,266,14,4,1,0,1,0,0,0,3,4,326
19,KUSEPURA,297,237,0,534,180,153,0,333,333,0,31,293,5,0,2,0,0,1,0,0,0,1,333
20,"NINAVLI JAGIR",781,595,0,1376,421,305,0,726,726,0,200,73,406,12,2,0,2,3,5,3,3,17,726
21,"NINAVLI JAGIR",728,564,0,1292,403,329,0,732,732,0,119,351,239,9,4,1,1,3,1,2,1,1,732
22,KISHUNPURA,117,101,0,218,105,80,0,185,185,0,71,15,95,0,0,0,0,0,0,0,1,3,185
23,"RAJENDRA NAGAR RAMPURA",480,378,0,858,281,204,0,485,485,0,51,303,92,20,0,1,2,2,3,2,1,8,485
24,"SUBHASH NAGAR RAMPURA",695,530,0,1225,334,256,0,590,590,0,79,68,396,21,1,1,3,9,3,4,1,4,590
25,"SUBHASH NAGAR RAMPURA",418,350,0,768,218,185,0,403,402,0,75,33,266,18,0,0,2,2,1,2,2,2,403
26,"GANDHI NAGAR RAMPURA",741,567,0,1308,414,294,0,708,708,0,200,231,221,26,3,2,0,6,1,3,2,13,708
27,"SUBHASH NAGAR RAMPURA",506,420,1,927,265,219,0,484,484,0,27,363,62,3,1,1,3,2,1,4,5,12,484
28,"RAJENDRA NAGAR RAMPURA",446,379,0,825,216,185,0,401,401,0,39,237,100,20,0,0,0,1,1,0,3,0,401
29,"JAWAHAR NAGAR RAMPURA",477,347,0,824,278,179,0,457,457,0,57,32,333,24,0,0,0,7,0,1,1,2,457
30,"RAJENDRA NAGAR RAMPURA",534,448,1,983,256,187,0,443,443,0,60,111,244,13,2,1,0,0,0,4,3,5,443
