"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KUNWAR PUSHPENDRA SINGH CHANDEL","2 - PRITAM SINGH LODHI","3 - BISHAMBHAR PRASAD NISHAD","4 - RAKESH KUMAR GOSWAMI","5 - ATUL KUMAR PRAJAPATI","6 - ANIL KUMAR","7 - AVINASH KUMAR MISHRA","8 - KAILASH PRASAD NISHAD","9 - RAMESH PRAJAPATI","10 - RAMSAJIVAN","11 - VIVEK KUMAR","12 - SHRIPAL","13 - KIRAN","14 - PRAVESH KUMAR VYAS","15 - VIMLESH","16 - None of the Above","Total Votes Secured"
167,"P.M.V. CHAUKA R.NO-1",442,380,0,822,241,202,0,443,334,0,184,5,19,205,2,4,3,0,1,2,5,1,0,1,6,5,443
168,"P.M.V. CHAUKA R.NO-2",408,365,0,773,253,193,0,446,424,0,352,11,35,10,0,8,1,0,0,1,3,3,1,1,9,11,446
169,"P.S. BARENDA BUJURG",451,390,0,841,262,218,0,480,479,0,224,11,23,159,2,3,6,2,6,2,7,3,7,3,4,18,480
170,"P.S. GADO",465,356,0,821,267,196,0,463,98,0,176,58,65,127,1,4,3,0,1,3,5,1,1,3,5,10,463
171,"N.P.S. TELI PAHADI",735,581,0,1316,407,308,0,715,623,0,331,16,201,141,4,2,3,2,1,0,0,0,5,1,0,8,715
172,"P.S. GHUTAI  R.NO-1",559,499,0,1058,351,293,0,644,549,0,212,19,109,258,5,3,6,1,0,1,12,3,2,4,1,8,644
173,"P.S. GHUTAI  R.NO-2",292,251,0,543,196,165,0,361,338,0,170,7,145,12,2,0,0,1,0,1,0,2,2,7,5,7,361
174,"P.M.V. GHUTAI",271,220,0,491,195,104,0,299,98,0,87,76,92,27,0,1,2,0,0,1,1,1,3,1,5,2,299
175,"P.S. PIPRI",747,617,0,1364,419,346,0,765,761,0,327,89,86,194,3,8,6,1,1,1,13,2,5,4,8,17,765
176,"N.P.S. KANAURA",253,207,0,460,161,120,0,281,281,0,114,20,38,93,1,0,3,0,0,4,1,1,1,1,1,3,281
177,"P.S. GADAURA",264,221,0,485,175,155,0,330,320,0,127,48,64,66,0,1,4,0,1,1,2,4,1,0,2,9,330
178,"P.M.V.RURIKALAN R.NO-1",548,405,0,953,348,235,0,583,583,0,149,8,93,311,4,2,2,2,1,0,1,0,0,2,1,7,583
179,"P.M.V.RURIKALAN R.NO-2",512,410,0,922,299,233,0,532,532,0,243,68,138,71,0,3,4,0,2,0,1,0,0,0,1,1,532
180,"P.M..V. KANKUWAN",540,447,0,987,327,234,0,561,561,0,150,167,120,97,1,0,3,0,1,4,7,3,1,1,2,4,561
181,"P.S.. KANKUWAN",524,424,0,948,271,203,0,474,474,0,96,136,98,113,6,2,0,1,0,1,0,2,5,3,2,9,474
182,"G.P.M.V MAHOBKANTH E.P",709,570,0,1279,428,341,0,769,700,0,374,90,97,141,4,5,9,0,0,3,5,6,6,5,6,18,769
183,"G.P.M.V.. MAHOBKANTH W.P",292,272,0,564,180,141,0,321,309,0,172,33,23,74,0,3,0,0,1,1,3,2,2,2,1,4,321
184,"P.S. KHAIROKALAN",416,338,0,754,263,212,0,475,475,0,314,20,57,71,3,1,0,0,1,0,1,0,1,1,1,4,475
185,"P.S. BAMHAURI KURMIN",370,330,0,700,276,209,0,485,460,0,228,32,18,169,3,1,2,1,0,2,10,0,3,3,2,11,485
186,"P.S. BHOORA",360,279,0,639,264,159,0,423,423,0,157,107,27,87,5,2,2,5,0,1,3,2,4,0,8,13,423
187,"P.M.V. DHAWAR",525,450,0,975,308,226,0,534,380,0,174,5,180,153,2,0,7,0,0,0,4,0,0,1,4,4,534
188,"P.S. SATAURA",181,160,0,341,115,94,0,209,201,0,28,5,156,2,0,0,0,0,0,0,0,1,1,1,15,0,209
189,"P.S. BASARIA PANWARI",287,223,0,510,200,96,0,296,296,0,116,6,23,128,6,0,3,0,1,0,4,1,1,1,4,2,296
190,"P.S. BAHADURPURKALAN",544,454,0,998,361,312,0,673,673,0,339,20,108,172,2,4,3,0,0,2,5,2,2,1,6,7,673
191,"P.S. DIDWARA R.NO-1",613,517,0,1130,403,291,0,694,674,0,516,86,61,2,1,4,5,0,2,0,1,2,1,1,6,6,694
192,"P.S. DIDWARA R.NO-2",435,363,0,798,196,201,0,397,397,0,81,44,16,216,7,3,0,2,1,0,11,3,4,1,2,6,397
193,"P.M.V. DEVGANPURA",581,528,0,1109,338,288,0,626,552,0,211,46,164,167,2,1,2,1,2,2,5,3,3,2,4,11,626
194,"N.P.S. ALIPURA",352,305,0,657,227,190,0,417,401,0,281,25,68,29,1,0,6,0,0,0,0,1,1,0,1,4,417
195,"P.S. HAIWATPURA BRAMHNAN",152,135,0,287,93,83,0,176,176,0,49,15,14,87,2,0,0,1,0,0,1,0,4,0,2,1,176
196,"P.S. SARGPURA",135,110,0,245,83,78,0,161,145,0,20,2,4,124,2,1,0,0,1,0,0,2,3,0,1,1,161
197,"G.G.I.C. PANWARI R.NO-1",784,682,0,1466,463,366,0,829,1,0,348,51,79,315,2,2,4,2,2,2,3,1,5,4,3,6,829
198,"G.G.I.C. PANWARI R.NO-2",466,395,0,861,248,204,0,452,422,0,219,33,62,123,0,1,2,1,0,0,0,1,4,1,5,0,452
199,"G.G.I.C. PANWARI R.NO-3",539,468,0,1007,387,262,0,649,15,0,243,74,222,76,0,1,0,0,0,0,0,1,0,7,23,2,649
200,"G.G.I.C. PANWARI R.NO-4",459,358,0,817,314,207,0,521,521,0,344,13,81,18,2,2,1,0,0,0,1,0,2,1,47,9,521
201,"G.G.I.C. PANWARI R.NO-5",442,398,0,840,247,210,0,457,448,0,242,32,64,89,3,2,2,1,1,1,3,0,1,0,11,5,457
202,"N.I.C. PANWARI-R.NO-1",424,386,0,810,248,189,0,437,436,0,168,84,136,34,3,2,1,1,0,1,0,0,0,0,6,1,437
203,"N.I.C. PANWARI-R.NO-2",447,378,0,825,252,201,0,453,407,0,195,59,139,42,2,1,1,1,0,0,4,1,1,1,2,4,453
204,"N.I.C. PANWARI-R.NO-3",396,340,0,736,216,177,0,393,390,0,185,112,75,13,2,0,0,0,0,0,1,1,0,0,1,3,393
205,"N.I.C. PANWARI-R.NO-4",455,367,0,822,243,192,0,435,435,0,139,21,59,182,1,0,2,1,0,0,2,1,1,0,23,3,435
206,"N.I.C. PANWARI-R.NO-5",486,392,0,878,241,193,0,434,434,0,272,17,32,86,9,2,1,0,1,0,2,2,1,2,4,3,434
207,"N.I.C. PANWARI-R.NO-6",694,628,0,1322,371,303,0,674,669,0,391,19,153,91,2,0,4,0,0,0,1,1,2,3,1,6,674
208,"P.S. RAHUNIYAPURA PANVARI",658,539,0,1197,342,271,0,613,535,0,215,20,23,323,1,0,2,0,0,0,1,2,6,0,15,5,613
209,"P.S. SIMARIA",369,287,0,656,195,131,0,326,326,0,141,63,17,88,3,0,0,1,0,0,0,3,2,0,6,2,326
210,"P.S. ULDAN",139,121,0,260,114,86,0,200,200,0,82,33,75,1,0,0,0,0,0,0,0,1,0,2,3,3,200
211,"P.S. LODHIPURA",334,293,0,627,250,210,0,460,450,0,232,16,59,132,1,1,1,1,0,1,4,0,2,1,6,3,460
212,"P.S. BIJRARI",527,440,1,968,297,238,0,535,535,0,121,41,212,128,2,2,3,1,0,0,3,3,3,6,2,8,535
213,"P.S. KILHAUWA R.NO-1",559,491,0,1050,317,245,0,562,190,0,276,100,40,103,3,3,1,1,0,1,7,2,1,6,3,15,562
214,"P.S. KILHAUWA R.NO-2",635,516,0,1151,371,303,0,674,614,0,299,65,65,195,7,2,2,1,1,1,7,3,6,5,5,10,674
215,"P.S. KILHAUWA R.NO-3",390,312,0,702,214,159,0,373,313,0,129,37,62,124,3,2,1,0,1,0,8,1,1,3,0,1,373
216,"P.M.V. BUDAURA",290,256,0,546,196,170,0,366,359,0,158,37,13,134,1,3,2,2,0,0,1,1,6,1,5,2,366
217,"P.S. GUGAURA",541,405,0,946,303,208,0,511,474,0,229,189,19,37,3,0,2,1,1,0,4,3,4,3,6,10,511
218,"P.S. KHEDA NANKARI",137,110,0,247,90,65,0,155,152,0,78,7,12,57,0,0,0,0,0,0,0,0,0,0,1,0,155
219,"G.P.S. MAHUWA ITAURA",408,347,0,755,293,224,0,517,500,0,272,103,99,17,0,1,1,0,1,1,2,3,3,3,4,7,517
220,"P.M.V.MAHUWA ITAURA",451,387,0,838,288,252,0,540,535,0,236,89,88,95,2,3,2,1,2,0,5,2,1,1,6,7,540
221,"P.S. CHATESAR",306,257,0,563,214,166,0,380,380,0,155,40,39,122,2,0,16,0,0,1,0,1,0,0,2,2,380
222,"P.S. KONIA",390,329,0,719,229,161,0,390,113,0,229,27,37,84,0,1,0,1,0,0,3,1,2,0,0,5,390
223,"P.M.V.. PAHADIA",710,631,0,1341,463,394,0,857,851,0,308,103,268,136,2,1,5,1,0,0,7,3,2,1,7,13,857
224,"P.M.V. ITAURA BUJURG",391,354,0,745,251,136,0,387,387,0,222,52,53,43,0,1,2,2,0,1,2,3,1,2,0,3,387
225,"P.S. KUNATA",393,363,0,756,281,239,0,520,22,0,306,32,53,118,1,0,1,0,0,0,2,0,3,0,0,4,520
226,"P.S. BYARJO",623,512,0,1135,408,297,0,705,663,0,275,281,43,68,2,8,4,2,0,1,3,1,1,2,4,10,705
227,"P.S. PARAPANTAR",437,379,0,816,245,183,0,428,367,0,85,213,38,35,29,1,1,1,0,1,3,3,1,4,11,2,428
228,"P.S. REWAI",689,562,0,1251,350,306,0,656,250,0,257,166,44,79,24,2,9,4,4,7,18,5,5,11,13,8,656
229,"P.S. TOLAPANTAR",670,586,0,1256,442,350,0,792,791,0,290,245,49,145,15,4,1,1,1,3,6,6,3,4,3,16,792
230,"P.M.V. DULARA R.NO-1",655,557,0,1212,415,320,0,735,735,0,390,108,32,130,3,10,5,2,3,2,10,8,3,4,4,21,735
231,"P.M.V. DULARA R.NO-2",370,322,0,692,191,150,0,341,341,0,88,136,6,81,1,2,3,1,1,2,3,1,0,4,10,2,341
232,"P.S. AMANPURA",352,305,1,658,219,178,0,397,69,0,112,122,59,89,0,6,0,1,0,0,3,0,2,0,1,2,397
233,"P.S. BHUJPURA",409,341,0,750,294,220,0,514,395,0,143,148,96,102,8,1,2,0,0,0,1,0,4,0,5,4,514
234,"P.S. SANTHAR",200,173,0,373,154,83,0,237,229,0,113,34,45,29,3,2,1,0,0,0,1,0,1,0,5,3,237
235,"P.M.V.. DADRI",640,522,0,1162,390,296,0,686,686,0,237,139,76,156,8,6,6,2,2,5,16,6,6,4,7,10,686
236,"P.S. GHATERA",349,307,0,656,241,197,0,438,7,0,196,47,39,133,1,5,4,0,1,0,5,2,2,0,1,2,438
237,"N.P.S. BIHAR",577,507,0,1084,417,310,0,727,725,0,303,111,136,137,6,1,8,2,2,0,7,1,2,2,3,6,727
238,"P.S. SATARI R.NO-1",666,537,0,1203,360,249,0,609,354,0,164,29,115,245,9,6,2,3,1,2,8,4,6,5,3,7,609
239,"P.S. SATARI R.NO-2",588,491,0,1079,344,276,0,620,620,0,391,10,126,74,1,1,5,0,1,1,1,0,0,0,5,4,620
240,"P.S. CHURARI R.NO-1",526,458,0,984,316,236,0,552,551,0,234,75,34,181,2,1,1,1,0,1,3,1,2,1,2,13,552
241,"P.S. CHURARI R.NO-2",386,330,0,716,234,158,0,392,392,0,158,95,69,55,1,1,2,0,0,0,1,0,2,0,7,1,392
242,"P.M.V. BHARWARA R.NO-1",800,658,0,1458,429,313,0,742,742,0,436,87,62,108,3,5,1,0,2,3,4,2,5,4,7,13,742
243,"P.M.V. BHARWARA R.NO-2",512,445,0,957,296,226,0,522,519,0,292,89,36,72,5,2,4,1,0,1,5,0,1,3,1,10,522
244,"P.S. BHARWARA",232,193,0,425,150,117,0,267,267,0,131,53,42,19,10,2,0,1,1,0,2,0,0,2,4,0,267
245,"P.M.V. PATHARI KADIM",176,136,0,312,130,122,0,252,251,0,124,95,18,8,0,2,0,1,0,0,0,0,2,0,0,2,252
246,"P.S. CHARUA",311,270,0,581,201,172,0,373,373,0,234,38,11,65,1,2,2,0,0,1,2,2,0,0,4,11,373
247,"P.S. RICHHARA",756,643,0,1399,424,330,0,754,705,0,182,78,155,290,2,2,5,0,1,2,9,4,5,1,10,8,754
248,"P.S. VIJAYPUR R.NO-1",609,498,0,1107,317,248,0,565,545,0,161,110,34,211,13,2,3,1,2,0,2,5,5,3,4,9,565
249,"P.S. VIJAYPUR R.NO-2",334,295,0,629,242,171,0,413,413,0,204,70,64,55,0,4,1,0,0,0,2,3,2,1,2,5,413
250,"P.S. PANARA",283,245,0,528,186,134,0,320,316,0,102,19,40,141,2,0,3,0,0,0,5,1,1,0,1,5,320
251,"A.P.M.V. ANDWARA R.NO-1",552,432,0,984,303,241,0,544,544,0,277,68,99,76,3,5,2,1,1,0,4,1,0,1,1,5,544
252,"A.P.M.V. ANDWARA R.NO-2",285,238,0,523,202,149,0,351,351,0,123,78,119,11,0,2,1,0,3,1,2,1,2,2,3,3,351
253,"P.M,V,. BAGAUL",305,269,0,574,203,182,0,385,382,0,62,70,67,169,0,0,2,0,1,2,1,0,1,1,5,4,385
254,"P.S. BUDI",79,68,0,147,67,59,0,126,126,0,84,3,14,21,1,0,1,0,0,0,0,0,0,1,0,1,126
255,"P.S. BAURA",584,486,0,1070,361,292,0,653,653,0,246,18,147,160,36,3,6,0,0,3,6,3,9,5,5,6,653
256,"G.P.M.V. SUNGIRA R.NO-1",460,357,0,817,276,180,0,456,410,0,138,39,97,154,2,1,1,1,0,0,3,2,6,3,6,3,456
257,"G.P.M.V. SUNGIRA R.NO-2",404,386,0,790,260,232,0,492,492,0,113,70,152,118,1,2,2,2,0,0,5,2,1,7,9,8,492
258,"P.S.  SUNGIRA",665,585,0,1250,418,338,0,756,82,0,342,112,164,85,7,2,5,0,1,2,9,4,3,2,10,8,756
259,"G.P.S. SUNGIRA",655,582,0,1237,413,340,0,753,753,0,423,95,134,47,18,6,7,1,0,2,2,2,2,5,1,8,753
260,"P.S. GADHI SUNGIRA",611,521,0,1132,352,294,0,646,645,0,429,37,90,58,5,2,2,2,1,0,3,3,1,0,5,8,646
261,"G.P.M.V.  KULPAHAR R.NO-1",424,372,0,796,230,134,0,364,364,0,175,37,62,50,13,3,3,2,0,0,2,0,2,2,7,6,364
262,"G.P.M.V.  KULPAHAR R.NO-2",514,467,1,982,331,263,0,594,520,0,374,44,79,65,2,1,3,3,1,0,3,1,3,1,9,5,594
263,"G.P.M.V.  KULPAHAR R.NO-3",658,556,0,1214,369,318,0,687,684,0,460,64,61,65,4,2,9,0,2,0,4,2,1,4,3,6,687
264,"SANT VINOVA P.S. KULPAHAR R.NO-1",590,498,0,1088,354,288,0,642,610,0,363,91,36,105,5,2,5,2,0,0,2,3,2,1,17,8,642
265,"SANT VINOVA P.S. KULPAHAR R.NO-2",726,627,0,1353,493,310,0,803,700,0,282,82,46,369,4,2,4,1,0,2,3,1,0,0,1,6,803
266,"M.S. KULPAHAR R.NO-1",521,453,0,974,358,248,0,606,500,0,290,137,114,41,1,1,5,0,0,0,1,1,0,0,14,1,606
267,"M.S. KULPAHAR R.NO-2",378,324,0,702,234,178,0,412,315,0,200,38,89,59,1,0,10,1,1,0,1,0,2,3,5,2,412
268,"M.S. KULPAHAR R.NO-3",782,694,0,1476,473,399,0,872,850,0,661,95,55,32,0,2,10,1,1,0,0,1,1,1,3,9,872
269,"J.I.C. KULPAHAR R. NO-1",753,658,1,1412,403,331,0,734,734,0,228,205,180,57,2,3,5,1,0,0,2,1,1,2,43,4,734
270,"J.I.C. KULPAHAR R. NO-2",524,443,1,968,316,284,0,600,506,0,170,141,101,147,17,3,2,1,1,0,5,0,1,1,4,6,600
271,"J.I.C. KULPAHAR R. NO-3",508,420,0,928,314,250,0,564,520,0,169,68,121,160,8,0,3,1,2,0,2,1,0,1,23,5,564
272,"J.I.C. KULPAHAR R. NO-4",565,478,0,1043,321,257,0,578,379,0,258,60,86,106,38,5,3,1,0,0,2,0,5,5,6,3,578
273,"J.I.C. KULPAHAR R. NO-5",642,566,0,1208,350,307,0,657,650,0,172,151,191,90,4,3,3,0,1,2,1,0,1,3,28,7,657
274,"J.I.C. KULPAHAR R. NO-6",510,489,0,999,235,189,0,424,424,0,148,142,74,16,3,2,6,0,1,0,0,1,1,1,21,8,424
275,"P.S. SAILA KHALSA",228,197,0,425,164,132,0,296,296,0,96,12,109,48,5,1,1,0,0,0,2,1,2,0,16,3,296
276,"P.S. KAMALPURA",469,429,0,898,319,322,0,641,636,0,286,128,103,86,1,5,1,2,0,1,5,2,2,3,5,11,641
277,"P.S. ATARPATHA",256,227,0,483,171,154,0,325,301,0,124,5,68,99,4,1,6,0,0,1,2,1,6,4,2,2,325
278,"P.M.V. LADPUR R.NO-1",675,563,0,1238,428,333,0,761,200,0,528,111,54,16,3,7,4,3,3,0,3,2,4,3,2,18,761
279,"P.M.V. LADPUR R.NO-2",511,425,0,936,293,205,0,498,498,0,171,45,86,170,3,1,1,0,2,1,3,3,4,2,3,3,498
280,"P.S. MAUHARI",425,355,0,780,272,200,0,472,398,0,321,18,79,22,1,5,5,0,1,5,2,2,1,0,1,9,472
281,"G.P.S. MAUHARI",408,346,0,754,259,185,0,444,437,0,193,45,28,137,1,10,7,0,0,1,6,2,1,2,4,7,444
282,"P.S. BAMHAURI KHURD",383,368,0,751,271,218,0,489,489,0,197,146,31,68,6,5,4,1,1,3,5,5,3,2,5,7,489
283,"P.S. GURJA KHUDA",156,148,0,304,114,86,0,200,200,0,62,3,69,3,0,2,1,0,0,0,0,3,1,1,51,4,200
284,"P.S. SIRMAUR",467,419,0,886,7,8,0,15,14,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,15
285,"P.S. BHATEWARA KHURD",788,673,0,1461,475,390,0,865,865,0,331,43,163,199,60,8,7,1,6,2,7,4,4,11,7,12,865
286,"P.M.V. RAWATPURAKHURD",738,615,0,1353,475,370,0,845,845,0,102,17,418,256,1,4,8,0,0,1,11,1,3,5,16,2,845
287,P.S.KHAUNARIYA,210,183,0,393,174,142,0,316,316,0,28,24,232,6,1,0,0,0,0,0,2,0,2,6,11,4,316
288,"P.M.V.. THATHEWARA",346,298,0,644,234,195,0,429,429,0,31,0,262,111,0,1,1,1,1,0,9,2,1,2,3,4,429
289,"N.P.S. GORKHA-1",635,564,0,1199,410,348,0,758,744,0,333,63,188,113,3,3,1,0,1,2,2,0,0,3,43,3,758
290,"P.S. CHHEDIMAU",378,313,0,691,231,182,0,413,409,0,107,10,94,169,2,2,3,0,0,1,1,4,2,6,8,4,413
291,"P.S. RAMPURA KADIM",166,149,0,315,127,117,0,244,230,0,32,7,66,119,3,2,2,0,0,0,1,2,0,0,8,2,244
292,"N.P.S. LUHARI",511,430,0,941,366,269,0,635,634,0,187,45,134,217,0,1,5,2,3,4,6,2,6,5,12,6,635
293,"P.M.V. AKTHOHA ROOM NO-1",561,466,0,1027,354,249,0,603,54,0,328,77,54,69,25,4,2,5,1,3,4,5,3,2,6,15,603
294,"P.M.V. AKTHOHA ROOM NO-2",567,495,0,1062,340,259,0,599,474,0,160,61,89,218,11,1,6,2,2,3,9,7,5,4,7,14,599
295,"P.S. AKTHOHA",511,436,0,947,329,233,0,562,500,0,270,52,56,91,4,3,1,0,0,2,5,5,6,4,49,14,562
296,"G.P.S. GUDHA",587,506,0,1093,422,279,0,701,686,0,278,160,101,95,14,2,5,2,3,1,5,2,9,5,9,10,701
297,"K.S.K. GUDHA",594,523,1,1118,359,258,0,617,552,0,238,142,60,125,4,2,2,0,0,0,5,1,2,2,20,14,617
298,"P.S. GUDHA",609,524,0,1133,384,301,0,685,128,0,161,103,86,268,2,7,2,1,1,2,4,6,10,4,23,5,685
299,"P.S. BHATEWARAKALAN ROOM NO -1",624,523,0,1147,316,223,0,539,539,0,176,115,92,102,5,3,1,0,1,2,7,2,6,3,11,13,539
300,"P.S. BHATEWARAKALAN ROOM NO -2",487,417,0,904,280,173,0,453,98,0,211,84,91,23,14,1,2,1,0,1,4,5,6,2,6,2,453
301,"P.M.V. GAURHARI ROOM NO -1",603,490,0,1093,430,318,0,748,746,0,322,145,31,211,2,2,2,1,2,0,5,2,3,3,4,13,748
302,"P.M.V. GAURHARI ROOM NO -2",536,421,0,957,362,244,0,606,75,0,235,145,51,123,5,1,3,1,1,2,3,4,3,1,20,8,606
303,"G.P.S. GAURHARI",534,479,0,1013,389,316,0,705,703,0,495,84,47,20,4,0,16,1,6,0,2,4,4,4,5,13,705
304,"P.S. KARHARAKHURD ROOM NO -1",494,427,0,921,331,244,0,575,233,0,161,191,13,152,4,2,0,0,3,3,5,2,7,7,17,8,575
305,"P.S. KARHARAKHURD ROOM NO -2",430,361,0,791,233,163,0,396,233,0,165,84,9,73,1,1,2,0,1,1,0,4,5,1,41,8,396
306,"P.M.V. BAPHRETHA",712,612,0,1324,441,290,0,731,731,0,287,214,57,124,4,4,4,2,2,3,7,4,1,2,5,11,731
307,"P.S. ANGHORA ROOM NO -1",534,469,0,1003,362,283,0,645,98,0,274,85,78,157,11,6,4,1,2,2,2,3,7,2,5,6,645
308,"P.S. ANGHORA ROOM NO -2",490,435,0,925,300,188,0,488,36,0,159,135,67,87,7,1,3,0,0,0,1,4,3,2,5,14,488
309,"V.P.M.S. JARAULI ROOM NO -1",575,448,0,1023,305,211,0,516,423,0,191,81,45,169,2,1,4,5,2,1,1,4,6,0,1,3,516
310,"V.P.M.S. JARAULI ROOM NO -2",514,434,0,948,331,213,0,544,535,0,190,111,108,105,0,3,2,1,1,3,3,4,3,3,1,6,544
311,"P.S. BALLAY",302,230,0,532,180,123,0,303,296,0,212,29,18,32,2,0,1,1,0,1,0,1,1,1,3,1,303
312,"P.M.V. CHANDAULI ROOM NO -1",479,403,0,882,300,189,0,489,487,0,214,42,34,176,1,1,0,0,0,2,5,1,1,1,3,8,489
313,"P.M.V. CHANDAULI ROOM NO -2",412,353,0,765,234,172,0,406,406,0,211,30,64,85,1,1,0,0,1,0,2,1,1,2,2,5,406
314,"P.M.V. KUDAR",825,615,0,1440,490,312,0,802,10,0,305,172,99,159,2,5,8,1,1,3,9,5,9,1,13,10,802
315,"G.P.S. REWAI",662,551,0,1213,437,321,0,758,739,0,382,47,81,179,8,5,3,3,3,2,7,5,5,1,14,13,758
316,"P.M.V. REWAI",734,549,0,1283,401,273,0,674,587,0,364,12,93,122,5,6,4,2,2,3,6,8,4,6,12,25,674
317,"N.P.S. REWAI",488,419,0,907,263,206,0,469,449,0,288,17,38,97,3,3,3,2,0,0,1,3,0,2,10,2,469
318,"P.S. SANTOSHPURA",93,71,0,164,70,52,0,122,117,0,38,39,27,12,0,1,0,2,0,0,0,0,0,0,1,2,122
319,"P.S. SABUA",440,358,0,798,281,217,0,498,468,0,92,33,240,118,2,1,2,0,0,0,2,1,0,1,4,2,498
320,"P.S. GHUTVAI",55,46,0,101,48,36,0,84,81,0,17,47,14,4,0,0,0,0,0,1,0,0,0,0,1,0,84
321,"P.S. KUSARMA",201,174,0,375,138,101,0,239,153,0,32,105,28,67,0,0,2,1,0,0,1,0,0,0,2,1,239
322,"P.S. BAMHAURIKHURD",167,141,0,308,113,98,0,211,198,0,46,90,27,40,1,0,0,0,0,0,0,0,2,0,2,3,211
323,"N.P.V. SUDAMAPURI",125,106,0,231,78,67,0,145,120,0,37,8,19,75,0,1,2,1,0,0,1,0,0,0,0,1,145
324,"P.M.V. CHHANIKHURD",193,153,0,346,133,97,0,230,229,0,15,8,129,62,0,0,0,0,0,1,0,0,0,1,14,0,230
325,"P.S. KANERA",225,199,0,424,161,128,0,289,285,0,76,1,84,104,2,0,1,0,1,2,3,1,3,0,10,1,289
326,"P.S. NAUSARA",552,449,0,1001,352,273,0,625,600,0,206,30,41,318,4,2,3,2,3,1,3,1,4,0,3,4,625
327,"P.M.V. JATAURA",237,201,0,438,169,132,0,301,4,0,145,5,86,46,0,1,2,1,0,0,0,1,1,1,8,4,301
328,"P.S. NATARRA",376,304,0,680,253,190,0,443,442,0,185,19,137,71,2,3,2,1,1,2,2,2,2,4,4,6,443
329,"P.S. PANCHAMPURA",180,151,0,331,123,108,0,231,226,0,60,5,93,55,12,0,0,0,0,0,4,1,0,0,1,0,231
330,"P.S. KIRATPURA",416,374,0,790,283,218,0,501,477,0,231,10,87,115,31,1,1,0,2,0,3,0,6,4,5,5,501
331,"G.P.S. BAMHAURIKALAN",609,467,0,1076,338,237,0,575,572,0,327,14,128,62,23,10,4,0,0,0,0,0,0,2,3,2,575
332,"N.P.S. BAMHAURIKALAN",646,496,0,1142,409,287,0,696,694,0,319,16,123,192,4,6,3,4,5,0,6,3,0,3,5,7,696
333,"P.S. SHIVHAR",330,273,0,603,192,139,0,331,330,0,182,14,73,44,1,1,1,0,0,0,2,4,2,4,1,2,331
334,"P.S. BAMRARA",429,385,0,814,287,182,0,469,464,0,291,50,64,39,0,2,4,0,0,0,3,1,1,1,3,10,469
335,"K.J.H.S. BAMRARA",440,398,0,838,279,229,0,508,504,0,242,40,48,153,2,2,2,0,5,0,4,0,0,0,7,3,508
336,"N.P.S. IMILIADANG ROOM NO.-1",650,543,0,1193,392,284,0,676,676,0,157,25,268,122,22,2,4,2,2,2,3,2,3,5,47,10,676
337,"N.P.S. IMILIADANG ROOM NO.-2",248,209,0,457,142,124,0,266,264,0,80,0,49,92,9,1,1,1,1,1,0,2,1,0,23,5,266
338,"P.S. MAHARAJPURA",542,457,0,999,360,281,0,641,641,0,299,14,80,207,4,5,1,3,0,4,6,1,1,1,1,14,641
339,"P.M.V. SOHJANA",389,333,0,722,291,196,0,487,487,0,121,71,65,207,1,0,2,0,0,0,1,2,2,1,10,4,487
340,"P.M.V. ROSHANPURA",268,213,0,481,188,132,0,320,269,0,117,15,57,117,1,0,0,0,0,0,2,0,1,0,8,2,320
341,"G.G.I.C. CHARKHARI ROOM NO..-1",587,529,0,1116,378,283,0,661,565,0,419,33,77,91,2,4,1,1,1,1,7,2,5,2,4,11,661
342,"G.G.I.C. CHARKHARI ROOM NO -2",631,544,0,1175,359,302,0,661,645,0,216,60,112,217,8,2,1,1,1,2,9,2,4,4,10,12,661
343,"G.G.I.C. CHARKHARI ROOM NO.-3",405,348,0,753,238,196,0,434,402,0,273,13,61,57,5,1,6,2,1,0,3,0,1,1,3,7,434
344,"G.G.I.C. CHARKHARI ROOM NO.-4",388,339,0,727,209,170,0,379,297,0,252,8,15,75,7,0,11,0,0,1,2,1,1,1,4,1,379
345,"P.S. J.N. CHARKHARI  ROOM NO-1",830,666,1,1497,475,377,0,852,852,0,211,63,114,401,13,5,13,3,1,1,7,6,5,4,2,3,852
346,"P.S. J.N. CHARKHARI ROOM NO-2",580,484,0,1064,315,256,0,571,571,0,238,62,85,159,4,2,1,0,1,2,2,1,1,0,9,4,571
347,"U.P.V.T.C. CHARKHARI ROOM NO-1",583,498,0,1081,375,273,0,648,423,0,462,5,38,106,11,1,0,0,1,1,1,0,2,1,7,12,648
348,"U.P.V.T.C. CHARKHARI ROOM NO-2",486,435,0,921,277,173,0,450,28,0,212,9,90,119,3,0,2,0,0,2,1,2,4,2,1,3,450
349,"P.S. B.G. CHARKHARI ROOM NO-1",362,317,0,679,248,216,0,464,392,0,140,40,182,82,1,1,2,1,0,1,3,1,1,2,3,4,464
350,"P.S. B.G. CHARKHARI ROOM NO-2",500,433,0,933,326,286,0,612,601,0,221,23,127,227,3,2,0,0,0,0,1,0,1,1,3,3,612
