"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KUNWAR PUSHPENDRA SINGH CHANDEL","2 - PRITAM SINGH LODHI","3 - BISHAMBHAR PRASAD NISHAD","4 - RAKESH KUMAR GOSWAMI","5 - ATUL KUMAR PRAJAPATI","6 - ANIL KUMAR","7 - AVINASH KUMAR MISHRA","8 - KAILASH PRASAD NISHAD","9 - RAMESH PRAJAPATI","10 - RAMSAJIVAN","11 - VIVEK KUMAR","12 - SHRIPAL","13 - KIRAN","14 - PRAVESH KUMAR VYAS","15 - VIMLESH","16 - None of the Above","Total Votes Secured"
112,"G.P.S. NAKRA",601,487,0,1088,370,256,0,626,625,0,172,80,151,142,3,3,2,4,1,0,9,4,1,4,41,9,626
113,"P.S. KHAGARRA",223,171,0,394,154,116,0,270,252,0,164,17,39,26,0,2,1,1,2,0,0,0,1,1,8,8,270
114,"N.P.S. JAKHA",727,618,0,1345,468,351,0,819,769,0,469,74,110,117,1,5,6,2,1,3,8,2,5,3,1,12,819
115,"P.S. SERGARH",351,299,0,650,260,217,0,477,467,0,204,123,50,68,0,1,2,1,1,2,5,3,1,2,5,9,477
116,"P.S. TURRAMUHAR R.NO-1",579,432,0,1011,324,204,0,528,527,0,291,79,15,108,0,1,2,1,1,1,4,1,0,3,10,11,528
117,"P.S. TURRAMUHAR R.NO-2",479,368,0,847,290,181,0,471,464,0,267,106,25,21,1,2,2,1,4,0,1,0,4,2,23,12,471
118,"P.S. SALAIYA KHALSA",777,655,0,1432,393,465,0,858,854,0,467,30,140,150,2,1,7,3,2,3,8,5,3,4,9,24,858
119,"G.P.S. SYODI R.NO-1",732,617,0,1349,436,290,0,726,652,0,204,28,349,96,1,6,0,1,0,2,3,1,0,1,33,1,726
120,"G.P.S. SYODI R.NO-2",771,652,0,1423,497,317,0,814,814,0,295,29,190,233,0,7,12,1,1,2,11,8,4,4,11,6,814
121,"P.S. RAIPURA MAJRA SYODI",72,60,0,132,29,28,0,57,21,0,2,1,6,47,0,0,0,0,0,0,0,0,1,0,0,0,57
122,"P.S. GAUNGUDHA",303,242,0,545,210,132,0,342,185,0,138,129,39,25,1,1,1,0,0,1,0,0,3,0,3,1,342
