"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMBIKA SINGH","2 - BRIJ KISHOR SINGH","3 - RAM PRASAD CHAUDHARY","4 - HARISH CHANDRA  ALIAS  HARISH DWIVEDI","5 - ANAND RAJPAL","6 - PURUSHOTTAM PANDEY","7 - BHAGWANDAS","8 - RAM KARAN ALIAS R.K. GAUTAM","9 - SHIVPOOJAN RAJBHAR","10 - SITA RAM","11 - ARUN KUMAR","12 - KRISHNA  KUMAR UPADHYAY ADVOCATE","13 - RAM SHANKAR GUPTA","14 - None of the Above","Total Votes Secured"
1,"P.S. MAJHAMANPUR",625,424,0,1049,386,297,0,683,683,0,18,210,280,115,5,1,6,3,6,4,5,5,5,20,683
2,"P.S. MAJHAMANPUR",365,397,0,762,205,195,0,400,400,0,8,131,163,53,3,1,3,3,11,0,6,3,2,13,400
3,"P.S. DHANDHARIYA",505,419,0,924,324,270,0,594,570,0,21,195,169,153,3,3,5,6,1,5,7,5,5,16,594
4,"P.S. AILAKALA",734,657,0,1391,455,369,0,824,424,0,43,155,296,274,5,2,3,4,2,7,3,9,8,13,824
5,"P.S. MASHI",332,251,0,583,164,139,0,303,278,0,14,187,57,31,2,3,5,1,0,0,0,0,2,1,303
6,"P.S. BADHNI",466,411,0,877,294,262,0,556,556,0,12,212,226,95,1,1,4,1,0,0,1,1,0,2,556
7,"P.S. BELWARIYA JUNGLE",666,574,0,1240,379,289,0,668,668,0,10,94,336,170,3,2,6,2,4,4,8,8,6,15,668
8,"P.S. BELWARIYA JUNGLE",472,421,0,893,268,250,0,518,516,0,8,97,255,114,7,3,2,2,5,2,4,4,15,0,518
9,"J.H.S. BELWARIYA JUNGLE",884,693,0,1577,465,391,0,856,300,0,13,300,264,226,9,3,4,4,6,2,2,10,4,9,856
10,"P.S. KATYANAVDEEH",436,388,0,824,278,240,0,518,516,0,7,226,209,58,2,0,2,0,2,0,1,7,3,1,518
11,"P.S. RANIPUR BABU",475,438,0,913,312,289,0,601,175,0,16,286,171,111,4,0,0,0,3,1,3,1,1,4,601
12,"J.H.S. HALUWA NORTH BHAG",569,414,0,983,337,248,0,585,190,0,15,206,200,154,2,0,1,0,0,0,0,4,1,2,585
13,"J.H.S. HALUWA NORTH BHAG",396,418,0,814,210,205,0,415,380,0,9,134,116,146,2,1,1,0,0,0,1,1,1,3,415
14,"J.H.S. HALUWA SOUTH BHAG",80,84,0,164,41,48,0,89,89,0,1,29,18,38,0,0,0,0,0,1,0,1,1,0,89
15,"P.S. SAVANDEEH EAST BHAG",565,514,0,1079,321,271,0,592,592,0,7,189,198,172,5,0,1,4,3,2,1,2,2,6,592
16,"P.S. SAVANDEEH WEST BHAG",576,522,1,1099,392,292,0,684,628,0,7,210,359,94,3,1,1,3,1,1,1,0,1,2,684
17,"P.S. BALUA CHAUBE",419,382,0,801,262,238,0,500,8,0,8,280,95,94,3,0,2,0,1,2,2,5,1,7,500
18,"P.S. MANSOON NAGAR",495,442,0,937,332,282,0,614,612,0,16,362,101,112,6,4,1,1,1,0,0,4,1,5,614
19,"P.S. MANSOON NAGAR NEW BHAWAN",540,498,0,1038,371,245,0,616,16,0,13,211,179,173,7,3,2,4,10,1,3,2,0,8,616
20,"P.S. GONHA",697,608,0,1305,408,365,0,773,630,0,6,253,229,226,11,2,4,5,4,4,9,3,7,10,773
21,"P.S. CHHITHA SOUTH BHAG",572,470,1,1043,327,242,0,569,105,0,16,119,156,250,4,1,1,1,2,2,2,4,1,10,569
22,"P.S.CHHITHA NORTH BHAG",628,527,0,1155,348,278,0,626,97,0,9,153,100,321,8,3,4,4,2,1,4,1,4,12,626
23,"P.S. KACHHIYA NORTH BHAG",832,724,0,1556,406,388,0,794,700,0,22,290,208,214,6,5,7,3,9,2,4,3,4,17,794
24,"P.S. KACHHIYA PURANA BHAWAN",457,405,0,862,259,246,0,505,502,0,7,138,246,100,0,1,3,0,1,0,1,2,0,6,505
25,"P.S. MEHDIYA KHADHAK BAHADUR SHAHI",737,662,0,1399,419,396,0,815,814,0,28,183,310,236,18,3,3,2,6,0,3,9,2,12,815
26,"P.S. DENGRAHA EAST BHAG",688,541,0,1229,442,340,0,782,206,0,43,390,195,107,7,5,5,3,1,4,5,2,6,9,782
27,"P.S. DENGRAHA WEST BHAG",191,162,0,353,117,100,0,217,190,0,6,93,32,74,0,4,0,1,0,2,0,0,0,5,217
28,"J.H.S. KABLASIYA NORTH BHAG",590,466,0,1056,395,257,0,652,639,0,13,394,90,122,3,1,0,3,15,6,1,0,3,1,652
29,"J.H.S.KABLASIYA SOUTH BHAG",706,587,0,1293,455,333,0,788,788,0,11,494,173,72,3,0,3,3,3,0,3,6,4,13,788
30,"P.S. VISHUNPUR",568,448,0,1016,298,286,0,584,579,0,31,377,61,108,5,0,0,2,0,0,0,0,0,0,584
31,"P.S. SARDAHA SHUKL",258,223,0,481,123,143,0,266,245,0,7,130,12,106,0,1,2,1,0,0,0,0,5,2,266
32,"P.S. SARDAHA SHUKL",420,359,0,779,221,226,0,447,447,0,15,147,103,161,2,0,0,1,1,0,1,3,5,8,447
33,"P.S. BUDHAUVA",645,554,0,1199,305,346,0,651,616,0,13,340,165,117,2,0,3,1,0,1,2,0,4,3,651
34,"P.S. PAUNI JAPTI NORTH BHAG",848,708,0,1556,552,349,0,901,899,0,18,372,322,147,9,2,2,1,2,3,3,7,1,12,901
35,"P.S. PAUNI JAPTI SOUTH BHAG",771,639,0,1410,409,346,0,755,525,0,20,237,221,257,9,1,0,3,0,0,2,3,2,0,755
36,"P.S. BELWARAJA EAST BHAG",645,558,0,1203,398,378,0,776,776,0,11,470,70,205,5,3,3,1,2,1,1,0,3,1,776
37,"P.S. BELWARAJA WEST BHAG",496,441,0,937,318,290,0,608,62,0,49,159,236,140,6,1,5,4,0,2,2,1,2,1,608
38,"P.S. BARGADAHIYA",320,263,0,583,147,174,0,321,20,0,9,101,147,36,1,1,1,0,17,1,1,2,2,2,321
39,"P.S. DUHWA",834,733,0,1567,509,453,0,962,875,0,16,824,48,59,1,0,1,0,3,1,3,2,1,3,962
40,"P.S. GAUR",810,665,0,1475,625,414,0,1039,975,0,31,565,111,301,2,3,2,2,1,2,3,2,6,8,1039
