"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKSHAY YADAV","2 - ATUL CHATURVEDI","3 - TH. VISHWADEEP SINGH","4 - PROF. S.P. SINGH BAGHEL","5 - UPENDRA SINGH","6 - KHAJAN SINGH","7 - JAY PRAKASH","8 - RAKESH YADAV","9 - RAJENDRA PRASAD","10 - RAHAT AFROZ","11 - LAXMI","12 - LAKSHMI  NARAYAN","13 - SHAMSHER KHA","14 - MIRJA MUKARRAM BAIG","15 - RAJVEER","16 - None of the Above","Total Votes Secured"
1,"P.S KAKRAU",715,586,0,1301,580,426,0,1006,450,0,791,5,103,96,1,0,0,1,0,0,0,1,0,0,5,3,1006
2,"P.S.LALAU R.N.1",444,356,0,800,317,220,0,537,537,0,81,5,168,267,1,2,0,0,0,0,0,0,2,4,0,7,537
3,"P.S. LALAU ROOM NO. 2",521,424,0,945,380,297,0,677,542,0,200,4,169,282,2,0,1,1,0,0,0,1,3,3,4,7,677
4,"P.S. BENDI",365,291,0,656,297,211,0,508,455,0,151,2,63,285,4,0,0,0,0,0,0,0,1,0,2,0,508
5,"P.S. KHANGARAI R.N.1",507,394,0,901,358,219,0,577,533,0,123,1,234,210,2,0,1,2,0,1,0,1,0,1,0,1,577
6,"P.S.MA.KASHIRAM SAHARI AVASIYA GADI CHATRAPATI R.N.1",434,395,0,829,281,227,0,508,508,0,119,4,248,126,1,0,0,0,0,0,1,0,1,4,1,3,508
7,"P.S.MA.KASHIRAM SAHARI AVASIYA GADI CHATRAPATI R.N.2",426,437,0,863,221,226,0,447,442,0,37,4,322,69,3,0,1,1,0,0,0,1,0,4,2,3,447
8,"P.S.GADI BHUPAL",230,181,0,411,168,120,0,288,253,0,32,0,78,176,0,0,0,0,0,0,0,0,1,0,0,1,288
9,"P.S.BHIKANPUR SADHASUKH",413,360,0,773,398,332,0,730,164,0,702,0,3,23,0,0,0,2,0,0,0,0,0,0,0,0,730
10,"P.S.JALOPURA R.N.1",657,536,0,1193,497,385,0,882,863,0,641,5,15,203,2,0,1,0,0,0,0,0,2,3,1,9,882
11,"P.S.JALOPURA R.N.2",347,258,0,605,265,184,0,449,281,0,391,2,17,38,0,0,0,1,0,0,0,0,0,0,0,0,449
12,"P.S.ALAMPUR JARKHI",572,463,0,1035,407,303,0,710,658,0,559,5,15,89,0,0,0,30,0,0,0,0,1,0,2,9,710
13,P.S.DARGARPUR,240,195,0,435,229,176,0,405,7,0,369,1,9,19,0,0,0,1,0,0,0,1,1,0,0,4,405
14,"P.S.RAJA KA TAL NEAR JAIN TEMPLE R.N.1",529,445,0,974,460,339,0,799,706,0,734,1,0,54,0,0,0,2,0,0,0,0,0,0,2,6,799
15,"P.S.NAGLA SHALA R.N.1",515,396,0,911,399,273,0,672,672,0,275,2,229,150,3,0,0,0,0,1,1,0,1,1,2,7,672
16,"P.S.RAJA KA TAL NEAR JAIN TEMPLE R.N.2",579,479,0,1058,497,344,0,841,841,0,507,4,4,310,3,0,0,0,0,0,0,1,1,1,5,5,841
17,"P.S.RAJA KA TAL NEAR JAIN TEMPLE R.N.3",367,301,0,668,324,252,0,576,477,0,365,1,6,195,1,0,0,2,0,0,0,0,2,0,1,3,576
18,"JANTA V. ALINAGAR KENJARA R.N.1",611,505,0,1116,522,398,0,920,868,0,878,1,5,34,0,0,0,1,0,0,0,0,1,0,0,0,920
19,"JANTA V. ALINAGAR KENJARA R.N.2",583,484,0,1067,537,364,0,901,310,0,788,4,7,92,1,0,0,3,0,0,1,0,0,0,2,3,901
