"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KUNWAR RATANJIT PRATAP NARAIN SINGH","2 - RAJESH PANDEY URF GUDDU","3 - RADHE SHYAM SINGH","4 - DR. SANGAM MISHRA","5 - AKHAND","6 - AMEERUDDIN","7 - ARVIND","8 - KASHEEM ALI","9 - GOBARDHAN PRASAD","10 - JAHID","11 - BACHCHOOLAAL","12 - MARKANDE","13 - RAMDHANEE","14 - RAMPRATAP","15 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL PURAINI ROOM NO1",631,517,0,1148,319,295,0,614,14,0,294,167,68,54,2,5,0,1,4,1,2,4,3,3,6,614
2,"PRIMARY SCHOOL PURAINI ROOM NO 2",494,363,0,857,255,226,0,481,381,0,255,143,54,5,0,1,2,0,1,1,0,5,2,1,11,481
3,"PRIMARY SCHOOL PURAINI ROOM NO 3",570,458,0,1028,269,215,0,484,79,0,176,204,36,17,1,2,0,2,3,5,0,7,10,3,18,484
4,"PRIMARY SCHOOL PURAINI ROOM NO 4",485,417,0,902,288,158,0,446,40,0,76,191,118,26,3,3,3,2,2,3,1,3,5,3,7,446
5,"PRIMARY SCHOOL PURAINI ROOM NO 5",211,185,0,396,101,60,0,161,60,0,26,59,35,35,0,0,0,0,0,2,0,1,1,0,2,161
6,"PRIMARY SCHOOL BADAHRA LAXMIPUR ROOM NO 1",507,422,0,929,293,215,0,508,28,0,212,179,76,26,1,2,1,1,1,0,0,0,3,1,5,508
7,"PRIMARY SCHOOL BADAHRA LAXMIPUR ROOM NO 2",619,435,0,1054,326,285,0,611,101,0,146,98,145,181,3,2,3,0,3,1,0,4,9,5,11,611
8,"PRIMARY SCHOOL BADAHRA LAXMIPUR ROOM NO 3",746,586,0,1332,394,297,0,691,681,0,255,218,108,71,7,9,2,2,1,1,3,2,1,4,7,691
9,"JUNIYAR HIGH SCHOOL KURMAUTA ROOM NO 1",515,377,1,893,196,175,0,371,63,0,191,116,14,28,2,1,1,0,0,1,2,1,4,4,6,371
10,"JUNIYAR HIGH SCHOOL KURMAUTA ROOM NO 2",441,337,0,778,191,164,0,355,352,0,159,125,34,18,4,1,1,2,0,1,0,2,1,4,3,355
11,"JUNIYAR HIGH SCHOOL KURMAUTA ROOM NO 3",829,630,0,1459,394,304,0,698,180,0,319,163,29,153,2,4,5,0,2,1,3,3,1,4,9,698
12,"PRIMARY SCHOOL RAMNAGAR",396,333,0,729,216,226,0,442,142,0,112,145,86,69,3,1,1,1,1,2,2,7,5,2,5,442
13,"PRIMARY SCHOOL SIDHAWE ROOM NO 1",559,479,0,1038,282,249,0,531,525,0,132,249,73,52,1,3,0,0,0,0,1,8,3,2,7,531
14,"PRIMARY SCHOOL SIDHAWE ROOM NO 2",795,663,0,1458,370,375,0,745,40,0,235,231,106,114,6,2,1,2,1,0,2,26,7,5,7,745
15,"PRIMARY SCHOOL SIDHAWE ROOM NO 3",830,647,0,1477,434,351,0,785,280,0,97,285,77,282,11,1,7,0,0,3,1,3,5,2,11,785
16,"PRIMARY SCHOOL SIDHAWE BHADKULWA ROOM NO 1",375,272,0,647,169,118,0,287,80,0,10,137,40,76,1,2,1,1,1,0,2,2,4,5,5,287
17,"PRIMARY SCHOOL SIDHAWE BHADKULWA ROOM NO 2",571,455,1,1027,293,206,0,499,99,0,71,178,68,160,4,2,0,1,3,1,0,0,4,0,7,499
18,"PRIMARY SCHOOL SIDHAWE BHADKULWA ROOM NO 3",271,186,0,457,115,81,0,196,190,0,48,73,23,34,0,1,3,0,2,0,0,1,2,3,6,196
19,"PRIMARY SCHOOL PARSAUNA KHURD",603,501,0,1104,293,295,0,588,88,0,301,78,151,35,6,1,2,2,0,1,2,4,2,2,1,588
20,"PRIMARY SCHOOL CHAURAHI URF ANJHI",431,337,0,768,233,186,0,419,282,0,59,183,113,53,1,1,5,0,0,0,0,0,2,0,2,419
21,"PRIMARY SCHOOL PARWARPAR TOLA BANKATA ROOM NO 1",507,418,0,925,238,214,0,452,102,0,270,76,57,31,0,2,0,2,1,0,2,2,2,1,6,452
22,"PRIMARY SCHOOL PARWARPAR TOLA BANKATA ROOM NO 2",430,371,0,801,242,208,0,450,340,0,103,237,99,3,2,2,0,1,1,0,1,0,1,0,0,450
