"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DHARMENDRA PRATAP SINGH","2 - RAHUL GANDHI","3 - SMRITI ZUBIN IRANI","4 - GOPAL SWAROOP GANDHI","5 - CHHAYA SINGH","6 - ZAHIDA BEGAM","7 - BABU LAL","8 - C L MAURYA","9 - RAVI KUMAR","10 - RADHE MOHAN","11 - RAM ASREY","12 - RAM NEWAJ","13 - RAMSIDDH YADAV","14 - VASDEO","15 - DR. KUMAR VISHVAS","16 - VEDPAL SHASATRI","17 - MOHD HASAN LAHRI","18 - UMAKANT","19 - GIRIJA BAKS","20 - GANGESH KUMAR GUPTA","21 - JAGAT SINGH CHAUDHARY","22 - JITENDRA SINGH","23 - TULSIRAM","24 - DWARIKA PRASAD","25 - NARESH SINGH BHADAURIYA","26 - BHAGWAN DEEN","27 - MITHILESH KUMARI","28 - RAMESH CHANDRA","29 - RAM SAJIWAN","30 - LAL BAHADUR","31 - SHIV KUMAR","32 - SWAMINATH","33 - SONAM KINNAR","34 - SANJAY KUMAR","35 - None of the Above","Total Votes Secured"
1,MAGHHAGANW,751,657,0,1408,395,267,0,662,662,0,20,218,327,6,7,1,0,2,0,4,3,1,1,1,14,6,2,2,3,2,1,1,6,1,2,1,3,9,1,3,4,10,0,0,0,662
2,DAKKHINGANWKYAR,758,688,0,1446,405,356,0,761,761,0,52,320,306,8,4,1,1,4,0,0,2,2,6,1,6,4,5,6,6,2,0,1,5,2,2,0,1,6,1,0,0,4,1,0,2,761
3,"DAKIKHINGANW KYAR",781,735,0,1516,378,372,0,750,750,0,51,288,332,5,3,0,1,1,3,0,0,0,3,1,7,8,5,2,0,1,1,1,5,3,4,1,4,7,1,4,2,4,1,0,1,750
4,SHIWLI,656,627,1,1284,350,291,0,641,641,0,116,131,304,7,4,2,2,4,3,1,2,2,3,3,11,3,3,1,5,1,2,3,10,2,4,0,1,3,0,1,2,5,0,0,0,641
5,TENDUA,593,512,0,1105,263,257,0,520,520,0,46,233,199,2,1,0,0,1,0,0,0,1,1,1,4,5,1,1,0,1,3,0,2,1,1,1,2,3,1,0,0,2,3,2,2,520
6,TENDUA,430,380,0,810,223,186,0,409,409,0,7,93,291,5,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,409
7,SANSARPUR,588,499,0,1087,352,271,0,623,623,0,45,167,316,0,3,4,1,1,0,0,1,1,0,1,3,3,1,0,2,1,0,4,16,7,1,0,3,16,4,7,1,9,2,1,2,623
8,KHEMMAU,571,464,0,1035,332,301,0,633,633,0,30,132,364,10,9,1,0,1,1,1,3,3,1,7,2,20,5,1,3,1,1,0,10,2,1,2,0,4,2,2,2,7,2,1,2,633
9,KHEMMAU,518,432,4,954,280,237,0,517,517,0,12,212,223,6,6,1,0,2,0,1,0,1,0,0,3,7,5,3,4,0,1,2,1,2,0,0,2,7,5,6,1,3,1,0,0,517
10,.BOOBOOPUR,725,589,0,1314,350,296,0,646,646,0,85,280,185,6,6,2,0,1,0,0,0,1,2,0,7,8,5,1,1,1,2,4,4,2,4,0,3,7,3,3,9,7,2,1,4,646
11,BOOBOOPUR,701,636,0,1337,332,312,0,644,644,0,60,285,211,4,6,1,0,3,2,1,1,0,2,4,8,5,5,13,4,1,2,3,5,2,1,0,1,2,1,0,2,4,1,4,0,644
12,URERMAU,515,426,0,941,238,187,0,425,425,0,67,185,116,3,1,0,2,1,1,0,0,0,0,3,2,3,4,5,4,2,1,1,3,0,0,0,2,4,3,3,1,3,2,1,2,425
13,URERMAU,485,402,0,887,238,146,0,384,384,0,4,262,60,2,1,1,2,1,0,0,1,0,9,1,5,6,4,3,1,2,1,1,3,1,0,1,2,1,2,1,1,4,0,0,1,384
14,PALI,697,629,0,1326,395,349,0,744,744,0,92,305,253,8,6,1,0,1,1,0,0,1,1,1,5,6,7,1,2,3,1,7,7,4,0,1,2,10,0,3,1,9,0,2,3,744
15,PALI,515,399,0,914,250,180,0,430,430,0,74,255,72,1,0,1,0,2,1,3,1,0,2,0,1,4,3,0,0,1,0,0,1,0,0,1,2,0,0,1,1,3,0,0,0,430
16,"PURE BODHI PALI",428,344,0,772,218,170,0,388,388,0,16,241,78,2,0,0,0,0,0,1,0,1,1,0,16,2,1,6,1,0,1,2,3,1,0,1,0,3,4,1,0,6,0,0,0,388
17,TENWASI,508,435,0,943,260,210,0,470,470,0,91,166,182,4,2,0,0,1,0,2,1,0,0,0,4,0,3,0,0,0,0,1,5,2,0,1,1,1,0,1,0,0,0,0,2,470
18,NEWAJGARH,751,661,0,1412,311,264,0,575,575,0,99,275,136,7,3,3,0,4,1,2,1,0,1,0,3,2,2,1,1,1,0,2,7,3,0,1,0,3,2,1,3,7,2,0,2,575
19,NEWAJGARH,661,560,0,1221,300,235,0,535,535,0,46,209,244,1,5,0,0,0,1,1,1,0,1,2,10,3,2,0,0,0,1,1,4,1,0,0,0,1,0,0,0,1,0,0,0,535
20,KISHANI,499,375,0,874,201,214,0,415,415,0,74,271,26,0,2,1,0,2,3,1,0,1,0,1,9,6,3,2,2,0,0,0,1,1,0,0,0,3,2,1,1,2,0,0,0,415
21,KISHANI,412,349,1,762,146,126,0,272,272,0,1,218,11,0,0,0,1,0,0,0,0,0,0,0,24,1,0,0,1,0,0,0,1,0,1,0,1,5,2,3,0,2,0,0,0,272
22,KISHANI,846,701,0,1547,324,318,0,642,318,0,21,482,64,2,0,0,2,0,0,2,0,1,0,3,26,4,4,3,2,1,0,0,2,0,2,2,5,3,1,1,4,4,1,0,0,642
23,KISHANI,901,710,0,1611,456,344,0,800,344,0,87,292,293,1,2,6,0,1,3,1,1,3,4,5,12,4,3,3,3,0,12,8,7,7,2,2,8,5,4,3,0,14,3,0,1,800
24,NANDEE,497,385,0,882,219,210,0,429,429,0,16,227,64,2,6,0,1,1,1,2,2,0,0,3,62,8,1,0,2,1,1,4,2,0,1,2,2,8,2,1,1,4,0,1,1,429
25,NANDEE,421,386,0,807,187,201,0,388,388,0,33,248,44,1,1,1,0,1,1,0,2,0,1,3,25,7,1,2,0,1,1,0,1,0,1,0,0,4,1,3,0,4,0,0,1,388
26,BADALGARH,740,590,0,1330,366,293,0,659,659,0,62,513,36,3,1,0,0,1,1,0,2,0,2,1,12,4,6,1,0,0,0,1,1,0,2,1,1,1,0,0,3,2,2,0,0,659
27,"SHEKHPUR BHANDARA",533,444,0,977,210,238,0,448,448,0,9,265,78,3,4,0,0,1,0,1,2,1,3,4,26,4,6,2,2,0,0,2,3,1,1,0,2,8,1,3,2,3,4,3,4,448
28,MAKHDOOMPURKALA,777,651,0,1428,389,362,0,751,751,0,98,362,238,6,7,2,0,1,2,1,1,0,1,8,6,7,0,1,0,0,0,0,2,1,0,0,1,2,0,1,1,2,0,0,0,751
29,MAKHDOOMPURKALA,310,263,0,573,86,80,0,166,166,0,7,115,35,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,166
30,MAKHDOOMPURKALA,593,513,0,1106,289,236,0,525,525,0,26,305,142,3,4,1,1,0,0,1,0,1,0,0,1,1,6,1,0,0,0,4,3,1,0,1,6,2,1,2,1,5,3,1,2,525
31,MOHIUDDINPUR,440,326,0,766,255,207,0,462,462,0,89,198,138,5,3,0,1,1,0,1,0,1,0,0,4,0,4,1,0,0,0,0,2,1,0,0,1,1,1,0,1,0,2,5,2,462
32,VISHAMBHERPATTI,817,666,0,1483,434,387,0,821,821,0,98,313,333,6,3,1,0,5,0,3,2,4,4,6,17,5,2,0,2,2,0,2,1,2,2,0,0,2,0,1,0,4,0,0,1,821
33,BAKTAVERNAGAR,577,461,1,1039,230,202,0,432,432,0,51,269,34,1,0,0,1,2,1,0,1,0,1,2,8,3,4,3,2,3,1,2,4,2,1,1,4,7,1,3,1,2,8,4,5,432
