"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NEERAJ SHEKHAR","2 - BHARAT SINGH","3 - VIRENDRA KUMAR PATHAK","4 - SUDHA RAI","5 - AFZAL ANSARI","6 - AVADHESH VERMA","7 - COL RETD. BHARAT SINGH SHAURYA CHAKRA","8 - MANNU YADAV","9 - RAMJI","10 - RAMROOP","11 - SUCHIT GOND","12 - BHOLA NATH","13 - MANISH","14 - MANOJ","15 - SHESHNATH","16 - None of the Above","Total Votes Secured"
38,"SRI PRABHUNAYAN SINGH U.MA.VI.MADAHI",434,362,0,796,266,239,0,505,505,0,179,59,209,6,48,0,0,0,1,3,0,0,0,0,0,0,505
39,"P.P.KHAJURGAW (N.WING)",658,533,0,1191,415,320,0,735,2,0,63,416,163,6,59,1,12,0,0,1,0,1,4,5,2,2,735
40,"P.P.KHAJURGAW (S.WING)",662,586,0,1248,377,373,0,750,733,0,83,183,413,4,27,1,2,3,1,1,0,0,7,11,7,7,750
41,P.P.GEHUDI,540,444,0,984,263,233,0,496,496,0,126,55,71,8,216,1,0,1,0,5,2,2,3,1,2,3,496
42,"P.P.BELSADI (E.WING)",458,451,0,909,271,308,0,579,521,0,64,229,83,8,155,6,0,1,0,9,0,3,10,3,2,6,579
43,"P.P.BELSADI (W.WING)",506,452,0,958,288,292,0,580,500,0,18,115,355,14,63,1,0,1,0,2,1,1,3,4,0,2,580
44,"J.H.S.SINGERA (E.WING)",630,590,1,1221,302,380,0,682,678,0,201,158,68,5,201,1,2,1,1,8,0,5,7,10,6,8,682
45,"J.H.S.SINGERA (C.WING)",342,253,0,595,195,159,0,354,270,0,8,23,235,2,73,0,1,0,0,3,0,0,4,3,0,2,354
46,"J.H.S.SINGERA (W.C.WING)",811,660,0,1471,463,366,0,829,827,0,44,285,160,12,271,6,0,0,2,9,3,7,8,8,9,5,829
47,"J.H.S.SINGERA (W.WING)",792,676,0,1468,431,345,0,776,2,0,163,363,31,27,138,7,6,3,0,7,0,3,7,11,2,8,776
48,"SUBHASH H.S.S.GHARIHA (W.WING)",884,676,1,1561,474,403,0,877,78,0,395,326,26,11,99,2,7,0,0,3,1,1,4,0,1,1,877
49,"SUBHASH H.S.S.GHARIHA (E.WING)",710,567,0,1277,376,299,0,675,2,0,31,221,264,11,117,1,3,1,0,4,0,3,9,5,1,4,675
50,P.P.KASTUA,291,225,0,516,177,158,0,335,144,0,42,64,191,3,20,3,1,1,2,2,0,0,2,3,0,1,335
51,P.P.BASWARI,415,363,0,778,259,232,0,491,2,0,134,101,114,7,121,1,0,0,1,4,1,3,1,2,0,1,491
52,"DR.AMBEDKAR BAL HANS U.MA.VI.DHOTARI",436,348,0,784,198,190,0,388,9,0,120,145,105,1,10,0,1,0,1,1,0,0,0,4,0,0,388
53,"VIVAH GHAR SIURA  (DALIT BASTI )",709,631,0,1340,366,368,0,734,488,0,75,184,401,15,35,0,1,1,1,8,2,1,5,3,0,2,734
54,P.P.SIURA,518,406,0,924,256,281,0,537,537,0,231,66,117,16,82,2,2,0,2,3,0,4,4,4,2,2,537
55,P.P.SATANPUR,216,174,0,390,129,122,0,251,146,0,50,4,169,3,21,0,0,0,0,0,0,0,1,1,0,2,251
56,"P.P.RASULPUR  (W. WING)",324,270,0,594,157,140,0,297,13,0,134,13,10,6,125,2,0,0,0,2,1,1,1,1,1,0,297
57,"P.P.RASULPUR (E.WING)",629,551,0,1180,284,264,0,548,491,0,148,40,207,2,127,10,2,0,0,2,0,2,1,3,1,3,548
58,P.P.FARIDANPUR,410,369,0,779,276,250,0,526,516,0,123,41,256,6,87,2,3,0,1,0,0,2,1,0,0,4,526
59,J.H.S.BAHADURGANJ,445,374,0,819,255,218,0,473,40,0,137,70,226,12,11,0,2,1,0,3,2,0,1,3,2,3,473
60,"J.H.S.BAHADURGANG (W.WING)",635,528,0,1163,370,292,0,662,400,0,64,364,113,18,70,1,6,2,1,7,0,3,4,5,1,3,662
61,"P.P.BAHADURGANJ (N. WING)",724,584,0,1308,436,363,0,799,45,0,137,25,32,15,560,2,3,0,0,17,2,1,3,0,0,2,799
62,"P.P.BAHADURGANJ (S.WING)",481,428,0,909,310,281,0,591,591,0,39,66,29,16,430,0,2,0,0,6,0,0,2,0,0,1,591
63,"SUKHADEV PRA. J.H.S.SISHU MANDIR BAHADURGANJ (N. WING)",582,488,0,1070,343,311,0,654,2,0,81,245,37,24,250,1,3,0,1,3,0,0,5,2,0,2,654
64,"SUKHADEV PRA. J.H.S.SISHU MANDIR BAHADURGANJ (S.WING)",590,492,0,1082,346,302,0,648,286,0,29,280,13,15,255,2,8,0,2,21,1,2,7,5,2,6,648
65,"MADARSATUL MASAKIN BAHADURGANJ (W.WING)",778,696,0,1474,485,433,0,918,15,0,113,306,20,20,426,1,4,1,0,21,0,0,3,0,0,3,918
66,"MADARSATUL MASAKIN BAHADURGANJ (P.WING)",400,320,0,720,219,199,0,418,208,0,61,176,8,4,139,0,2,0,0,11,0,1,6,1,2,7,418
67,"MADARSATUL MASAKIN BAHADURGANJ (C .WING)",436,388,0,824,194,211,0,405,259,0,36,141,7,5,196,0,6,0,0,7,0,2,1,2,0,2,405
68,"KAN.P.P.BAHADURGANJ (E.WING)",519,446,0,965,281,236,0,517,4,0,49,237,21,15,180,3,4,0,0,2,1,0,4,0,1,0,517
69,"KAN.P.P.BAHADURGANJ (W.WING)",303,244,0,547,173,160,0,333,2,0,45,177,4,8,79,0,2,0,1,4,1,1,3,4,2,2,333
70,"MADARSA MA. AN. BAHADURGANJ (W.WING)",630,547,0,1177,328,304,0,632,602,0,106,237,3,10,265,0,4,0,0,2,0,0,4,0,1,0,632
71,"MADARSA MA. AN. BAHADURGANJ (E.WING)",678,577,1,1256,351,380,0,731,687,0,69,254,217,7,143,1,1,0,1,13,1,6,4,10,3,1,731
72,"SARAS.SHI.MAN.PURANIGANJ BAHAG.",614,548,0,1162,355,280,0,635,619,0,144,297,33,19,120,1,11,0,1,2,0,1,3,0,0,3,635
73,"P.P.RAMGAR (E.WING)",896,656,0,1552,440,368,0,808,760,0,106,97,15,5,149,2,3,0,3,412,2,1,5,0,3,5,808
74,"P.P.RAMGAR (C.WING)",257,238,0,495,133,144,0,277,204,0,48,52,43,6,91,0,1,0,1,26,2,4,3,0,0,0,277
75,"P.P.RAMGAR (W.WING)",510,442,0,952,277,232,0,509,509,0,102,249,105,13,33,0,1,0,1,1,0,0,1,0,0,3,509
76,"PAN. BHA.RAMGAD",635,557,0,1192,332,350,0,682,682,0,157,29,416,7,54,1,2,0,0,1,0,1,1,0,1,12,682
77,"P.P.SANEHUA (N.WING)",799,667,1,1467,415,375,0,790,105,0,65,467,94,19,103,0,6,0,1,7,1,2,14,6,4,1,790
78,"P.P.SANEHUA (S.WING)",730,590,0,1320,416,340,0,756,756,0,73,196,368,9,97,2,0,0,0,3,2,2,1,2,0,1,756
79,P.P.MAHADEVA,722,612,0,1334,395,379,0,774,761,0,158,437,83,10,70,1,1,0,0,0,2,1,2,9,0,0,774
80,P.P.MIRANPUR,408,338,0,746,231,228,0,459,59,0,119,208,93,1,12,1,5,0,1,0,0,0,2,8,5,4,459
81,P.P.DEWALI(E.WING),751,594,0,1345,381,330,0,711,584,0,183,290,169,14,31,3,3,1,2,1,1,0,4,7,0,2,711
82,P.P.DEWALI(W.WING),572,457,0,1029,285,257,0,542,42,0,111,195,125,13,72,2,1,1,0,4,0,1,6,5,1,5,542
83,"SRIMATI KESHARI DEVI SHI. S.DUDHAURA (N. ING)",480,428,1,909,227,213,0,440,412,0,31,245,117,9,27,1,2,0,0,2,1,0,0,3,2,0,440
84,"SRIMATI KESHARI DEVI SHI. S.DUDHAURA(S.WING)",395,301,0,696,192,173,0,365,100,0,36,204,79,9,18,1,1,0,0,2,1,2,3,5,1,3,365
85,"J.H.SCHOOL ASANA (N.WING)",598,543,0,1141,364,360,0,724,107,0,172,221,180,19,89,5,3,0,0,3,0,2,3,11,4,12,724
86,"J.H.SCHOOL ASANA (S.WING)",442,378,0,820,218,216,0,434,117,0,30,235,93,9,29,2,1,1,0,4,2,5,10,5,4,4,434
87,"J.H.SCHOOL MAHIPALPUR (N.WING)",380,363,0,743,237,189,0,426,426,0,247,73,74,1,14,1,2,0,2,3,0,0,2,3,1,3,426
88,"J.H.SCHOOL MAHIPALPUR (S.WING)",492,441,0,933,315,298,0,613,613,0,296,146,91,5,41,4,1,0,2,3,4,2,6,6,1,5,613
89,"P.P.BHADASA R.N.1",518,460,0,978,291,283,0,574,428,0,143,208,99,8,104,0,0,1,0,4,1,1,1,1,1,2,574
90,"P.P.BHADASA R.N.2",469,386,0,855,259,253,0,512,35,0,24,216,187,10,67,1,1,0,1,1,0,0,1,3,0,0,512
91,P.P.MOHIUDDINPUR,382,295,0,677,223,197,0,420,100,0,31,158,20,10,169,1,1,1,1,5,1,2,6,4,3,7,420
92,"U.M.V.SIDHAUT (N.WING)",804,690,0,1494,443,389,0,832,768,0,198,332,170,8,91,1,3,0,2,7,2,1,9,3,1,4,832
93,"U.M.V.SIDHAUT (C.WING)",746,631,0,1377,374,342,0,716,2,0,103,229,304,8,43,2,4,1,0,1,3,2,2,5,5,4,716
94,"U.M.V.SIDHAUT (S.WING)",482,413,0,895,266,222,0,488,478,0,182,194,40,6,18,1,4,0,0,1,1,3,11,10,8,9,488
95,P.P.SHAHBAJAPUR,804,675,0,1479,552,355,0,907,2,0,411,285,134,36,20,1,5,0,1,0,1,0,5,2,2,4,907
96,"P.P.MUBARAKPUR KHEDU",317,242,0,559,184,153,0,337,2,0,84,95,106,10,26,1,1,0,0,0,0,1,3,6,1,3,337
97,P.P.TODAR,448,367,0,815,261,230,0,491,491,0,172,152,92,11,44,1,1,0,0,5,1,1,2,3,2,4,491
98,"P.P.MAHUARI KHAS (W.WING)",627,514,0,1141,297,288,0,585,585,0,188,279,34,5,30,3,0,2,5,8,2,0,8,10,7,4,585
99,"P.P.MAHUARI KHAS (E.WING)",398,354,0,752,225,232,0,457,240,0,24,171,227,5,9,12,0,1,0,2,1,0,0,0,0,5,457
