"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DHARMENDRA PRATAP SINGH","2 - RAHUL GANDHI","3 - SMRITI ZUBIN IRANI","4 - GOPAL SWAROOP GANDHI","5 - CHHAYA SINGH","6 - ZAHIDA BEGAM","7 - BABU LAL","8 - C L MAURYA","9 - RAVI KUMAR","10 - RADHE MOHAN","11 - RAM ASREY","12 - RAM NEWAJ","13 - RAMSIDDH YADAV","14 - VASDEO","15 - DR. KUMAR VISHVAS","16 - VEDPAL SHASATRI","17 - MOHD HASAN LAHRI","18 - UMAKANT","19 - GIRIJA BAKS","20 - GANGESH KUMAR GUPTA","21 - JAGAT SINGH CHAUDHARY","22 - JITENDRA SINGH","23 - TULSIRAM","24 - DWARIKA PRASAD","25 - NARESH SINGH BHADAURIYA","26 - BHAGWAN DEEN","27 - MITHILESH KUMARI","28 - RAMESH CHANDRA","29 - RAM SAJIWAN","30 - LAL BAHADUR","31 - SHIV KUMAR","32 - SWAMINATH","33 - SONAM KINNAR","34 - SANJAY KUMAR","35 - None of the Above","Total Votes Secured"
1,KOCHHIT,828,711,0,1539,496,442,0,938,938,0,201,249,292,7,3,2,1,4,3,2,1,0,6,4,46,8,4,1,0,2,3,3,12,3,2,4,8,16,20,5,5,18,2,1,0,938
2,KOTWA,450,395,0,845,206,257,0,463,463,0,3,303,114,1,1,0,1,0,0,0,0,2,0,0,30,0,2,0,0,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,463
3,ADHHANPUR,675,596,0,1271,362,340,0,702,702,0,146,221,286,3,4,2,1,4,1,1,1,1,3,1,5,4,2,0,0,1,0,0,2,4,0,1,3,2,1,1,0,1,0,0,0,702
4,ADHHANPUR,599,497,0,1096,323,276,0,599,599,0,123,146,267,4,1,0,0,0,1,0,1,0,1,3,8,5,3,1,1,1,1,2,9,2,1,1,4,1,0,4,0,5,1,1,1,599
5,ADHHANPUR,315,269,0,584,158,126,0,284,284,0,14,83,157,2,3,0,0,2,0,0,1,0,2,1,3,3,0,0,0,0,2,0,2,1,0,1,0,0,0,1,0,5,1,0,0,284
6,NARA,434,371,0,805,252,250,0,502,502,0,21,114,289,2,4,0,1,3,0,2,8,0,3,1,4,8,2,1,3,1,1,3,3,0,1,1,1,2,4,4,4,10,0,1,0,502
7,NARA,421,351,0,772,212,226,0,438,438,0,49,195,151,3,2,1,0,1,0,0,1,1,1,2,8,5,2,2,0,0,0,3,1,0,1,0,0,1,1,1,1,4,0,0,1,438
8,PUREJABAR,292,270,0,562,172,162,0,334,334,0,28,79,101,2,0,2,1,1,1,0,0,0,2,6,92,3,1,0,0,0,0,2,2,0,0,0,0,7,0,0,0,2,0,2,0,334
9,CHHATARI,265,215,0,480,168,145,0,313,313,0,38,175,58,4,0,0,0,2,0,0,0,0,1,0,10,5,0,1,0,0,1,2,2,1,1,0,1,2,0,0,0,8,1,0,0,313
10,"GAJANPUR DUWARIYA",389,340,0,729,200,199,0,399,399,0,62,91,209,1,0,1,0,2,1,2,1,0,2,1,2,2,3,0,2,0,0,0,2,1,0,2,1,1,1,2,3,2,2,0,0,399
11,"GAJANPUR DUWARIYA",687,581,0,1268,277,425,0,702,702,0,103,183,362,2,4,0,1,0,0,0,1,0,1,3,8,2,2,1,3,0,1,1,4,2,2,1,2,0,2,3,2,4,1,0,1,702
12,"DUWARIYA 2",824,720,0,1544,416,384,0,800,800,0,96,221,363,11,8,3,1,1,0,1,0,0,1,4,15,7,5,9,9,0,2,3,6,4,2,1,2,1,1,2,5,13,1,0,2,800
13,SADEEPUR,784,708,0,1492,439,384,0,823,823,0,188,122,440,4,7,1,4,6,1,0,1,1,0,4,4,10,4,0,3,1,0,2,3,1,0,2,2,0,4,3,0,3,1,0,1,823
14,SADEEPUR,492,421,0,913,281,239,0,520,520,0,42,196,225,4,5,0,1,1,0,0,1,1,0,2,2,7,1,0,0,1,0,1,3,3,0,3,5,5,2,6,1,2,0,0,0,520
15,BHAIDPUR,247,230,0,477,185,171,0,356,356,0,24,45,279,3,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356
16,NEWADA,786,693,0,1479,495,475,0,970,967,0,107,222,539,4,1,3,1,2,1,2,2,1,3,4,4,5,8,3,21,5,1,3,4,0,1,0,3,4,2,2,4,3,0,2,3,970
17,KADEEPUR,466,387,0,853,266,254,0,520,520,0,27,84,302,18,3,1,1,0,1,2,1,1,0,1,4,5,3,5,12,7,0,2,2,1,2,3,3,1,4,7,1,3,3,2,8,520
18,MAWAI,279,264,0,543,157,150,0,307,307,0,11,61,202,1,0,1,0,0,1,0,0,2,0,0,5,1,2,1,2,1,1,0,2,1,2,0,1,2,1,1,0,3,0,2,0,307
19,MAHESHPUR,457,404,0,861,255,208,0,463,463,0,29,175,217,4,2,0,0,0,2,1,0,2,0,2,8,1,3,3,0,1,1,2,0,1,1,0,4,1,0,1,0,1,0,1,0,463
20,GANGERWA,651,564,0,1215,348,312,0,660,660,0,71,424,108,1,0,0,0,1,0,0,2,0,1,2,11,1,1,0,4,1,0,4,2,2,3,1,1,2,0,5,0,4,2,3,3,660
21,"MATHA URF BHUSUNDA",768,671,0,1439,381,378,0,759,759,0,48,447,218,6,4,1,1,3,3,2,0,1,2,2,6,0,0,0,0,0,0,1,3,0,0,1,1,0,0,2,1,1,1,1,3,759
22,DADARA,448,389,0,837,263,197,0,460,460,0,16,318,100,1,0,0,0,0,0,0,4,0,0,1,3,1,1,1,0,0,1,1,1,1,1,0,0,2,1,2,0,2,0,2,0,460
23,DADARA,514,475,0,989,341,307,0,648,648,0,102,375,121,1,2,2,1,2,0,1,0,2,1,0,2,6,5,1,0,2,0,2,3,2,1,0,2,6,2,1,2,1,0,0,0,648
24,DADARA,756,673,0,1429,414,370,0,784,784,0,59,325,300,7,7,1,2,3,1,1,0,1,2,4,6,4,5,2,1,2,1,2,4,3,3,3,6,6,1,5,3,10,3,1,0,784
25,DADARA,717,627,0,1344,402,337,0,739,739,0,91,242,345,2,1,1,5,6,3,0,4,2,2,0,5,10,1,1,1,0,1,0,5,2,0,0,0,1,2,2,1,2,1,0,0,739
26,"PURE GAUTAM",616,528,0,1144,339,316,0,655,655,0,16,272,280,1,4,1,1,1,0,2,1,2,2,2,18,5,3,2,2,1,0,3,6,2,2,2,2,3,1,4,3,5,1,2,3,655
27,KODAILEE,294,247,0,541,200,162,0,362,362,0,28,143,130,2,6,0,0,2,0,4,0,1,0,1,4,0,2,4,1,3,1,6,6,4,1,0,2,5,0,4,0,1,0,1,0,362
28,"PURE VISHRAMRAY",435,371,0,806,252,220,0,472,472,0,20,164,270,0,1,1,0,0,0,3,0,0,0,2,1,2,1,0,0,0,0,0,1,0,0,0,1,0,1,2,0,1,0,0,1,472
29,CHANDEEPUR,559,467,0,1026,313,269,0,582,582,0,20,287,213,0,1,4,0,0,1,1,0,1,2,1,6,2,7,8,4,3,1,2,3,1,0,0,1,2,0,2,5,4,0,0,0,582
30,BHADDAUR,305,263,0,568,166,159,0,325,325,0,6,122,173,1,8,0,1,0,0,0,0,1,1,0,4,1,1,0,0,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,325
31,BHADDAUR,486,412,0,898,262,281,0,543,543,0,22,262,208,6,5,1,0,1,0,2,1,0,0,0,18,7,0,3,0,0,0,3,0,0,0,0,0,0,2,0,1,1,0,0,0,543
32,"PURE PARWANI",385,378,0,763,218,219,0,437,437,0,42,228,114,4,3,0,1,5,0,3,0,1,2,1,5,2,3,0,3,1,0,2,8,1,0,0,0,0,2,4,1,1,0,0,0,437
33,NIJAMUDDEENPUR,706,572,0,1278,455,348,0,803,803,0,24,275,409,11,9,4,0,1,3,2,2,1,7,6,6,3,3,2,1,1,0,4,5,0,1,1,4,6,1,1,2,2,2,0,4,803
34,KODAREE,217,198,0,415,164,162,0,326,326,0,8,154,51,2,0,1,0,0,0,0,1,0,2,2,83,5,2,1,0,1,3,0,0,1,0,1,0,1,1,3,0,3,0,0,0,326
