"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAPIL MUNI KARWARIYA","2 - KESHAV PRASAD MAURYA","3 - MOHD. KAIF","4 - DHARAM RAJ SINGH PATEL","5 - GYANENDRA KUMAR SRIVASTAVA GYANI BHAI","6 - GANESHJI TRIPATHI","7 - DAKKHINI PRASAD KUSHWAHA","8 - NATHU RAM BOUDHA","9 - PARVEZ ASHFAQUE SIDDIQUI","10 - SHIMALA SHRI","11 - SURENDRA KUMAR MISHRA","12 - ZIAOUL HAQUE","13 - DR. NEERAJ","14 - MITHILESH KUMAR","15 - MILAN MUKERJEE","16 - None of the Above","Total Votes Secured"
1,"KANYA JUNIOR HIGH SCHOOL PHAPHAMAU UTTERI BHAG 1",762,592,0,1354,373,267,0,640,640,0,233,225,61,91,5,3,2,3,2,5,1,0,0,2,3,4,640
2,"KANYA JUNIOR HIGH SCHOOL PHAPHAMAU UTTERI MADHYABHAG 2",711,563,0,1274,336,264,0,600,585,0,99,378,35,66,1,1,0,1,1,4,2,3,0,0,5,4,600
3,"RAJKEEY BALIKA INTER COLLEGE PHAPHAMAU BHAG 1",849,672,1,1522,377,300,0,677,662,0,44,485,35,91,1,0,0,0,0,5,2,5,1,0,5,3,677
4,"RAJKEEY BALIKA INTER COLLEGE PHAPHAMAU BHAG 2",594,460,0,1054,261,193,0,454,21,0,43,254,51,91,2,0,1,0,0,4,0,1,2,0,0,5,454
5,"RAJKEEY BALIKA INTER COLLEGE PHAPHAMAU BHAG 3",968,828,0,1796,420,344,0,764,764,0,41,607,49,51,0,0,1,0,0,12,0,0,1,0,0,2,764
6,"RAJKEEY BALIKA INTER COLLEGE PHAPHAMAU BHAG 4",807,632,0,1439,347,270,0,617,614,0,29,457,39,84,1,0,0,0,0,5,0,0,1,0,0,1,617
7,"ZILA PRISHAD PRIMARI PATHSHALA MATADEEN KA PURA PHAPHAMAU UTTARI  BHAG",840,686,1,1527,450,351,0,801,791,0,72,521,47,131,2,0,0,1,1,6,5,3,1,2,2,7,801
8,"ZILA PRISHAD PRIMARI PATHSHALA MATADEEN KA PURA PHAPHAMAU SOUTH BHAG",769,595,0,1364,225,168,0,393,38,0,41,286,22,37,3,1,0,0,0,2,0,0,0,0,1,0,393
9,"BAL NIKETAN INTER COLLEGE PHAPHAMAU BAZAR BHAG 1",535,364,0,899,338,186,0,524,521,0,22,374,74,41,0,1,0,1,1,5,0,1,0,0,2,2,524
10,"BAL NIKETAN INTER COLLEGE PHAPHAMAU BAZAR BHAG 2",611,456,0,1067,320,212,0,532,516,0,21,402,73,23,0,1,0,0,1,4,0,0,1,1,0,5,532
11,"BAL NIKETAN INTER COLLEGE PHAPHAMAU BAZARNORTH MADYA BHAG 1",978,737,0,1715,480,332,0,812,810,0,30,596,66,104,0,0,0,0,1,4,0,1,2,2,1,5,812
12,"BAL NIKETAN INTER COLLEGE PHAPHAMAU BAZAR SOUTHBHAG 1",600,476,0,1076,290,197,0,487,283,0,24,393,43,22,0,0,0,0,0,3,0,0,0,1,1,0,487
13,"BAL NIKETAN INTER COLLEGE PHAPHAMAU BAZAR SOUTH  BHAG 1",525,362,0,887,230,154,0,384,374,0,5,295,46,29,0,1,0,0,0,4,0,0,0,1,0,3,384
14,"MAHILA PALYTICNIC COLLEGE RASOOLABAD",676,527,0,1203,320,242,0,562,61,0,72,321,62,81,1,2,0,0,0,15,2,0,1,1,1,3,562
15,"MAHILA PALYTICNIC COLLEGE RASOOLABAD KAMRA N.2",529,417,0,946,229,190,0,419,382,0,15,358,24,11,0,0,0,0,0,2,1,1,0,0,1,6,419
16,"MAHILA PALYTICNIC COLLEGE RASOOLABAD KAMRA N.3",643,506,0,1149,254,173,0,427,411,0,48,288,30,49,0,0,0,1,0,9,1,1,0,0,0,0,427
17,"MAHILA PALYTICNIC COLLEGE RASOOLABAD KAMRA N.4",558,418,0,976,265,203,0,468,463,0,42,350,31,32,0,0,0,0,1,9,0,1,0,0,0,2,468
18,"MAHILA PALYTICNIC COLLEGE RASOOLABAD KAMRA N.5",520,393,0,913,196,149,0,345,310,0,45,231,26,33,1,0,0,0,0,3,0,2,0,0,0,4,345
19,"MAHILA PALYTICNIC COLLEGE RASOOLABAD KAMRA N.6",472,364,0,836,202,168,0,370,370,0,42,269,27,20,0,0,1,0,0,8,0,0,0,0,1,2,370
20,"MAHILA PALYTICNIC COLLEGE RASOOLABAD KAMRA N.7",623,448,0,1071,249,209,0,458,458,0,16,333,31,64,0,0,0,0,0,10,0,2,1,0,0,1,458
21,"MAHILA PALYTICNIC COLLEGE RASOOLABAD KAMRA N.8",406,310,0,716,161,122,0,283,163,0,20,226,17,8,0,0,0,0,0,7,1,0,0,1,1,2,283
22,"MAHRSHI PANTJALI VIDYALAY TELIYERGANJ",777,668,0,1445,350,281,0,631,578,0,192,168,75,179,0,0,0,3,0,3,3,2,2,1,0,3,631
23,"MAHRSHI PANTJALI VIDYALAY TELIYERGANJ",658,560,4,1222,302,224,0,526,502,0,26,273,90,123,0,0,0,0,0,14,0,0,0,0,0,0,526
24,"MAHRSHI PANTJALI VIDYALAY TELIYERGANJ KAMRA 3",752,578,0,1330,319,213,0,532,455,0,40,262,97,112,1,0,0,2,7,0,6,0,1,0,0,4,532
25,"MAHRSHI PANTJALI VIDYALAY TELIYERGANJ KAMRA 4",609,470,0,1079,242,185,0,427,390,0,23,238,46,98,0,0,0,0,1,9,1,1,3,0,1,6,427
26,"MAHRSHI PANTJALI VIDYALAY TELIYERGANJ KAMRA 5",843,650,1,1494,329,250,0,579,579,0,26,311,67,154,2,0,0,0,0,15,0,0,0,0,1,3,579
27,"MAHRSHI PANTJALI VIDYALAY TELIYERGANJ KAMRA 6",724,637,0,1361,251,237,0,488,481,0,212,192,30,32,0,1,0,0,2,13,0,3,1,0,1,1,488
28,"MAHRSHI PANTJALI VIDYALAY TELIYERGANJ KAMRA 7",792,649,0,1441,323,242,0,565,540,0,29,390,50,73,0,0,0,0,0,21,0,0,0,0,0,2,565
29,"M.L.CONVENT SCHOOL TELIYERGANJ KAMRA N.1",682,557,0,1239,312,225,0,537,518,0,79,291,22,125,1,0,1,0,0,10,1,1,0,0,3,3,537
30,"M.L.CONVENT SCHOOL TELIYERGANJ KAMRA N.2",797,621,0,1418,307,238,0,545,541,0,43,322,26,119,1,0,1,0,0,17,0,1,0,3,3,9,545
31,"M.L.CONVENT SCHOOL TELIYERGANJ KAMRA N.3",821,664,0,1485,333,251,0,584,578,0,67,358,25,118,1,0,0,0,1,3,1,0,2,2,1,5,584
