"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KANWAR SINGH TANWAR","2 - FARHAT HASAN","3 - RAKESH TIKAIT","4 - HUMERA AKHTAR","5 - KHAJAN SINGH","6 - BRAJLAL","7 - MAHESH","8 - RAKESH","9 - RAJPAL","10 - SARVESH KUMAR SAINI","11 - SYED KALBE RUSHAID RIZVI","12 - HUSNEIN RAZAA","13 - NARESH KUMAR","14 - NARESH CHAND","15 - SURENDRA SINGH","16 - None of the Above","Total Votes Secured"
1,"PRAKASH JUNIOR HIGH SCHOOL KISHANGAR",850,781,0,1631,617,569,0,1186,1121,0,1112,30,5,27,0,0,1,1,0,0,1,0,3,1,0,5,1186
2,"R.N. INTER COLLEGE ROOM NO.1",595,540,0,1135,395,306,0,701,680,0,293,83,4,313,0,0,0,0,0,0,0,1,0,0,1,6,701
3,"R.N. INTER COLLEGE ROOM NO.2",602,544,0,1146,404,397,0,801,704,0,647,37,2,102,1,0,0,0,0,0,2,1,1,0,0,8,801
4,"R.N. INTER COLLEGE ROOM NO.4",431,369,0,800,278,260,0,538,532,0,299,22,1,202,1,0,1,0,0,1,3,0,3,0,0,5,538
5,"R.N. INTER COLLEGE ROOM NO.3",538,444,0,982,341,274,0,615,615,0,411,31,0,163,1,0,1,0,0,0,1,0,1,0,2,4,615
6,"M.M. JANNAT NISHA GIRLS HIGH SCHOOL GHER PACCHEYA ROOM NO.2",502,444,0,946,205,373,0,578,533,0,46,59,4,460,2,0,0,0,0,0,2,0,1,0,0,4,578
7,"M.M JANNAT NISHA GIRLS HIGH SCHOOL  GHER PACCHEYA ROOM NO.2",714,604,0,1318,400,325,0,725,408,0,15,53,4,642,2,0,0,1,0,0,2,0,2,2,0,2,725
8,"PRIMARY SCHOOL LAKRA ROOM NO.1",644,576,0,1220,426,346,0,772,598,0,183,50,4,517,1,5,1,1,0,0,3,0,3,1,1,2,772
9,"PRIMARY SCHOOL LAKRA ROOM NO.2",454,458,0,912,204,188,0,392,384,0,15,57,2,291,2,1,0,0,0,0,14,6,0,1,0,3,392
10,"PRIMARY SCHOOL LAKRA ROOM NO.3",745,600,0,1345,460,354,0,814,811,0,316,47,10,409,2,1,0,1,1,0,11,7,2,1,1,5,814
