"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMAR SINGH","2 - BABULAL","3 - RANI PAKSHALIKA SINGH","4 - SEEMA UPADHYAY","5 - ASHOK KUMAR","6 - PEETAM SINGH","7 - PITAM SINGH","8 - PANKAJ KUMAR SHARMA","9 - MANIK","10 - MUNNA LAL","11 - MEGH SINGH","12 - ROHAN SINGH","13 - LAXMI","14 - VIJAY SINGH KUSHWAHA","15 - ANIL KUMAR","16 - AMBEDKARI HASNURAM AMBEDKARI","17 - KHEMRAJ SINGH","18 - DIWAN SINGH","19 - NATHOLI","20 - BRAJENDR SINGH","21 - MAHAVIR SINGH SOLANKI","22 - RAKESH SINGH DHANKAR","23 - RAM KUMAR DIXIT","24 - RAM BRAJ YADAV","25 - SHOBHNA BAUDDHA","26 - SATISH KUMAR","27 - SANTOSH KUMAR","28 - SEEMA DEVI","29 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL MUBARIKPUR R.NO.1",453,387,0,840,334,272,0,606,2,0,76,390,4,109,2,0,1,0,0,0,0,0,0,2,3,4,3,0,0,0,2,1,2,0,2,0,1,2,2,606
2,"PRIMARY SCHOOL MUBARIKPUR R.NO.2",278,254,0,532,212,176,0,388,103,0,14,285,7,57,3,0,0,2,0,0,0,0,1,2,8,2,1,2,0,0,0,0,0,1,0,0,1,1,1,388
3,"PRIMARY SCHOOL GARHI NAUHVAR R.NO.1",344,297,0,641,324,257,0,581,1,0,5,565,7,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581
4,"PRIMARY SCHOOL GARHI USRA R.NO.1",463,380,0,843,388,352,0,740,2,0,17,553,1,159,0,0,0,1,1,1,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,740
5,"PRIMARY SCHOOL BAGIYA SYAMLAL R.NO.1",443,379,0,822,330,309,0,639,1,0,5,36,12,551,1,2,2,1,0,1,2,1,0,1,1,2,0,0,2,7,2,0,0,2,1,0,3,1,3,639
6,"PRIMARY SCHOOL SINGECHA R.NO.1",494,430,0,924,332,250,0,582,3,0,3,370,87,72,0,1,0,2,1,0,0,1,5,2,5,2,0,4,2,2,0,1,3,2,1,3,4,3,6,582
7,"PRIMARY SCHOOL KURRACHITTARPUR R.NO.1",671,578,0,1249,455,277,0,732,124,0,3,515,118,32,0,0,0,4,0,0,0,1,2,7,7,7,0,4,0,3,0,0,7,1,3,2,9,3,4,732
8,"PRIMARY SCHOOL KURRACHITTARPUR R.NO.2",585,484,0,1069,369,262,0,631,2,0,6,343,123,102,2,2,0,0,0,0,3,2,3,6,3,6,0,2,1,1,0,1,6,2,1,1,3,7,5,631
9,"ANUP KANYA SCHOOL KURRACHITTARPUR R.NO.1",570,435,0,1005,371,250,0,621,21,0,9,234,66,261,3,1,1,3,0,2,0,1,0,0,0,2,2,3,3,3,2,0,4,4,2,5,5,2,3,621
10,"PRIMARY SCHOOL GAUHARPUR R.NO.1",478,414,0,892,356,253,0,609,1,0,36,410,29,91,2,1,0,5,0,0,0,0,2,3,11,1,3,2,2,0,0,0,4,0,0,3,2,2,0,609
