"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAPIL MUNI KARWARIYA","2 - KESHAV PRASAD MAURYA","3 - MOHD. KAIF","4 - DHARAM RAJ SINGH PATEL","5 - GYANENDRA KUMAR SRIVASTAVA GYANI BHAI","6 - GANESHJI TRIPATHI","7 - DAKKHINI PRASAD KUSHWAHA","8 - NATHU RAM BOUDHA","9 - PARVEZ ASHFAQUE SIDDIQUI","10 - SHIMALA SHRI","11 - SURENDRA KUMAR MISHRA","12 - ZIAOUL HAQUE","13 - DR. NEERAJ","14 - MITHILESH KUMAR","15 - MILAN MUKERJEE","16 - None of the Above","Total Votes Secured"
1,"AYURVEDIK SANSKRIT MAHAVIDYALAY AKODHI",502,438,0,940,280,250,0,530,530,0,106,404,8,2,1,1,0,1,0,0,2,0,0,3,1,1,530
2,"ZILA PARISHAD PRA0 PA0 BAHADURPUR",592,545,0,1137,286,312,0,598,1,0,212,308,11,43,4,2,1,0,1,3,0,2,0,1,3,7,598
3,"ZILA PARISHAD PRA0 PA0 ACHLUPUR",512,420,0,932,253,259,0,512,270,0,111,180,15,175,5,2,2,0,0,2,2,2,3,2,3,8,512
4,"GANDHI SMARAK INTER COLLEGE KALYANPUR UTTARI BHAG",881,726,0,1607,410,340,0,750,750,0,291,318,33,58,3,2,4,3,2,3,2,5,5,5,10,6,750
5,"GANDHI SMARAK INTER COLLEGE KALYANPUR UTTARI MADHYA BHAG",540,450,0,990,260,245,0,505,147,0,143,219,16,84,4,2,1,2,1,3,2,3,4,4,9,8,505
6,"GANDHI SMARAK INTER COLLEGE KALYANPUR UTTARI MADHYA BHAG 1",369,301,0,670,195,142,0,337,51,0,68,189,15,49,0,2,0,0,1,0,1,2,0,2,2,6,337
7,"GANDHI SMARAK INTER COLLEGE KALYANPUR PASCHIM BHAG",590,443,0,1033,306,222,0,528,7,0,150,201,54,84,1,7,1,3,2,8,1,3,1,0,4,8,528
8,"GANDHI SMARAK INTER COLLEGE KALYANPUR PASCHIM BHAG",333,292,0,625,146,149,0,295,27,0,129,109,8,36,0,1,0,1,0,1,0,2,1,0,1,6,295
9,"ZILA PARISHAD PRA0 PA0 UNCHDEEH BHAG 1",550,436,0,986,322,270,0,592,109,0,130,390,17,25,2,1,4,3,4,2,2,3,1,0,6,2,592
10,"ZILA PARISHAD PRA0 PA0 UNCHDEEH BHAG 2",445,375,0,820,207,210,0,417,417,0,101,208,12,82,2,1,1,0,1,1,0,2,2,2,0,2,417
