"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJAY RAI","2 - KAILASH CHAURASIYA","3 - NARENDRA MODI","4 - VIJAY PRAKASH JAISAWAL","5 - HIRALAL YADAV","6 - A.K. AGGARWAL","7 - ABHIMANYU SINGH PATEL","8 - ARVIND KEJRIWAL","9 - ARUN","10 - INDIRA TIWARI","11 - USMAN","12 - OM GURU CHARAN DAS ALIAS VIMAL KUMAR SINGH","13 - DEVI PRASAD NAND","14 - NARENDRA NATH DUBEY ADIG","15 - BACHCHELAL","16 - RAJESH BHARTI SURYA","17 - RAM LAKHAN GUPTA","18 - LALLAN","19 - SHIVHARI AGARWAL","20 - SANTOSH KUMAR","21 - HARI LAL","22 - HEMANT KUMAR YADAV","23 - AHMED SOHEL SIDDIQUI","24 - IFTEKHAR KURAISHI","25 - GHANSHYAM","26 - JOHNSON THOMAS","27 - NARENDRA BAHADUR SINGH","28 - PRAKASH PRASAD","29 - PRABHAT KUMAR","30 - PRAMOD KUMAR","31 - BACHCHAN PRASAD YADAV","32 - BASEER KINNAR","33 - MANOJ KUMAR CHAUBEY","34 - MAHENDRA MISHRA","35 - RAVINDRA KUMAR","36 - RAJIV KUMAR MISHRA","37 - RAJENDRA PRASAD GARIB DAS","38 - RAMPYARE SINGH","39 - SHIV KUMAR SHAH","40 - SATISH SHANKAR JAYASWAL","41 - SATYAPRAKASH SRIVASTAVA","42 - SARVESH KUMAR GUPTA","43 - None of the Above","Total Votes Secured"
11,B.P.P.ISWARWAR,555,448,0,1003,289,260,0,549,549,0,51,56,344,16,2,0,2,27,2,1,3,0,2,5,1,2,2,3,4,4,1,1,2,1,1,0,0,4,3,4,0,1,0,0,0,0,1,0,0,0,2,0,1,549
12,"P.P. MAJHIYAR",453,371,0,824,221,232,0,453,453,0,53,41,148,134,2,5,0,19,3,2,1,2,1,1,2,6,0,2,2,2,0,2,1,0,1,0,0,5,1,2,0,1,0,0,0,2,8,0,1,0,0,1,2,453
13,"P.P. BARADIH R.NO.1",717,569,0,1286,381,337,0,718,718,0,95,11,423,141,0,3,0,6,0,5,0,1,4,4,1,5,2,1,0,1,0,2,1,0,0,2,1,1,0,2,1,0,0,1,1,1,0,0,2,0,0,0,0,718
14,"P.P.BARADIH R. NO.2",599,445,0,1044,290,239,0,529,529,0,86,30,289,54,1,3,0,11,1,2,3,0,3,2,2,5,1,1,0,3,0,3,1,1,0,4,2,1,0,1,0,4,2,0,3,2,2,0,0,0,1,3,2,529
15,"K.P.P.KALIKA BAZAR",703,564,0,1267,399,325,0,724,724,0,212,8,423,16,0,1,0,25,0,1,1,3,1,0,0,3,1,1,1,1,1,3,3,1,0,1,1,3,0,1,4,3,1,0,1,0,0,0,0,1,2,0,0,724
16,"PANCHYAT BHAWAN HARIBHANPUR",750,582,0,1332,393,347,0,740,740,0,98,103,314,83,5,1,1,90,3,2,2,3,3,1,4,1,0,2,1,5,0,1,2,1,0,0,3,1,1,1,0,1,0,1,0,2,2,0,0,0,0,2,0,740
17,"P.P. ODARHA",460,383,0,843,245,252,0,497,497,0,16,20,175,246,2,2,0,1,1,0,0,0,1,1,0,2,2,1,1,4,1,1,1,0,1,0,1,2,4,1,0,3,2,0,0,2,1,0,0,0,0,1,1,497
18,"P.P. DOMAILA R.NO.1",456,368,0,824,240,214,0,454,454,0,9,18,271,106,3,1,1,21,0,3,0,0,1,1,0,2,0,0,2,0,2,0,3,1,0,2,0,1,0,1,0,2,0,1,0,0,2,0,0,0,0,0,0,454
19,"P.P. DOMAILA R.NO.2",480,399,0,879,300,263,0,563,563,0,15,77,291,46,1,4,3,67,1,4,1,1,4,3,0,7,1,3,1,5,1,0,2,1,0,2,1,2,1,1,0,6,0,1,0,0,0,2,1,0,2,5,0,563
20,"P.P. CHHATERIMANAPUR R.NO.1",704,618,0,1322,388,375,0,763,763,0,33,76,310,144,8,2,3,115,7,6,0,1,3,8,3,6,0,0,0,2,1,0,2,1,0,2,1,5,2,1,1,5,2,0,0,1,4,1,0,0,1,3,3,763
21,"P.P.CHHATERIMANAPUR R.NO.2",656,562,0,1218,381,326,0,707,707,0,25,61,459,22,1,2,1,52,1,11,1,0,2,3,2,10,2,0,2,2,3,6,3,2,2,3,2,1,1,4,2,10,0,0,1,0,4,0,0,0,1,2,1,707
22,"NAYAY PANCHAYAT THATHARA KA BHAWAN",603,504,0,1107,338,299,0,637,637,0,21,46,245,6,0,0,3,246,5,1,1,2,1,0,2,4,0,1,0,1,1,2,1,8,1,1,3,1,0,1,2,6,3,1,2,0,1,0,0,2,2,11,3,637
23,"P.P. CHITRASENPUR R.NO 1",747,628,0,1375,494,430,0,924,924,0,17,10,656,6,5,6,1,147,8,7,3,0,4,1,1,2,2,1,3,4,3,4,2,2,3,2,2,1,1,3,2,2,2,1,3,0,2,1,0,1,1,0,2,924
24,"P.P..CHITRASENPUR R. NO.2",817,712,0,1529,547,468,0,1015,1015,0,13,15,586,202,4,3,2,64,2,3,1,0,4,3,0,7,8,3,5,6,6,3,1,3,6,2,7,4,2,3,2,9,2,5,6,4,8,0,0,1,3,2,5,1015
25,"J.H.SCHOOL THATHARA R.NO.1",867,663,0,1530,535,468,0,1003,1003,0,29,95,582,15,4,3,4,148,12,6,1,1,1,4,1,10,4,1,4,1,1,4,2,9,5,6,5,5,4,3,2,6,3,1,2,1,2,1,1,2,1,11,0,1003
26,"J.H.SCHOOL THATHARA R.NO.2",688,568,0,1256,419,329,0,748,748,0,22,28,205,11,2,1,3,355,12,3,0,2,0,1,4,12,4,4,0,3,1,4,4,8,2,3,2,2,2,0,3,8,2,4,1,2,0,1,0,2,5,14,6,748
27,"J.H.SCHOOL THATHARA R.NO.3",529,407,0,936,349,269,0,618,618,0,8,5,417,15,12,4,6,96,6,3,1,1,1,1,1,5,0,0,1,1,1,4,1,1,2,2,0,1,3,1,0,1,0,1,1,0,0,0,0,1,2,10,2,618
28,"J.H.SCHOOL THATHARA R.NO4",631,564,0,1195,427,342,0,769,469,0,11,21,431,31,1,4,0,183,7,4,3,0,2,4,4,4,1,1,2,1,2,2,2,4,0,6,4,3,2,2,2,5,0,2,3,2,1,1,2,2,0,6,1,769
29,"J.H.SCHOOL THATHARA R.NO5",553,472,0,1025,361,335,0,696,696,0,27,74,303,135,6,5,1,98,3,2,0,3,0,3,1,3,1,3,1,1,0,1,0,6,1,3,2,2,0,0,0,2,3,1,0,1,0,0,1,0,0,2,1,696
30,"J.H.SCHOOL THATHARA R.NO.6",557,456,0,1013,369,311,0,680,680,0,9,20,320,159,9,4,1,87,7,3,1,1,4,0,1,6,1,3,1,2,2,0,2,3,2,2,3,2,0,2,0,1,2,2,0,2,8,1,0,1,1,1,4,680
31,"P.P. BHERHAHA (KATAIYA)",625,487,0,1112,262,250,0,512,512,0,105,8,37,221,3,0,0,57,3,1,0,1,2,1,2,7,7,3,4,4,0,2,2,1,1,1,4,2,1,2,3,5,3,1,0,3,9,0,0,0,2,2,2,512
32,"P.M.J.H.SCHOOL BIHARHA R,NO.1",500,443,0,943,272,232,0,504,504,0,24,213,199,28,1,2,0,23,2,0,1,0,2,0,0,0,1,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,504
33,"P.M.J.H.SCHOOL BIHARHA R,NO.2",659,538,0,1197,399,353,0,752,752,0,17,89,217,345,2,2,2,9,0,3,0,1,7,1,0,4,2,3,2,7,2,1,2,2,2,0,1,3,2,2,0,2,4,2,1,2,6,0,0,0,1,2,2,752
34,"P.M.J.H.SCHOOL BIHARHA R,NO.3",729,592,0,1321,410,349,0,759,759,0,5,206,189,262,3,1,1,17,1,3,0,1,3,0,1,2,0,1,3,1,0,4,1,3,1,1,2,2,2,3,2,3,2,1,2,0,14,4,5,0,2,3,2,759
35,"P.P. GUDIYA",894,716,0,1610,544,454,0,998,998,0,27,206,482,128,4,4,3,55,1,8,0,3,3,6,2,8,3,5,1,5,1,2,2,3,2,2,2,4,1,2,2,6,1,0,0,3,3,0,0,1,3,1,3,998
36,"P.P. LALPUR R.NO 1",723,595,0,1318,437,387,0,824,824,0,43,149,484,8,0,2,1,61,1,3,0,4,2,2,0,8,1,2,1,0,2,1,1,0,2,3,2,0,3,4,2,5,4,2,2,2,3,6,0,1,4,2,1,824
37,"P.P.LALPUR R.NO.2",446,392,0,838,250,244,0,494,494,0,30,3,333,93,4,2,0,4,0,0,0,0,6,6,2,3,0,1,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,494
38,"P.P. KANSRAIPUR",504,432,0,936,327,301,0,628,628,0,32,35,314,154,3,2,0,50,2,0,0,1,3,3,1,4,1,2,0,1,0,0,0,1,1,2,2,3,0,5,0,1,1,1,1,0,1,0,1,0,0,0,0,628
39,"P.P. MANKAIYA R.NO.1",854,678,0,1532,489,413,0,902,902,0,150,48,592,10,2,4,1,35,2,5,1,0,2,1,0,7,3,1,2,3,2,4,1,0,1,6,2,2,0,1,2,8,3,0,1,0,0,0,0,0,0,0,0,902
40,"P.P.MANKAIYA R.NO.2",413,351,0,764,229,215,0,444,444,0,45,9,353,17,1,2,0,7,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,444
41,"P.P.NEWDIYA R.NO1",793,640,0,1433,422,384,0,806,806,0,44,104,421,107,0,6,2,72,4,2,2,1,5,3,2,5,2,0,4,1,0,0,0,0,2,2,1,2,1,3,1,0,2,0,0,0,3,0,1,0,0,0,1,806
42,"P.P.NEWDIYA R.NO.2",711,606,0,1317,384,362,0,746,746,0,107,55,327,156,3,5,1,30,0,3,0,2,4,3,2,3,5,0,0,2,3,1,2,0,3,2,2,2,2,1,3,8,1,0,2,0,0,0,2,0,0,3,1,746
43,"P.P. JOGIYAPUR",586,496,0,1082,312,315,0,627,627,0,33,200,271,11,0,0,1,79,6,1,0,0,0,2,0,1,1,0,0,0,0,1,0,2,1,0,2,1,0,2,1,3,1,0,1,0,0,0,0,1,1,3,1,627
44,"P.P. KHALISPUR R.NO.1",653,522,0,1175,388,300,0,688,688,0,63,115,285,121,6,5,1,34,4,2,3,1,6,3,3,4,0,2,0,1,0,3,0,1,4,1,2,1,1,0,1,8,0,0,0,2,2,1,1,0,1,0,0,688
45,"P.P. KHALISPUR R.NO .2",551,427,0,978,310,240,0,550,550,0,55,29,356,54,1,0,0,28,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,1,3,1,1,0,1,0,0,2,3,1,0,3,2,550
46,"P.P.ADAMAPUR R.NO.1",564,461,0,1025,398,339,0,737,737,0,9,88,490,3,1,3,0,71,0,4,0,2,2,3,2,4,4,2,6,1,1,1,2,5,2,5,5,3,1,3,0,3,0,2,0,2,1,0,0,0,0,1,5,737
47,"P.P.ADAMAPUR R.NO.2",403,320,0,723,214,192,0,406,406,0,10,192,89,8,2,1,0,59,2,1,1,1,0,1,1,2,1,4,2,2,2,0,0,1,1,3,1,3,0,5,1,1,2,0,0,1,1,3,0,1,0,0,1,406
48,"P.P. AMINI R.NO.1",639,513,0,1152,363,335,0,698,698,0,16,15,475,23,0,3,3,66,3,3,1,2,2,3,1,10,0,3,1,2,1,4,0,2,2,6,5,1,0,3,1,8,13,3,2,1,0,2,2,1,3,3,3,698
49,"P.P. AMINI R.NO.2",766,622,0,1388,430,393,0,823,823,0,13,13,627,11,0,6,4,58,5,13,1,6,7,3,4,4,0,0,0,0,0,0,1,0,5,1,4,1,1,1,2,2,20,3,1,1,0,0,1,0,0,2,2,823
50,"P.P.AMINI R.NO.3",383,337,0,720,250,227,0,477,477,0,12,7,139,243,2,1,0,43,0,1,0,1,3,0,1,2,0,0,1,1,1,1,2,1,1,1,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0,1,1,477
51,"P.P. BANSHIPUR",520,422,0,942,387,282,0,669,669,0,18,170,391,4,2,4,3,25,0,5,1,0,2,4,3,7,2,1,1,4,1,0,1,4,0,3,2,1,0,2,2,2,0,1,0,0,0,0,0,1,1,0,1,669
52,"J.H.SCHOOL NAHWANIPUR",806,632,0,1438,421,384,0,805,805,0,26,72,210,17,1,3,2,348,20,7,1,2,5,1,3,7,3,1,1,3,2,3,1,10,2,7,1,2,2,5,2,4,1,4,2,1,1,2,1,1,3,9,6,805
53,P.P.NAHWANIPUR,710,558,0,1268,400,317,0,717,717,0,53,16,378,119,1,1,1,109,1,3,2,4,3,1,0,0,0,0,1,2,1,0,0,0,2,0,0,2,0,3,0,1,3,0,1,0,4,0,1,0,1,2,1,717
54,"P.P. BELAWA R.NO.1",551,414,0,965,257,236,0,493,493,0,19,55,196,43,0,3,1,141,0,3,1,1,3,0,0,2,2,1,1,1,0,0,2,2,2,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,3,3,493
55,"P.P. BELAWA R.NO.2",395,317,0,712,208,177,0,385,385,0,11,133,115,41,0,1,0,65,0,1,0,0,1,1,1,3,0,1,0,1,0,0,0,0,2,0,0,0,0,2,0,2,0,1,0,0,1,0,0,0,1,1,0,385
56,"P.P. SUILARA",315,287,0,602,192,204,0,396,396,0,1,9,166,194,2,0,2,3,0,0,1,0,2,5,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,396
57,P.P.PURENANDA,680,551,0,1231,331,337,0,668,668,0,14,173,248,123,1,6,0,32,1,8,1,0,5,2,0,6,3,5,4,6,1,2,2,0,1,3,2,1,1,3,0,5,0,0,2,0,2,0,0,0,1,1,3,668
58,P.P.SIKHADI,597,465,0,1062,252,263,0,515,515,0,29,108,298,32,2,1,0,9,2,1,0,0,0,0,0,4,2,2,1,2,0,1,0,1,2,1,2,2,1,0,1,1,1,1,0,0,1,2,1,1,0,2,1,515
59,"K.J. H.SCHOOL KHANDHAK",409,312,0,721,238,211,0,449,449,0,16,21,241,145,2,1,0,8,1,2,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,0,449
60,P.P.MILKIPUR,620,500,0,1120,315,329,0,644,644,0,9,114,250,171,2,5,1,3,1,1,0,1,2,3,5,12,1,1,0,1,2,3,2,1,1,5,4,6,3,5,1,6,1,0,1,1,3,3,1,0,1,3,8,644
61,"P.P.BARKI R.NO.1",737,600,0,1337,374,328,0,702,702,0,22,52,576,18,1,1,1,9,0,0,0,0,1,1,0,1,0,0,2,1,1,0,0,2,0,2,1,0,0,3,1,1,0,0,0,0,1,1,0,0,0,2,1,702
62,"P.P.BARKI R.NO.2",775,592,0,1367,444,355,0,799,799,0,25,310,302,21,3,4,1,63,0,2,1,2,3,2,1,7,4,5,1,2,5,2,4,2,1,2,3,2,1,1,2,1,2,0,3,0,4,0,0,0,0,2,3,799
63,"P.P. RAMPUR PRATHAM R.NO.1",1073,814,0,1887,642,561,0,1203,1203,0,49,42,963,60,2,3,0,40,0,1,1,0,1,5,0,4,1,1,3,1,2,2,0,3,0,3,2,3,1,1,0,2,1,0,1,0,1,0,0,0,0,0,4,1203
64,"P.P.RAMPUR PRATHAM R.NO.2",339,253,0,592,201,175,0,376,376,0,1,11,261,11,0,3,0,51,3,2,0,0,0,3,4,4,2,2,1,1,1,0,1,1,1,1,1,2,0,1,1,4,0,0,1,1,0,0,0,0,0,0,0,376
65,"P.P. SAKALPUR",753,626,0,1379,422,339,0,761,761,0,79,84,295,122,2,1,2,74,6,3,1,1,3,1,0,14,2,4,3,5,0,2,2,4,1,1,4,2,5,5,1,10,0,0,2,1,5,0,1,3,1,5,4,761
66,"P.P.LOHARADIH R.NO.1",502,431,0,933,294,264,0,558,558,0,35,61,342,49,0,2,1,48,0,2,1,0,1,2,0,3,0,0,0,0,2,0,0,1,0,0,1,2,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,558
67,"P.P.LOHARADIH R.NO.2",572,431,0,1003,334,271,0,605,605,0,24,121,250,84,1,2,0,74,1,0,2,2,2,4,2,2,1,0,2,1,1,2,2,2,1,1,2,3,3,1,3,2,0,1,0,2,0,0,0,1,0,3,0,605
68,"PANCHAYAT BHAWAN BARSATA",301,240,0,541,177,160,0,337,337,0,21,43,107,28,1,2,0,99,3,1,1,0,3,0,1,0,0,0,1,1,1,4,1,1,0,0,0,4,2,2,2,1,0,0,0,1,0,1,0,0,1,2,2,337
69,"PANCHAYAT BHAWAN BHARHARIYA",703,625,0,1328,413,379,0,792,792,0,65,28,362,141,4,2,4,112,4,3,2,1,2,1,3,5,0,0,1,1,3,1,2,8,3,2,2,4,0,4,3,1,3,0,0,1,3,1,0,2,0,2,6,792
70,"B.V. PURSHIV",679,526,0,1205,335,243,0,578,578,0,24,31,320,46,3,5,0,68,5,3,0,0,1,4,2,6,1,2,0,3,1,4,2,6,2,0,4,2,2,2,1,7,1,2,2,2,3,1,2,0,0,6,2,578
71,"P.P. BHIKHAMPUR R.NO.1",665,624,0,1289,380,347,0,727,727,0,179,13,408,70,0,2,2,24,2,1,0,2,1,1,2,1,1,0,1,0,0,1,0,1,0,0,0,2,1,1,2,4,0,0,1,1,1,1,1,0,0,0,0,727
72,"P.P.BHIKHAMPUR R.NO.2",803,650,0,1453,468,338,0,806,806,0,142,48,428,79,1,3,3,28,0,3,2,2,6,1,1,10,0,1,3,5,3,3,3,1,1,2,2,2,2,5,1,8,0,0,0,3,2,0,0,1,1,0,0,806
73,P.P.ARJUNPUR,459,387,0,846,263,256,0,519,519,0,60,39,328,29,0,1,0,18,1,1,0,0,1,3,0,4,1,2,2,1,1,0,1,1,1,3,1,3,1,4,1,2,0,0,0,2,1,0,1,1,0,2,2,519
74,"AGANBADI KENDA ARJUNPUR",370,329,0,699,216,190,0,406,406,0,40,18,206,81,1,3,2,39,2,4,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,406
75,"P.P. DILAWALPUR R.NO1",490,384,0,874,277,236,0,513,513,0,63,17,221,156,3,5,0,12,1,1,0,0,1,3,1,3,1,0,3,4,1,1,0,3,1,0,1,2,0,0,2,2,0,0,1,0,2,0,1,0,0,1,0,513
76,"P.P.DILAWALPUR R.NO.2",445,370,0,815,211,189,0,400,400,0,62,18,264,17,0,1,0,8,1,1,0,0,0,1,0,0,2,0,1,2,0,2,1,2,1,0,3,2,0,0,3,1,1,1,1,1,2,0,0,0,0,1,0,400
77,"P.P. MATUKA R.NO.1",870,730,0,1600,537,457,0,994,994,0,23,56,644,24,6,7,4,154,7,6,2,8,1,4,5,3,2,0,2,1,1,1,0,2,4,6,5,2,0,1,2,6,0,0,1,0,0,0,0,0,0,3,1,994
78,"P.P. MATUKA R.NO.2",582,468,0,1050,365,336,0,701,701,0,32,61,390,52,7,1,2,74,4,5,1,1,4,4,1,10,3,1,1,0,1,1,2,4,3,4,1,3,3,4,5,4,3,0,1,0,1,0,1,0,3,0,3,701
79,"P.P. RAMDIH",607,495,0,1102,361,297,0,658,658,0,32,60,429,18,3,5,1,64,0,3,0,2,6,5,0,7,0,1,2,3,2,1,0,0,0,3,0,1,0,2,0,3,0,0,2,0,1,0,1,0,0,1,0,658
80,"P.M.J.H.SCHOOL SIRIHARA R.NO.1",674,571,0,1245,387,263,0,650,650,0,77,25,377,71,3,3,0,45,0,3,0,1,2,2,0,1,2,1,5,3,1,2,1,0,3,1,1,3,0,4,2,3,2,2,1,0,0,0,2,1,0,0,0,650
81,"M.P.J. H. SCHOOL SIRIHARA R. NO.2",296,238,0,534,158,133,0,291,291,0,84,20,111,31,0,1,0,3,0,2,2,0,2,0,0,3,2,0,1,2,0,2,1,0,0,1,0,2,0,1,2,3,3,0,2,1,1,1,1,1,1,1,3,291
82,"P.P. GAJEPUR",702,563,1,1266,396,342,0,738,738,0,33,19,415,119,1,0,2,72,1,9,0,1,3,2,1,3,0,1,2,6,2,4,3,1,1,2,2,2,3,5,2,5,1,1,3,0,2,1,0,2,5,0,1,738
83,"P.P. SAMUDAYIK MILAN  KENDRA NEWADA",534,418,0,952,291,264,0,555,555,0,27,21,336,140,0,1,0,16,1,2,0,0,1,1,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,555
84,P.P.NEWADA,368,310,0,678,233,190,0,423,423,0,38,29,293,23,0,1,0,25,1,1,0,1,0,2,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,423
85,"P.P. RAGHUNATHPUR",764,607,0,1371,394,342,0,736,736,0,94,42,319,183,1,1,1,41,4,4,1,0,7,1,3,5,1,2,1,1,0,4,2,1,3,0,1,3,0,1,1,3,2,1,1,0,1,0,0,0,0,0,0,736
86,"U.P.S DAULATIYA R. N0.1",376,296,0,672,221,185,0,406,406,0,4,23,223,113,0,1,0,15,0,1,1,1,2,2,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,4,0,0,1,0,3,1,0,0,0,0,1,406
87,"U.P.S DAULATIYA R.NO.2",491,414,0,905,286,255,0,541,541,0,6,48,351,6,4,3,0,74,1,5,1,2,1,2,2,9,2,0,0,0,1,1,1,4,1,1,1,0,2,4,1,2,2,0,2,0,0,0,0,0,0,0,1,541
88,"U.P.S .DAULATIYA R.NO.3",388,300,0,688,242,204,0,446,446,0,3,9,258,7,5,4,1,112,3,2,2,1,2,3,1,5,0,1,2,2,0,0,0,3,1,3,1,0,0,0,0,2,1,0,3,2,0,0,0,2,0,4,1,446
89,"P.P. GAJAPUR",297,250,0,547,190,177,0,367,367,0,9,19,151,113,1,1,2,28,0,3,0,1,2,1,0,4,2,0,0,1,3,1,1,1,1,1,2,3,0,4,1,1,1,0,0,1,5,0,0,1,0,1,1,367
90,I.C.LAKHANSENPUR,775,695,0,1470,437,366,0,803,803,0,28,12,435,146,4,10,1,103,2,3,4,3,3,5,4,9,0,1,0,2,0,0,1,2,1,3,1,2,1,2,1,2,0,1,3,0,1,1,0,0,1,1,4,803
91,"P.P. BANKAT",623,561,0,1184,362,341,0,703,703,0,16,32,380,24,1,2,1,198,10,2,2,2,2,3,3,7,0,0,2,0,0,1,1,2,0,2,2,0,2,0,0,2,0,1,0,0,1,0,0,0,0,1,1,703
92,"P.P.UPARWAR R.NO.1",676,582,0,1258,423,358,0,781,781,0,77,18,358,143,0,2,0,121,1,7,2,0,1,3,3,9,4,0,5,1,0,0,0,2,0,1,0,2,0,3,2,8,0,1,2,0,0,0,0,0,0,1,4,781
93,"P.P.UPARWAR R.NO.2",337,310,0,647,201,184,0,385,385,0,10,13,271,27,4,1,1,44,0,1,0,1,0,1,2,2,0,0,1,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,385
94,"P.P. GHIOSILA",517,409,0,926,261,270,0,531,531,0,154,5,279,55,1,1,0,9,1,4,0,1,3,0,0,4,2,0,0,0,0,1,0,0,0,0,2,0,2,3,0,2,1,0,0,0,0,0,0,0,0,0,1,531
