"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJAY RAI","2 - KAILASH CHAURASIYA","3 - NARENDRA MODI","4 - VIJAY PRAKASH JAISAWAL","5 - HIRALAL YADAV","6 - A.K. AGGARWAL","7 - ABHIMANYU SINGH PATEL","8 - ARVIND KEJRIWAL","9 - ARUN","10 - INDIRA TIWARI","11 - USMAN","12 - OM GURU CHARAN DAS ALIAS VIMAL KUMAR SINGH","13 - DEVI PRASAD NAND","14 - NARENDRA NATH DUBEY ADIG","15 - BACHCHELAL","16 - RAJESH BHARTI SURYA","17 - RAM LAKHAN GUPTA","18 - LALLAN","19 - SHIVHARI AGARWAL","20 - SANTOSH KUMAR","21 - HARI LAL","22 - HEMANT KUMAR YADAV","23 - AHMED SOHEL SIDDIQUI","24 - IFTEKHAR KURAISHI","25 - GHANSHYAM","26 - JOHNSON THOMAS","27 - NARENDRA BAHADUR SINGH","28 - PRAKASH PRASAD","29 - PRABHAT KUMAR","30 - PRAMOD KUMAR","31 - BACHCHAN PRASAD YADAV","32 - BASEER KINNAR","33 - MANOJ KUMAR CHAUBEY","34 - MAHENDRA MISHRA","35 - RAVINDRA KUMAR","36 - RAJIV KUMAR MISHRA","37 - RAJENDRA PRASAD GARIB DAS","38 - RAMPYARE SINGH","39 - SHIV KUMAR SHAH","40 - SATISH SHANKAR JAYASWAL","41 - SATYAPRAKASH SRIVASTAVA","42 - SARVESH KUMAR GUPTA","43 - None of the Above","Total Votes Secured"
1,K.P.P.GAHARPUR,785,620,0,1405,411,364,0,775,775,0,45,5,456,149,0,1,3,25,0,3,1,12,7,9,0,4,2,4,2,4,5,1,3,3,4,3,1,4,1,3,2,6,0,0,0,2,3,0,0,1,1,0,0,775
2,P.P.MAHARAJPUR,744,582,0,1326,488,406,0,894,894,0,54,25,283,19,8,3,1,427,4,2,3,0,3,3,1,1,2,3,4,1,0,1,1,6,1,2,1,2,5,6,1,1,1,2,1,1,1,1,1,2,0,9,1,894
3,P.P.JAGATIPUR,726,587,0,1313,314,274,0,588,588,0,47,100,219,137,3,3,0,27,0,0,0,1,1,1,2,3,2,2,0,0,4,1,0,1,5,2,0,1,4,5,0,3,1,0,0,0,4,2,0,1,2,1,3,588
4,"P.P. RASULAHA R.NO.1",605,537,0,1142,343,351,0,694,694,0,94,12,418,7,10,5,1,101,2,1,1,2,4,4,1,7,0,0,0,1,0,2,2,1,2,2,0,0,0,1,3,0,0,1,0,1,1,0,0,1,0,2,4,694
5,"P.P.RASULAHA R.NO 2",388,349,0,737,231,221,0,452,452,0,58,36,236,14,12,4,0,63,1,1,2,1,0,1,1,2,0,1,2,1,0,2,0,2,0,0,3,3,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,452
6,"P.P.KAPSETHI R.NO 1",574,467,0,1041,341,294,0,635,635,0,104,27,256,105,9,2,3,87,2,2,0,2,1,2,2,4,3,1,1,2,0,4,1,1,2,0,0,2,0,2,1,0,0,0,2,0,1,1,0,0,1,0,2,635
7,"P.P. KAPSETHI R.NO.2",469,375,0,844,238,203,0,441,441,0,39,3,231,92,1,1,0,50,0,2,0,0,0,1,0,1,3,1,1,0,0,0,1,0,0,1,2,1,0,1,0,2,1,1,1,0,3,0,0,0,1,0,0,441
8,"B.P.P. HITTAPUR",452,403,0,855,258,261,0,519,519,0,15,40,321,72,2,3,4,18,1,2,1,0,0,1,1,2,2,0,2,3,1,1,0,0,0,4,3,2,1,3,1,4,1,0,0,0,2,2,1,0,2,0,1,519
9,"P.P. BANAULI R.NO.1",302,271,0,573,196,183,0,379,379,0,61,5,120,160,2,1,2,8,1,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,2,0,0,0,0,2,1,0,0,0,1,379
10,"P.P. BANAULI R.NO.2",501,425,0,926,272,235,0,507,507,0,81,103,219,5,5,4,1,22,1,0,1,1,5,1,3,5,1,2,2,2,2,4,3,1,3,5,2,0,2,6,1,7,2,0,1,2,0,0,0,0,0,0,2,507
