"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ARVIND KUMAR JAISWAL","2 - MULAYAM SINGH YADAV","3 - RAMAKANT YADAV","4 - SHAH ALAM ALIAS GUDDU JAMALI","5 - M. AMIR RASHADI","6 - KIRAN SHARAMA","7 - DURG VIJAY YADAV","8 - PRAKASH CHANDRA","9 - MADAN","10 - RAJDHARI RAJBHAR","11 - RAJESH YADAV","12 - SANJAY KUMAR CHATURVEDI","13 - SANTOSH KUMAR GAUTAM","14 - PRAMOD SINGH","15 - RAM SINGH CHAUHAN","16 - SHAMSHAD AHMAD","17 - SUGRIV CHAUHAN","18 - SANJAY CHAUHAN","19 - None of the Above","Total Votes Secured"
1,"P. V. MAHAJI DEVARA JADID",627,524,0,1151,352,296,0,648,601,0,13,185,344,46,6,5,2,6,15,3,2,1,4,6,2,4,4,0,0,648
2,"P. V. NAUBRAR DEVARA JADID KITA DOYAM",815,587,0,1402,404,299,0,703,697,0,4,301,273,63,25,1,3,2,7,2,3,3,0,1,2,9,0,2,2,703
3,"P. V. ARAJI MALAHPURVA (R.N.-1)",652,460,0,1112,329,294,0,623,623,0,30,319,66,179,5,1,1,1,3,1,0,5,2,3,2,5,0,0,0,623
4,"P. V. ARAJI MALAHPURVA (R.N.-2)",459,253,0,712,109,75,0,184,183,0,0,77,18,79,2,2,0,0,0,0,1,2,1,0,0,0,0,2,0,184
5,"P. V. SEMARI",228,139,0,367,105,61,0,166,166,0,12,21,72,12,20,1,1,1,2,1,2,2,10,3,1,2,0,0,3,166
6,"P. V. ARAJI SHANKARPUR (R.N.-1",561,383,0,944,391,281,0,672,550,0,11,406,46,168,5,1,1,0,3,1,0,2,4,4,2,6,4,5,3,672
7,"P. V. ARAJI SHANKARPUR (R.N.- 2)",628,469,0,1097,407,291,0,698,698,0,14,422,90,142,7,1,0,1,1,0,4,1,1,0,1,3,0,5,5,698
8,"P. V. ARAJI SHANKARPUR (R.N.- 3)",408,275,0,683,265,148,0,413,390,0,7,156,116,122,1,0,0,1,3,0,0,2,0,2,0,1,1,0,1,413
9,"J. H. S. IBRAHIMPUR",921,543,0,1464,300,103,0,403,403,0,6,280,27,74,1,0,1,1,2,1,1,2,0,0,0,4,0,2,1,403
10,"P. V. RASULPUR BHAIYA",658,481,0,1139,339,233,0,572,302,0,14,437,56,31,4,1,0,0,3,0,0,2,3,4,3,7,0,5,2,572
