"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - LALITESH PATI TRIPATHI","2 - SAMUDRA BIND","3 - SURENDRA SINGH PATEL","4 - ANUPRIYA SINGH PATEL","5 - AJAD","6 - JITTOO RAM RATNA","7 - JEERA BHARTI","8 - BRIJESH KUMAR RAI","9 - BHAGWAN DAS","10 - RADHESHYAM INSAN","11 - VINEET SAHAI","12 - SHIVRAJ SAHNI","13 - SANTOSH KUMAR","14 - SARVESH DUBEY","15 - SUKCHARA NAND URF AALOO BABA","16 - ASHOK KUMAR","17 - ADESH TYAGI","18 - DR. KARNAIL SINGH","19 - GIRJA SHANKAR URF CHUNMUN","20 - DEVI","21 - RAJA RAM","22 - RAM MURAT","23 - HINCHH LAL","24 - None of the Above","Total Votes Secured"
1,PREMAPUR,664,502,0,1166,372,307,0,679,667,0,33,239,145,184,6,3,1,1,2,2,0,2,0,4,6,5,4,15,6,9,1,5,2,4,679
2,PIPRAHI,438,342,0,780,243,202,0,445,400,0,56,209,54,102,1,0,0,3,0,0,1,0,0,2,1,3,1,1,1,1,2,3,2,2,445
3,DAHNNUPUR,424,367,0,791,316,280,0,596,579,0,8,288,71,157,3,1,1,0,1,0,1,22,0,0,1,1,4,11,3,5,3,12,1,2,596
4,PASIYAHI,709,525,0,1234,420,349,0,769,724,0,47,58,415,181,5,6,0,2,5,2,0,15,3,5,2,8,1,2,3,4,0,2,1,2,769
5,PASIYAHI,283,220,0,503,174,165,0,339,261,0,65,37,117,89,4,3,2,0,0,0,1,14,0,1,0,1,1,1,0,0,1,1,0,1,339
6,VIDAPUR,828,652,0,1480,413,354,0,767,735,0,36,139,114,431,7,7,0,1,0,0,0,1,1,1,5,3,2,2,2,2,1,11,1,0,767
7,VIDAPUR,140,121,0,261,75,71,0,146,101,0,14,5,26,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,146
8,VIDAPUR,857,671,0,1528,387,382,0,769,727,0,46,246,135,217,5,6,1,3,5,2,5,32,5,3,1,4,8,4,2,5,6,22,2,4,769
9,VIDAPUR,172,152,0,324,90,82,0,172,160,0,26,48,4,75,1,5,0,0,0,1,0,0,2,1,1,4,0,1,0,1,0,0,1,1,172
10,DANAITA,656,525,0,1181,359,363,0,722,709,0,112,326,10,225,4,4,2,4,1,1,0,1,3,4,5,10,1,2,0,4,0,1,0,2,722
