state	constituency	votes	candidate	party
Chhattisgarh	Baloda bazar	272	MANNU LAL YADAW	Bahujan Samaj Mukti Morcha
Chhattisgarh	Baloda bazar	5592	None of the Above	None of the Above
Chhattisgarh	Basna	77137	RUPKUMARI CHOUDHARY	Bharatiya Janata Party
Chhattisgarh	Basna	70898	DEVENDRA BAHADUR SINGH	Indian National Congress
Chhattisgarh	Basna	2047	SAMARU LAL SAHU ADVOCATE	Bahujan Samaj Party
Chhattisgarh	Basna	1966	RAJENDRA AGRAWAL	Shivsena
Chhattisgarh	Basna	1251	MRITUNJAY PATEL	Apna Dal
Chhattisgarh	Basna	684	DEVNARAYAN DHRUW (D.N.)	Gondvana Gantantra Party
Chhattisgarh	Basna	625	AWADH RAM BANJARA (NAYAK)	Chattisgarh Swabhiman Manch
Chhattisgarh	Basna	4647	None of the Above	None of the Above
Chhattisgarh	Bastar	57942	BAGHEL LAKHESHWAR	Indian National Congress
Chhattisgarh	Bastar	38774	DR.SUBHAOO KASHYAP	Bharatiya Janata Party
Chhattisgarh	Bastar	3360	MANSINGH KASHYAP	Communist Party of India
Chhattisgarh	Bastar	2852	JAGMOHAN BAGHEL	Bahujan Samaj Party
Chhattisgarh	Bastar	2419	DAMRU MOURYA	Independent
Chhattisgarh	Bastar	2233	BALDEV MANJHI	Bharatiya Dalit Congress
Chhattisgarh	Bastar	1426	MADHU MOURYA	Samajwadi Party
Chhattisgarh	Bastar	5529	None of the Above	None of the Above
Chhattisgarh	Beltara	50890	BADRIDHAR DIWAN	Bharatiya Janata Party
Chhattisgarh	Beltara	45162	BHUWANESHWAR  YADAV	Indian National Congress
Chhattisgarh	Beltara	11194	DEV KUMAR KANERI	Bahujan Samaj Party
Chhattisgarh	Beltara	8359	TRILOK CHAND SHRIVAS	Samajwadi Party
Chhattisgarh	Beltara	1622	REWASHANKAR SAHU	Independent
Chhattisgarh	Beltara	1423	MANI DAS MANIKPURI	Independent
Chhattisgarh	Beltara	1101	BHAWAR SINGH	Independent
Chhattisgarh	Beltara	799	SANTOSH KUMAR SAHU (DOCTOR  GURUJI)	Chattisgarh Swabhiman Manch
