state	constituency	votes	candidate	party
Delhi	AMBEDKAR NAGAR	3250	GHAN SHYAM DASS	Bahujan Samaj Party
Delhi	AMBEDKAR NAGAR	330	RADHEY SHYAM	Independent
Delhi	AMBEDKAR NAGAR	238	GOPAL KRISHAN	Jammu & Kashmir National Panthers Party
Delhi	AMBEDKAR NAGAR	190	RAJVEER SINGH	Independent
Delhi	AMBEDKAR NAGAR	188	RAMESH CHANDER CHHAZLAAN	Bharatiya Bahujan Party
Delhi	AMBEDKAR NAGAR	104	RAJ KUMAR BANEWAL	Indian Justice Party
Delhi	AMBEDKAR NAGAR	568	None of the Above	None of the Above
Delhi	BABARPUR	34180	NARESH GAUR	Bharatiya Janata Party
Delhi	BABARPUR	29673	ZAKIR KHAN	Indian National Congress
Delhi	BABARPUR	25723	GOPAL RAI	Aam Aadmi Party
Delhi	BABARPUR	10017	FURKHAN	Peace Party
Delhi	BABARPUR	5924	SUNIL VASISHT	Samajwadi Party
Delhi	BABARPUR	5019	BHURE KHAN	Bahujan Samaj Party
Delhi	BABARPUR	2744	MS. SHAGUFTA RANI	Independent
Delhi	BABARPUR	794	ABSAAR AHMED	Communist Party of India
Delhi	BABARPUR	178	KESAR	Rashtriya Janmorcha
Delhi	BABARPUR	141	BABU RAM	Independent
Delhi	BABARPUR	123	MAHNAAZ ALAM	Independent
Delhi	BABARPUR	460	None of the Above	None of the Above
Delhi	BADARPUR	45344	RAMBIR SINGH BIDHURI	Bharatiya Janata Party
Delhi	BADARPUR	31490	RAM SINGH NETAJI	Indian National Congress
Delhi	BADARPUR	30346	NAR SINGH SHAH	Bahujan Samaj Party
Delhi	BADARPUR	20833	NARAYAN DUTT SHARMA	Aam Aadmi Party
Delhi	BADARPUR	1275	OM PRAKASH GUPTA	Independent
Delhi	BADARPUR	448	LAL DEVENDRA SINGH CHAUHAN	Independent
Delhi	BADARPUR	422	KALYAN SINGH MAAN	Rashtriya Lok Dal
Delhi	BADARPUR	271	RAM NATH SHARMA	Independent
Delhi	BADARPUR	258	YASH PAL SINGH	Independent
Delhi	BADARPUR	243	YOGESH	Indian Justice Party
Delhi	BADARPUR	234	JAY PRAKASH YADAV	Samajwadi Party
Delhi	BADARPUR	205	CHAMPA DEVI	Janata Dal  (United)
Delhi	BADARPUR	153	KAMTA MISHRA	Independent
Delhi	BADARPUR	129	AMRESH KUMAR CHOUDHARY	Independent
Delhi	BADARPUR	105	BIJENDER SINGH LOHIA	Independent
Delhi	BADARPUR	704	None of the Above	None of the Above
Delhi	BADLI	54372	DEVENDER YADAV	Indian National Congress
Delhi	BADLI	31263	VIJAY KUMAR BHAGAT	Bharatiya Janata Party
Delhi	BADLI	31098	MOHAN KRISHAN	Aam Aadmi Party
Delhi	BADLI	2125	MUNAWWAR HASSAN	Bahujan Samaj Party
Delhi	BADLI	615	MAHESH SAHU	Janata Dal  (United)
Delhi	BADLI	418	MOHAN JHA	Independent
Delhi	BADLI	274	PUNEET MANDAL	Hindusthan Nirman Dal
Delhi	BADLI	253	RAJ KUMAR	Rashtriya Lok Dal
Delhi	BADLI	204	WAQAR KHAN	Samajwadi Party
Delhi	BADLI	190	MANOJ KUMAR PANDEY	Independent
Delhi	BADLI	108	JAI PAL	Independent
Delhi	BADLI	978	None of the Above	None of the Above
Delhi	BALLIMARAN	32105	HAROON YUSUF	Indian National Congress
Delhi	BALLIMARAN	24012	MOTI LAL SODHI	Bharatiya Janata Party
Delhi	BALLIMARAN	16267	IMRAN HUSSAIN	Bahujan Samaj Party
Delhi	BALLIMARAN	13103	FARHANA ANJUM	Aam Aadmi Party
Delhi	BALLIMARAN	1036	VIJAY KUMAR	Lok Jan Shakti Party
Delhi	BALLIMARAN	442	SHIV NARAYAN BAGRI	Independent
Delhi	BALLIMARAN	293	LAXMAN	Independent
Delhi	BALLIMARAN	250	ANAS	Jammu & Kashmir National Panthers Party
Delhi	BALLIMARAN	143	DAULAT RAM	Republican Party of India Ektavadi
Delhi	BALLIMARAN	131	RAJKUMAR RAJU	Naya Daur Party
Delhi	BALLIMARAN	128	BASU	Independent
Delhi	BALLIMARAN	107	N. K. PURSHARTHI	Independent
Delhi	BALLIMARAN	97	MUKESH	Independent
Delhi	BALLIMARAN	85	AFAQUE AHMED	Rashtriya Ulama Council
Delhi	BALLIMARAN	63	RAJ KUMAR	Bhartiya Janta Dal (Integrated)
Delhi	BALLIMARAN	52	FAISAL TARIQ	Republican Party of India (A)
Delhi	BALLIMARAN	50	RAVINDER KUMAR	Samajwadi Party
Delhi	BALLIMARAN	385	None of the Above	None of the Above
Delhi	BAWANA	68407	GUGAN SINGH	Bharatiya Janata Party
Delhi	BAWANA	42768	MANOJ	Aam Aadmi Party
Delhi	BAWANA	42054	SURENDER KUMAR	Indian National Congress
Delhi	BAWANA	9017	MANAK CHAND	Bahujan Samaj Party
Delhi	BAWANA	634	SHER SINGH	Independent
Delhi	BAWANA	616	KAVITA	Nationalist Congress Party
Delhi	BAWANA	489	AMOD PASWAN	Bhartiya Janta Dal (Integrated)
Delhi	BAWANA	336	PAWAN KUMAR	Independent
Delhi	BAWANA	330	VIMAL VERMA	Indian Justice Party
Delhi	BAWANA	308	RAJESH	Shivsena
Delhi	BAWANA	279	DHARAM RAJ	Bhartiya Pragatisheel Congress
Delhi	BAWANA	1217	None of the Above	None of the Above
Delhi	BIJWASAN	35988	SAT PRAKASH RANA	Bharatiya Janata Party
Delhi	BIJWASAN	33574	DEVINDER KUMAR SEHRAWAT	Aam Aadmi Party
Delhi	BIJWASAN	18173	VIJAY SINGH LOCHAV	Indian National Congress
Delhi	BIJWASAN	12053	NARENDER RANA	Bahujan Samaj Party
Delhi	BIJWASAN	2370	SURENDER BHARDWAJ	Samajwadi Party
Delhi	BIJWASAN	500	JAY VIR SINGH	Janata Dal  (United)
Delhi	BIJWASAN	290	INDER SINGH	Independent
Delhi	BIJWASAN	239	OMBIR	Independent
Delhi	BIJWASAN	688	None of the Above	None of the Above
Delhi	BURARI	60164	SANJEEV JHA	Aam Aadmi Party
Delhi	BURARI	49813	SHRI KRISHAN	Bharatiya Janata Party
Delhi	BURARI	31649	DEEPAK TYAGI	Indian National Congress
Delhi	BURARI	6462	VINOD NAAGAR	Lok Jan Shakti Party
Delhi	BURARI	3664	KAMAL SHARMA	Bahujan Samaj Party
Delhi	BURARI	2700	SURINDER ROUTELA	Independent
Delhi	BURARI	2643	JITENDER KUMAR	Janata Dal  (United)
Delhi	BURARI	557	AJIT KUMAR PANDEY	Bhartiya Janta Dal (Integrated)
Delhi	BURARI	506	AADESH	Independent
Delhi	BURARI	496	GANESH PAL	Bharatiya Sarvodaya Kranti Party
Delhi	BURARI	369	NAFE SINGH RAJPUT	Independent
Delhi	BURARI	351	VIJAY KUMAR	Rashtriya Mazdoor Ekta Party
Delhi	BURARI	325	MANAGER CHAURASIYA	SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)
Delhi	BURARI	285	PAWAN KUMAR DUGGAL	Independent
Delhi	BURARI	243	RICHA MUNDRA	Revolutionary Democratic Party of India
Delhi	BURARI	230	FAKIR CHAND	Indian Justice Party
Delhi	BURARI	214	RAJBIR	Independent
Delhi	BURARI	211	MUNNA	Independent
Delhi	BURARI	190	PREM SHANKAR SHARMA	Akhil Bhartiya Sudhar Party
Delhi	BURARI	187	TOKIR AHMAD KHAN	Bahujan Smajwadi Party (Baba Saheb)
Delhi	BURARI	172	GULAB SINGHAL	Bharatiya Naujawan Inklav party
Delhi	BURARI	137	DINESH KUMAR	Bharatiya Sampuran Krantikari Party
Delhi	BURARI	85	DR RAMESH NARAYAN SINGH	Independent
Delhi	BURARI	665	None of the Above	None of the Above
Delhi	CHANDNI CHOWK	26335	PARLAD SINGH SAWHNEY	Indian National Congress
Delhi	CHANDNI CHOWK	18092	SUMAN KUMAR GUPTA	Bharatiya Janata Party
Delhi	CHANDNI CHOWK	15312	VIKRAM BADHWAR	Aam Aadmi Party
Delhi	CHANDNI CHOWK	7032	KHURRUM IQBAL	Janata Dal  (United)
Delhi	CHANDNI CHOWK	1461	MOHD SHAHZAMAN	Independent
Delhi	CHANDNI CHOWK	437	MAUSAM ALI	Bahujan Samaj Party
Delhi	CHANDNI CHOWK	103	YOGESH KUMAR	Independent
Delhi	CHANDNI CHOWK	92	PAUL M RUFUS	Adarshwaadi Congress Party
Delhi	CHANDNI CHOWK	84	VIJAY BAHADUR	Lok Jan Shakti Party
Delhi	CHANDNI CHOWK	74	BALRAM BARI	Independent
Delhi	CHANDNI CHOWK	71	DEV RAJ	Independent
Delhi	CHANDNI CHOWK	61	DINESH KUMAR TRIPATHI	Independent
Delhi	CHANDNI CHOWK	58	MANOJ KUMAR SHARMA	Rashtriya Bahujan Hitay Party
Delhi	CHANDNI CHOWK	24	ANIL ANAND	Independent
Delhi	CHANDNI CHOWK	493	None of the Above	None of the Above
Delhi	CHHATARPUR	49975	BRAHM SINGH TANWAR	Bharatiya Janata Party
Delhi	CHHATARPUR	33851	BALRAM TANWAR	Indian National Congress
Delhi	CHHATARPUR	22285	RISHI PAL	Aam Aadmi Party
Delhi	CHHATARPUR	2507	AMIT KUMAR	Bahujan Samaj Party
Delhi	CHHATARPUR	745	SHIV DUTT SHARMA	Communist Party of India
Delhi	CHHATARPUR	India	RAM SIRJAN BHAGAT	Proutist Bloc
Delhi	CHHATARPUR	245	BABU LAL	Independent
Delhi	CHHATARPUR	180	ASHOK	Shivsena
Delhi	CHHATARPUR	718	None of the Above	None of the Above
Delhi	DELHI CANTT	26124	SURENDER SINGH	Aam Aadmi Party
Delhi	DELHI CANTT	25769	KARAN SINGH TANWAR	Bharatiya Janata Party
Delhi	DELHI CANTT	11988	ASHOK KUMAR JAIN	Indian National Congress
Delhi	DELHI CANTT	745	RAJESH PIHAL	Bahujan Samaj Party
Delhi	DELHI CANTT	176	RAVI KUMAR	Independent
Delhi	DELHI CANTT	146	SUNIL KUMAR SINGH	Independent
Delhi	DELHI CANTT	143	SANJEEV TOKAS	Independent
Delhi	DELHI CANTT	120	SANJAY KUMAR NANDA	Shivsena
Delhi	DELHI CANTT	94	SURENDER KUMAR	Independent
Delhi	DELHI CANTT	44	HEERA LAL	Rashtriya Janadhikar Party
Delhi	DELHI CANTT	34	ASHOK JINDAL	Independent
Delhi	DELHI CANTT	478	None of the Above	None of the Above
Delhi	DEOLI	51646	PRAKASH	Aam Aadmi Party
Delhi	DEOLI	34538	GAGAN RANA @ GAGAN SHRI LAL PRADHAN	Bharatiya Janata Party
Delhi	DEOLI	26140	ARVINDER SINGH	Indian National Congress
Delhi	DEOLI	4419	KISHOR KUMAR RAJORA	Bahujan Samaj Party
Delhi	DEOLI	739	SHER SINGH	Jammu & Kashmir National Panthers Party
Delhi	DEOLI	838	None of the Above	None of the Above
Delhi	DWARKA	42734	PARDUYMN RAJPUT	Bharatiya Janata Party
Delhi	DWARKA	37537	RAVI KUMAR SURYAN	Aam Aadmi Party
Delhi	DWARKA	23487	TASVEER SOLANKI	Indian National Congress
Delhi	DWARKA	4398	RAJNEESH KUMAR JHA	National Youth Party
Delhi	DWARKA	2751	PRAMOD KUMAR	Janata Dal  (United)
Delhi	DWARKA	1760	RAJIV KUMAR GAUTAM	Bahujan Samaj Party
Delhi	DWARKA	684	MUKESH KUMAR CHAUDHARY	Communist Party of India  (Marxist)
Delhi	DWARKA	225	RAJESH	Adarshwaadi Congress Party
Delhi	DWARKA	169	MUKESH KUMAR TANWAR	Independent
Delhi	DWARKA	90	ANIL SINGH	Independent
Delhi	DWARKA	729	None of the Above	None of the Above
Delhi	GANDHI NAGAR	48897	ARVINDER SINGH LOVELY	Indian National Congress
Delhi	GANDHI NAGAR	31936	RAMESH CHAND JAIN	Bharatiya Janata Party
Delhi	GANDHI NAGAR	16546	ANIL KUMAR BAJPAI	Aam Aadmi Party
Delhi	GANDHI NAGAR	1193	NAFIS AHMED	Peace Party
Delhi	GANDHI NAGAR	1105	OM PAL SINGH	Bahujan Samaj Party
Delhi	GANDHI NAGAR	130	BHASKAR GUPTA	Independent
Delhi	GANDHI NAGAR	105	ANAND MOHAN SINGH	Poorvanchal Rashtriya Congress
Delhi	GANDHI NAGAR	103	DIWAKAR	Samajwadi Party
Delhi	GANDHI NAGAR	76	NEERAJ SHARMA	Independent
Delhi	GANDHI NAGAR	70	VIJAY SINGH	Shivsena
Delhi	GANDHI NAGAR	64	RAJESH KUMAR	Independent
Delhi	GANDHI NAGAR	63	JAI KISHAN	Independent
Delhi	GANDHI NAGAR	58	PARDEEP KUMAR DUBEY	Independent
Delhi	GANDHI NAGAR	531	None of the Above	None of the Above
Delhi	GHONDA	47531	SAHAB SINGH CHAUHAN	Bharatiya Janata Party
Delhi	GHONDA	35599	BHISHAM SHARMA	Indian National Congress
Delhi	GHONDA	23621	DATARAM	Aam Aadmi Party
Delhi	GHONDA	6155	NARESH CHAND RATHORE	Bahujan Samaj Party
Delhi	GHONDA	4464	ROHTASH KUMAR	Janata Dal  (United)
Delhi	GHONDA	1857	KIRAN PAL SINGH	Independent
Delhi	GHONDA	264	JAI PRAKASH SINGH	Lokpriya Samaj Party
Delhi	GHONDA	India	AFLATOON	Proutist Bloc
Delhi	GHONDA	217	WASEEM	Rashtriya Lok Dal
Delhi	GHONDA	131	KIRAN SINGH	Indian Justice Party
Delhi	GHONDA	129	MD. NAZIR	Jammu & Kashmir National Panthers Party
Delhi	GHONDA	109	MOHINDER PAL SINGH	Bahujan Samaj Mukti Morcha
Delhi	GHONDA	86	RAJIV KUMAR	Socialist Party (India)
Delhi	GHONDA	84	PADAM CHAND	Rashtriya Janmorcha
Delhi	GHONDA	77	RAMESH CHAND	Janshoshit Samaj Party
Delhi	GHONDA	549	None of the Above	None of the Above
Delhi	GOKALPUR	34888	RANJEET SINGH	Bharatiya Janata Party
Delhi	GOKALPUR	32966	SURENDRA KUMAR	Independent
Delhi	GOKALPUR	29633	DEVI DAYAL	Aam Aadmi Party
Delhi	GOKALPUR	15902	BALZOR SINGH	Indian National Congress
Delhi	GOKALPUR	10899	CHOUDHARY BALRAJ	Bahujan Samaj Party
Delhi	GOKALPUR	1034	DHARM RAJ SINGH	Peace Party
Delhi	GOKALPUR	346	ROOP KISHOR	Indian Justice Party
Delhi	GOKALPUR	339	ANIL KUMAR	Lok Jan Shakti Party
Delhi	GOKALPUR	272	ASHOK KUMAR GAUTAM	Independent
Delhi	GOKALPUR	184	SATYENDRI PAL SINGH	Samajwadi Party
Delhi	GOKALPUR	136	RAJESH KUMAR	Bahujan Samaj Mukti Morcha
Delhi	GOKALPUR	117	RUPESH KUMAR	Rashtriya Lok Dal
Delhi	GOKALPUR	1338	None of the Above	None of the Above
Delhi	GREATER KAILASH	43097	SAURABH BHARADWAJ	Aam Aadmi Party
Delhi	GREATER KAILASH	30005	AJAY KUMAR MALHOTRA	Bharatiya Janata Party
Delhi	GREATER KAILASH	19714	VIRENDER KASANA	Indian National Congress
Delhi	GREATER KAILASH	912	MUKESH BHARDWAJ	Bahujan Samaj Party
Delhi	GREATER KAILASH	427	ASHOK KUMAR	Independent
Delhi	GREATER KAILASH	426	NANHEY KHAN QURESHI	Samajwadi Party
Delhi	GREATER KAILASH	639	None of the Above	None of the Above
Delhi	HARI NAGAR	38912	JAGDEEP SINGH	Aam Aadmi Party
Delhi	HARI NAGAR	30036	SHYAM SHARMA	Shiromani Akali Dal
Delhi	HARI NAGAR	23111	HARSHARAN SINGH BALLI	Indian National Congress
Delhi	HARI NAGAR	4649	SATPAL SINGH	Independent
Delhi	HARI NAGAR	1874	SHUBH KARAN	Bahujan Samaj Party
Delhi	HARI NAGAR	464	RAJ LAKSHMI SHARMA	Janata Dal  (United)
Delhi	HARI NAGAR	295	NEERAJ KAPOOR	Rashtriya Bahujan Hitay Party
Delhi	HARI NAGAR	919	None of the Above	None of the Above
Delhi	JANAKPURI	42886	PROF. JAGDISH MUKHI	Bharatiya Janata Party
Delhi	JANAKPURI	40242	RAJESH RISHI	Aam Aadmi Party
Delhi	JANAKPURI	17191	RAGINI NAYAK	Indian National Congress
Delhi	JANAKPURI	4332	SANJAY PURI	Independent
Delhi	JANAKPURI	1019	HARI PRAKASH SINGH	Bahujan Samaj Party
Delhi	JANAKPURI	379	PANKAJ SINGH	Janata Dal  (United)
Delhi	JANAKPURI	India	VIRENDER JHA	Proutist Bloc
Delhi	JANAKPURI	142	SUKH LAL	Independent
Delhi	JANAKPURI	110	K SWARNA	Desiya Murpokku Dravida Kazhagam
Delhi	JANAKPURI	71	ALOK SHARMA	Independent
Delhi	JANAKPURI	71	DEEPAK ARORA	Independent
Delhi	JANAKPURI	805	None of the Above	None of the Above
Delhi	JANGPURA	29701	MANINDER SINGH DHIR	Aam Aadmi Party
Delhi	JANGPURA	27957	TARVINDER SINGH MARWAH	Indian National Congress
Delhi	JANGPURA	18978	PANKAJ JAIN	Bharatiya Janata Party
Delhi	JANGPURA	1523	RAKESH	Janata Dal  (United)
Delhi	JANGPURA	600	SURESH CHAND	Bahujan Samaj Party
Delhi	JANGPURA	299	VIJAY CHOUDARY	Independent
Delhi	JANGPURA	256	A. SHIVA	Desiya Murpokku Dravida Kazhagam
Delhi	JANGPURA	243	SANDEEP SINGH	Akhil Bhartiya Vikas Congress Party
Delhi	JANGPURA	124	PREM SAGAR	Indian Justice Party
Delhi	JANGPURA	72	TARUN SAINI	Independent
Delhi	JANGPURA	67	DEEPAK BISWAS	Independent
Delhi	JANGPURA	555	None of the Above	None of the Above
Delhi	KALKAJI	30683	HARMEET SINGH	Bharatiya Janata Party
Delhi	KALKAJI	28639	DHARAMBIR SINGH	Aam Aadmi Party
Delhi	KALKAJI	25787	SUBHASH CHOPRA	Indian National Congress
Delhi	KALKAJI	3092	DHARMENDER KUMAR	Independent
Delhi	KALKAJI	1235	AJAY KR AGGARWAL	Bahujan Samaj Party
Delhi	KALKAJI	176	MOHD VIKKI KHAN	Jan Samanta Party
Delhi	KALKAJI	172	RAMU	Desiya Murpokku Dravida Kazhagam
Delhi	KALKAJI	162	SUSHIL GARG	Independent
Delhi	KALKAJI	124	SURENDER SINGH	Independent
Delhi	KALKAJI	83	BHESH DHARI	Independent
Delhi	KALKAJI	78	SUMAN YADAV	Samajwadi Party
Delhi	KALKAJI	49	RAMESH CHAND YADAV	Jammu & Kashmir National Panthers Party
Delhi	KALKAJI	581	None of the Above	None of the Above
Delhi	KARAWAL NAGAR	49262	MOHAN SINGH BISHT	Bharatiya Janata Party
Delhi	KARAWAL NAGAR	46179	KAPIL MISHRA	Aam Aadmi Party
Delhi	KARAWAL NAGAR	20950	BEGRAJ SINGH	Indian National Congress
Delhi	KARAWAL NAGAR	19362	SATAN PAL DAYMA	Independent
Delhi	KARAWAL NAGAR	2688	RAJBIR SINGH	Bahujan Samaj Party
Delhi	KARAWAL NAGAR	1199	ANMOL CHOUDHRI	Communist Party of India  (Marxist)
Delhi	KARAWAL NAGAR	353	IRSHAD	Independent
Delhi	KARAWAL NAGAR	340	JITENDRA BANSALA	Indian Justice Party
Delhi	KARAWAL NAGAR	292	RAJENDRA PRASAD MISHRA	Independent
Delhi	KARAWAL NAGAR	248	NOOR HASAN	Janata Dal  (United)
Delhi	KARAWAL NAGAR	203	BIJENDRA KUMAR PODDAR	Rashtravadi Janata Party
Delhi	KARAWAL NAGAR	124	SUBAS CHAND	Lokpriya Samaj Party
Delhi	KARAWAL NAGAR	India	BALJIT SINGH KHATANA	Proutist Bloc
Delhi	KARAWAL NAGAR	911	None of the Above	None of the Above
Delhi	KAROL BAGH	35818	VISHESH RAVI	Aam Aadmi Party
Delhi	KAROL BAGH	34068	SURENDER PAL RATAWAL	Bharatiya Janata Party
Delhi	KAROL BAGH	29358	MADAN KHORWAL	Indian National Congress
Delhi	KAROL BAGH	1200	JAWAHAR SINGH	Bahujan Samaj Party
Delhi	KAROL BAGH	491	RANJAN KHATUMARIA	Samajwadi Party
Delhi	KAROL BAGH	171	GYAN CHAND	Lok Jan Shakti Party
Delhi	KAROL BAGH	119	PARVEEN KUMAR	Independent
Delhi	KAROL BAGH	110	MANOJ KUMAR	Independent
Delhi	KAROL BAGH	66	KIRAN	Independent
Delhi	KAROL BAGH	768	None of the Above	None of the Above
Delhi	KASTURBA NAGAR	33609	MADAN LAL	Aam Aadmi Party
Delhi	KASTURBA NAGAR	28935	SHIKHA ROY	Bharatiya Janata Party
Delhi	KASTURBA NAGAR	24227	NEERAJ BASOYA	Indian National Congress
Delhi	KASTURBA NAGAR	478	SURESH KUMAR VERMA	Bahujan Samaj Party
Delhi	KASTURBA NAGAR	151	BEER SINGH NEGI	Samata Sangharsh Party
Delhi	KASTURBA NAGAR	148	COLONEL ANIL JOTWANI (RETIRED)	Independent
Delhi	KASTURBA NAGAR	140	BACHO	Naya Daur Party
Delhi	KASTURBA NAGAR	90	BISWAMBAR NAYAK	Independent
Delhi	KASTURBA NAGAR	607	None of the Above	None of the Above
Delhi	KIRARI	72283	ANIL JHA	Bharatiya Janata Party
Delhi	KIRARI	23757	RAJAN PRAKASH	Aam Aadmi Party
Delhi	KIRARI	18515	AMIT MALIK	Indian National Congress
Delhi	KIRARI	16922	PUSHP RAJ	Bahujan Samaj Party
Delhi	KIRARI	1486	RAJKUMAR SHARMA	Peace Party
Delhi	KIRARI	1022	DINESH KUMAR	Independent
Delhi	KIRARI	944	D N BHAGAT	Janata Dal  (United)
Delhi	KIRARI	893	H L GANDHI	Independent
Delhi	KIRARI	670	ABINAV SANJAY PRAJAPATI	Nationalist Congress Party
Delhi	KIRARI	274	JAVED	SOCIAL DEMOCRATIC PARTY OF INDIA
Delhi	KIRARI	230	RAM CHANDER	Hindusthan Nirman Dal
Delhi	KIRARI	201	SHANKAR SHAH	Rashtravadi Janata Party
Delhi	KIRARI	184	MOHD. SHADAB	Bahujan Smajwadi Party (Baba Saheb)
Delhi	KIRARI	173	RAMRIT SHARMA	All India Forward Bloc
Delhi	KIRARI	162	SHARWAN SINGH	Jammu & Kashmir National Panthers Party
Delhi	KIRARI	142	BASANT MEHTA	Independent
Delhi	KIRARI	134	NARESH CHANDER PAL	Bharatiya Sarvodaya Kranti Party
Delhi	KIRARI	91	JITENDER SINGH	Asankhya Samaj Party
Delhi	KIRARI	534	None of the Above	None of the Above
Delhi	KONDLI	36863	MANOJ KUMAR	Aam Aadmi Party
Delhi	KONDLI	29373	DUSHYANT KUMAR GAUTAM	Bharatiya Janata Party
Delhi	KONDLI	24730	AMRISH SINGH GAUTAM	Indian National Congress
Delhi	KONDLI	14988	CHAMAN KUMAR	Bahujan Samaj Party
Delhi	KONDLI	574	GURBACHAN SINGH	Republican Party of India Ektavadi
Delhi	KONDLI	India	REKHA	Proutist Bloc
Delhi	KONDLI	203	RAMRUP	Communist Party of India  (Marxist-Leninist)  (Liberation)
Delhi	KONDLI	153	JITENDRA KAPIL	Independent
Delhi	KONDLI	131	DHARMENDRA DHORIWAL	New All India Congress Party
Delhi	KONDLI	647	None of the Above	None of the Above
Delhi	KRISHNA NAGAR	69222	DR. HARSH VARDHAN	Bharatiya Janata Party
Delhi	KRISHNA NAGAR	26072	DR VINOD KUMAR MONGA	Indian National Congress
Delhi	KRISHNA NAGAR	17498	ISHRAT ALI ANSARI	Aam Aadmi Party
Delhi	KRISHNA NAGAR	2876	SAHRUR	Independent
Delhi	KRISHNA NAGAR	1820	NAYEEM ABBAS	Bahujan Samaj Party
Delhi	KRISHNA NAGAR	275	SALMA	Samajwadi Party
Delhi	KRISHNA NAGAR	165	RAJESH	Ambedkar National Congress
Delhi	KRISHNA NAGAR	86	VIJAY KUMAR ARORA	Independent
Delhi	KRISHNA NAGAR	63	AJAY SURYAVANSHI	Independent
Delhi	KRISHNA NAGAR	587	None of the Above	None of the Above
Delhi	LAXMI NAGAR	43052	VINOD KUMAR BINNY	Aam Aadmi Party
Delhi	LAXMI NAGAR	35300	ASHOK KUMAR WALIA	Indian National Congress
Delhi	LAXMI NAGAR	33849	ABHAY KUMAR VERMA	Bharatiya Janata Party
Delhi	LAXMI NAGAR	3410	MOHAMMED NAEEM	Independent
Delhi	LAXMI NAGAR	1275	MOOL CHAND	Bahujan Samaj Party
Delhi	LAXMI NAGAR	183	VIKRAM NIJHAWAN	New All India Congress Party
Delhi	LAXMI NAGAR	136	DUSHYANT NAGAR	Samajwadi Party
Delhi	LAXMI NAGAR	119	AJITA MALL	Independent
Delhi	LAXMI NAGAR	103	MANOJ KUMAR GUPTA	Independent
Delhi	LAXMI NAGAR	91	JAY RAM	Janata Dal  (United)
Delhi	LAXMI NAGAR	76	RAJEEV KUMAR	Independent
Delhi	LAXMI NAGAR	43	RIFAKAT ALI	Bhartiya Janta Dal (Integrated)
Delhi	LAXMI NAGAR	41	MURARI LAL PARJAPATI	Indian Democratic Party
Delhi	LAXMI NAGAR	562	None of the Above	None of the Above
Delhi	MADIPUR	36393	GIRISH SONI	Aam Aadmi Party
Delhi	MADIPUR	35290	KAILASH SANKLA	Bharatiya Janata Party
Delhi	MADIPUR	25545	MALA RAM GANGWAL	Indian National Congress
Delhi	MADIPUR	2169	MISHRI LAL KHORWAL	Bahujan Samaj Party
Delhi	MADIPUR	464	TARA CHAND	Indian Democratic Party
Delhi	MADIPUR	269	LALIT KUMAR JOHAR	Independent
Delhi	MADIPUR	190	MALA RAM	Independent
Delhi	MADIPUR	848	None of the Above	None of the Above
Delhi	MALVIYA NAGAR	32258	SHRI SOMNATH BHARTI	Aam Aadmi Party
Delhi	MALVIYA NAGAR	24486	MS. ARTI MEHRA	Bharatiya Janata Party
Delhi	MALVIYA NAGAR	20500	MS. KIRAN WALIA	Indian National Congress
Delhi	MALVIYA NAGAR	2389	KISHOR	Adarshwaadi Congress Party
Delhi	MALVIYA NAGAR	741	SHRI VIJENDER	Bahujan Samaj Party
Delhi	MALVIYA NAGAR	247	CHAHAT MIYAN	Samajwadi Party
Delhi	MALVIYA NAGAR	184	MRS. SHARMILA	Desiya Murpokku Dravida Kazhagam
Delhi	MALVIYA NAGAR	134	SHRI RAJEEV KUMAR	Independent
Delhi	MALVIYA NAGAR	129	SHRI RAFIK	Peace Party
Delhi	MALVIYA NAGAR	93	MOHD. YUSUF	Bharatiya Bahujan Party
Delhi	MALVIYA NAGAR	88	SUNIL ATREE	Nationalist Congress Party
Delhi	MALVIYA NAGAR	47	SHRI HANNAN AHMED	Naya Daur Party
Delhi	MALVIYA NAGAR	45	BHART KUMAR SHAHOO	Independent
Delhi	MALVIYA NAGAR	36	KIRAN	Asankhya Samaj Party
Delhi	MALVIYA NAGAR	32	PREM SINGH	Jammu & Kashmir National Panthers Party
Delhi	MALVIYA NAGAR	30	SHRI JAVED FAROOQUI	Lok Jan Shakti Party
Delhi	MALVIYA NAGAR	375	None of the Above	None of the Above
Delhi	MANGOL PURI	44383	RAKHI BIRLA	Aam Aadmi Party
Delhi	MANGOL PURI	33798	RAJ KUMAR CHAUHAN	Indian National Congress
Delhi	MANGOL PURI	31232	RAM KISHOR NAVARIYA	Bharatiya Janata Party
Delhi	MANGOL PURI	3722	CHHATARDHARI	Bahujan Samaj Party
Delhi	MANGOL PURI	789	SHYAM KALI	Communist Party of India
Delhi	MANGOL PURI	485	MURLI DHAR	Independent
Delhi	MANGOL PURI	284	RAMESH KUMAR	Indian Bahujan Samajwadi Party
Delhi	MANGOL PURI	839	None of the Above	None of the Above
Delhi	MATIA MAHAL	22732	SHOAIB IQBAL	Janata Dal  (United)
Delhi	MATIA MAHAL	19841	MIRZA JAVED ALI	Indian National Congress
Delhi	MATIA MAHAL	18668	SHAKEEL ANJUM	Aam Aadmi Party
Delhi	MATIA MAHAL	6061	NIZAMUDDIN	Bharatiya Janata Party
Delhi	MATIA MAHAL	1668	UMAR FARUQ	Independent
