Field,Source,Target
PC,PALAMAU,PALAMU
PC,PARAVATHIPURAM,PARVATHIPURAM
PC,PADAPALLI,PEDDAPALLI
PC,PEDDAPALLE,PEDDAPALLI
PC,PERIAKULAM,PERIYAKULAM
PC,POONANI,PONNANI
PC,PONDICHERRY,PUDUCHERRY
PC,POONA,PUNE
PC,PUPARI,PUPRI
PC,PURNIA,PURNEA
PC,RAJAMUNDRY,RAJAHMUNDRY
PC,RATNAGIRI - SINDHUDURG,RATNAGIRI
PC,ROBERTGANJ,ROBERTSGANJ
PC,RUPAR,ROPAR
PC,SURGUJA,SARGUJA
PC,SECUNDRABAD,SECUNDERABAD
PC,SRERAMPUR,SERAMPORE
PC,SHAHJAPUR,SHAJAPUR
PC,SHIV PURI,SHIVPURI
PC,SOLAPUR,SHOLAPUR
PC,SONIPAT,SONEPAT
PC,SRIVILLIPUTTUR,SRIVILLIPUTHUR
PC,SUNDERGARH,SUNDARGARH
PC,TAMULK,TAMLUK
PC,TEHRI GARHAWAL,TEHRI GARHWAL
PC,TEHRI GARWAL,TEHRI GARHWAL
PC,TELLI CHERRY,TELLICHERRY
PC,TELLI CHERRY,TELLICHERRY
PC,TENKASAI,TENKASI
PC,TANJORE,THANJAVUR
PC,THIRUVELLA,THIRUVALLA
PC,TIRUVALLUR,THIRUVALLUR
PC,TRIVANDRUM,THIRUVANANTHAPURAM
PC,TRIVANDURAM,THIRUVANANTHAPURAM
PC,TIRUVANNAMALAI,THIRUVANNAMALAI
PC,TIRUVANNAMALAI,THIRUVANNAMALAI
PC,TRICHUR,THRISSUR
PC,TIRUCHIRAPALI,TIRUCHIRAPPALLI
PC,TIRUCHIRAPALI,TIRUCHIRAPPALLI
PC,TIRUCHIRAPALLI,TIRUCHIRAPPALLI
PC,TIRUNELVALI,TIRUNELVELI
PC,TIRUPATHI,TIRUPATI
PC,TIRUPATTUR,TIRUPPATTUR
PC,TONK-SAWAI MADHOPUR,TONK
PC,TRICHURE,TRICHUR
PC,TRICHURE,TRICHUR
PC,WANDIWAH,VANDAVASI
PC,WANDIWASH,VANDAVASI
PC,VIKARABAD,VICARABAD
PC,VIJAYAVADA,VIJAYAWADA
PC,VIJAYWADA,VIJAYAWADA
PC,VISAHKAPATNAM,VISAKHAPATNAM
PC,BISHNUPUR,VISHNUPUR
PC,WARRANGAL,WARANGAL
STATE,A AND N ISLANDS,A&N ISLANDS
STATE,ANDAMAN & NICOBAR ISLANDS,A&N ISLANDS
STATE,ANDAMAN AND NICOBAR ISLANDS,A&N ISLANDS
STATE,CHATTISGARH,CHHATTISGARH
STATE,D AND N HAVELI,D&N HAVELI
STATE,DADRA & NAGAR HAVELI,D&N HAVELI
STATE,DADRA AND NAGAR HAVELI,D&N HAVELI
STATE,GOA DAMAN & DIU,"GOA, DAMAN & DIU"
STATE,"GOA, DAMAN AND DIU","GOA, DAMAN & DIU"
STATE,GUJRAT,GUJARAT
STATE,JAMMU AND KASHMIR,JAMMU & KASHMIR
STATE,KERLA,KERALA
STATE,L M AND A ISLANDS,LAKSHADWEEP
STATE,"LACCADIVE, MINICOY AND AMINDIVI ISLANDS",LAKSHADWEEP
STATE,DELHI,NCT OF DELHI
STATE,NATIONAL CAPITAL TERRITORY OF DELHI,NCT OF DELHI
STATE,ORRISA,ORISSA
STATE,PONDICHERRY,PUDUCHERRY
STATE,UTTARANCHAL,UTTARAKHAND
