Field,Source,Target
PC,A AND N ISLANDS,A&N ISLANDS
PC,ANDAMAN & NICOBAR ISLANDS,A&N ISLANDS
PC,ANDAMAN NICOBAR,A&N ISLANDS
PC,AHMADNAGAR,AHMEDNAGAR
PC,ALLEPPEY,ALAPPUZHA
PC,ALIPORE,ALIPURDUARS
PC,AMALAPRUAM,AMALAPURAM
PC,ANANTPUR,ANANTAPUR
PC,ARUPPUKOTTAI,ARUPPUKKOTTAI
PC,AUTONOMOUS DISTRICT,AUTONOMOUS DISTS
PC,AUTONOMOUS DISTRICTS,AUTONOMOUS DISTS
PC,VADAKARA,BADAGARA
PC,BARABANKI,BARA BANKI
PC,BAHARAMPUR,BERHAMPORE
PC,BERHAMPUR,BERHAMPORE
PC,BATHINDA,BHATINDA
PC,BHOLPUR,BOLPUR
PC,BOMBAY CITH NORTH,BOMBAY CITY NORTH
PC,BOMBAY CENTRAL SOUTH,BOMBAY SOUTH CENTRAL
PC,BULDANA,BULDHANA
PC,BURDWAN - DURGAPUR,BURDWAN
PC,CHINGLEPUT,CHENGALPATTU
PC,CHIKKBALLAPUR,CHIKBALLAPUR
PC,CHIKODI,CHIKKODI
PC,CHITTOR,CHITTOOR
PC,CHITORGARH,CHITTORGARH
PC,D AND N HAVELI,DADRA & NAGAR HAVELI
PC,DADAR & NAGAR HAVELI,DADRA & NAGAR HAVELI
PC,DADRA NAGAR HAVELI,DADRA & NAGAR HAVELI
PC,DAMAN AND DIU,DAMAN & DIU
PC,DAVANAGERE,DAVANGERE
PC,DELHI CITY,DELHI SADAR
PC,DHARAMAPURI,DHARMAPURI
PC,DHARWAR NORTH,DHARWAD NORTH
PC,DHARWAR SOUTH,DHARWAD SOUTH
PC,DHENKANAI,DHENKANAL
PC,DHULIA,DHULE
PC,DAIMOND HARBOUR,DIAMOND HARBOUR
PC,DOMARIYAGANJ,DOMARIAGANJ
PC,FEROZPUR,FEROZEPUR
PC,GAZIPUR,GHAZIPUR
PC,GOHICHETTIPALAYAM,GOBICHETTIPALAYAM
PC,BODDA,GODDA
PC,HATRAS,HATHRAS
PC,HATKANANGALE,HATKANANGLE
PC,HAZARI BAGH,HAZARIBAGH
PC,HISAR,HISSAR
PC,HYDRABAD,HYDERABAD
PC,JEHANABAD,JAHANABAD
PC,JULLUNDUR,JALANDHAR
PC,JANJGIR-CHAMPA,JANJGIR
PC,JHALAWAR-BARAN,JHALAWAR
PC,JHUNJHUNU,JHUN JHUNU
PC,KAISARGANJ,KAISERGANJ
PC,CANNANORE,KANNUR
PC,KASARGOD,KASARAGOD
PC,KASERGOD,KASARAGOD
PC,KESSARIA,KESARIA
PC,KHEDA,KHED
PC,QUILON,KOLLAM
PC,QULLON,KOLLAM
PC,KOTAH,KOTA
PC,KRISHNAGAR,KRISHNANAGAR
PC,L M AND A ISLANDS,LAKSHADWEEP
PC,LACCADIVE MINICOY AND AMINDIVI,LAKSHADWEEP
PC,MACHHALISHAHR,MACHHLISHAHR
PC,MADHIPURA,MADHEPURA
PC,NADHUGIRI,MADHUGIRI
PC,MAHBUBABAD,MAHABUBABAD
PC,MAHBUBNAGAR,MAHABUBNAGAR
PC,MAHRAJGANJ,MAHARAJGANJ
PC,MALDAHA DAKSHIN,MALDA
PC,MANDSOUR,MANDSAUR
PC,MANGALDAI,MANGALDOI
PC,MARMAGAO,MARMAGOA
PC,MORMUGAO,MARMAGOA
PC,MAVELIKKARA,MAVELIKARA
PC,MAVILEKARA,MAVELIKARA
PC,MAYILADUTURAI,MAYILADUTHURAI
PC,MERUT,MEERUT
PC,MEDINIPUR,MIDNAPORE
PC,MIDNAPUR,MIDNAPORE
PC,MISHRIKH,MISRIKH
PC,MONGER,MONGHYR
PC,MUVATTPUZHA,MUVATTUPUZHA
PC,MUVATTU PUZHA,MUVATTUPUZHA
PC,NEBADWIP,NABADWIP
PC,NEGERCOIL,NAGERCOIL
PC,NAINI TAL,NAINITAL
PC,NAINITAL-UDHAMSINGH NAGAR,NAINITAL
PC,NANDEO,NANDED
PC,NARSAPUR,NARASAPUR
PC,NARSAPURAM,NARASAPUR
PC,NASIK,NASHIK
PC,NEWDELHI,NEW DELHI
PC,PALGHAT,PALAKKAD
