Constituency,Constituency-code,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,State,State-code
Alwar,8,CHAND NATH,Bharatiya Janata Party,BHANWAR JITENDRA SINGH,Indian National Congress,283895,Result Declared,Rajasthan,S20
Banswara,20,MANSHANKAR NINAMA,Bharatiya Janata Party,RESHAM MALVIYA,Indian National Congress,91916,Result Declared,Rajasthan,S20
Barmer,17,COL. SONA RAM,Bharatiya Janata Party,JASWANT SINGH,Independent,87461,Result Declared,Rajasthan,S20
BHARATPUR,9,BAHADUR SINGH,Bharatiya Janata Party,DR.SURESH JATAV,Indian National Congress,245468,Result Declared,Rajasthan,S20
Bhilwara,23,SUBHASH BAHERIA,Bharatiya Janata Party,ASHOK CHANDNA,Indian National Congress,246264,Result Declared,Rajasthan,S20
Bikaner,2,ARJUN RAM MEGHWAL,Bharatiya Janata Party,ER. SHANKAR PANNU,Indian National Congress,308079,Result Declared,Rajasthan,S20
Chittorgarh,21,CHANDRA PRAKASH JOSHI,Bharatiya Janata Party,GIRIJA VYAS,Indian National Congress,316857,Result Declared,Rajasthan,S20
Churu,3,RAHUL KASWAN,Bharatiya Janata Party,ABHINESH MAHARSHI,Bahujan Samaj Party,294739,Result Declared,Rajasthan,S20
Dausa,11,HARISH CHANDRA MEENA,Bharatiya Janata Party,DR. KIRODI LAL,National Peoples Party,45404,Result Declared,Rajasthan,S20
Ganganagar,1,NIHALCHAND,Bharatiya Janata Party,MASTER BHANWARLAL MEGHWAL,Indian National Congress,291741,Result Declared,Rajasthan,S20
Jaipur,7,RAMCHARAN BOHARA,Bharatiya Janata Party,DR. MAHESH JOSHI,Indian National Congress,539345,Result Declared,Rajasthan,S20
Jaipur Rural,6,RAJYAVARDHAN SINGH RATHORE,Bharatiya Janata Party,DR. C.P. JOSHI,Indian National Congress,332896,Result Declared,Rajasthan,S20
Jalore,18,DEVJI PATEL,Bharatiya Janata Party,ANJANA UDAI LAL,Indian National Congress,381145,Result Declared,Rajasthan,S20
JHALAWAR-BARAN,25,DUSHYANT SINGH,Bharatiya Janata Party,PRAMOD BHAYA,Indian National Congress,281546,Result Declared,Rajasthan,S20
Jhunjhunu,4,SANTOSH AHLAWAT,Bharatiya Janata Party,RAJ BALA OLA,Indian National Congress,233835,Result Declared,Rajasthan,S20
Jodhpur,16,GAJENDRASINGH SHEKHAWAT,Bharatiya Janata Party,CHANDRESH KUMARI,Indian National Congress,410051,Result Declared,Rajasthan,S20
KARAULI-DHOLPUR,10,MANOJ RAJORIA,Bharatiya Janata Party,LAKKHIRAM,Indian National Congress,27216,Result Declared,Rajasthan,S20
Kota,24,OM BIRLA,Bharatiya Janata Party,IJYARAJ SINGH,Indian National Congress,200782,Result Declared,Rajasthan,S20
Nagaur,14,C R CHOUDHARY,Bharatiya Janata Party,DR JYOTI MIRDHA,Indian National Congress,75218,Result Declared,Rajasthan,S20
Pali,15,P P CHOUDHARY,Bharatiya Janata Party,MUNNI DEVI GODARA,Indian National Congress,399039,Result Declared,Rajasthan,S20
Rajsamand,22,HARIOM SINGH RATHORE,Bharatiya Janata Party,GOPAL SINGH SHEKHAWAT,Indian National Congress,395705,Result Declared,Rajasthan,S20
Sikar,5,SUMEDHANAND SARASWATI,Bharatiya Janata Party,PRATAP SINGH JAT,Indian National Congress,239196,Result Declared,Rajasthan,S20
TONK-SAWAI MADHOPUR,12,SUKHBIR SINGH JAUNAPURIA,Bharatiya Janata Party,MOHAMMED AZHARUDDIN,Indian National Congress,135311,Result Declared,Rajasthan,S20
Udaipur,19,ARJUNLAL MEENA,Bharatiya Janata Party,RAGHUVIR SINGH,Indian National Congress,236762,Result Declared,Rajasthan,S20
Sikkim,1,PREM DAS RAI,Sikkim Democratic Front,TEK NATH DHAKAL,Sikkim Krantikari Morcha,41742,Result Declared,Sikkim,S21
Arakkonam,7,"HARI, G.",All India Anna Dravida Munnetra Kazhagam,"ELANGO, N.R",Dravida Munnetra Kazhagam,240766,Result Declared,Tamil Nadu,S22
Arani,12,V.ELUMALAI,All India Anna Dravida Munnetra Kazhagam,R.SIVANANDAM,Dravida Munnetra Kazhagam,243844,Result Declared,Tamil Nadu,S22
Chennai central,4,S.R. VIJAYAKUMAR,All India Anna Dravida Munnetra Kazhagam,DAYANIDHI MARAN,Dravida Munnetra Kazhagam,45841,Result Declared,Tamil Nadu,S22
Chennai North,2,VENKATESH BABU .T.G,All India Anna Dravida Munnetra Kazhagam,GIRIRAJAN .R,Dravida Munnetra Kazhagam,99704,Result Declared,Tamil Nadu,S22
Chennai South,3,DR. J. JAYAVARDHAN,All India Anna Dravida Munnetra Kazhagam,T.K.S.ELANGOVAN,Dravida Munnetra Kazhagam,136625,Result Declared,Tamil Nadu,S22
Chidambaram,27,"CHANDRAKASI, M",All India Anna Dravida Munnetra Kazhagam,"THIRUMAAVALAVAN, THOL",Viduthalai Chiruthaigal Katchi,128495,Result Declared,Tamil Nadu,S22
Coimbatore,20,"NAGARAJAN, P.",All India Anna Dravida Munnetra Kazhagam,"RADHAKRISHNAN, C.P.",Bharatiya Janata Party,42016,Result Declared,Tamil Nadu,S22
Cuddalore,26,ARUNMOZHITHEVAN.A,All India Anna Dravida Munnetra Kazhagam,NANDAGOPALAKRISHNAN.K.,Dravida Munnetra Kazhagam,203125,Result Declared,Tamil Nadu,S22
Dharmapuri,10,ANBUMANI RAMADOSS,Pattali Makkal Katchi,MOHAN.P.S,All India Anna Dravida Munnetra Kazhagam,77146,Result Declared,Tamil Nadu,S22
Dindigul,22,UDHAYA KUMAR .M,All India Anna Dravida Munnetra Kazhagam,GANDHIRAJAN S,Dravida Munnetra Kazhagam,127845,Result Declared,Tamil Nadu,S22
Erode,17,SELVAKUMARA CHINNAYAN S,All India Anna Dravida Munnetra Kazhagam,GANESHAMURTHI.A,Marumalarchi Dravida Munnetra Kazhagam,211563,Result Declared,Tamil Nadu,S22
Kallakurichi,14,KAMARAJ. K,All India Anna Dravida Munnetra Kazhagam,MANIMARAN. R,Dravida Munnetra Kazhagam,223507,Result Declared,Tamil Nadu,S22
Kancheepuram,6,MARAGATHAM  K,All India Anna Dravida Munnetra Kazhagam,SELVAM  G,Dravida Munnetra Kazhagam,146866,Result Declared,Tamil Nadu,S22
Kanniyakumari,39,RADHAKRISHNAN P.,Bharatiya Janata Party,VASANTHA KUMAR H.,Indian National Congress,128662,Result Declared,Tamil Nadu,S22
Karur,23,"THAMBIDURAI,M.",All India Anna Dravida Munnetra Kazhagam,"CHINNASAMY, M.",Dravida Munnetra Kazhagam,195247,Result Declared,Tamil Nadu,S22
Krishnagiri,9,ASHOK KUMAR.K,All India Anna Dravida Munnetra Kazhagam,CHINNA PILLAPPA.P,Dravida Munnetra Kazhagam,206591,Result Declared,Tamil Nadu,S22
Madurai,32,R.GOPALAKRISHNAN,All India Anna Dravida Munnetra Kazhagam,V VELUSAMY,Dravida Munnetra Kazhagam,197436,Result Declared,Tamil Nadu,S22
Mayiladuthurai,28,BHARATHI MOHAN R.K,All India Anna Dravida Munnetra Kazhagam,HYDER ALI.S,Manithaneya Makkal Katchi,277050,Result Declared,Tamil Nadu,S22
Nagapattinam,29,GOPAL. DR. K,All India Anna Dravida Munnetra Kazhagam,VIJAYAN. A.K.S,Dravida Munnetra Kazhagam,106079,Result Declared,Tamil Nadu,S22
Namakkal,16,SUNDARAM P.R,All India Anna Dravida Munnetra Kazhagam,GANDHISELVAN.S,Dravida Munnetra Kazhagam,294374,Result Declared,Tamil Nadu,S22
Nilgiris,19,"GOPALAKRISHNAN, C.",All India Anna Dravida Munnetra Kazhagam,"RAJA, A.",Dravida Munnetra Kazhagam,104940,Result Declared,Tamil Nadu,S22
Perambalur,25,"MARUTHARAJAA, R.P.",All India Anna Dravida Munnetra Kazhagam,"SEEMANUR  PRABU, S.",Dravida Munnetra Kazhagam,213048,Result Declared,Tamil Nadu,S22
Pollachi,21,MAHENDRAN.C,All India Anna Dravida Munnetra Kazhagam,ESWARAN.E.R.,Bharatiya Janata Party,140974,Result Declared,Tamil Nadu,S22
Ramanathapuram,35,ANWHAR RAAJHAA.A,All India Anna Dravida Munnetra Kazhagam,MOHAMED JALEEL .S,Dravida Munnetra Kazhagam,119324,Result Declared,Tamil Nadu,S22
Salem,15,PANNERSELVAM.V,All India Anna Dravida Munnetra Kazhagam,UMARANI. S,Dravida Munnetra Kazhagam,267610,Result Declared,Tamil Nadu,S22
Sivaganga,31,SENTHILNATHAN PR,All India Anna Dravida Munnetra Kazhagam,DHURAI RAAJ SUBHA,Dravida Munnetra Kazhagam,229385,Result Declared,Tamil Nadu,S22
Sriperumbudur,5,"RAMACHANDRAN, K.N. THIRU",All India Anna Dravida Munnetra Kazhagam,"JAGATHRAKSHAKAN, S. THIRU",Dravida Munnetra Kazhagam,102646,Result Declared,Tamil Nadu,S22
Tenkasi,37,VASANTHI.M,All India Anna Dravida Munnetra Kazhagam,DR.KRISHNASAMY.K.,Puthiya Tamilagam,161774,Result Declared,Tamil Nadu,S22
Thanjavur,30,PARASURAMAN.K,All India Anna Dravida Munnetra Kazhagam,BAALU.T.R,Dravida Munnetra Kazhagam,144119,Result Declared,Tamil Nadu,S22
Theni,33,"PARTHIPAN, R.",All India Anna Dravida Munnetra Kazhagam,PON. MUTHURAMALINGAM,Dravida Munnetra Kazhagam,314532,Result Declared,Tamil Nadu,S22
Thiruvallur,1,VENUGOPAL.P.(DR),All India Anna Dravida Munnetra Kazhagam,RAVIKUMAR.D,Viduthalai Chiruthaigal Katchi,323430,Result Declared,Tamil Nadu,S22
Thoothukkudi,36,JEYASINGH THIYAGARAJ NATTERJEE.J,All India Anna Dravida Munnetra Kazhagam,JEGAN. P,Dravida Munnetra Kazhagam,124002,Result Declared,Tamil Nadu,S22
Tiruchirappalli,24,KUMAR.P,All India Anna Dravida Munnetra Kazhagam,ANBHALAGAN.MU,Dravida Munnetra Kazhagam,150476,Result Declared,Tamil Nadu,S22
Tirunelveli,38,PRABAKARAN.K.R.P,All India Anna Dravida Munnetra Kazhagam,DEVADASA SUNDARAM,Dravida Munnetra Kazhagam,126099,Result Declared,Tamil Nadu,S22
Tiruppur,18,V.SATHYABAMA,All India Anna Dravida Munnetra Kazhagam,N.DINESHKUMAR,Desiya Murpokku Dravida Kazhagam,179315,Result Declared,Tamil Nadu,S22
Tiruvannamalai,11,VANAROJA R,All India Anna Dravida Munnetra Kazhagam,ANNADURAI C N,Dravida Munnetra Kazhagam,168606,Result Declared,Tamil Nadu,S22
Vellore,8,"SENGUTTUVAN, B.",All India Anna Dravida Munnetra Kazhagam,"SHANMUGAM, A.C.",Bharatiya Janata Party,59393,Result Declared,Tamil Nadu,S22
Viluppuram,13,RAJENDRAN S,All India Anna Dravida Munnetra Kazhagam,MUTHAIYAN K DR,Dravida Munnetra Kazhagam,193367,Result Declared,Tamil Nadu,S22
Virudhunagar,34,RADHAKRISHNAN T,All India Anna Dravida Munnetra Kazhagam,VAIKO,Marumalarchi Dravida Munnetra Kazhagam,145551,Result Declared,Tamil Nadu,S22
Tripura East,2,JITENDRA CHOUDHURY,Communist Party of India  (Marxist),SACHITRA DEBBARMA,Indian National Congress,484358,Result Declared,Tripura,S23
Tripura West,1,SANKAR PRASAD DATTA,Communist Party of India  (Marxist),ARUNODAY SAHA,Indian National Congress,503486,Result Declared,Tripura,S23
Agra,18,DR. RAM SHANKAR KATHERIA,Bharatiya Janata Party,NARAYAN SINGH SUMAN,Bahujan Samaj Party,300263,Result Declared,Uttar Pradesh,S24
Akbarpur,44,DEVENDRA SINGH @ BHOLE SINGH,Bharatiya Janata Party,ANIL SHUKLA WARSI,Bahujan Samaj Party,278997,Result Declared,Uttar Pradesh,S24
Aligarh,15,SATISH KUMAR,Bharatiya Janata Party,DR. ARVIND KUMAR SINGH,Bahujan Samaj Party,286736,Result Declared,Uttar Pradesh,S24
Allahabad,52,SHYAMA CHARAN GUPTA,Bharatiya Janata Party,KUNWAR REWATI RAMAN SINGH ALIAS MANI,Samajwadi Party,62009,Result Declared,Uttar Pradesh,S24
Ambedkar Nagar,55,HARI OM PANDEY,Bharatiya Janata Party,RAKESH PANDEY,Bahujan Samaj Party,139429,Result Declared,Uttar Pradesh,S24
Amethi,37,RAHUL GANDHI,Indian National Congress,SMRITI ZUBIN IRANI,Bharatiya Janata Party,107903,Result Declared,Uttar Pradesh,S24
Amroha,9,KANWAR SINGH TANWAR,Bharatiya Janata Party,HUMERA AKHTAR,Samajwadi Party,158214,Result Declared,Uttar Pradesh,S24
Aonla,24,DHARMENDRA KUMAR,Bharatiya Janata Party,KUNWAR SARVRAJ SINGH,Samajwadi Party,138429,Result Declared,Uttar Pradesh,S24
Azamgarh,69,MULAYAM SINGH YADAV,Samajwadi Party,RAMAKANT YADAV,Bharatiya Janata Party,63204,Result Declared,Uttar Pradesh,S24
Badaun,23,DHARMENDRA YADAV,Samajwadi Party,VAGISH PATHAK,Bharatiya Janata Party,166347,Result Declared,Uttar Pradesh,S24
Baghpat,11,DR. SATYA PAL SINGH,Bharatiya Janata Party,GHULAM MOHAMMED,Samajwadi Party,209866,Result Declared,Uttar Pradesh,S24
Bahraich,56,SADHVI SAVITRI BAI FOOLE,Bharatiya Janata Party,SHABBIR AHMAD,Samajwadi Party,95645,Result Declared,Uttar Pradesh,S24
Ballia,72,BHARAT SINGH,Bharatiya Janata Party,NEERAJ SHEKHAR,Samajwadi Party,139434,Result Declared,Uttar Pradesh,S24
Banda,48,BHAIRON PRASAD MISHRA,Bharatiya Janata Party,R. K. SINGH PATEL,Bahujan Samaj Party,115788,Result Declared,Uttar Pradesh,S24
Bansgaon,67,KAMLESH PASWAN,Bharatiya Janata Party,SADAL PRASAD,Bahujan Samaj Party,189516,Result Declared,Uttar Pradesh,S24
Barabanki,53,PRIYANKA SINGH RAWAT,Bharatiya Janata Party,P. L. PUNIA,Indian National Congress,211878,Result Declared,Uttar Pradesh,S24
Bareilly,25,SANTOSH KUMAR GANGWAR,Bharatiya Janata Party,AYESHA ISLAM,Samajwadi Party,240685,Result Declared,Uttar Pradesh,S24
Basti,61,HARISH CHANDRA  ALIAS  HARISH DWIVEDI,Bharatiya Janata Party,"BRIJ KISHOR SINGH ""DIMPAL""",Samajwadi Party,33562,Result Declared,Uttar Pradesh,S24
Bhadohi,78,VIRENDRA SINGH,Bharatiya Janata Party,RAKESH DHAR TRIPATHI,Bahujan Samaj Party,158039,Result Declared,Uttar Pradesh,S24
Bijnor,4,KUNWAR BHARTENDRA,Bharatiya Janata Party,SHAHNAWAZ RANA,Samajwadi Party,205774,Result Declared,Uttar Pradesh,S24
Bulandshahr,14,BHOLA SINGH,Bharatiya Janata Party,PRADEEP KUMAR JATAV,Bahujan Samaj Party,421973,Result Declared,Uttar Pradesh,S24
Chandauli,76,DR MAHENDRA NATH PANDEY,Bharatiya Janata Party,ANIL KUMAR MAURYA,Bahujan Samaj Party,156756,Result Declared,Uttar Pradesh,S24
Deoria,66,KALRAJ MISHRA,Bharatiya Janata Party,NIYAJ AHMAD,Bahujan Samaj Party,265386,Result Declared,Uttar Pradesh,S24
Dhaurahra,29,REKHA,Bharatiya Janata Party,DAUD AHMAD,Bahujan Samaj Party,125675,Result Declared,Uttar Pradesh,S24
Domariyaganj,60,JAGDAMBIKA PAL,Bharatiya Janata Party,MUHAMMAD MUQEEM,Bahujan Samaj Party,103588,Result Declared,Uttar Pradesh,S24
Etah,22,RAJVEER SINGH (RAJU BHAIYA),Bharatiya Janata Party,KU. DEVENDRA SINGH YADAV,Samajwadi Party,201001,Result Declared,Uttar Pradesh,S24
Etawah,41,ASHOK KUMAR DOHAREY,Bharatiya Janata Party,PREMDAS KATERIYA,Samajwadi Party,172946,Result Declared,Uttar Pradesh,S24
Faizabad,54,LALLU SINGH,Bharatiya Janata Party,MITRASEN YADAV,Samajwadi Party,282775,Result Declared,Uttar Pradesh,S24
Farrukhabad,40,MUKESH RAJPUT,Bharatiya Janata Party,RAMESHWAR SINGH YADAV,Samajwadi Party,150502,Result Declared,Uttar Pradesh,S24
Fatehpur,49,NIRANJAN JYOTI,Bharatiya Janata Party,AFZAL SIDDIQUI,Bahujan Samaj Party,187206,Result Declared,Uttar Pradesh,S24
Fatehpur Sikri,19,BABULAL,Bharatiya Janata Party,SEEMA UPADHYAY,Bahujan Samaj Party,173106,Result Declared,Uttar Pradesh,S24
Firozabad,20,AKSHAY YADAV,Samajwadi Party,PROF. S.P. SINGH BAGHEL,Bharatiya Janata Party,114059,Result Declared,Uttar Pradesh,S24
Gautam Buddha Nagar,13,DR.MAHESH  SHARMA,Bharatiya Janata Party,NARENDRA BHATI,Samajwadi Party,280212,Result Declared,Uttar Pradesh,S24
Ghaziabad,12,VIJAY KUMAR SINGH,Bharatiya Janata Party,RAJ BABBAR,Indian National Congress,567260,Result Declared,Uttar Pradesh,S24
Ghazipur,75,MANOJ SINHA,Bharatiya Janata Party,SMT SHIVKANYA KUSHWAHA,Samajwadi Party,32452,Result Declared,Uttar Pradesh,S24
Ghosi,70,HARINARAYAN RAJBHAR,Bharatiya Janata Party,DARA SINGH CHAUHAN,Bahujan Samaj Party,146015,Result Declared,Uttar Pradesh,S24
Gonda,59,KIRTI VARDHAN SINGH,Bharatiya Janata Party,NANDITA SHUKLA,Samajwadi Party,160416,Result Declared,Uttar Pradesh,S24
Gorakhpur,64,ADITYANATH,Bharatiya Janata Party,RAJMATI NISHAD,Samajwadi Party,312783,Result Declared,Uttar Pradesh,S24
Hamirpur,47,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,BISHAMBHAR PRASAD NISHAD,Samajwadi Party,266788,Result Declared,Uttar Pradesh,S24
Hardoi,31,ANSHUL VERMA,Bharatiya Janata Party,SHIVE PRASAD VERMA,Bahujan Samaj Party,81343,Result Declared,Uttar Pradesh,S24
Hathras,16,RAJESH KUMAR DIWAKER,Bharatiya Janata Party,MANOJ KUMAR SONI,Bahujan Samaj Party,326386,Result Declared,Uttar Pradesh,S24
Jalaun,45,BHANU PRATAP SINGH VERMA,Bharatiya Janata Party,BRIJLAL KHABRI,Bahujan Samaj Party,287202,Result Declared,Uttar Pradesh,S24
Jaunpur,73,KRISHNA PRATAP 'K.P.',Bharatiya Janata Party,SUBHASH PANDEY,Bahujan Samaj Party,146310,Result Declared,Uttar Pradesh,S24
Jhansi,46,UMA BHARATI,Bharatiya Janata Party,DR. CHANDRAPAL SINGH YADAV,Samajwadi Party,190467,Result Declared,Uttar Pradesh,S24
Kairana,2,HUKUM SINGH,Bharatiya Janata Party,NAHID HASAN,Samajwadi Party,236828,Result Declared,Uttar Pradesh,S24
Kaiserganj,57,BRIJ BHUSAN SHARAN SINGH,Bharatiya Janata Party,VINOD KUMAR ALIAS  PANDIT SINGH,Samajwadi Party,78218,Result Declared,Uttar Pradesh,S24
Kannauj,42,DIMPLE YADAV,Samajwadi Party,SUBRAT PATHAK,Bharatiya Janata Party,19907,Result Declared,Uttar Pradesh,S24
Kanpur,43,DR.MURLI MANOHAR JOSHI,Bharatiya Janata Party,SRIPRAKASH JAISWAL,Indian National Congress,222946,Result Declared,Uttar Pradesh,S24
Kaushambi,50,VINOD KUMAR SONKAR,Bharatiya Janata Party,SHAILENDRA KUMAR,Samajwadi Party,42847,Result Declared,Uttar Pradesh,S24
Kheri,28,AJAY KUMAR,Bharatiya Janata Party,ARVIND GIRI,Bahujan Samaj Party,110274,Result Declared,Uttar Pradesh,S24
Kushi Nagar,65,RAJESH PANDEY URF GUDDU,Bharatiya Janata Party,KUNWAR RATANJIT PRATAP NARAIN SINGH,Indian National Congress,85540,Result Declared,Uttar Pradesh,S24
Lalganj,68,NEELAM SONKAR,Bharatiya Janata Party,BECHAI SAROJ,Samajwadi Party,63086,Result Declared,Uttar Pradesh,S24
Lucknow,35,RAJ NATH SINGH,Bharatiya Janata Party,PROF. RITA BAHUGUNA JOSHI,Indian National Congress,272749,Result Declared,Uttar Pradesh,S24
Machhlishahr,74,RAM CHARITRA NISHAD,Bharatiya Janata Party,BHOLANATH ALIAS B.P. SAROJ,Bahujan Samaj Party,172155,Result Declared,Uttar Pradesh,S24
Maharajganj,63,PANKAJ,Bharatiya Janata Party,KASHI NATH SHUKLA,Bahujan Samaj Party,240458,Result Declared,Uttar Pradesh,S24
Mainpuri,21,MULAYAM SINGH YADAV,Samajwadi Party,SHATRUGHAN SINGH CHAUHAN,Bharatiya Janata Party,364666,Result Declared,Uttar Pradesh,S24
Mathura,17,HEMA MALINI,Bharatiya Janata Party,JAYANT CHAUDHARY,Rashtriya Lok Dal,330743,Result Declared,Uttar Pradesh,S24
Meerut,10,RAJENDRA AGARWAL,Bharatiya Janata Party,MOHD.SHAHID AKHLAK,Bahujan Samaj Party,232326,Result Declared,Uttar Pradesh,S24
Mirzapur,79,ANUPRIYA SINGH PATEL,Apna Dal,SAMUDRA BIND,Bahujan Samaj Party,219079,Result Declared,Uttar Pradesh,S24
Misrikh,32,ANJU BALA,Bharatiya Janata Party,ASHOK KUMAR RAWAT,Bahujan Samaj Party,87363,Result Declared,Uttar Pradesh,S24
Mohanlalganj,34,KAUSHAL KISHORE,Bharatiya Janata Party,R.K CHAUDHARY,Bahujan Samaj Party,145416,Result Declared,Uttar Pradesh,S24
Moradabad,6,KUNWER SARVESH KUMAR,Bharatiya Janata Party,DR S T HASAN,Samajwadi Party,87504,Result Declared,Uttar Pradesh,S24
Muzaffarnagar,3,(DR.) SANJEEV KUMAR BALYAN,Bharatiya Janata Party,KADIR RANA,Bahujan Samaj Party,401150,Result Declared,Uttar Pradesh,S24
Nagina,5,YASHWANT SINGH,Bharatiya Janata Party,YASHVIR SINGH,Samajwadi Party,92390,Result Declared,Uttar Pradesh,S24
Phulpur,51,KESHAV PRASAD MAURYA,Bharatiya Janata Party,DHARAM RAJ SINGH PATEL,Samajwadi Party,308308,Result Declared,Uttar Pradesh,S24
Pilibhit,26,MANEKA SANJAY GANDHI,Bharatiya Janata Party,BUDHSEN VERMA,Samajwadi Party,307052,Result Declared,Uttar Pradesh,S24
Pratapgarh,39,KUWAR HARIVANSH SINGH,Apna Dal,ASIF NIZAMUDDIN SIDDIQUE,Bahujan Samaj Party,168222,Result Declared,Uttar Pradesh,S24
Rae Bareli,36,SONIA GANDHI,Indian National Congress,AJAY AGRAWAL,Bharatiya Janata Party,352713,Result Declared,Uttar Pradesh,S24
Rampur,7,DR. NEPAL SINGH,Bharatiya Janata Party,NASEER AHMAD KHAN,Samajwadi Party,23435,Result Declared,Uttar Pradesh,S24
Robertsganj,80,CHHOTELAL,Bharatiya Janata Party,SHARADA PRASAD,Bahujan Samaj Party,190486,Result Declared,Uttar Pradesh,S24
Saharanpur,1,RAGHAV LAKHANPAL,Bharatiya Janata Party,IMRAN MASOOD,Indian National Congress,65090,Result Declared,Uttar Pradesh,S24
Salempur,71,RAVINDRA KUSHAWAHA,Bharatiya Janata Party,"RAVI SHANKER SINGH""PAPPU""",Bahujan Samaj Party,232342,Result Declared,Uttar Pradesh,S24
Sambhal,8,SATYAPAL SINGH,Bharatiya Janata Party,DR SHAFIQ- UR RAHMAN BARQ,Samajwadi Party,5174,Result Declared,Uttar Pradesh,S24
Sant Kabir Nagar,62,SHARAD TRIPATHI,Bharatiya Janata Party,BHISM SHANKAR ALIAS KUSHAL TIWARI,Bahujan Samaj Party,97978,Result Declared,Uttar Pradesh,S24
Shahjahanpur,27,KRISHNA RAJ,Bharatiya Janata Party,UMED SINGH KASHYAP,Bahujan Samaj Party,235529,Result Declared,Uttar Pradesh,S24
Shrawasti,58,DADDAN MISHRA,Bharatiya Janata Party,ATIQ AHMAD,Samajwadi Party,85913,Result Declared,Uttar Pradesh,S24
Sitapur,30,RAJESH VERMA,Bharatiya Janata Party,KAISER JAHAN,Bahujan Samaj Party,51027,Result Declared,Uttar Pradesh,S24
Sultanpur,38,FEROZE VARUN GANDHI,Bharatiya Janata Party,PAWAN PANDEY,Bahujan Samaj Party,178902,Result Declared,Uttar Pradesh,S24
Unnao,33,SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,ARUN SHANKAR SHUKLA,Samajwadi Party,310173,Result Declared,Uttar Pradesh,S24
Varanasi,77,NARENDRA MODI,Bharatiya Janata Party,ARVIND KEJRIWAL,Aam Aadmi Party,371784,Result Declared,Uttar Pradesh,S24
Alipurduars,2,DASRATH TIRKEY,All India Trinamool Congress,MANOHAR TIRKEY,Revolutionary Socialist Party,21397,Result Declared,West Bengal,S25
Arambagh,29,APARUPA PODDAR (AFRIN ALI),All India Trinamool Congress,SAKTIMOHAN MALIK,Communist Party of India  (Marxist),346845,Result Declared,West Bengal,S25
Asansol,40,BABUL SUPRIYA BARAL (BABUL SUPRIYO),Bharatiya Janata Party,DOLA SEN,All India Trinamool Congress,70480,Result Declared,West Bengal,S25
Baharampur,10,ADHIR RANJAN CHOWDHURY,Indian National Congress,INDRANIL SEN,All India Trinamool Congress,356567,Result Declared,West Bengal,S25
Balurghat,6,ARPITA GHOSH,All India Trinamool Congress,BIMALENDU SARKAR (BIMAL),Revolutionary Socialist Party,106964,Result Declared,West Bengal,S25
Bangaon,14,KAPIL KRISHNA THAKUR,All India Trinamool Congress,DEBESH DAS,Communist Party of India  (Marxist),146601,Result Declared,West Bengal,S25
Bankura,36,SREEMATI  DEV VARMA (MOON MOON SEN),All India Trinamool Congress,ACHARIA BASUDEB,Communist Party of India  (Marxist),98506,Result Declared,West Bengal,S25
Barasat,17,DR. KAKALI GHOSHDOSTIDAR,All India Trinamool Congress,DR. MORTOZA HOSSAIN,All India Forward Bloc,173141,Result Declared,West Bengal,S25
Bardhaman Purba,38,SUNIL KUMAR MONDAL,All India Trinamool Congress,ISWAR CHANDRA DAS,Communist Party of India  (Marxist),114479,Result Declared,West Bengal,S25
Barrackpore,15,DINESH TRIVEDI,All India Trinamool Congress,SUBHASHINI ALI,Communist Party of India  (Marxist),206773,Result Declared,West Bengal,S25
Basirhat,18,IDRIS ALI,All India Trinamool Congress,NURUL HUDA,Communist Party of India,109659,Result Declared,West Bengal,S25
Birbhum,42,SATABDI ROY,All India Trinamool Congress,DR. ELAHI KAMRE MAHAMMAD,Communist Party of India  (Marxist),67263,Result Declared,West Bengal,S25
Bishnupur,37,KHAN SAUMITRA,All India Trinamool Congress,SUSMITA BAURI,Communist Party of India  (Marxist),149685,Result Declared,West Bengal,S25
Bolpur,41,ANUPAM HAZRA,All India Trinamool Congress,DOME RAMCHANDRA,Communist Party of India  (Marxist),236112,Result Declared,West Bengal,S25
Burdwan - durgapur,39,DR. MAMTAZ SANGHAMITA,All India Trinamool Congress,SK. SAIDUL HAQUE,Communist Party of India  (Marxist),107331,Result Declared,West Bengal,S25
Cooch behar,1,RENUKA SINHA,All India Trinamool Congress,DIPAK KUMAR ROY,All India Forward Bloc,87107,Result Declared,West Bengal,S25
Darjeeling,4,S.S.AHLUWALIA,Bharatiya Janata Party,BHAI CHUNG BHUTIA,All India Trinamool Congress,197239,Result Declared,West Bengal,S25
Diamond harbour,21,ABHISHEK BANERJEE,All India Trinamool Congress,DR. ABUL HASNAT,Communist Party of India  (Marxist),71298,Result Declared,West Bengal,S25
Dum dum,16,SAUGATA ROY,All India Trinamool Congress,ASIM KUMAR DASGUPTA,Communist Party of India  (Marxist),154934,Result Declared,West Bengal,S25
Ghatal,32,ADHIKARI DEEPAK (DEV),All India Trinamool Congress,SANTOSH RANA,Communist Party of India,260891,Result Declared,West Bengal,S25
Hooghly,28,DR. RATNA DE (NAG),All India Trinamool Congress,PRADIP SAHA,Communist Party of India  (Marxist),189084,Result Declared,West Bengal,S25
Howrah,25,PRASUN BANERJEE,All India Trinamool Congress,SRIDIP BHATTACHARYA,Communist Party of India  (Marxist),196956,Result Declared,West Bengal,S25
