Candidate,Party,Votes,State,Constituency,State-code,Constituency-code
BURJABARIKI DHANARAJU,Aam Aadmi Party,4857,Andhra Pradesh,Aruku,S01,18
SALLANGI RATNAM,Independent,4499,Andhra Pradesh,Aruku,S01,18
IILLA RAMI REDDY,Independent,4437,Andhra Pradesh,Aruku,S01,18
VANUGU SANKARARAO,Independent,2912,Andhra Pradesh,Aruku,S01,18
None of the Above,None of the Above,10413,Andhra Pradesh,Aruku,S01,18
RAMMOHAN NAIDU KINJARAPU,Telugu Desam,556163,Andhra Pradesh,Srikakulam,S01,19
REDDY SHANTHI,Yuvajana Sramika Rythu Congress Party,428591,Andhra Pradesh,Srikakulam,S01,19
KILLI KRUPARANI,Indian National Congress,24163,Andhra Pradesh,Srikakulam,S01,19
PAIDI RAJA RAO,Jai Samaikyandhra Party,11422,Andhra Pradesh,Srikakulam,S01,19
BODDEPALLI RAJARAO,Bahujan Samaj Party,8047,Andhra Pradesh,Srikakulam,S01,19
VASUDEVA RAO BODDU,Communist Party of India  (Marxist-Leninist)  (Liberation),5131,Andhra Pradesh,Srikakulam,S01,19
KADIYAM JAYALAKSHMI,Pyramid Party of India,5021,Andhra Pradesh,Srikakulam,S01,19
JAIDEV INJARAPU,Aam Aadmi Party,2557,Andhra Pradesh,Srikakulam,S01,19
TOTA TEJESWARA RAO,Independent,2144,Andhra Pradesh,Srikakulam,S01,19
KINJARAPU TEJESWARA RAO,Independent,2074,Andhra Pradesh,Srikakulam,S01,19
None of the Above,None of the Above,6133,Andhra Pradesh,Srikakulam,S01,19
ASHOK GAJAPATHI RAJU PUSAPATI,Telugu Desam,536170,Andhra Pradesh,Vizianagaram,S01,20
VENKATA SWETHA CHALAPATHI KUMARA KRISHNA RANGARAO RAVU,Yuvajana Sramika Rythu Congress Party,429193,Andhra Pradesh,Vizianagaram,S01,20
JHANSI LAKSHMI BOTCHA,Indian National Congress,122483,Andhra Pradesh,Vizianagaram,S01,20
PRASADA RAO NANDA,Pyramid Party of India,6395,Andhra Pradesh,Vizianagaram,S01,20
YELLA RAO SIYYADULA,Independent,5122,Andhra Pradesh,Vizianagaram,S01,20
BONU KRISHNA,Bahujan Samaj Party,4091,Andhra Pradesh,Vizianagaram,S01,20
HARIKISHAN KUPPILI,Independent,3600,Andhra Pradesh,Vizianagaram,S01,20
TADIVAKA RAMESH NAIDU,Jai Samaikyandhra Party,3388,Andhra Pradesh,Vizianagaram,S01,20
NARU SIMHADRI NAIDU,Aam Aadmi Party,2504,Andhra Pradesh,Vizianagaram,S01,20
None of the Above,None of the Above,6525,Andhra Pradesh,Vizianagaram,S01,20
KAMBHAMPATI HARI BABU,Bharatiya Janata Party,505430,Andhra Pradesh,Visakhapatnam,S01,21
Y.S VIJAYAMMA,Yuvajana Sramika Rythu Congress Party,418248,Andhra Pradesh,Visakhapatnam,S01,21
BOLISETTI SATYANARAYANA (SATYA),Indian National Congress,44268,Andhra Pradesh,Visakhapatnam,S01,21
IMANDI VENKATA KURMARAO,Bahujan Samaj Party,13552,Andhra Pradesh,Visakhapatnam,S01,21
SABBAM HARI,Jai Samaikyandhra Party,5722,Andhra Pradesh,Visakhapatnam,S01,21
KUNA RAMAM,Aam Aadmi Party,5370,Andhra Pradesh,Visakhapatnam,S01,21
TANUKU DIVAKAR,Independent,4967,Andhra Pradesh,Visakhapatnam,S01,21
JT RAMARAO,Samaikyandhra Parirakshana Samithi,3951,Andhra Pradesh,Visakhapatnam,S01,21
DADI JYOTHI BHAVANI,Pyramid Party of India,2470,Andhra Pradesh,Visakhapatnam,S01,21
DURGAPRASAD GUNTU,Independent,2400,Andhra Pradesh,Visakhapatnam,S01,21
NAGENDRA SAIRAM,Independent,2219,Andhra Pradesh,Visakhapatnam,S01,21
KURADA SATYANARAYANA PATNAIK,Independent,1762,Andhra Pradesh,Visakhapatnam,S01,21
DR BHAVANI SANKAR SASTRY.A,Indian Christian Secular Party,1743,Andhra Pradesh,Visakhapatnam,S01,21
KUTIKUPPALA SURYA RAO,Independent,1735,Andhra Pradesh,Visakhapatnam,S01,21
UMAMAHESWARARAO ARETI,Independent,1648,Andhra Pradesh,Visakhapatnam,S01,21
SEEMAKURTHI SRINUVASU (BHAGHAVAN SRINU),Independent,1627,Andhra Pradesh,Visakhapatnam,S01,21
CHALAPATHIRAO RONANKI,Independent,1475,Andhra Pradesh,Visakhapatnam,S01,21
J. PADMAJA,Independent,1419,Andhra Pradesh,Visakhapatnam,S01,21
SREENADH REDDY,Independent,1296,Andhra Pradesh,Visakhapatnam,S01,21
CHANDRASEKHAR BUDDA,Independent,1221,Andhra Pradesh,Visakhapatnam,S01,21
GEDELA KRISHNARAO,Independent,1035,Andhra Pradesh,Visakhapatnam,S01,21
BRAHMA SWAROOP KASIBHATTA,Independent,904,Andhra Pradesh,Visakhapatnam,S01,21
None of the Above,None of the Above,6384,Andhra Pradesh,Visakhapatnam,S01,21
MUTTAMSETTI SRINIVASA RAO (AVANTHI),Telugu Desam,408498,Andhra Pradesh,Anakapalli,S01,22
GUDIVADA AMARNADH,Yuvajana Sramika Rythu Congress Party,374516,Andhra Pradesh,Anakapalli,S01,22
VIJAYA LAKSHMI THOTA,Indian National Congress,14529,Andhra Pradesh,Anakapalli,S01,22
KARANAM TIRUPATHI RAO,Bahujan Samaj Party,11025,Andhra Pradesh,Anakapalli,S01,22
KONDARAJU JAMPANA,Jai Samaikyandhra Party,4773,Andhra Pradesh,Anakapalli,S01,22
VADLAMURI KRISHNA SWAROOP,Dalita Bahujana Party,3828,Andhra Pradesh,Anakapalli,S01,22
APPALARAJU SADARAM,Independent,2307,Andhra Pradesh,Anakapalli,S01,22
SARISA LEELA PRASANNA KUMARI,Pyramid Party of India,1998,Andhra Pradesh,Anakapalli,S01,22
None of the Above,None of the Above,6561,Andhra Pradesh,Anakapalli,S01,22
CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,298376,Andhra Pradesh,Kakinada,S01,23
THOTA NARASIMHAM,Telugu Desam,277304,Andhra Pradesh,Kakinada,S01,23
MALLIPUDI MANGAPATI PALLAM RAJU,Indian National Congress,8253,Andhra Pradesh,Kakinada,S01,23
JALLURI VENKATESWARLU (J.V),Independent,4422,Andhra Pradesh,Kakinada,S01,23
TUMMALAPALLI SATYA RAMAKRISHNA,Jai Samaikyandhra Party,3805,Andhra Pradesh,Kakinada,S01,23
