Candidate,Party,Votes,State,Constituency,State-code,Constituency-code
GUDURU JANARDHAN REDDY,Jai Samaikyandhra Party,2341,Andhra Pradesh,Bhongir,S01,14
NAGULA SRINIVAS YADAV,Mahajana Socialist Party,1859,Andhra Pradesh,Bhongir,S01,14
None of the Above,None of the Above,10921,Andhra Pradesh,Bhongir,S01,14
KADIYAM SRIHARI,Telangana Rashtra Samithi,661639,Andhra Pradesh,Warangal,S01,15
RAJAIAH SIRICILLA,Indian National Congress,269065,Andhra Pradesh,Warangal,S01,15
PARAMESHWAR RAMAGALLA,Bharatiya Janata Party,187139,Andhra Pradesh,Warangal,S01,15
GANNARAPU SURENDER,Bahujan Samaj Party,9536,Andhra Pradesh,Warangal,S01,15
CHILUVERU PRATHAP,Independent,9178,Andhra Pradesh,Warangal,S01,15
THUPPARI NARASIMHA SWAMY,Pyramid Party of India,7350,Andhra Pradesh,Warangal,S01,15
CHINTHA SWAMY,Aam Aadmi Party,5569,Andhra Pradesh,Warangal,S01,15
JANNU MAHENDAR,Independent,3211,Andhra Pradesh,Warangal,S01,15
VENKANNA KANNAM,Marxist Communist Party of India (United),2258,Andhra Pradesh,Warangal,S01,15
VENKANNA NEERUDU,Bahujan Mukti Party,2098,Andhra Pradesh,Warangal,S01,15
KANAKAM RAMESH,Independent,2013,Andhra Pradesh,Warangal,S01,15
VENU ESAMPELLY,All India Forward Bloc,1541,Andhra Pradesh,Warangal,S01,15
None of the Above,None of the Above,14034,Andhra Pradesh,Warangal,S01,15
PROF. AZMEERA SEETARAM NAIK,Telangana Rashtra Samithi,320569,Andhra Pradesh,Mahabubabad,S01,16
P. BALRAM,Indian National Congress,285577,Andhra Pradesh,Mahabubabad,S01,16
BANOTH MOHANLAL,Telugu Desam,215904,Andhra Pradesh,Mahabubabad,S01,16
TELLAM VENKATA RAO,Yuvajana Sramika Rythu Congress Party,128465,Andhra Pradesh,Mahabubabad,S01,16
PAYAM CHANDHAR RAO (CHINNA CHANDHRANNA),Independent,94014,Andhra Pradesh,Mahabubabad,S01,16
LAXMAN BUKYA,Independent,14026,Andhra Pradesh,Mahabubabad,S01,16
V. GOURI NAGAMANI,Independent,13664,Andhra Pradesh,Mahabubabad,S01,16
DATLA NAGESHWAR RAO,Independent,6854,Andhra Pradesh,Mahabubabad,S01,16
KAVITHA RANI LUNAVATH,Pyramid Party of India,6627,Andhra Pradesh,Mahabubabad,S01,16
BODA RAASI,Bahujan Samaj Party,6224,Andhra Pradesh,Mahabubabad,S01,16
LAXMINARAYANA BORRA,Independent,5888,Andhra Pradesh,Mahabubabad,S01,16
METLA PAPAIAH,Independent,3922,Andhra Pradesh,Mahabubabad,S01,16
GUGULOTU JAGAN,Marxist Communist Party of India (United),3671,Andhra Pradesh,Mahabubabad,S01,16
PADIGA YARRAIAH,Independent,3492,Andhra Pradesh,Mahabubabad,S01,16
PONAKA SAMMAKKA,Independent,3475,Andhra Pradesh,Mahabubabad,S01,16
BALUNAYAK BHUKYA,Independent,3094,Andhra Pradesh,Mahabubabad,S01,16
EESAM SUDHAKAR,Independent,2199,Andhra Pradesh,Mahabubabad,S01,16
