"AC Name","State","male 18-19","female 18-19","others 18-19","total 18-19","gender roll ratio","electors with EPIC","EPIC percent","electors with photo","PER Percent","male above 18","female above 18","others above 18","total above 18"
"Yakutpura","Andhra Pradesh",3783,2097,0,5880,"917 ","251351 ",100.00,"251351 ",100.00,131140,120203,8,251351
"Bahadurpura","Andhra Pradesh",3883,2317,5,6205,"909 ","221706 ",100.00,"221706 ",100.00,116097,105587,22,221706
"secunderabad","Andhra Pradesh",2524,1861,3,4388,"920 ","226001 ",100.00,"226001 ",100.00,117727,108261,13,226001
"Secunderabad Cantt.","Andhra Pradesh",2435,1617,1,4053,"928 ","231004 ",100.00,"231004 ",100.00,119826,111169,9,231004
"Kodangal","Andhra Pradesh",2998,1718,2,4718,"1029 ","194584 ",100.00,"194584 ",100.00,95909,98659,16,194584
"Narayanpet","Andhra Pradesh",3241,2132,1,5374,"1021 ","195740 ",100.00,"195740 ",100.00,96847,98871,22,195740
"Mahbubnagar","Andhra Pradesh",3264,2388,0,5652,"976 ","212833 ",100.00,"212833 ",100.00,107712,105103,18,212833
"Jadcherla","Andhra Pradesh",2819,1712,2,4533,"974 ","188154 ",100.00,"188154 ",100.00,95317,92825,12,188154
"Devarkadra","Andhra Pradesh",2991,1865,4,4860,"1000 ","205324 ",100.00,"205324 ",100.00,102641,102673,10,205324
"Makthal","Andhra Pradesh",2413,1463,0,3876,"1034 ","205431 ",100.00,"205431 ",100.00,100975,104438,18,205431
"Wanaparthy","Andhra Pradesh",3475,2095,1,5571,"982 ","231691 ",100.00,"231691 ",100.00,116900,114777,14,231691
"Gadwal","Andhra Pradesh",2785,1924,2,4711,"1010 ","207073 ",100.00,"207073 ",100.00,103026,104031,16,207073
"Alampur","Andhra Pradesh",2602,1662,1,4265,"989 ","206886 ",100.00,"206886 ",100.00,103985,102892,9,206886
"Nagarkurnool","Andhra Pradesh",3175,1741,4,4920,"983 ","202218 ",100.00,"202218 ",100.00,101970,100239,9,202218
"Achampet","Andhra Pradesh",2840,1763,2,4605,"986 ","200056 ",100.00,"200056 ",100.00,100713,99326,17,200056
"Kalwakurthy","Andhra Pradesh",3119,1669,1,4789,"951 ","199363 ",100.00,"199363 ",100.00,102187,97164,12,199363
"Shadnagar","Andhra Pradesh",3275,1899,1,5175,"955 ","189299 ",100.00,"189299 ",100.00,96834,92446,19,189299
"Kollapur","Andhra Pradesh",2700,1399,2,4101,"970 ","205019 ",100.00,"205019 ",100.00,104043,100962,14,205019
"Devarakonda","Andhra Pradesh",2936,1689,3,4628,"990 ","207816 ",100.00,"207816 ",100.00,104450,103355,11,207816
"Nagarjuna Sagar","Andhra Pradesh",2331,1462,1,3794,"1003 ","201076 ",100.00,"201076 ",100.00,100380,100693,3,201076
"Miryalguda","Andhra Pradesh",2531,1722,0,4253,"1000 ","200998 ",100.00,"200998 ",100.00,100484,100507,7,200998
"Huzurnagar","Andhra Pradesh",1949,1205,0,3154,"1009 ","215218 ",100.00,"215218 ",100.00,107134,108079,5,215218
"Kodad","Andhra Pradesh",2544,1745,3,4292,"1018 ","209601 ",100.00,"209601 ",100.00,103886,105712,3,209601
"Suryapet","Andhra Pradesh",2358,1675,0,4033,"1010 ","210714 ",100.00,"210714 ",100.00,104816,105892,6,210714
"Nalgonda","Andhra Pradesh",3006,1928,0,4934,"985 ","215422 ",100.00,"215422 ",100.00,108511,106908,3,215422
"Munugode","Andhra Pradesh",2569,1424,0,3993,"960 ","206135 ",100.00,"206135 ",100.00,105160,100975,0,206135
"Bhongir","Andhra Pradesh",2760,1433,0,4193,"964 ","182142 ",100.00,"182142 ",100.00,92736,89403,3,182142
"Nakrekal","Andhra Pradesh",2969,1763,0,4732,"988 ","221304 ",100.00,"221304 ",100.00,111311,109992,1,221304
"Thungathurthy","Andhra Pradesh",2786,1522,2,4310,"991 ","219612 ",100.00,"219612 ",100.00,110319,109284,9,219612
"Alair","Andhra Pradesh",3450,1682,1,5133,"982 ","199203 ",100.00,"199203 ",100.00,100516,98675,12,199203
"Jangoan","Andhra Pradesh",3467,2086,0,5553,"994 ","207028 ",100.00,"207028 ",100.00,103821,103204,3,207028
"Ghanpur (Station)","Andhra Pradesh",3597,1915,0,5512,"998 ","217756 ",100.00,"217756 ",100.00,108996,108755,5,217756
"Palakurthi","Andhra Pradesh",3636,2058,5,5699,"984 ","200775 ",100.00,"200775 ",100.00,101206,99558,11,200775
"Dornakal","Andhra Pradesh",2759,1847,0,4606,"1018 ","187450 ",100.00,"187450 ",100.00,92907,94540,3,187450
"Mahabubabad","Andhra Pradesh",3773,2406,1,6180,"1008 ","211758 ",100.00,"211758 ",100.00,105452,106294,12,211758
"Narsampet","Andhra Pradesh",3657,2087,1,5745,"1009 ","202010 ",100.00,"202010 ",100.00,100569,101432,9,202010
"Parkal","Andhra Pradesh",2702,1770,0,4472,"1022 ","187434 ",100.00,"187434 ",100.00,92714,94716,4,187434
"Warangal West","Andhra Pradesh",3584,2796,2,6382,"974 ","233905 ",100.00,"233905 ",100.00,118460,115435,10,233905
"Warangal East","Andhra Pradesh",2854,2278,3,5135,"1000 ","198928 ",100.00,"198928 ",100.00,99426,99416,86,198928
"Wardhanapet","Andhra Pradesh",3458,2097,0,5555,"991 ","224760 ",100.00,"224760 ",100.00,112910,111846,4,224760
"Bhupalpalle","Andhra Pradesh",4517,2549,1,7067,"983 ","232053 ",100.00,"232053 ",100.00,117031,115001,21,232053
"Mulug","Andhra Pradesh",3590,2217,3,5810,"1007 ","192765 ",100.00,"192765 ",100.00,96039,96709,17,192765
"Pinapaka","Andhra Pradesh",2028,1436,0,3464,"987 ","167676 ",100.00,"167676 ",100.00,84381,83293,2,167676
"Yellandu","Andhra Pradesh",2860,1994,3,4857,"1015 ","184676 ",100.00,"184676 ",100.00,91657,93008,11,184676
"Khammam","Andhra Pradesh",4442,3827,2,8271,"1029 ","254650 ",100.00,"254650 ",100.00,125491,129128,31,254650
"Palair","Andhra Pradesh",2584,1848,8,4440,"1037 ","194037 ",100.00,"194037 ",100.00,95225,98792,20,194037
"Madhira","Andhra Pradesh",2653,1687,0,4340,"1028 ","194322 ",100.00,"194322 ",100.00,95829,98484,9,194322
"Wyra","Andhra Pradesh",2243,1484,0,3727,"1014 ","165166 ",100.00,"165166 ",100.00,82017,83148,1,165166
"Sathupalli","Andhra Pradesh",2961,2124,2,5087,"1007 ","217162 ",100.00,"217162 ",100.00,108192,108963,7,217162
"Kothagudem","Andhra Pradesh",3144,2361,2,5507,"1007 ","218146 ",100.00,"218146 ",100.00,108698,109438,10,218146
"Aswaraopeta","Andhra Pradesh",1636,1191,2,2829,"1033 ","164410 ",100.00,"164410 ",100.00,80878,83523,9,164410
"Bhadrachalam","Andhra Pradesh",2761,2127,1,4889,"1053 ","211437 ",100.00,"211437 ",100.00,102997,108429,11,211437
"Ichchapuram","Andhra Pradesh",5611,4162,0,9773,"1050 ","215700 ",100.00,"215700 ",100.00,105219,110470,11,215700
"Palasa","Andhra Pradesh",4557,3321,2,7880,"1023 ","182249 ",100.00,"182249 ",100.00,90082,92130,37,182249
"Tekkali","Andhra Pradesh",5035,3656,1,8692,"985 ","200471 ",100.00,"200471 ",100.00,100967,99496,8,200471
"Pathapatnam","Andhra Pradesh",4629,3482,2,8113,"988 ","185984 ",100.00,"185984 ",100.00,93526,92445,13,185984
"Srikakulam","Andhra Pradesh",5312,4024,6,9342,"1004 ","219009 ",100.00,"219009 ",100.00,109299,109685,25,219009
"Amadalavalasa","Andhra Pradesh",4170,3055,1,7226,"991 ","169201 ",100.00,"169201 ",100.00,84993,84195,13,169201
"Etcherla","Andhra Pradesh",5009,3711,0,8720,"974 ","206522 ",100.00,"206522 ",100.00,104638,101868,16,206522
"Narasannapeta","Andhra Pradesh",4589,3320,2,7911,"999 ","191470 ",100.00,"191470 ",100.00,95777,95683,10,191470
"Rajam","Andhra Pradesh",4691,3549,1,8241,"970 ","193864 ",100.00,"193864 ",100.00,98419,95430,15,193864
"Palakonda","Andhra Pradesh",3957,2966,0,6923,"1033 ","164027 ",100.00,"164027 ",100.00,80677,83340,10,164027
"Kurupam","Andhra Pradesh",2668,2116,3,4787,"1045 ","173753 ",100.00,"173753 ",100.00,84950,88787,16,173753
"Parvathipuram","Andhra Pradesh",2218,1551,1,3770,"1019 ","170344 ",100.00,"170344 ",100.00,84372,85963,9,170344
"Salur","Andhra Pradesh",1973,1526,1,3500,"1043 ","169585 ",100.00,"169585 ",100.00,83014,86562,9,169585
"Bobbili","Andhra Pradesh",2635,1794,0,4429,"1028 ","207702 ",100.00,"207702 ",100.00,102427,105270,5,207702
"Cheepurupalle","Andhra Pradesh",2427,1690,0,4117,"996 ","186781 ",100.00,"186781 ",100.00,93558,93210,13,186781
"Gajapathinagaram","Andhra Pradesh",2389,1546,1,3936,"1032 ","184929 ",100.00,"184929 ",100.00,91027,93898,4,184929
"Nellimarla","Andhra Pradesh",2177,1453,4,3634,"1009 ","186938 ",100.00,"186938 ",100.00,93035,93886,17,186938
"Vizianagaram","Andhra Pradesh",2109,1513,1,3623,"1036 ","205862 ",100.00,"205862 ",100.00,101115,104719,28,205862
"Srungavarapukota","Andhra Pradesh",2715,2004,2,4721,"1036 ","200126 ",100.00,"200126 ",100.00,98273,101847,6,200126
"Bhimli","Andhra Pradesh",3879,2715,2,6596,"1010 ","269258 ",100.00,"269258 ",100.00,133921,135321,16,269258
"Visakhapatnam East","Andhra Pradesh",3252,2668,0,5920,"985 ","237892 ",100.00,"237892 ",100.00,119862,118027,3,237892
"Visakhapatnam South","Andhra Pradesh",1987,1551,0,3538,"1009 ","189338 ",100.00,"189338 ",100.00,94236,95087,15,189338
"Visakhapatnam  North","Andhra Pradesh",3552,2817,3,6372,"976 ","250661 ",100.00,"250661 ",100.00,126844,123773,44,250661
"Visakhapatnam  West","Andhra Pradesh",2978,2121,2,5101,"924 ","208151 ",100.00,"208151 ",100.00,108184,99951,16,208151
"Gajuwaka","Andhra Pradesh",4687,3760,3,8450,"931 ","274115 ",100.00,"274115 ",100.00,141913,132181,21,274115
"Chodavaram","Andhra Pradesh",2419,1503,0,3922,"1056 ","194076 ",100.00,"194076 ",100.00,94373,99695,8,194076
"V.Madugula","Andhra Pradesh",2026,1344,1,3371,"1042 ","171612 ",100.00,"171612 ",100.00,84056,87552,4,171612
"Araku valley","Andhra Pradesh",3965,3307,1,7273,"1052 ","211391 ",100.00,"211391 ",100.00,103020,108365,6,211391
"Paderu","Andhra Pradesh",3052,2366,4,5422,"1052 ","210772 ",100.00,"210772 ",100.00,102728,108035,9,210772
"Anakapalli","Andhra Pradesh",2174,1403,1,3578,"1054 ","184714 ",100.00,"184714 ",100.00,89937,94773,4,184714
