"AC Name","State","male 18-19","female 18-19","others 18-19","total 18-19","gender roll ratio","electors with EPIC","EPIC percent","electors with photo","PER Percent","male above 18","female above 18","others above 18","total above 18"
"Fatuha","Bihar",3341,1877,1,5219,"848 ","210075 ",90.00,"232873 ",100.00,125988,106880,5,232873
"Danapur","Bihar",4401,3113,1,7515,"825 ","235480 ",81.00,"289065 ",100.00,158417,130616,12,289045
"Maner","Bihar",4524,3080,0,7604,"859 ","226998 ",83.00,"273381 ",100.00,147093,126281,7,273381
"Phulwari (SC)","Bihar",3874,2198,1,6073,"836 ","244810 ",86.00,"281457 ",100.00,153255,128179,7,281441
"Masaurhi (SC)","Bihar",5776,5228,5,11009,"894 ","287437 ",93.00,"306115 ",100.00,161629,144458,28,306115
"Paliganj","Bihar",3550,2352,1,5903,"864 ","216034 ",89.00,"242701 ",100.00,130167,112526,9,242702
"Bikram","Bihar",3734,2370,3,6107,"881 ","242306 ",90.00,"268937 ",100.00,142977,125941,5,268923
"Sandesh","Bihar",4004,3718,6,7728,"844 ","216299 ",90.00,"240141 ",100.00,130172,109871,98,240141
"Barhara","Bihar",4397,2212,1,6610,"794 ","232170 ",90.00,"257050 ",100.00,143279,113765,6,257050
"Arrah","Bihar",4101,2268,2,6371,"826 ","235800 ",88.00,"265750 ",100.00,145549,120182,18,265749
"Agiaon (SC)","Bihar",4411,2883,0,7294,"829 ","204577 ",90.00,"224985 ",100.00,123039,101942,4,224985
"Tarari","Bihar",4771,4181,2,8954,"835 ","237704 ",91.00,"258409 ",100.00,140821,117577,11,258409
"Jagdishpur","Bihar",4803,3540,2,8345,"845 ","244569 ",93.00,"262858 ",100.00,142471,120355,18,262844
"Shahpur","Bihar",5387,2475,4,7866,"774 ","238406 ",89.00,"265171 ",100.00,149447,115712,12,265171
"Brahampur","Bihar",4625,2860,0,7485,"851 ","261843 ",90.00,"287884 ",100.00,155518,132361,4,287883
"Buxar","Bihar",4242,3988,0,8230,"879 ","238521 ",92.00,"256656 ",100.00,136572,120084,3,256659
"Dumraon","Bihar",4524,3448,0,7972,"862 ","250113 ",92.00,"271713 ",100.00,145938,125765,5,271708
"Rajpur (SC)","Bihar",4353,3972,0,8325,"902 ","271269 ",94.00,"285849 ",100.00,150306,135543,0,285849
"Ramgarh","Bihar",4174,4747,1,8922,"886 ","215639 ",90.00,"238281 ",99.00,126361,111906,27,238294
"Mohania (SC)","Bihar",4237,3344,5,7586,"863 ","211998 ",90.00,"233920 ",100.00,125520,108377,23,233920
"Bhabua","Bihar",3711,3427,3,7141,"897 ","215614 ",91.00,"235785 ",100.00,124309,111464,14,235787
"Chainpur","Bihar",4269,3728,6,8003,"900 ","246154 ",91.00,"269990 ",100.00,142066,127908,16,269990
"Chenari (SC)","Bihar",3628,2277,-9,5896,"855 ","243136 ",94.00,"256053 ",100.00,138050,118002,1,256053
"Sasaram","Bihar",5246,3165,-33,8378,"856 ","280487 ",91.00,"308065 ",100.00,166002,142075,1,308078
"Kargahar","Bihar",4190,3027,-4,7213,"872 ","264080 ",93.00,"283109 ",100.00,151210,131896,4,283110
"Dinara","Bihar",3056,2673,-5,5724,"873 ","234634 ",92.00,"252654 ",100.00,134867,117785,5,252657
"Nokha","Bihar",3445,2422,1,5868,"858 ","228912 ",90.00,"252369 ",100.00,135804,116559,6,252369
"Dehri","Bihar",3178,2030,0,5208,"855 ","235682 ",92.00,"255576 ",100.00,137754,117817,5,255576
"Karakat","Bihar",3411,3891,-23,7279,"859 ","262468 ",94.00,"277865 ",100.00,149471,128391,4,277866
"Arwal","Bihar",3839,2837,1,6677,"859 ","205116 ",88.00,"231079 ",100.00,124322,106749,9,231080
"Kurtha","Bihar",3295,2131,0,5426,"868 ","193092 ",89.00,"216384 ",100.00,115834,100543,7,216384
"Jahanabad","Bihar",3904,2913,2,6819,"878 ","240261 ",93.00,"257617 ",100.00,137160,120454,2,257616
"Ghosi","Bihar",3509,2650,-2,6157,"908 ","216012 ",92.00,"233537 ",100.00,122382,111146,7,233535
"Makhadumapur (SC)","Bihar",3487,2736,2,6225,"884 ","193445 ",91.00,"210511 ",100.00,111723,98780,3,210506
"Goh","Bihar",4943,3761,3,8707,"880 ","231949 ",87.00,"264371 ",99.00,140691,123835,7,264533
"Obra","Bihar",4988,3035,1,8024,"860 ","239703 ",89.00,"268907 ",99.00,144753,124513,8,269274
"Nabinagar","Bihar",3589,1713,1,5303,"830 ","207696 ",89.00,"232501 ",99.00,127426,105716,9,233151
"Kutumba (SC)","Bihar",3672,1875,1,5548,"824 ","201661 ",89.00,"225471 ",99.00,124164,102353,4,226521
"Aurangabad","Bihar",4701,3150,4,7855,"855 ","226458 ",86.00,"261467 ",100.00,140974,120482,11,261467
"Rafiganj","Bihar",4793,2998,4,7795,"851 ","247407 ",88.00,"279437 ",99.00,151601,128955,11,280567
"Gurua","Bihar",4107,3280,1,7388,"870 ","213937 ",88.00,"242150 ",100.00,129478,112642,7,242127
"Sherghati","Bihar",4443,4436,2,8881,"912 ","211331 ",90.00,"233057 ",100.00,121853,111133,13,232999
"Imamganj (SC)","Bihar",4111,3863,3,7977,"886 ","229455 ",91.00,"250843 ",100.00,132969,117865,9,250843
"Barachatti (SC)","Bihar",4966,5069,3,10038,"918 ","230387 ",90.00,"255221 ",100.00,133030,122162,23,255215
"Bodh Gaya (SC)","Bihar",5001,5795,3,10799,"915 ","246458 ",91.00,"269036 ",100.00,140500,128517,9,269026
"Gaya Town","Bihar",2680,2531,3,5214,"853 ","215454 ",91.00,"235163 ",100.00,126903,108206,33,235142
"Tikari","Bihar",3922,3666,0,7588,"888 ","240089 ",92.00,"260898 ",100.00,138190,122701,2,260893
"Belaganj","Bihar",3279,2746,2,6027,"889 ","215778 ",91.00,"235171 ",100.00,124496,110668,7,235171
"Atri","Bihar",3261,3260,1,6522,"903 ","239101 ",90.00,"265205 ",100.00,139318,125830,6,265154
"Wazirganj","Bihar",3934,3924,5,7863,"905 ","232837 ",90.00,"257060 ",100.00,134946,122102,11,257059
"Rajauli (SC)","Bihar",5505,5874,2,11381,"901 ","246650 ",86.00,"283948 ",100.00,149346,134582,9,283937
"Hisua","Bihar",6276,4430,1,10707,"902 ","284919 ",88.00,"320920 ",100.00,168706,152155,6,320867
"Nawada","Bihar",5007,4342,0,9349,"895 ","268809 ",88.00,"302776 ",100.00,159762,142990,5,302757
"Gobindpur","Bihar",5220,4427,1,9648,"877 ","241414 ",89.00,"269546 ",100.00,143565,125954,8,269527
"Warsaliganj","Bihar",5354,4599,4,9957,"881 ","269742 ",89.00,"303028 ",100.00,161106,141911,13,303030
"Sikandra (SC)","Bihar",3532,3252,2,6786,"879 ","237617 ",92.00,"256645 ",100.00,136592,120047,6,256645
"Jamui","Bihar",3548,2820,0,6368,"858 ","236085 ",92.00,"253952 ",100.00,136675,117276,2,253953
"Jhajha","Bihar",3645,3916,1,7562,"883 ","248351 ",91.00,"271573 ",100.00,144232,127340,4,271576
"Chakai","Bihar",2609,1944,3,4556,"878 ","234892 ",94.00,"248545 ",100.00,132361,116178,6,248545
"CHANDIGARH","Chandigarh",11593,6577,0,18170,"842 ","580418 ",99.00,"580498 ",99.00,315336,265364,0,580700
"Bharatpur-sonhat","Chhattisgarh",4677,4098,0,8775,"978 ","140514 ",93.00,"150236 ",99.00,75949,74311,0,150260
"Manendragarh","Chhattisgarh",2947,2205,0,5152,"895 ","122069 ",93.00,"129475 ",99.00,68561,61357,0,129918
"Baikunthpur","Chhattisgarh",3441,2484,0,5925,"916 ","142871 ",94.00,"148297 ",98.00,78551,71936,0,150487
"Premnagar","Chhattisgarh",3555,3190,0,6745,"979 ","196671 ",99.00,"197964 ",99.00,100073,97926,0,197999
"Bhatgaon","Chhattisgarh",5200,3597,0,8797,"952 ","202914 ",99.00,"203681 ",99.00,104540,99503,0,204043
"Pratappur","Chhattisgarh",4993,4308,0,9301,"963 ","192011 ",99.00,"192522 ",99.00,98390,94727,0,193117
"Ramanujganj","Chhattisgarh",4133,3717,0,7850,"954 ","176028 ",99.00,"176567 ",99.00,90515,86372,0,176887
"Samri","Chhattisgarh",3848,3568,0,7416,"985 ","186909 ",99.00,"187264 ",99.00,94424,93035,0,187459
"Lundra","Chhattisgarh",4114,3571,0,7685,"992 ","167250 ",99.00,"167465 ",99.00,84065,83410,0,167475
"Ambikapur","Chhattisgarh",4993,3897,0,8890,"967 ","206395 ",99.00,"207210 ",99.00,105375,101853,0,207228
"Sitapur","Chhattisgarh",4119,2998,0,7117,"998 ","174938 ",99.00,"175964 ",99.00,88105,87892,0,175997
"Jashpur","Chhattisgarh",5222,4346,0,9568,"977 ","201132 ",97.00,"205687 ",99.00,104876,102436,0,207312
"Kunkuri","Chhattisgarh",4226,3948,0,8174,"1005 ","176692 ",95.00,"184156 ",99.00,92378,92799,0,185177
"Pathalgaon","Chhattisgarh",4249,3630,0,7879,"1010 ","200082 ",98.00,"202448 ",99.00,100824,101811,0,202635
"Lailunga","Chhattisgarh",4699,3298,0,7997,"980 ","174639 ",96.00,"174445 ",96.00,91553,89754,0,181307
"Raigarh","Chhattisgarh",5903,4090,0,9993,"951 ","220483 ",94.00,"225595 ",97.00,118978,113171,0,232149
"Sarangarh","Chhattisgarh",7198,4193,0,11391,"978 ","222036 ",97.00,"227155 ",99.00,115647,113150,0,228797
"Kharsia","Chhattisgarh",5947,3933,0,9880,"980 ","183360 ",95.00,"187482 ",97.00,96643,94696,0,191339
"Dharamjaigarh","Chhattisgarh",5469,4375,0,9844,"1019 ","178115 ",96.00,"179102 ",96.00,91495,93203,0,184698
"Rampur","Chhattisgarh",5049,3482,0,8531,"990 ","191250 ",100.00,"191249 ",99.00,96119,95140,0,191259
"Korba","Chhattisgarh",5277,3794,0,9071,"896 ","220683 ",99.00,"220764 ",99.00,116452,104367,0,220819
"Katghora","Chhattisgarh",5154,3307,0,8461,"901 ","188952 ",99.00,"190567 ",99.00,100268,90326,0,190594
"Pali-tanakhar","Chhattisgarh",5618,4425,0,10043,"974 ","204311 ",99.00,"204424 ",100.00,103572,100854,0,204426
"Marwahi","Chhattisgarh",4628,4205,0,8833,"1006 ","165557 ",95.00,"173634 ",99.00,86622,87141,0,173763
"Kota","Chhattisgarh",5650,4425,0,10075,"973 ","176048 ",93.00,"188023 ",99.00,95349,92770,0,188119
"Lormi","Chhattisgarh",5437,3489,2,8928,"938 ","176512 ",96.00,"182547 ",99.00,94181,88371,12,182564
"Mungeli","Chhattisgarh",6134,3886,5,10025,"933 ","202025 ",95.00,"210607 ",99.00,108961,101674,5,210640
"Takhatpur","Chhattisgarh",7657,4636,0,12293,"923 ","182388 ",91.00,"199907 ",99.00,103978,96017,0,199995
"Bilha","Chhattisgarh",8296,5384,0,13680,"931 ","228616 ",92.00,"248731 ",100.00,128634,119749,0,248383
"Bilaspur","Chhattisgarh",3988,3173,0,7161,"961 ","216500 ",93.00,"232609 ",99.00,118638,114067,0,232705
"Beltara","Chhattisgarh",6242,4034,0,10276,"915 ","177667 ",90.00,"195429 ",99.00,102127,93455,0,195582
"Masturi","Chhattisgarh",8818,5126,0,13944,"931 ","235362 ",93.00,"250936 ",99.00,130406,121350,0,251756
"Akaltara","Chhattisgarh",5971,3485,0,9456,"929 ","186588 ",96.00,"193126 ",99.00,100231,93067,0,193298
"Janjgir-champa","Chhattisgarh",5092,2931,0,8023,"929 ","179094 ",94.00,"184016 ",96.00,98427,91390,0,189817
"Sakti","Chhattisgarh",5542,2928,0,8470,"943 ","183648 ",98.00,"186680 ",99.00,96068,90637,0,186705
"Chandrapur","Chhattisgarh",6332,3553,0,9885,"954 ","195422 ",96.00,"195528 ",96.00,104079,99288,0,203367
"Jaijaipur","Chhattisgarh",6922,3486,0,10408,"935 ","201239 ",94.00,"212588 ",99.00,109907,102808,0,212715
"Pamgarh","Chhattisgarh",4975,2558,0,7533,"920 ","180362 ",99.00,"180933 ",99.00,94481,86913,0,181394
"Saraipali","Chhattisgarh",7438,4190,0,11628,"973 ","175987 ",96.00,"181893 ",99.00,92195,89724,0,181919
"Basna","Chhattisgarh",4495,2629,0,7124,"991 ","186066 ",95.00,"194839 ",99.00,97925,97006,0,194931
"Khallari","Chhattisgarh",8060,5983,0,14043,"1007 ","179836 ",95.00,"187713 ",99.00,93555,94195,0,187750
"Mahasamund","Chhattisgarh",7462,5478,0,12940,"1003 ","171059 ",95.00,"178327 ",99.00,89056,89315,0,178371
"Bilaigarh","Chhattisgarh",9171,5935,0,15106,"967 ","246129 ",94.00,"259194 ",99.00,132961,128607,0,261568
"Kasdol","Chhattisgarh",8871,5140,0,14011,"961 ","293013 ",95.00,"304780 ",99.00,155829,149692,0,305521
"Baloda bazar","Chhattisgarh",6824,4415,0,11239,"970 ","233178 ",98.00,"236989 ",99.00,120382,116713,0,237095
"Bhatapara","Chhattisgarh",6098,4234,0,10332,"981 ","204975 ",95.00,"214937 ",99.00,108911,106789,0,215700
"Dharsiwa","Chhattisgarh",5350,3166,0,8516,"958 ","178261 ",94.00,"186746 ",99.00,96147,92145,0,188292
"Raipur City Gramin","Chhattisgarh",5949,3943,0,9892,"861 ","228711 ",90.00,"236527 ",93.00,136101,117162,0,253263
"Raipur City West","Chhattisgarh",4938,3683,0,8621,"915 ","209699 ",93.00,"224002 ",99.00,117050,107122,0,224172
"Raipur City North","Chhattisgarh",3052,2424,0,5476,"951 ","164947 ",94.00,"165932 ",94.00,89697,85293,0,174990
"Raipur City South","Chhattisgarh",3130,4715,0,7845,"953 ","203589 ",91.00,"211342 ",95.00,113454,108090,0,221544
"Arang","Chhattisgarh",5681,3223,0,8904,"953 ","175839 ",95.00,"183537 ",99.00,94001,89556,0,183557
"Abhanpur","Chhattisgarh",5458,3764,0,9222,"972 ","171575 ",96.00,"178217 ",99.00,90369,87881,0,178250
"Rajim","Chhattisgarh",6383,4537,0,10920,"996 ","186541 ",93.00,"194364 ",97.00,99590,99146,0,198736
"Bindranawagarh","Chhattisgarh",4821,3195,0,8016,"1019 ","186715 ",94.00,"198004 ",99.00,98395,100245,0,198640
"Sihawa","Chhattisgarh",3712,3161,0,6873,"1015 ","169378 ",95.00,"176325 ",99.00,87883,89203,0,177086
"Kurud","Chhattisgarh",6025,4360,0,10385,"981 ","168507 ",95.00,"176713 ",99.00,89264,87530,0,176794
"Dhamtari","Chhattisgarh",5399,4471,0,9870,"1008 ","189405 ",97.00,"193405 ",99.00,96400,97206,0,193606
"Sanjari balod","Chhattisgarh",6852,4493,0,11345,"993 ","188406 ",98.00,"190708 ",99.00,96326,95617,0,191943
"Dondi lahara","Chhattisgarh",4751,3078,0,7829,"1004 ","192632 ",99.00,"193611 ",99.00,96647,97025,0,193672
"Gunderdehi","Chhattisgarh",5560,3145,0,8705,"965 ","200805 ",97.00,"203954 ",98.00,105294,101652,0,206946
"Patan","Chhattisgarh",5128,3093,0,8221,"969 ","171263 ",95.00,"178867 ",99.00,91027,88216,0,179243
"Durg Gramin","Chhattisgarh",5274,3591,0,8865,"950 ","179252 ",93.00,"192531 ",99.00,98799,93876,0,192675
"Durg City","Chhattisgarh",4315,3635,0,7950,"981 ","202450 ",94.00,"213181 ",99.00,107658,105574,0,213232
"Bhilai Nagar","Chhattisgarh",4042,3272,0,7314,"927 ","165188 ",93.00,"176187 ",99.00,91700,85038,0,176738
"Vaishali Nagar","Chhattisgarh",5539,4560,0,10099,"936 ","232281 ",94.00,"244810 ",99.00,126750,118668,0,245418
"Ahiwara","Chhattisgarh",4847,3562,0,8409,"958 ","188567 ",93.00,"200546 ",99.00,103115,98774,0,201889
"Saja","Chhattisgarh",5301,3183,0,8484,"965 ","197369 ",95.00,"205884 ",99.00,104878,101253,0,206131
"Bemetara","Chhattisgarh",5513,3167,0,8680,"973 ","197386 ",96.00,"203505 ",99.00,103172,100381,0,203553
"Navagarh","Chhattisgarh",6141,3647,0,9788,"965 ","213147 ",96.00,"220273 ",99.00,112108,108200,0,220308
"Pandariya","Chhattisgarh",8052,6156,0,14208,"979 ","253849 ",97.00,"259375 ",100.00,131050,128325,0,259375
"Kawardha","Chhattisgarh",8983,7193,0,16176,"1003 ","267661 ",96.00,"275874 ",99.00,137825,138188,0,276013
"Khairagarh","Chhattisgarh",6162,3776,0,9938,"986 ","178915 ",96.00,"184591 ",99.00,93658,92380,0,186038
"Dongargarh","Chhattisgarh",7724,4969,0,12693,"982 ","175461 ",96.00,"180810 ",99.00,91862,90234,0,182096
"Rajnandgaon","Chhattisgarh",5527,4389,0,9916,"1004 ","176496 ",94.00,"186322 ",99.00,93172,93563,0,186735
"Dongargaon","Chhattisgarh",4957,3000,0,7957,"987 ","168386 ",95.00,"172246 ",98.00,88325,87171,0,175496
"Khujji","Chhattisgarh",4937,3088,0,8025,"1004 ","160911 ",96.00,"165513 ",99.00,83245,83588,0,166833
"Mohala-manpur","Chhattisgarh",4900,4414,0,9314,"1017 ","142406 ",96.00,"146838 ",99.00,73224,74501,0,147725
"Antagarh","Chhattisgarh",5900,4731,0,10631,"956 ","145279 ",96.00,"150673 ",99.00,77089,73661,0,150750
"Bhanupratappur","Chhattisgarh",6315,5342,0,11657,"1041 ","177774 ",97.00,"182130 ",99.00,89494,93185,0,182679
"Kanker","Chhattisgarh",5323,4704,0,10027,"1041 ","158902 ",97.00,"163687 ",100.00,80198,83489,0,163687
"Keshkal","Chhattisgarh",6775,6242,0,13017,"1020 ","167598 ",95.00,"175109 ",99.00,86673,88449,0,175122
"Kondagaon","Chhattisgarh",5865,5791,0,11656,"1019 ","145406 ",94.00,"153373 ",99.00,75984,77413,0,153397
"Narainpur","Chhattisgarh",5220,5138,0,10358,"1031 ","150173 ",90.00,"157821 ",95.00,81269,83815,0,165084
"Bastar","Chhattisgarh",4662,4721,0,9383,"1022 ","133702 ",94.00,"140983 ",99.00,69732,71264,0,140996
"Jagdalpur","Chhattisgarh",5340,5346,0,10686,"1034 ","173158 ",95.00,"180448 ",99.00,88707,91753,0,180460
"Chitrakot","Chhattisgarh",5566,6131,0,11697,"1084 ","148302 ",95.00,"154955 ",100.00,74361,80601,0,154962
"Dantewara","Chhattisgarh",5839,5895,0,11734,"1060 ","173513 ",97.00,"174735 ",97.00,86569,91745,0,178314
"Bijapur","Chhattisgarh",4549,3922,0,8471,"1061 ","131851 ",81.00,"131870 ",81.00,78421,83222,0,161643
"Konta","Chhattisgarh",4694,4734,0,9428,"1085 ","123824 ",78.00,"127888 ",80.00,76000,82440,0,158440
"Dadra & Nagar Haveli","Dadra & Nagar Haveli",11560,7095,0,18655,"864 ","188763 ",99.00,"188763 ",99.00,101262,87521,0,188783
"Daman & Diu","Daman & Diu",4860,3918,0,8778,"1021 ","98169 ",96.00,"102260 ",100.00,50595,51665,0,102260
"Mandrem","Goa",293,229,0,522,"981 ","29765 ",99.00,"29910 ",100.00,15101,14809,0,29910
"Pernem","Goa",308,291,0,599,"958 ","29951 ",99.00,"30088 ",100.00,15368,14720,0,30088
"Bicholim","Goa",345,301,0,646,"978 ","23985 ",98.00,"24340 ",100.00,12307,12033,0,24340
"Tivim","Goa",285,242,0,527,"1015 ","23969 ",98.00,"24434 ",100.00,12129,12305,0,24434
"Mapusa","Goa",260,237,0,497,"1006 ","25408 ",97.00,"26110 ",100.00,13018,13092,0,26110
"Siolim","Goa",279,302,0,581,"1030 ","26328 ",98.00,"26714 ",100.00,13161,13553,0,26714
"Saligao","Goa",251,227,0,478,"1009 ","23775 ",98.00,"24057 ",100.00,11975,12082,0,24057
"Calangute","Goa",138,159,0,297,"1028 ","22410 ",98.00,"22742 ",100.00,11215,11527,0,22742
"Porvorim","Goa",216,202,0,418,"1018 ","21938 ",99.00,"22157 ",100.00,10980,11177,0,22157
"Aldona","Goa",212,218,0,430,"1052 ","25382 ",99.00,"25628 ",100.00,12490,13138,0,25628
"Panaji","Goa",229,217,0,446,"1047 ","21237 ",98.00,"21610 ",100.00,10555,11055,0,21610
"Taleigao","Goa",355,317,0,672,"1033 ","25470 ",97.00,"26136 ",100.00,12856,13280,0,26136
"St. Cruz","Goa",249,262,0,511,"1033 ","25345 ",98.00,"25603 ",100.00,12592,13011,0,25603
"St. Andre","Goa",189,198,0,387,"1096 ","20850 ",99.00,"21051 ",100.00,10043,11008,0,21051
"Cumbarjua","Goa",261,216,0,477,"1044 ","23297 ",98.00,"23575 ",100.00,11533,12042,0,23575
"Maem","Goa",378,353,0,731,"986 ","25341 ",99.00,"25577 ",100.00,12878,12699,0,25577
"Sanquelim","Goa",344,315,0,659,"982 ","24302 ",99.00,"24545 ",100.00,12383,12162,0,24545
"Poriem","Goa",498,404,0,902,"968 ","27964 ",98.00,"28416 ",100.00,14441,13975,0,28416
"Valpoi","Goa",415,413,0,828,"984 ","26213 ",98.00,"26608 ",100.00,13412,13196,0,26608
"Priol","Goa",346,355,0,701,"1009 ","27733 ",98.00,"28189 ",100.00,14033,14156,0,28189
"Ponda","Goa",416,374,0,790,"914 ","27343 ",97.00,"27944 ",100.00,14597,13347,0,27944
"Siroda","Goa",367,301,0,668,"1026 ","26244 ",98.00,"26519 ",100.00,13087,13432,0,26519
"Marcaim","Goa",377,308,0,685,"993 ","25305 ",98.00,"25602 ",100.00,12846,12756,0,25602
"Mormugao","Goa",255,214,0,469,"915 ","19485 ",98.00,"19787 ",100.00,10331,9456,0,19787
"Vasco-da-gama","Goa",386,347,0,733,"924 ","29587 ",96.00,"30605 ",100.00,15904,14701,0,30605
"Dabolim","Goa",238,212,0,450,"963 ","19117 ",98.00,"19501 ",100.00,9936,9565,0,19501
"Cortalim","Goa",437,290,0,727,"950 ","26918 ",97.00,"27480 ",100.00,14091,13389,0,27480
"Nuvem","Goa",288,278,0,566,"1097 ","27616 ",99.00,"27788 ",100.00,13250,14538,0,27788
"Curtorim","Goa",283,284,0,567,"1043 ","26427 ",98.00,"26844 ",100.00,13138,13706,0,26844
"Fatorda","Goa",254,225,0,479,"1023 ","27161 ",99.00,"27435 ",100.00,13559,13876,0,27435
"Margao","Goa",250,224,0,474,"985 ","28258 ",98.00,"28593 ",100.00,14403,14190,0,28593
"Benaulim","Goa",260,301,0,561,"1055 ","27793 ",98.00,"28104 ",100.00,13673,14431,0,28104
"Navelim","Goa",273,283,0,556,"997 ","24824 ",98.00,"25235 ",100.00,12639,12596,0,25235
"Cuncolim","Goa",310,300,0,610,"1028 ","26923 ",98.00,"27261 ",100.00,13441,13820,0,27261
"Velim","Goa",296,291,0,587,"1065 ","29494 ",98.00,"29859 ",100.00,14461,15398,0,29859
"Quepem","Goa",371,336,0,707,"984 ","29141 ",99.00,"29398 ",100.00,14815,14583,0,29398
"Curchorem","Goa",321,347,0,668,"1002 ","23999 ",98.00,"24265 ",100.00,12119,12146,0,24265
"Sanvordem","Goa",425,379,0,804,"1017 ","26554 ",98.00,"26879 ",100.00,13325,13554,0,26879
"Sanguem","Goa",361,348,0,709,"1031 ","24260 ",99.00,"24468 ",100.00,12047,12421,0,24468
"Canacona","Goa",439,427,0,866,"999 ","32145 ",99.00,"32247 ",100.00,16132,16115,0,32247
"Abdasa","Gujarat",3577,1991,0,5568,"904 ","200906 ",100.00,"200901 ",100.00,105539,95372,0,200911
"Mandvi","Gujarat",3205,1619,0,4824,"916 ","200830 ",100.00,"200830 ",100.00,104807,96023,0,200830
"Bhuj","Gujarat",2602,1788,0,4390,"936 ","223977 ",99.00,"223609 ",99.00,115976,108557,0,224533
"Anjar","Gujarat",3144,1676,0,4820,"922 ","200183 ",100.00,"200172 ",99.00,104172,96017,0,200189
"Gandhidham","Gujarat",2845,1406,0,4251,"851 ","236247 ",99.00,"236103 ",99.00,127920,108807,1,236728
"Rapar","Gujarat",2622,1193,0,3815,"870 ","195148 ",99.00,"195142 ",99.00,104371,90797,0,195168
"Vav","Gujarat",5018,2717,0,7735,"885 ","237029 ",100.00,"237029 ",100.00,125756,111273,0,237029
"Tharad","Gujarat",4252,1384,0,5636,"882 ","194780 ",100.00,"194780 ",100.00,103487,91293,0,194780
"Dhanera","Gujarat",4297,1521,0,5818,"898 ","213662 ",100.00,"213662 ",100.00,112599,101064,0,213663
"Danta","Gujarat",3004,1793,0,4797,"931 ","199563 ",100.00,"199563 ",100.00,103346,96216,1,199563
"Vadgam","Gujarat",4754,2938,3,7695,"961 ","244695 ",100.00,"244695 ",100.00,124749,119941,6,244696
"Palanpur","Gujarat",3996,2176,0,6172,"921 ","230598 ",100.00,"230598 ",100.00,120041,110554,3,230598
"Deesa","Gujarat",3968,1624,0,5592,"910 ","227947 ",100.00,"227947 ",100.00,119317,108627,3,227947
"Deodar","Gujarat",4239,1471,0,5710,"884 ","196988 ",100.00,"196988 ",100.00,104563,92425,0,196988
"Kankrej","Gujarat",3996,1375,0,5371,"901 ","235010 ",100.00,"235009 ",100.00,123622,111389,1,235012
"Radhanpur","Gujarat",4101,2226,0,6327,"905 ","233817 ",100.00,"233817 ",100.00,122718,111099,0,233817
"Chanasma","Gujarat",4317,2471,0,6788,"923 ","241389 ",100.00,"241389 ",100.00,125520,115869,0,241389
"Patan","Gujarat",4063,2228,0,6291,"919 ","245082 ",100.00,"245082 ",100.00,127705,117377,0,245082
"SIDDHPUR","Gujarat",4310,2426,0,6736,"923 ","221410 ",100.00,"221410 ",100.00,115145,106265,0,221410
"Kheralu","Gujarat",3613,1777,0,5390,"908 ","185710 ",100.00,"185710 ",100.00,97341,88369,0,185710
"Unjha","Gujarat",3489,1707,0,5196,"922 ","201244 ",100.00,"201244 ",100.00,104715,96526,3,201244
"Visnagar","Gujarat",3416,1780,0,5196,"917 ","194987 ",100.00,"194987 ",100.00,101711,93276,0,194987
"Becharaji","Gujarat",3914,1920,0,5834,"926 ","213036 ",100.00,"213036 ",100.00,110599,102428,9,213036
"Kadi","Gujarat",4229,2008,0,6237,"913 ","237211 ",100.00,"237211 ",100.00,123971,113234,6,237211
"Mahesana","Gujarat",3855,1918,0,5773,"914 ","231239 ",100.00,"231239 ",100.00,120785,110454,0,231239
"Vijapur","Gujarat",3392,1931,0,5323,"941 ","197523 ",100.00,"197523 ",100.00,101771,95746,6,197523
"Himatnagar","Gujarat",4027,2423,0,6450,"932 ","229683 ",100.00,"229683 ",100.00,118863,110820,0,229683
"Idar","Gujarat",3874,2375,0,6249,"943 ","240884 ",100.00,"240884 ",100.00,123962,116922,0,240884
"Khedbrahma","Gujarat",3500,2216,0,5716,"945 ","210225 ",100.00,"210225 ",100.00,108076,102149,0,210225
"Bhiloda","Gujarat",4579,2761,0,7340,"933 ","253229 ",100.00,"253229 ",100.00,130971,122257,1,253229
"Modasa","Gujarat",4271,2635,0,6906,"941 ","225583 ",100.00,"225583 ",100.00,116233,109350,0,225583
"Bayad","Gujarat",4077,2237,0,6314,"937 ","207837 ",100.00,"207837 ",100.00,107306,100531,0,207837
"Prantij","Gujarat",4377,2239,0,6616,"925 ","222054 ",100.00,"222054 ",100.00,115344,106710,0,222054
"Dehgam","Gujarat",2852,1351,0,4203,"934 ","181133 ",100.00,"181133 ",100.00,93667,87467,0,181134
"Gandhinagar South","Gujarat",4141,2168,0,6309,"935 ","260211 ",99.00,"260196 ",99.00,134520,125807,0,260327
"Gandhinagar North","Gujarat",2782,1499,0,4281,"928 ","212226 ",99.00,"212217 ",99.00,110097,102152,1,212250
"Mansa","Gujarat",3137,1534,0,4671,"940 ","199578 ",100.00,"199578 ",100.00,102893,96685,0,199578
"Kalol","Gujarat",2690,1367,0,4057,"922 ","199601 ",99.00,"199560 ",99.00,103981,95840,6,199827
"Viramgam","Gujarat",4318,2225,0,6543,"916 ","251163 ",100.00,"251163 ",100.00,131115,120048,0,251163
"Sanand","Gujarat",3748,1598,0,5346,"901 ","218924 ",100.00,"218924 ",100.00,115189,103731,4,218924
