Sno,Candidate ID,ST_CODE,PC_CODE,ST_NAME,PC_NAME,Constituency,Candidate,Party,Criminal Case,Education,Assets,Liabilities
1078,8759,S22,2,TAMIL NADU,CHENNAI NORTH,Chennai North,BHASKARAN.V ALIAS AAVIN V.BHASKARAN,IND,0,Not Given,0,0
1136,2440,S18,16,ORISSA,JAGATSINGHPUR,Jagatsinghpur,Bibhuti Bhusan Majhi,BSP,0,Post Graduate,0,0
1166,8273,S28,4,UTTARAKHAND,NAINITAL-UDHAMSINGH NAGAR,Nainital-Udhamsingh Nagar,BINDU GUPTA,IND,3,Not Given,0,0
1191,696,S01,13,ANDHRA PRADESH,NALGONDA,Nalgonda,Boalla Karunakar,IND,0,Not Given,0,0
1224,589,S26,4,CHHATTISGARH,KORBA,Korba,Budhwarsingh Ueke,RGOP,0,Not Given,0,0
1262,55,S01,8,ANDHRA PRADESH,SECUNDERABAD,Secunderabad,Ch.Murahari,IND,0,Not Given,0,0
1273,128,S26,9,CHHATTISGARH,MAHASAMUND,Mahasamund,Champa Lal Patel,IND,0,Not Given,0,0
1321,8786,S22,3,TAMIL NADU,CHENNAI SOUTH,Chennai South,CHANDRAN K,IND,0,Literate,0,0
1349,998,S24,63,UTTAR PRADESH,MAHARAJGANJ,Maharajganj,CHAUDHARY SANJAY SINGH PATEL,IND,0,Not Given,0,0
1353,3752,S13,43,MAHARASHTRA,MADHA,Madha,CHAVAN SUBHASH VITTHAL,BBM,0,Literate,0,0
1371,5547,S24,33,UTTAR PRADESH,UNNAO,Unnao,CHHEDILAL,RPI(A),0,Not Given,0,0
1381,2260,S10,3,KARNATAKA,BAGALKOT,Bagalkot,CHINCHOLLI SANTOSHKUMAR SAHEBGOUDA,IND,0,12th Pass,0,0
1383,8555,S22,24,TAMIL NADU,TIRUCHIRAPPALLI,Tiruchirappalli,CHINNADURAI.A,IND,0,10th Pass,0,0
1392,9168,S22,31,TAMIL NADU,SIVAGANGA,Sivaganga,CHITHAMBARAM S,IND,0,Not Given,0,0
1407,725,S10,9,KARNATAKA,BELLARY,Bellary,CHOWDAPPA,CPI(ML)(L),0,Literate,0,0
1409,8438,S22,17,TAMIL NADU,ERODE,Erode,CHRISTHURAJ.M.,IND,0,10th Pass,0,0
1429,1132,S01,21,ANDHRA PRADESH,VISAKHAPATNAM,Visakhapatnam,D V Ramana,TNPP,0,Not Given,0,0
1441,1085,S01,11,ANDHRA PRADESH,MAHBUBNAGAR,Mahbubnagar,D.Dasaratha Ramulu,IND,0,12th Pass,0,0
1540,2444,S18,14,ORISSA,CUTTACK,Cuttack,Debananda Singh,IND,0,10th Pass,0,0
1544,2281,S18,6,ORISSA,BALASORE,Balasore,Debasish Ranjan Dash,SAMO,0,12th Pass,0,0
1551,8757,S22,2,TAMIL NADU,CHENNAI NORTH,Chennai North,DEEPA,IND,0,Not Given,0,0
1560,5017,S04,26,BIHAR,BHAGALPUR,Bhagalpur,DEEPAK RAM,BSP(K),0,Graduate,0,0
1572,1248,S27,14,JHARKHAND,HAZARIBAGH,Hazaribagh,DEONATH MAHTO,IND,0,Not Given,0,0
1577,1086,S01,11,ANDHRA PRADESH,MAHBUBNAGAR,Mahbubnagar,Depally Maisaiah,IND,0,10th Pass,0,0
