Sno,Candidate ID,ST_CODE,PC_CODE,ST_NAME,PC_NAME,Constituency,Candidate,Party,Criminal Case,Education,Assets,Liabilities
4165,1491,S11,5,KERALA,KOZHIKODE,Kozhikode,Mudoor Muhammed Haji,IND,0,Not Given,0,0
4166,7486,S10,7,KARNATAKA,BIDAR,Bidar,MUFTI SHAIKH ABDUL GAFFAR QASMI,IND,0,Post Graduate,0,0
4218,1074,S01,11,ANDHRA PRADESH,MAHBUBNAGAR,Mahbubnagar,Muniswamy C.R,SJP(R),0,Not Given,0,0
4273,973,S01,1,ANDHRA PRADESH,ADILABAD,Adilabad,N Ramdas,IND,0,5th Pass,0,0
4280,1099,S01,12,ANDHRA PRADESH,NAGARKURNOOL,Nagarkurnool,N.Kurumaiah,IND,0,Not Given,0,0
4291,3503,S13,18,MAHARASHTRA,JALNA,Jalna,NADE DNYANESHWAR DAGDU,IND,0,8th Pass,0,0
4301,8599,S22,33,TAMIL NADU,THENI,Theni,NAGAMANI SENTHIL.R,IND,0,Post Graduate,0,0
4303,8870,S22,5,TAMIL NADU,SRIPERUMBUDUR,Sriperumbudur,NAGARAJAN P,IND,0,Not Given,0,0
4337,6558,S07,4,HARYANA,HISAR,Hisar,NAND KISHOR,IND,0,Not Given,0,0
4358,3462,S13,3,MAHARASHTRA,JALGAON,Jalgaon,NANNAWARE CHAITANYA PANDIT,PRCP,0,12th Pass,0,0
4377,5429,S13,28,MAHARASHTRA,MUMBAI NORTH-EAST,Mumbai North East,NARAYAN ANAND ROKADE,IND,0,5th Pass,0,0
4382,8263,S28,4,UTTARAKHAND,NAINITAL-UDHAMSINGH NAGAR,Nainital-Udhamsingh Nagar,NARAYAN PAL,BSP,0,Not Given,0,0
4431,4537,S06,24,GUJARAT,SURAT,Surat,NARESHBHAI NANJIBHAI BATHWAR,RPI(A),0,Graduate,0,0
4437,2460,S10,7,KARNATAKA,BIDAR,Bidar,Narsappa,IND,0,Not Given,0,0
4441,7567,U05,1,NCT OF DELHI,CHANDNI CHOWK,Chandni Chowk,NASRIN BEGUM,IND,0,10th Pass,0,0
4458,3650,S13,37,MAHARASHTRA,AHMEDNAGAR,Ahmednagar,NAUSHAD ANSAR SHAIKH,IND,0,Not Given,0,0
4460,9024,S22,16,TAMIL NADU,NAMAKKAL,Namakkal,NAVALMANI.A.N,IND,0,5th Pass,0,0
4474,2408,S06,10,GUJARAT,RAJKOT,Rajkot,NAYANBHAI HASMUKHBHAI UPADHYAY,IND,0,10th Pass,0,0
4617,1028,S01,7,ANDHRA PRADESH,MALKAJGIRI,Malkajgiri,P Ramakrishna,RKSP,0,Not Given,0,"21,00,000"
4656,1918,S01,16,ANDHRA PRADESH,MAHABUBABAD,Mahabubabad,Padiga Yerraiah,IND,0,Not Given,0,0
4661,3436,S13,1,MAHARASHTRA,NANDURBAR,Nandurbar,PADVI BABITA KARMSINGH,BSP,0,Post Graduate,0,"60,000"
4665,1836,S24,70,UTTAR PRADESH,GHOSI,Ghosi,PALAKDHARI,IND,0,Not Given,0,0
4677,3631,S13,36,MAHARASHTRA,SHIRUR,Shirur,PALLAVI MOHAN HARSHE,PRCP,0,Others,0,0
4693,5891,S10,3,KARNATAKA,BAGALKOT,Bagalkot,PANDIT SHIVAPPA BODALI,IND,0,10th Pass,0,0
4694,1088,S01,11,ANDHRA PRADESH,MAHBUBNAGAR,Mahbubnagar,Pandu,IND,0,Not Given,0,0
4698,8354,S22,7,TAMIL NADU,ARAKKONAM,Arakkonam,PANJATSARAM D,IND,0,5th Pass,0,0
4747,3824,S23,1,TRIPURA,TRIPURA WEST,Tripura West,PARTHA KARMAKAR,CPI(ML)(L),0,12th Pass,0,0
4769,3686,S13,39,MAHARASHTRA,BEED,Beed,PATHAN GAFARKHAN JABBARKHAN,IND,0,8th Pass,0,"2,00,000"
4786,4789,S25,2,WEST BENGAL,ALIPURDUARS,Alipurduars,Pauldexion Khariya,IND,1,Graduate,0,0
4788,8628,S22,39,TAMIL NADU,KANNIYAKUMARI,Kanniyakumari,PAULRAJ,IND,1,Graduate Professional,0,"2,182"
4793,594,S26,4,CHHATTISGARH,KORBA,Korba,Pawan Kumar,IND,0,Not Given,0,0
4808,8920,S22,8,TAMIL NADU,VELLORE,Vellore,PERUMAL D,IND,0,10th Pass,0,0
