ID,Key,Type,Value,Year
4281,468,IPC,1,2014
4281,471,IPC,1,2014
591,147,IPC,1,2014
591,149,IPC,1,2014
591,341,IPC,1,2014
591,188,IPC,1,2014
2797,420,IPC,1,2014
2797,467,IPC,1,2014
2797,468,IPC,1,2014
2797,471,IPC,1,2014
1964,447,IPC,1,2014
1964,427,IPC,1,2014
2954,353,IPC,1,2014
2954,186,IPC,1,2014
2954,147,IPC,1,2014
2954,427,IPC,1,2014
4112,431,IPC,1,2014
4112,143,IPC,1,2014
4112,147,IPC,1,2014
4112,290,IPC,1,2014
4112,427,IPC,1,2014
4196,452,IPC,1,2014
4196,353,IPC,2,2014
4196,342,IPC,1,2014
4196,147,IPC,1,2014
4196,186,IPC,1,2014
4130,506,IPC,1,2014
4130,188,IPC,1,2014
4130,147,IPC,1,2014
4130,341,IPC,1,2014
4130,294,IPC,1,2014
4130,323,IPC,1,2014
4130,34,IPC,1,2014
3013,304,IPC,1,2014
3013,506,IPC,1,2014
3013,171,IPC,1,2014
3013,188,IPC,1,2014
4154,324,IPC,1,2014
4154,325,IPC,1,2014
4154,452,IPC,1,2014
4154,389,IPC,1,2014
4154,307,IPC,1,2014
4154,511,IPC,1,2014
4154,147,IPC,1,2014
4154,148,IPC,1,2014
4154,149,IPC,1,2014
4154,323,IPC,1,2014
4154,353,IPC,1,2014
4154,341,IPC,1,2014
4154,337,IPC,1,2014
5879,506,IPC,1,2014
5879,143,IPC,1,2014
5879,147,IPC,1,2014
5879,148,IPC,1,2014
5879,427,IPC,1,2014
6995,153,IPC,2,2014
6995,420,IPC,2,2014
6995,468,IPC,2,2014
6995,332,IPC,1,2014
6995,325,IPC,1,2014
6995,188,IPC,4,2014
6995,147,IPC,3,2014
6995,143,IPC,2,2014
6995,120,IPC,2,2014
6995,471,IPC,2,2014
6995,153,IPC,1,2014
6995,323,IPC,1,2014
6995,447,IPC,1,2014
6995,149,IPC,1,2014
6995,465,IPC,1,2014
6995,148,IPC,1,2014
6995,341,IPC,1,2014
