Candidate,Constituency,Criminal Cases,Education,ID,Party,Sno,Total Assets,Total Liabilities,Year
(AIDS MAN) PRAKASH TATERAO LANDGE,Nanded,0,Graduate,2557,IND,1,50000,0,2004
(NAIK) DEVKATTE VENKATRAO NARSINGRAO,Nanded,0,Graduate,2555,RSPS,2,0,0,2004
A ANSARI,Chirayinkil,0,10th Pass,1860,IND,3,110000,0,2004
A C JOSE,Trichur,0,Post Graduate,1968,INC,4,6373035,684351,2004
A C VARKEY,Calicut,1,Not Given,1836,IND,5,30000,21530,2004
A K BISWAS,Andaman & Nicobar Islands,0,Graduate,7,BSP,6,7876500,65000,2004
A K SUBBAIAH,Mangalore,0,Graduate,1787,JD(S),7,8150000,1000000,2004
A S GURUSWAMY,Mysore,0,Post Graduate,1790,JD(S),8,6995093,120000,2004
A SIDDARAJU,Chamarajanagar,0,Post Graduate,1685,INC,9,2164500,300000,2004
A V K MOOSAD,Calicut,0,10th Pass,1845,IND,10,616403,368,2004
A. B. A. Ghani Khan Choudhury,Malda,1,Graduate,5339,INC,11,4115704,4187744,2004
A. C  V. SUBBAIAH,Nandyal,0,Graduate,168,BSP,12,100000,0,2004
A. F. GOLAM OSMANI,Barpeta,0,Graduate Professional,313,INC,13,1005000,0,2004
A. JAGAN MOHAN RAO,Anantapur,0,Graduate,30,TRS,14,505000,0,2004
A. K. ROY,Dhanbad,1,Post Graduate,1477,MCO,15,76803,0,2004
A. NARENDRA,Medak,0,Graduate,140,TRS,16,2020000,500000,2004
A. R. ANTULAY,Kolaba,0,5th Pass,2437,IND,17,58000,0,2004
A. R. ANTULAY,Kolaba,0,Graduate Professional,2434,INC,18,28468000,0,2004
A. RASHEED MAMU,Dahanu,0,10th Pass,2381,RSNP,19,2107352,0,2004
A.MALLA RAO,Chittoor,0,Others,49,TRS,20,355000,0,2004
A.NAGESWARA RAO,Nalgonda,0,Graduate,160,PPOI,21,645000,0,2004
A.VENKATESH NAIK,Raichur,0,12th Pass,1794,INC,22,5615514,447987,2004
AADIL KHAN,Chhindwara,0,5th Pass,2060,IND,23,100000,0,2004
AAJU RAM CHANDRAVANSHI,Rajnandgaon,0,Not Given,980,IND,24,1942442,25000,2004
AARI NOORMOHD KASIMSAHAB,Bagalkot,0,Not Given,1644,BSP,25,280000,0,2004
AARON RASHID J. M.,Periyakulam,0,10th Pass,3587,INC,26,152098686,2253320,2004
AARTI MEHTA,Mumbai North West,0,Graduate,2514,IND,27,15600000,0,2004
AASHUTOSH KUMAR SINGH,Aurangabad,0,10th Pass,451,IND,28,807000,90000,2004
AB. MAJEED NAIKOO,Anantnag,0,Illiterate,1381,IND,29,0,0,2004
ABDUL JALIL MASTAN,Kishanganj,0,12th Pass,653,SP,30,1378489,202500,2004
ABDUL MAJED QURESHI ALIAS KAISER QURESHI,Aurangabad,0,10th Pass,2317,NLP,31,80000,0,2004
ABDUL MAJEED MASTER,Trichur,0,Graduate,1974,IND,32,1755154,43550,2004
ABDUL MALIK CHOUDHRY,Mumbai South Central,0,8th Pass,2531,BSP,33,110000,14500,2004
ABDUL RASHID LONE,Srinagar,0,Literate,1435,IND,34,0,0,2004
ABDUL RASHID SHAHEEN,Baramulla,0,Post Graduate,1390,JKN,35,17174843,1056615,2004
ABDUL SATTAR MOHAMMEDSAB ATTAR,Mumbai North East,0,Not Given,2500,KKJHS,36,580000,0,2004
Abdur Rauf Baidya,Diamond Harbour,1,Not Given,5233,IND,37,76165,0,2004
ABDUS  SALAM,Barpeta,0,Not Given,319,LJNSP,38,160000,0,2004
ABDUS SAMAD AHMED,Barpeta,1,Doctorate,317,UMFA,39,1040000,0,2004
ABDUS SATTAR MUJAHED,Secunderabad,0,Not Given,231,MUL,40,80000,0,2004
Abdus Sayeed,Jangipur,0,10th Pass,5301,IND,41,578826,0,2004
Abedin Dr. Zainal,Raiganj,0,Doctorate,5398,AITC,42,1624216,0,2004
ABEED HUSSAIN,Koppal,0,10th Pass,1777,KNDP,43,1480000,0,2004
ABHA MAHTO,Jamshedpur,0,Graduate,1543,BJP,44,6616966,443377,2004
ABHAY RAJ KISHOR RAI,Chapra,2,10th Pass,561,BSP,45,651500,103000,2004
ABHAY SINGH CHAUTALA,Kurukshetra,0,Graduate,1273,INLD,46,38101844,0,2004
ABHIMANYU,Rohtak,0,Graduate,1302,BJP,47,44375405,0,2004
Abhiram Besra,Bankura,0,Illiterate,5111,JDP,48,100000,0,2004
Abu Asim Siddique,Jangipur,0,Graduate,5304,IND,49,15000,0,2004
Abul Hasnat Khan,Jangipur,0,Post Graduate,5297,CPM,50,2846652,934387,2004
ACHAL SINGH,Fatehpur,0,Post Graduate,4279,SP,51,1905000,0,2004
ACHANKOVIL RAJAN,Adoor,0,12th Pass,1817,BSP,52,20000,0,2004
ACHANTA BAPIRAJU,Secunderabad,0,Graduate,234,IND,53,281447,0,2004
Acharia Basudeb,Bankura,0,Post Graduate,5104,CPM,54,1708375,0,2004
Achintya Majhi,Vishnupur,0,Graduate,5433,INC,55,67264,50050,2004
Achintya Tarafdar,Raiganj,0,Graduate,5403,IND,56,311000,0,2004
AD. BRIJMOHAN KUSHWAHA,Khajuraho,0,Post Graduate,2141,BSP,57,842500,0,2004
ADAGALE BHAU RAMCHANDRA,Pune,0,10th Pass,2619,IND,58,105000,0,2004
ADAPALA SIVANNARAYANA,Machilipatnam,0,Others,132,PPOI,59,298906,0,2004
ADHALARAO PATIL SHIVAJIRAO,Khed,0,Post Graduate,2428,SHS,60,52230281,12332651,2004
Adhar Chandra Nahal,Contai,0,Not Given,5208,IND,61,27000,0,2004
Adhikari Suvendu,Tamluk,4,Graduate,5416,AITC,62,6352353,0,2004
Adhikary Binoy,Dum Dum,0,Literate,5248,IND,63,635900,81284,2004
Adhir Ranjan Chowdhury,Berhampore,3,10th Pass,5143,INC,64,19395174,0,2004
ADITYA NATH,Gorakhpur,0,Graduate,4361,BJP,65,960672,0,2004
ADSUL ANANDRAO VITHOBA,Buldhana,2,Graduate,2341,SHS,66,20630019,6111246,2004
ADV  BABURAO BANDGAR,Latur,0,Post Graduate,2459,LRP,67,800000,127000,2004
ADV G MURALEEDHARAN NADAR,Trivandrum,0,Others,1979,IND,68,10500,135000,2004
ADV NAIKNAVARE PURUSHOTTAM BHAGVAN,Pandharpur,0,Not Given,2587,RSPS,69,3926538,55319,2004
ADV P C THOMAS (PEEDIAKKAL),Muvattupuzha,0,Others,1930,IND,70,5792358,1232406,2004
ADV P M ISMAIL,Muvattupuzha,2,Graduate,1926,CPM,71,1824407,0,2004
ADV S PRAHALADAN,Quilon,0,Not Given,1962,BSP,72,1211000,93359,2004
ADV SAJI K CHERAMAN,Mavelikara,0,Others,1912,BSP,73,67194,0,2004
ADV T K MANOJ,Mukundapuram,0,Others,1923,BSP,74,10200,0,2004
ADV V BALAKRISHNA SHETTY,Kasaragod,1,Post Graduate,1888,BJP,75,3372885,24372,2004
ADV V BALARAM,Calicut,0,Graduate Professional,1834,INC,76,4605641,1157438,2004
ADV V C ZACHARIAH,Mavelikara,0,Others,1913,SLAP,77,3131206,1360,2004
ADV.  LAXMAN NARHARI SHINDE,Latur,0,Graduate Professional,2456,BSP,78,655000,0,2004
ADV. AMIN SOLKAR,Mumbai South,0,Post Graduate,2522,SP,79,1075000,0,2004
ADV. C. S. BAHETI,Nanded,0,Post Graduate,2559,JP,80,3105500,1642400,2004
ADV. CHINTAMAN WANGA,Dahanu,1,Graduate Professional,2378,BJP,81,1311506,50000,2004
ADV. DADASAHEB ALIAS BHIKAJI WALTHARE,Chimur,0,Post Graduate,2366,BBM,82,528886,0,2004
ADV. DEELIP PRABHAKARRAO KULKARNI (PHULVALKAR),Nanded,0,Post Graduate,2560,IND,83,1028800,0,2004
ADV. EKNATH BAVANKAR,Chimur,0,Post Graduate,2369,SP,84,119930,0,2004
ADV. KAMBLE PRABHAKAR MANSING,Karad,0,Post Graduate,2425,BSP,85,532498,0,2004
ADV. PANKAJ KOWLI,Ratnagiri,0,Post Graduate,2640,PWPI,86,1507000,0,2004
ADV. PUNJABRAO RAMDHAN CHAVAN,Hingoli,0,Post Graduate,2395,IND,87,0,0,2004
ADV. RAMESH SAKHARAM NAIK,Panaji,0,Graduate Professional,1029,IND,88,2974500,420000,2004
ADV. SUHASE MADHUKAR MALLAPPA,Sangli,0,Post Graduate,2646,BSP,89,75000,0,2004
ADV. T B MINI,Ernakulam,0,Post Graduate,1870,IND,90,260900,0,2004
ADV. THENGRI NATTHUJI NARAYAN,Chimur,0,Post Graduate,2375,RLD,91,1200184,77090,2004
ADV. VASANTRAO JEEVANRAO MORE,Erandol,1,Graduate Professional,2387,NCP,92,15846533,1823686,2004
ADVOCATE GHULAM NABI LONE,Srinagar,0,Post Graduate,1427,JKPDP,93,364000,417458,2004
ADVOCATE J R PADMAKUMAR,Chirayinkil,1,Post Graduate,1858,BJP,94,2475683,328960,2004
ADVOCATE JACOB JOHN,Kottayam,0,Graduate,1899,BSP,95,500000,0,2004
ADVOCATE S. K. DUBEY,Mumbai North East,0,Post Graduate,2497,SP,96,5324181,0,2004
ADVOCATE V PADMANABHAN,Alleppey,0,Post Graduate,1821,BJP,97,1060214,12000,2004
AFAJAL ANSARI,Ghazipur,1,Post Graduate,4307,SP,98,5085464,38022,2004
AFROZ ALI KHAN,Rampur,0,Not Given,4837,BSP,99,3290000,450537,2004
AFZALUR RAHMAN,Dhubri,0,Graduate,323,AGP,100,3328400,523000,2004
AGADI VIRUPAXAPPA SANGANNA,Koppal,0,Graduate,1776,JD(S),101,3290000,502053,2004
AGARWAL RAMESH PANDURANG,Yavatmal,0,Graduate,2693,BSP,102,2060000,1015000,2004
AGRAWAL B. R. KUMAR,Mumbai North,0,10th Pass,2478,SP,103,2802000,0,2004
Ahindra Basu,Dum Dum,0,Graduate,5247,IND,104,1338850,118149,2004
AHIR  VIKRAMBHAI,Jamnagar,0,Graduate,1115,INC,105,4837028,574600,2004
AHIR HANSRAJ GANGARAM,Chandrapur,16,10th Pass,2351,BJP,106,2653960,0,2004
AHIR SACHIN,Mumbai South Central,2,12th Pass,2528,NCP,107,17095592,40325,2004
Ahmed Sultan,Katwa,0,Graduate,5319,AITC,108,3410196,4845009,2004
AIJAZ AHMED FAROOQUI,Hassan,0,12th Pass,1751,BSP,109,235000,200000,2004
AJABLAL,Bhandara,2,Post Graduate,2337,BSP,110,75000,0,2004
AJAY,Ghazipur,0,Graduate,4310,SBSP,111,98000,0,2004
Ajay Chakraborty,Basirhat,0,Graduate Professional,5135,CPI,112,7218672,0,2004
AJAY CHATURVEDI,Lucknow,0,Graduate,4601,IND,113,746795,0,2004
AJAY DANIEL ( TINKU ),Ferozepur,0,12th Pass,3016,IND,114,0,0,2004
AJAY KUMAR,Rohtak,0,Graduate,1316,IND,115,76056,0,2004
AJAY KUMAR,Mahendragarh,0,Graduate,1295,RVP,116,2550678,0,2004
AJAY KUMAR BHADANI,Jahanabad,0,Graduate,615,IND,117,5000,0,2004
AJAY KUMAR CHOUDHARY,Gaya,0,Doctorate,584,IND,118,5652,63000,2004
AJAY KUMAR PANDEY,Sheohar,0,10th Pass,844,IND,119,50000,0,2004
AJAY KUMAR PURBE,Madhubani,0,Others,677,SP,120,4601993,0,2004
AJAY MAKAN,New Delhi,1,Post Graduate,2795,INC,121,30234158,650000,2004
AJAY SINGH,Rohtak,0,12th Pass,1306,AIFB,122,4514500,58000,2004
AJAY SINGH CHAUTALA,Bhiwani,0,Post Graduate,1208,INLD,123,76671616,861800,2004
AJEET SINGH PARMAR,Hoshiarpur,0,Graduate,3034,SJP(R),124,175000,0,2004
AJEYA MADHAV SHANBHAG,Kanara,0,Graduate,1765,IND,125,500200,0,2004
AJIT  JOGI,Mahasamund,2,Graduate Professional,948,INC,126,8835009,0,2004
Ajit Das,Tamluk,0,Post Graduate,5418,BSP,127,595000,0,2004
Ajit Das,Raiganj,1,Graduate,5400,CPI(ML)(L),128,431340,0,2004
"Ajit Kumar Panja ( Mamudpur, P.s- Chandrakona, Ghatal, West Medinipur)",Calcutta North East,0,Others,5172,IND,129,15000,0,2004
"Ajit Kumar Panja (250, Chittaranjan Avenue, Kolkata-700 006)",Calcutta North East,0,Others,5170,AITC,130,16354802,0,2004
AJIT KUMAR SINGH,Bikramganj,0,Post Graduate,532,JD(U),131,14362110,0,2004
AJIT SINGH,Baghpat,0,Post Graduate,4005,RLD,132,13423683,1456567,2004
Ajoy Bauri,Vishnupur,0,Not Given,5435,BSP,133,35000,0,2004
Ajoy Ghora,Basirhat,0,5th Pass,5142,IND,134,186612,0,2004
Ajoy Kumar Tudu,Purulia,0,Others,5390,JDP,135,265000,0,2004
AKBAR AHMED DEMPI,Bareilly,2,Graduate,4092,BSP,136,16124683,115000,2004
Akbar Ali Khandoker,Serampore,0,Graduate,5406,AITC,137,3035064,336323,2004
AKBAR HUSAIN,Bettiah,0,Graduate,516,IND,138,68000,0,2004
AKHIL BHARATIYA SHARMA,Bhagalpur,0,Others,531,IND,139,10000,0,2004
AKHILES PRASAD SINGH,Motihari,0,Post Graduate,703,RJD,140,3669358,0,2004
AKHILESH,Maharajganj,23,Graduate,4640,SP,141,4331272,350000,2004
AKHILESH YADAV,Kannauj,0,Post Graduate,4517,SP,142,23142705,0,2004
AKHILESHWAR NANDLAL CHOUBEY,Mumbai North,4,10th Pass,2475,BSP,143,3282700,0,2004
AKHTAR HUSAIN,Faridabad,0,12th Pass,1235,IND,144,193000,43000,2004
AKSHAY PRATAP SINGH (GOPAL JI),Pratapgarh,26,Literate,4804,SP,145,2169847,0,2004
Alakesh Das,Nabadwip,0,Post Graduate,5373,CPM,146,278876,18382,2004
ALAKH MOHAN MATHUR,Mahendragarh,0,Not Given,1299,IND,147,8291471,1504000,2004
ALAUDDEEN KHAN,Aonla,0,Doctorate,3983,INC,148,1296444,0,2004
ALEMAO CHURCHIL BRAZ,Mormugao,1,12th Pass,1015,INC,149,8675904,8172004,2004
ALEY HASAN,Amroha,0,Not Given,3966,BSP,150,17038963,0,2004
ALIM,Chandni Chowk,0,5th Pass,2735,IND,151,2000080500,0,2004
ALLA RAMA CHANDRA REDDY,Ongole,0,5th Pass,197,IND,152,900000,25000,2004
ALLURI YUGANDHARA  RAJU,Narasapur,0,Post Graduate,176,PPOI,153,451000,0,2004
ALOK KUMAR MEHTA,Samastipur,0,Graduate Professional,813,RJD,154,6794434,0,2004
ALOK SEN,Silchar,0,Graduate,410,SAP,155,91349,0,2004
Aloke Ghosh,Howrah,0,Not Given,5270,IND,156,359522,0,2004
ALTAF AHMED,Bhopal,0,10th Pass,2033,IND,157,500,0,2004
ALTAF AHMED SAANI SK. AMIR,Nanded,0,10th Pass,2556,LRP,158,500000,0,2004
ALVA MARGARET,Kanara,0,Graduate,1760,INC,159,8930000,63000,2004
Amal Kumar Sen,Barrackpore,0,Graduate,5129,IND,160,82200,0,2004
AMAN KUMAR NAGRA,Ambala,0,Literate,1197,HVP,161,359183,0,2004
AMAR NATH YADAV,Siwan,7,Illiterate,861,CPI(ML)(L),162,417367,497028,2004
AMAR RAGHUNATH GAIKWAD,Satara,0,Not Given,2654,BSP,163,464000,100000,2004
Amar Roy Pradhan,Cooch Behar,0,Others,5213,IND,164,423833,150000,2004
AMAR SINGH,East Delhi,0,Others,2767,LP(S),165,715000,0,2004
AMARJEET KAUR,Outer Delhi,0,Not Given,2814,IND,166,780836,200000,2004
AMARKANT RANA,Kairana,0,Post Graduate,4477,BJP,167,6893843,763139,2004
AMARPAL SINGH,Muzaffarnagar,0,Graduate,4742,BJP,168,8908477,252082,2004
AMARSINH VASANTRAO PATIL,Belgaum,0,Post Graduate,1662,INC,169,7948439,2857650,2004
AMART LAL RAGHUWAR,Chhindwara,0,10th Pass,2049,SVSP,170,1315900,0,2004
AMBAREESH M. H.,Mandya,0,Not Given,1780,INC,171,7394819,321600,2004
AMBATI BRAHMANAIAH,Machilipatnam,0,Post Graduate,130,TDP,172,1546471,168301,2004
AMBEDKAR PRAKASH YASHWANT,Akola,0,Post Graduate,2297,BBM,173,4618600,1263468,2004
AMEER PUTHIYATHANODA,Lakshadweep,0,12th Pass,1993,SP,174,173475,45000,2004
AMI LAL,Sirsa,0,Not Given,1331,RVP,175,406500,0,2004
AMIT KUMAR ALBELA,Patna,0,Graduate,767,IND,176,233764,0,2004
Amit Sundar Purkait,Diamond Harbour,1,Not Given,5240,IND,177,5000,0,2004
AMIT WHIG,Chandni Chowk,0,Graduate,2737,IND,178,417000,260000,2004
AMITABH MANDLOI,Khandwa,0,Graduate Professional,2150,INC,179,5824912,54609,2004
Amitava Nandy,Dum Dum,0,12th Pass,5241,CPM,180,2935137,0,2004
