Candidate,Constituency,Criminal Cases,Education,ID,Party,Sno,Total Assets,Total Liabilities,Year
"""SUDAROLI"" MURUGAN S. B.COM.,",Tirunelveli,0,Not Given,9245,IND,1,54652,67100,2009
(AIDS MAN) PRAKASH TATERAO LANDGE,Nanded,0,Graduate,261,IND,2,350000,0,2009
A Arokiasamy,Palakkad,0,10th Pass,1521,IND,3,32000,0,2009
A B SINGH,Chittorgarh,0,Post Graduate,4810,BSP,4,3347551,0,2009
A Gumpa Swamy,Araku,0,Illiterate,1122,IND,5,0,0,2009
A K Abdul Nasar,Kozhikode,0,10th Pass,1483,BSP,6,3272000,0,2009
A Laxman Rao,Adilabad,0,10th Pass,971,IND,7,1560000,0,2009
A N Radhakrishnan,Ernakulam,1,Graduate,1558,BJP,8,4301709,1700000,2009
A. AMARNADH,Chittoor,0,Not Given,4367,RKSP,9,0,0,2009
A. David Raju,Peddapalle,1,10th Pass,515,PRAP,10,1460000,0,2009
A. Fatima,Hyderabad,0,Graduate Professional,535,PRAP,11,37000,0,2009
A. HAROON ALI,Lucknow,0,Graduate,5610,IND,12,1751500,34380,2009
A. Nageshwar Rao,Nalgonda,0,Not Given,694,PPOI,13,1043501,0,2009
A. P. Ahamed,Hassan,0,5th Pass,4623,BSP,14,1100000,300000,2009
A. RAEES A. JABBAR,Nanded,0,Literate,823,ANC,15,50000,0,2009
A. RASHID ANSARI,Pratapgarh,1,Graduate,3875,MC,16,1789119,0,2009
A.Chandrashekar,Bangalore Central,0,8th Pass,1727,IND,17,195000,0,2009
A.K. GUPTA,South Delhi,0,12th Pass,7706,SP,18,7140000,0,2009
A.K. ROY,Dhanbad,1,Post Graduate,4241,MCO,19,61317,0,2009
A.Kamalamma,Peddapalle,0,Not Given,1004,IND,20,155000,0,2009
A.N.BACHEGOWDA,Chikkballapur,0,5th Pass,6437,IND,21,0,0,2009
A.P.Jithender Reddy,Chevella,1,Graduate,537,TDP,22,267668583,3621000,2009
A.S.Paul,Bangalore Central,0,Graduate,1728,AIJMK,23,1173000,6300,2009
A.T. NANA PATIL,Jalgaon,0,Graduate,3456,BJP,24,103839607,9200000,2009
A.U.FAROOQ,Nandyal,0,5th Pass,4425,IND,25,1010000,0,2009
A.V.Shiva Kumar,Nagarkurnool,0,10th Pass,1101,IND,26,500000,180000,2009
A.Venkatesh,Nagarkurnool,0,12th Pass,37,IND,27,0,0,2009
AAMELIYA HANSDA,Rajmahal,0,8th Pass,4166,RSP,28,709222,0,2009
AAMER AHMED MADNI,New Delhi,0,Graduate Professional,7665,SP,29,270000,0,2009
AANANDAN V.S.K.S.,Sivaganga,0,Not Given,9164,IND,30,0,0,2009
