Candidate,Constituency,Criminal Cases,Education,ID,Party,Sno,Total Assets,Total Liabilities,Year,ST_CODE,PC_CODE
Sanjay Prasad,SHEOHAR,0,10th Pass,8145,IND,6407,8172300,399000,2014,S04,4
Sanjay Robinson,ALLAHABAD,0,12th Pass,8633,Naitik Party,6408,105000,0,2014,S24,52
Sanjay S/O Laxman Solanki,KHANDWA,1,Graduate,4197,BSP,6409,3646000,830000,2014,S12,28
Sanjay Sadashiv Mandalik,KOLHAPUR,0,Post Graduate,3533,SHS,6410,11672709,920570,2014,S13,47
Sanjay Saoji Deshpande,MUMBAI NORTH EAST,0,10th Pass,7238,IND,6411,6818000,1423000,2014,S13,28
Sanjay Shakya,KANNAUJ,0,Graduate Professional,5025,IND,6412,1636000,600000,2014,S24,42
Sanjay Singh,KATIHAR,0,Post Graduate,4480,IND,6413,10830016,202000,2014,S04,11
Sanjay Singh,PURNIA,0,10th Pass,5269,IND,6414,106700,0,2014,S04,12
Sanjay Tiwari,SITAPUR,0,12th Pass,6740,Naitik Party,6415,2108742,0,2014,S24,30
Sanjaybhau Narayanrao Chidam,WARDHA,0,12th Pass,1399,IND,6416,5610091,50000,2014,S13,8
Sanjaykaka Patil,SANGLI,0,10th Pass,3655,BJP,6417,108791027,19198050,2014,S13,44
Sanjaykumar Somnathbhai Raval,BANASKANTHA,0,Graduate Professional,7300,AAP,6418,34785000,9985000,2014,S06,2
Sanjeet Kumar,DAUSA,0,Doctorate,5104,AAP,6419,4465861,1823880,2014,S20,11
Sanjeev,LUCKNOW,2,Post Graduate,6695,Bahujan Kranti Party (Marxwad-Ambedkarwad),6420,1730850,900000,2014,S24,35
Sanjeev Ganesh Naik,THANE,0,12th Pass,5653,NCP,6421,148635752,43986747,2014,S13,25
Sanjeev Kumar,GHAZIABAD,0,Post Graduate,1679,IND,6422,5671309,0,2014,S24,12
Sanjeev Kumar Mahato,GIRIDIH,0,12th Pass,2822,IND,6423,813000,0,2014,S27,6
Sanjeev Kumar Mishra,KHAJURAHO,0,12th Pass,2974,AIFB,6424,401000,0,2014,S12,8
Sanjeev Kumar Thapar,BATHINDA,0,10th Pass,7811,IND,6425,2670000,200000,2014,S19,11
Sanjeev Prasad Toni,HAJIPUR,2,10th Pass,8119,INC,6426,75279297,0,2014,S04,21
Sanjeev Singh,CHANDAULI,0,12th Pass,9529,Suheldev Bhartiya Samaj Party,6427,5427000,47770000,2014,S24,76
Sanjeev Vishnu Sane,THANE,0,10th Pass,5654,AAP,6428,12971518,611559,2014,S13,25
Sanjib Malik,BOLPUR,0,12th Pass,6794,Jharkhand Disom Party,6429,11000,0,2014,S25,41
Sanjib Sarkar,HOWRAH,0,12th Pass,6799,IND,6430,23729,0,2014,S25,25
Sanjit Kumar Das,KARIMGANJ,0,10th Pass,2249,IND,6431,640607,0,2014,S03,1
Sanjit Singh,JANGIPUR,0,8th Pass,4832,BSP,6432,945000,0,2014,S25,9
Sanjiv Bhojraj,SIRSA,1,10th Pass,2000,VANCHITSAMAJ INSAAF PARTY,6433,106000,0,2014,S07,3
Sanjiv Kumar Sinha,GIRIDIH,0,Graduate,2819,AIFB,6434,646296,120000,2014,S27,6
Sanjoy Saha,KOLKATA UTTAR,0,12th Pass,9815,IND,6435,2200000,0,2014,S25,24
Sanju Verma,MUMBAI NORTH CENTRAL,0,Post Graduate,7202,IND,6436,183100000,3738000,2014,S13,29
Sankaliya Gangarambhai Tapubhai,SURENDRANAGAR,0,10th Pass,6578,IND,6437,5275000,0,2014,S06,9
