Candidate,Constituency,Criminal Cases,Education,ID,Party,Sno,Total Assets,Total Liabilities,Year,ST_CODE,PC_CODE
Kaushal Yadav,NAWADA,8,Post Graduate,148,JD(U),1,154566136,2604969,2014,S04,39
Kiran Sharma,AZAMGARH,0,8th Pass,9487,Bhartiya Shakti Chetna Party,2,3509407,325000,2014,S24,69
M. Aamir Rashadi,AZAMGARH,1,Others,9496,Rashtriya Ulama Council,3,2191523,0,2014,S24,69
Rakesh Kumar Giri,MAHARAJGANJ,0,Graduate Professional,9706,IND,4,306023,0,2014,S24,63
(Kuppal)G.Devadoss,CHENNAI SOUTH,0,8th Pass,6912,IND,5,3630000,850000,2014,S22,3
(Maj Gen (Retd.) ) Bhuwan Chandra Khanduri (Avsm),GARHWAL,0,Graduate Professional,74,BJP,6,44357368,0,2014,S28,2
A Biju,ALATHUR,0,8th Pass,1906,IND,7,564425,175000,2014,S11,9
A N Radhakrishnan,ERNAKULAM,0,Graduate,8,BJP,8,7813475,0,2014,S11,12
A Nelson,SIVAGANGA,0,12th Pass,4337,IND,9,37322,0,2014,S22,31
A P Jithender Reddy,MAHBUBNAGAR,4,Graduate,4536,TRS,10,140831576,1386969,2014,S01,11
A Pandian,ANDAMAN & NICOBAR ISLANDS,0,12th Pass,901,AIFB,11,859410,350000,2014,U01,1
A Prasad,KOLAR,0,10th Pass,1105,IND,12,840000,0,2014,S10,28
A Sampath,ATTINGAL,1,Doctorate,340,CPI(M),13,17791149,1421392,2014,S11,19
A Thavamani,MADURAI,0,Illiterate,7501,BSP,14,51000,0,2014,S22,32
A Vijayaraghavan,KOZHIKODE,0,Graduate Professional,173,CPI(M),15,5757792,152305,2014,S11,5
A. Devadas,BELLARY,0,10th Pass,397,SUCI(C),16,1154658,0,2014,S10,9
A. Irudayadass,CHENNAI SOUTH,0,Graduate,6929,IND,17,551640,0,2014,S22,3
A. Jaiganesh,CHENNAI SOUTH,0,Graduate,6913,Lok Satta Party,18,5855905,0,2014,S22,3
A. Josekutty,KOLLAM,0,10th Pass,336,IND,19,545117,224328,2014,S11,18
A. Magesh,CHENNAI SOUTH,0,Graduate,6943,IND,20,6894841,66500,2014,S22,3
A. P. Shamseer,VADAKARA,0,Literate,1850,IND,21,55620,0,2014,S11,3
A. Raghunath Varma,BERHAMPUR,0,Post Graduate,117,IND,22,270800,0,2014,S18,20
A. Shadhick Batcha,TIRUCHIRAPPALLI,0,Post Graduate,4341,IND,23,752760,700000,2014,S22,24
A.Arunmozhithevan,CUDDALORE,9,Graduate Professional,3955,AIADMK,24,15765250,0,2014,S22,26
A.Baskar,CUDDALORE,0,10th Pass,4048,IND,25,1100000,0,2014,S22,26
A.Ganesan,ARANI,0,8th Pass,6284,BSP,26,2110000,0,2014,S22,12
A.Govindasamy,KALLAKURICHI,0,8th Pass,6356,IND,27,1891000,300000,2014,S22,14
A.Hamid Sh. Habib,DHULE,3,8th Pass,5202,IND,28,63500,0,2014,S13,2
A.K. Aggarwal,VARANASI,1,10th Pass,9741,Agar Jan Party,29,14058166,0,2014,S24,77
A.K. Aggarwal,NORTH EAST DELHI,1,10th Pass,993,Agar Jan Party,30,14058166,0,2014,U05,2
A.K. Mohan,DURG,0,10th Pass,5381,AITC,31,290000,0,2014,S26,7
A.K.Moorthy,ARANI,0,Post Graduate,6292,Pattali Makkal Katchi,32,55271210,17008423,2014,S22,12
A.K.Parashurama Kotemallur,DAVANAGERE,0,12th Pass,2206,BSP,33,215000,0,2014,S10,13
A.K.Perumal,KALLAKURICHI,0,Post Graduate,6357,JMM,34,5302255,0,2014,S22,14
A.K.Salahudeen,KOLLAM,1,12th Pass,700,SDPI,35,6562365,0,2014,S11,18
A.K.Sheikdavood,TIRUPPUR,0,Graduate,4041,IND,36,0,0,2014,S22,18
A.Kannan,MADURAI,0,8th Pass,7496,IND,37,262590,0,2014,S22,32
A.Krishnappa,TUMKUR,0,Graduate,183,JD(S),38,701833242,175031509,2014,S10,19
A.M.H. Nazeem,PONDICHERRY,3,12th Pass,5583,DMK,39,5930000,60000,2014,U07,1
A.M.Smitha,VADAKARA,0,Graduate,1847,CPI(ML) Red star,40,22000,0,2014,S11,3
A.Mahadevan,ARANI,0,12th Pass,6300,IND,41,577000,0,2014,S22,12
A.Mogheeth Khan,TIRUPPUR,0,Graduate,7434,IND,42,3253500,1475000,2014,S22,18
A.P. Ahamad,HASSAN,0,Illiterate,2612,BSP,43,1100000,500000,2014,S10,16
A.Ponnusamy,TIRUPPUR,0,Literate,7432,IND,44,1581000,0,2014,S22,18
A.R. Krishna Murthy,CHAMARAJANAGAR,0,Post Graduate,1222,BJP,45,41281286,2886427,2014,S10,22
A.Ramesh,VILUPPURAM,0,10th Pass,5470,IND,46,350000,0,2014,S22,13
A.S.Dsilva,TUMKUR,0,Graduate,2571,AAP,47,33229897,0,2014,S10,19
A.Shajahan,KALLAKURICHI,0,Graduate Professional,6358,IND,48,4402000,325000,2014,S22,14
A.T. Dadakhalandar,DAVANAGERE,0,10th Pass,1081,IND,49,36042,19623,2014,S10,13
A.V.Thamarakshan,ALAPPUZHA,1,Post Graduate,1951,Revolutionary Socialist Party of Kerala (B),50,10641399,0,2014,S11,15
Aaftab Alam Khan,SANT KABIR NAGAR,0,Graduate Professional,8438,AAP,51,578842,0,2014,S24,62
"Aaron Rashid, J.M.",THENI,0,12th Pass,7503,INC,52,649632943,8318576,2014,S22,33
Aasutosh Verma,GIRIDIH,0,Graduate Professional,2818,AITC,53,384828136,46546450,2014,S27,6
Aayar Muljibhai Khanabhai,AHMEDABAD WEST,0,10th Pass,7267,IND,54,430286,0,2014,S06,8
Ab Hamid Malik,BARAMULLA,0,Graduate Professional,8541,IND,55,10675000,0,2014,S09,1
Abanindra Nath Baidya,MATHURAPUR,0,10th Pass,9820,IND,56,56279,6000,2014,S25,20
Abbas Hussain Shaikh,MUMBAI SOUTH CENTRAL,3,10th Pass,5949,SP,57,7967355,258960,2014,S13,30
Abbas Mothalappara,KASARAGOD,0,10th Pass,250,AITC,58,102000,0,2014,S11,1
Abburi Koteswara Rao,GUNTUR,0,10th Pass,8182,Pyramid Party of India,59,17620000,3800000,2014,S01,30
Abdul Ahad Mir,ANANTNAG,0,12th Pass,4693,IND,60,17950000,0,2014,S09,3
Abdul Aleem,HARDWAR,0,Post Graduate,8796,IND,61,6258320,0,2014,S28,5
Abdul Amir Amiro,CHANDNI CHOWK,0,5th Pass,983,IND,62,4122551,0,2014,U05,1
Abdul Azeem,BANGALORE NORTH,0,Post Graduate,2630,JD(S),63,158909760,0,2014,S10,24
Abdul Aziz,NAGAUR,0,Graduate,3451,BSP,64,2400000,0,2014,S20,14
Abdul Aziz Bhartiya,JAIPUR,0,Graduate,2386,Rashtriya Ulama Council,65,67000,0,2014,S20,7
Abdul Bari Siddiqui,MADHUBANI,3,12th Pass,6238,RJD,66,16343817,2718221,2014,S04,6
Abdul Basit Ibrahim Faith,MUMBAI SOUTH,0,Graduate,5929,IND,67,888656,0,2014,S13,31
Abdul Gani,NIZAMABAD,2,Graduate,6471,B. C. United Front,68,3633263,705948,2014,S01,4
Abdul Hafeez Abdul Aziz,BULDHANA,0,12th Pass,212,BSP,69,425000,225000,2014,S13,5
Abdul Hameed,BIDAR,0,Post Graduate,360,Welfare Party of India,70,15287118,0,2014,S10,7
Abdul Hussain,BARAMULLA,0,Others,8601,IND,71,21441634,697808,2014,S09,1
Abdul Jabbar K K,KANNUR,4,10th Pass,258,SDPI,72,3403545,0,2014,S11,2
Abdul Jaleel,WAYANAD,0,Graduate,171,SDPI,73,8813205,0,2014,S11,4
Abdul Kareem,CHALAKUDY,0,10th Pass,1923,IND,74,2746000,0,2014,S11,11
Abdul Kareem Khan,NIZAMABAD,0,8th Pass,6483,IND,75,6850000,800000,2014,S01,4
Abdul Khaleque,MALDAHA UTTAR,0,Graduate,4847,AIUDF,76,4367584,980000,2014,S25,7
Abdul Latif,GURGAON,0,5th Pass,460,IND,77,50000,0,2014,S07,9
Abdul Latif Abdul Kadir Shaikh,MUMBAI SOUTH,3,8th Pass,5916,IND,78,3393500,0,2014,S13,31
Abdul Majid Chouhan,JAMMU,0,10th Pass,880,IND,79,2600000,0,2014,S09,6
Abdul Mannan,SREERAMPUR,1,Graduate,6055,INC,80,2206559,0,2014,S25,27
Abdul Mannan Barbhuiya,SILCHAR,0,Graduate,2265,AAP,81,1042000,900000,2014,S03,2
Abdul Mannan Hossain,MURSHIDABAD,1,Graduate,3827,INC,82,13846286,0,2014,S25,11
Abdul Muneer,LAKSHADWEEP,0,Post Graduate,908,CPI(M),83,1395365,0,2014,U06,1
Abdul Rahim,HAZARIBAGH,0,Graduate,3997,Bahujan Mukti Party,84,1800000,0,2014,S27,14
Abdul Rahman,ARARIA,0,Literate,5236,BSP,85,813848,0,2014,S04,9
"Abdul Rahman, B.",VELLORE,0,10th Pass,7403,IND,86,1036500,0,2014,S22,8
"Abdul Rahman, M.",VELLORE,0,Post Graduate,7396,IUML,87,46864136,9836275,2014,S22,8
"Abdul Rahman, N.",VELLORE,0,10th Pass,7402,IND,88,530000,0,2014,S22,8
"Abdul Rahman, R.",PERAMBALUR,0,10th Pass,7120,IND,89,8165500,340000,2014,S22,25
Abdul Rashid Sheikh,BARAMULLA,0,Graduate,8603,IND,90,2301000,883000,2014,S09,1
Abdul Rashid Tantray,SRINAGAR,0,10th Pass,6811,IND,91,410000,0,2014,S09,2
Abdul Safiq Khan,RAIPUR,0,10th Pass,4141,IND,92,582300,0,2014,S26,8
Abdul Salam,GARHWAL,0,Illiterate,8301,IND,93,2170500,0,2014,S28,2
Abdul Salam N U,KASARAGOD,1,Post Graduate,1212,SDPI,94,3620329,1182188,2014,S11,1
"Abdul Salam, A.",COIMBATORE,0,5th Pass,6973,IND,95,1768600,700000,2014,S22,20
Abdul Sami Salmani,NORTH EAST DELHI,0,Others,990,BSP,96,4331561,160000,2014,U05,2
Abdul Tahir (Bablu - Advocate),BHOPAL,0,Graduate Professional,3921,IND,97,2573572,1600,2014,S12,19
Abdul Wafati Ansari Urf Yuvraj Tailors,REWA,0,10th Pass,1540,Samata Party,98,1131000,1200000,2014,S12,10
Abdul Waheed Shaik,GUNTUR,0,10th Pass,9451,INC,99,7654500,7000000,2014,S01,30
Abdul Wahid I,SALEM,0,Post Graduate,4290,IND,100,1800,0,2014,S22,15
Abdur Rahaman,KATIHAR,0,12th Pass,4110,Bharatiya Momin Front,101,627100,35000,2014,S04,11
Abdur Rezak Sk,TAMLUK,0,12th Pass,9442,IND,102,368000,800000,2014,S25,30
Abdurahiman Vadakkathinakath,PONNANI,0,8th Pass,1883,IND,103,5488050,0,2014,S11,7
Abdurahiman Varikottil,PONNANI,0,Literate,1885,IND,104,13110077,0,2014,S11,7
Abdurahiman Vayarakath,PONNANI,0,Literate,1884,IND,105,3037410,375000,2014,S11,7
Abdus Sadek Sarkar,BALURGHAT,2,Graduate Professional,4355,AIUDF,106,10907085,3064329,2014,S25,6
Abdus Sattar Mujahed,SECUNDERABAD,1,Graduate,6414,Akhil Bharatiya Muslim League (Secular),107,1785000,0,2014,S01,8
Abdus Sayeed,JANGIPUR,0,12th Pass,3823,SUCI(C),108,1204412,0,2014,S25,9
Abdus Sukur,BAHARAMPUR,0,Others,9776,IUML,109,6829000,0,2014,S25,10
Abha Pandey,MAHASAMUND,0,8th Pass,2800,Chhattisgarh Swabhiman Manch,110,5708000,150000,2014,S26,9
Abhay Subrao Kulkarni,THANE,0,8th Pass,5628,IND,111,2000,0,2014,S13,25
Abhijit Anil Apte,MAVAL,0,12th Pass,3362,IND,112,462306,0,2014,S13,33
Abhijit Das (Bobby),DIAMOND HARBOUR,2,Post Graduate,9355,BJP,113,4153000,0,2014,S25,21
Abhijit Mukherjee,JANGIPUR,0,Graduate Professional,4831,INC,114,63014502,15160000,2014,S25,9
Abhijit Ramesh Panse,THANE,1,Graduate,5629,MNS,115,6995050,5800000,2014,S13,25
Abhijit Sarkar,JANGIPUR,0,5th Pass,4834,IND,116,92600,0,2014,S25,9
Abhijit Shriram Hegshetye,RATNAGIRI SINDHUDURG,0,Post Graduate,3643,AAP,117,20692366,4273594,2014,S13,46
Abhilakh Rawat,BARABANKI,0,10th Pass,6644,IND,118,427900,0,2014,S24,53
Abhimanyu Singh Patel,VARANASI,0,12th Pass,9756,Bahujan Mukti Party,119,2445000,139257,2014,S24,77
Abhimod,PALAKKAD,0,Post Graduate,3,IND,120,2908779,370000,2014,S11,8
Abhinesh Maharshi,CHURU,0,Post Graduate,2316,BSP,121,38238575,4130000,2014,S20,3
Abhishek Banerjee,DIAMOND HARBOUR,0,Post Graduate,9347,AITC,122,15199272,0,2014,S25,21
Abhishek Mishra,LUCKNOW,0,Doctorate,6688,SP,123,15197365,700000,2014,S24,35
Abhishek Singh,RAJNANDGAON,0,Graduate Professional,107,BJP,124,44093207,0,2014,S26,6
Aboobacker Siddique,KASARAGOD,0,8th Pass,253,IND,125,38000,0,2014,S11,1
Aboobakker Sidique,PALAKKAD,0,Illiterate,1896,AITC,126,47004,0,2014,S11,8
Abraham Benhur,WAYANAD,0,Post Graduate,1855,IND,127,9999242,1421961,2014,S11,4
Abrar Ahmad Mahmud Khan,YAVATMAL-WASHIM,0,Others,1507,Welfare Party of India,128,6299991,700000,2014,S13,14
Abrar Beg Sarvar Beg Mirza,JALGAON,0,8th Pass,5836,Republican Party of India,129,85000,0,2014,S13,3
Abu Farhan Azmi,MUMBAI NORTH CENTRAL,0,12th Pass,7218,SP,130,637688791,15872212,2014,S13,29
Abu Hasem Kahn Chowdhury,MALDAHA DAKSHIN,0,Doctorate,4363,INC,131,11560825,654320,2014,S25,8
Abu Naseem Khan,MAINPURI,0,12th Pass,5046,Peace Party,132,5225000,160000,2014,S24,21
Abu Qaiser,BHAGALPUR,1,Graduate,4475,JD(U),133,45138014,1700000,2014,S04,26
Abul Awal,BARPETA,0,12th Pass,4427,SP,134,1224844,379980,2014,S03,6
Abul Hasan,RANCHI,0,Post Graduate,4015,IND,135,165500,0,2014,S27,8
Abul Hasnat Khan,MALDAHA DAKSHIN,0,Post Graduate,4360,CPI(M),136,10785663,0,2014,S25,8
Abul Qasem,ULUBERIA,0,Post Graduate,6063,Indian Unity Centre,137,4613889,0,2014,S25,26
Abullais.T.P,PONNANI,0,12th Pass,277,IND,138,6692346,0,2014,S11,7
Acharya Pramod Krishnam,SAMBHAL,0,Post Graduate,3194,INC,139,49900443,0,2014,S24,8
Achchhelal,LALGANJ,0,5th Pass,9675,IND,140,1251500,0,2014,S24,68
Achhe Lal Gupta,GORAKHPUR,0,8th Pass,9628,IND,141,1738500,600000,2014,S24,64
Achutananda Nag,BOLANGIR,0,Graduate Professional,1151,Ambedkarite Party of India,142,208500,0,2014,S18,10
Ad. Dr. Kolekar Anita Balasaheb,BHIWANDI,0,Doctorate,5190,Prabuddha Republican Party,143,450000,0,2014,S13,23
Ad. Mahesh Vitthalrao Kharat,JALNA,0,Post Graduate,7622,IND,144,123000,0,2014,S13,18
Ad. Tanaji Sukdeo Jaibhave,NASHIK,0,Graduate Professional,5957,CPI(M),145,7279479,2369620,2014,S13,21
Adagooru H Vishwanath,MYSORE,0,Graduate Professional,616,INC,146,30187177,0,2014,S10,21
Adala Prabhakara Reddy,NELLORE,0,12th Pass,8221,TDP,147,1282585640,131646350,2014,S01,39
Adarsh Shashtri,LUCKNOW,0,Post Graduate,6696,IND,148,18879925,6107118,2014,S24,35
Adarsh Shastri,ALLAHABAD,0,Graduate,8454,AAP,149,29967925,6107118,2014,S24,52
Adesh Tyagi,MIRZAPUR,0,Graduate,9719,IND,150,9715000,346480,2014,S24,79
Adhalrao Shivaji Dattatrey,SHIRUR,10,Post Graduate,3391,SHS,151,253880475,61810866,2014,S13,36
Adhir Ranjan Chowdhury,BAHARAMPUR,16,10th Pass,9306,INC,152,81465854,0,2014,S25,10
Aditya Kiritkumar Raval,AHMEDABAD EAST,1,12th Pass,5287,Vishva Hindustani Sangathan,153,642000,50000,2014,S06,7
Aditya Narayan,NAWADA,0,Graduate,1015,IND,154,15770000,0,2014,S04,39
Aditya Rajan Shirodkar,MUMBAI SOUTH CENTRAL,6,Graduate,5931,MNS,155,22850061,5811022,2014,S13,30
Adityanath,GORAKHPUR,3,Graduate,9254,BJP,156,7217674,0,2014,S24,64
Adsul Anandrao Vithoba,AMRAVATI,1,Graduate,315,SHS,157,32596257,1587104,2014,S13,7
Adv Dipak Dattaram Nevgi,RATNAGIRI SINDHUDURG,0,Post Graduate,3649,Socialist Party (India),158,13431575,92000,2014,S13,46
Adv. A. Jayaram,THRISSUR,0,Graduate Professional,1909,BSP,159,24702613,628000,2014,S11,10
Adv. Ajay Sitaram Karande Patil,PARBHANI,0,Post Graduate,3328,SP,160,9510000,330000,2014,S13,17
Adv. Bandya Sane Alias Bandu Sampatrao Sane,AMRAVATI,0,Post Graduate,780,IND,161,31300,0,2014,S13,7
Adv. Basheer Alady,KASARAGOD,0,Post Graduate,1213,BSP,162,785138,0,2014,S11,1
Adv. Chirayinkeezhu Gopinathan,ATTINGAL,0,Graduate Professional,1976,RPI(A),163,920662,100000,2014,S11,19
Adv. Deelip Kulkarni,NANDED,0,Graduate Professional,3310,IND,164,2990000,50000,2014,S13,16
Adv. Jawahar Leonardo Dias,SOUTH GOA,1,Post Graduate,3022,Goemcarancho Otrec Astro,165,564223740,484000,2014,S05,2
Adv. K. D. Shinde,SANGLI,0,Post Graduate,3658,JD(S),166,4387851,600000,2014,S13,44
Adv. M. R. Sarin,ATTINGAL,0,Graduate Professional,1975,JD(U),167,790325,87000,2014,S11,19
Adv. Mahendra Dadasaheb Shinde,SHIRDI,0,Doctorate,3404,BSP,168,52137,90000,2014,S13,38
Adv. N.Sreeprakash,MALAPPURAM,0,Graduate Professional,286,BJP,169,6781097,317500,2014,S11,6
Adv. Narendra Keshav Sawaikar,SOUTH GOA,0,Graduate Professional,1989,BJP,170,6260382,0,2014,S05,2
Adv. P. P. A. Sageer,WAYANAD,0,Graduate Professional,1858,AAP,171,4539401,57788,2014,S11,4
Adv. Peelipose Thomas,PATHANAMTHITTA,1,Graduate Professional,2487,IND,172,5648161,928336,2014,S11,17
Adv. Perurkada Harikumar,THIRUVANANTHAPURAM,4,Graduate Professional,2508,SHS,173,2511500,0,2014,S11,20
Adv. Prabhakar Mahaguji Dadmal,GADCHIROLI-CHIMUR,0,Post Graduate,931,Republican Party of India,174,560000,0,2014,S13,12
Adv. Raju Mangeshkar,SOUTH GOA,1,Graduate Professional,1986,CPI,175,4904426,0,2014,S05,2
Adv. Ravindra Dnyandeo Bhojane,BULDHANA,0,Graduate Professional,1381,Aambedakarite Party of India,176,119757,0,2014,S13,5
Adv. Sanjeev Sidram Sadafule,SOLAPUR,0,Graduate Professional,3694,BSP,177,2397559,625000,2014,S13,42
Adv. Savita Balkrishna Shinde,MADHA,0,Graduate Professional,3568,AAP,178,2737166,0,2014,S13,43
Adv. Shailendra Rameshwar Yavalkar,OSMANABAD,0,Graduate Professional,3593,SP,179,22243300,1125000,2014,S13,40
Adv. Varsha Madgulkar,SATARA,0,Graduate Professional,3664,IND,180,13052635,8706000,2014,S13,45
Adv.A.N.Shamseer,VADAKARA,0,Graduate Professional,169,CPI(M),181,1330825,0,2014,S11,3
Adv.Bindhu Krishna,ATTINGAL,2,Post Graduate,694,INC,182,3764729,853967,2014,S11,19
Adv.Dadasaheb Alias Dhanu Bhikaji Walthare,BHANDARA-GONDIYA,0,Graduate Professional,1464,IND,183,5395083,0,2014,S13,11
Adv.Dean Kuriakose,IDUKKI,1,Not Given,706,INC,184,314050,411719,2014,S11,13
Adv.Joice George,IDUKKI,4,Graduate Professional,712,IND,185,17396207,9417720,2014,S11,13
Adv.M.A.Bindu,ALAPPUZHA,0,Graduate Professional,323,SUCI(C),186,3543000,0,2014,S11,15
Adv.P.K.Jayakrishnan,MAVELIKKARA,0,Post Graduate,703,BSP,187,15410000,400000,2014,S11,16
Adv.P.Sudheer,MAVELIKKARA,8,Graduate Professional,959,BJP,188,329804,0,2014,S11,16
Adv.S.Prahladan,KOLLAM,0,Graduate Professional,699,BSP,189,21645000,0,2014,S11,18
Adv.Shinde Ashok Dagdu,JALGAON,0,Post Graduate,5843,Prabuddha Republican Party,190,50000,0,2014,S13,3
Adv.Shivajirao Shivaramji Moghe,YAVATMAL-WASHIM,2,Graduate Professional,2578,INC,191,42689718,11315807,2014,S13,14
Adv.Sobji Devalya Gavit,NANDURBAR,0,Graduate Professional,7256,IND,192,10100000,80000,2014,S13,1
Adv.Subhash Balasaheb Patil (Anna),MADHA,1,Post Graduate,3569,Bahujan Mukti Party,193,8581681,1502262,2014,S13,43
Afzal Ansari,BALLIA,3,Post Graduate,9216,Qaumi Ekta Dal,194,69036111,0,2014,S24,72
Afzal Siddiqui,FATEHPUR,0,12th Pass,5519,BSP,195,60732397,0,2014,S24,49
Aga Syed Mohsin,SRINAGAR,0,Others,6819,IND,196,6550000,0,2014,S09,2
Agasty Pradip,BARDHAMAN-DURGAPUR,2,Graduate Professional,6792,INC,197,36099151,8784830,2014,S25,39
Aghav Jayprakash Sitaram,BEED,3,10th Pass,3873,IND,198,151000,0,2014,S13,39
Agoram. K,MAYILADUTHURAI,8,Graduate,7078,Pattali Makkal Katchi,199,6097180,3045000,2014,S22,28
Agrawal Kunjbihari Jugalkishor,JALNA,4,Graduate,5867,SP,200,50158221,272883,2014,S13,18
Ahamad Aziz Ahamad Mateen,AURANGABAD,0,8th Pass,5147,IND,201,240000,0,2014,S13,19
Ahamed Hossain,KRISHNANAGAR,0,Post Graduate,9421,IUML,202,16600547,0,2014,S25,12
Aherwan Dharmender Rawat,FARIDABAD,0,12th Pass,2093,IND,203,6109500,335000,2014,S07,10
Ahir Hansraj Gangaram,CHANDRAPUR,11,10th Pass,926,BJP,204,15548000,99500,2014,S13,13
Ahmad Hussain Ansari,DHANBAD,0,Graduate Professional,4714,Jharkhand Disom Party,205,11286622,0,2014,S27,7
Ahmad Parvez Iqbal Ahmad Nur Mohammad,YAVATMAL-WASHIM,1,Graduate,1508,SP,206,3957500,0,2014,S13,14
Ahmed Sohel Siddiqui,VARANASI,0,12th Pass,9750,IND,207,535403,0,2014,S24,77
Ahshan Ali,GURGAON,0,Graduate,2081,IND,208,2090000,0,2014,S07,9
Aithabathula Jogeswara Venkata Butchi Maheswara Rao,AMALAPURAM,1,Post Graduate,8158,INC,209,12625844,2504500,2014,S01,24
Aiyyar Ganesh Rangayya,MUMBAI SOUTH CENTRAL,0,Graduate Professional,5939,BSP,210,34200185,2650000,2014,S13,30
Ajad,MIRZAPUR,0,Literate,9709,Gondvana Gantantra Party,211,277000,0,2014,S24,79
Ajad Ali,GAUHATI,0,Others,4434,IND,212,1271997,536237,2014,S03,7
Ajad Geeta Prasad Sharma,NAWADA,0,12th Pass,150,IND,213,7080000,0,2014,S04,39
Ajaj Julmoin Khan (Ajaj Khan),NAGPUR,1,12th Pass,2531,IND,214,137000,0,2014,S13,10
Ajay Agrawal,RAE BARELI,0,Graduate Professional,5791,BJP,215,17365819,0,2014,S24,36
Ajay Arjun Singh,SATNA,2,Post Graduate,729,INC,216,254876883,13845072,2014,S12,9
Ajay Ghosh,DIAMOND HARBOUR,0,Post Graduate,9346,SUCI(C),217,3382445,0,2014,S25,21
Ajay Kumar,SITAMARHI,1,12th Pass,9112,IND,218,716000,0,2014,S04,5
Ajay Kumar,BHADOHI,0,Post Graduate,8051,Pragatisheel Manav Samaj Party,219,1316000,0,2014,S24,78
Ajay Kumar,KHERI,2,Graduate Professional,3107,BJP,220,26505977,10000000,2014,S24,28
Ajay Kumar,JAMSHEDPUR,7,Post Graduate,2847,JVM(P),221,124349901,6979341,2014,S27,9
Ajay Kumar,CHURU,0,Post Graduate,2320,IND,222,4926438,0,2014,S20,3
Ajay Kumar Bain,BASIRHAT,0,Graduate,9338,SUCI(C),223,1307472,0,2014,S25,18
Ajay Kumar Behera,JAGATSINGHPUR,0,Post Graduate,3312,CPI,224,5137088,0,2014,S18,16
Ajay Kumar Bhagat,JALANDHAR,0,12th Pass,7708,IND,225,76000,0,2014,S19,4
Ajay Kumar Dubey,DHANBAD,0,12th Pass,4695,INC,226,7484762,0,2014,S27,7
Ajay Kumar Khemka,CHANDNI CHOWK,0,Graduate,969,Kalyankari Jantantrik Party,227,4724526,625000,2014,U05,1
Ajay Kumar Panjabrao Hingankar,AKOLA,0,Graduate,1109,AAP,228,8035000,700000,2014,S13,6
Ajay Kumar Prabhakar,GONDA,0,Graduate Professional,8705,Bahujan Mukti Party,229,60000,0,2014,S24,59
Ajay Kumar Sharma,JAIPUR RURAL,0,Graduate,2361,Jago Party,230,4550119,0,2014,S20,6
Ajay Maken,NEW DELHI,1,Post Graduate,495,INC,231,61098675,500000,2014,U05,4
Ajay Nishad,MUZAFFARPUR,0,Graduate,8130,BJP,232,145712654,989888,2014,S04,15
Ajay Pal Singh,ETAWAH,1,Post Graduate,4281,BSP,233,150110000,0,2014,S24,41
Ajay Pali,BILASPUR,0,Literate,5367,IND,234,480000,179344,2014,S26,5
Ajay Pratap Singh,SATNA,0,12th Pass,1528,IND,235,900000,0,2014,S12,9
Ajay Rai,VARANASI,9,Graduate,9205,INC,236,8721893,0,2014,S24,77
Ajay Rawat,DHAR,0,12th Pass,5224,BSP,237,64000,0,2014,S12,25
Ajay Shah Makrai,BETUL,0,Post Graduate,6082,INC,238,47558071,1246200,2014,S12,29
Ajay Singla,CHANDIGARH,2,10th Pass,591,IND,239,9877806,0,2014,U02,1
Ajay Tamta,ALMORA,0,12th Pass,8297,BJP,240,6366653,2757846,2014,S28,3
Ajay Vasant Paithankar,PUNE,0,Graduate,3623,IND,241,14080500,237000,2014,S13,34
Ajay Verma,DHAURAHRA,0,Graduate,5501,Bharatiya Jan Kranti Dal (Democratic),242,1281743,185000,2014,S24,29
Ajay Verma,RAIPUR,0,Others,4135,Chhattisgarh Swabhiman Manch,243,38835962,0,2014,S26,8
Ajaydhar,MAHARAJGANJ,0,12th Pass,9699,IND,244,151200,0,2014,S24,63
Ajaykumar Sarnaik,BAGALKOT,0,Graduate,1831,INC,245,501321313,100587230,2014,S10,3
Ajaypal,BAGHPAT,0,8th Pass,1650,IND,246,5790000,0,2014,S24,11
Ajaypal,SIKAR,0,10th Pass,2344,IND,247,3295920,100000,2014,S20,5
Ajeet Kumar,ALLAHABAD,0,12th Pass,8006,IND,248,190000,0,2014,S24,52
Ajinkya Dhondu Gawade,RATNAGIRI SINDHUDURG,0,Graduate,3646,IND,249,2058757,243784,2014,S13,46
Ajit Bhika Pawar,DINDORI,0,Graduate,5829,IND,250,95500,0,2014,S13,20
Ajit Joy,THIRUVANANTHAPURAM,0,Post Graduate,637,AAP,251,37145768,3500000,2014,S11,20
Ajit Kumar Jain (Patwa) Dharti Pakad,INDORE,0,8th Pass,4185,IND,252,0,0,2014,S12,26
Ajit Kumar Singh,HAZARIBAGH,0,12th Pass,3996,AITC,253,6000000,912823,2014,S27,14
Ajit Pal Singh,BADAUN,0,Graduate,3079,Peace Party,254,8900000,0,2014,S24,23
Ajit Pramod Kumar Jogi,MAHASAMUND,1,Graduate Professional,2797,INC,255,61583410,1500000,2014,S26,9
Ajit Prasad Mahata,PURULIA,12,Graduate,8377,JVM(P),256,1823340,0,2014,S25,35
Ajit Singh,BAGHPAT,0,Post Graduate,671,RLD,257,169254660,0,2014,S24,11
Ajitansh Gaur,MUZAFFARPUR,0,Post Graduate,8546,IND,258,23000,0,2014,S04,15
Ajith Kumar K K,PATHANAMTHITTA,1,Graduate,1964,IND,259,663000,342000,2014,S11,17
Ajmat Ali,KOTA,0,8th Pass,2411,Bharatiya Yuva Shakti,260,193438,0,2014,S20,24
